osmid,oneway,name,highway,reversed,length,lanes,maxspeed,bridge,geometry,junction
1248889140,True,Carretera a Punta de Mita,trunk,False,198.666,2,80,,"LINESTRING (-105.3827841 20.7537622, -105.3833307 20.7529471, -105.3838348 20.7522706)",
1058657979,False,Privada Calamar,residential,False,66.467,,,,"LINESTRING (-105.3836601 20.7536208, -105.3833387 20.7541375)",
1058657979,False,Privada Calamar,residential,True,66.467,,,,"LINESTRING (-105.3833387 20.7541375, -105.3836601 20.7536208)",
376806820,False,Calle Calamar,residential,False,72.536,,,,"LINESTRING (-105.3833387 20.7541375, -105.3831344 20.7543588, -105.383016 20.7545208, -105.3828907 20.7546352)",
916185989,False,Calle Pulpo,residential,True,64.642,,,,"LINESTRING (-105.3833387 20.7541375, -105.3829978 20.753875, -105.3828401 20.7537937)",
1058647233,False,Delfin,residential,True,4.994,,,,"LINESTRING (-105.3842877 20.7541536, -105.3843089 20.7541939)",
245255142,False,Delfin,residential,False,194.792,,,,"LINESTRING (-105.3842877 20.7541536, -105.3843354 20.7541254, -105.3844299 20.754076, -105.38457 20.7539864, -105.3846793 20.753865, -105.3847668 20.7537209, -105.3848149 20.7535368, -105.3847751 20.7534095, -105.3846872 20.7532783, -105.3845071 20.7530726, -105.3843835 20.7528827, -105.3843138 20.7527481)",
376806828,False,,residential,False,113.75300000000001,,,,"LINESTRING (-105.3842877 20.7541536, -105.384049 20.7537895, -105.3840046 20.7536376, -105.3839852 20.7534587, -105.3839429 20.7532031)",
1058647233,False,Delfin,residential,False,4.994,,,,"LINESTRING (-105.3843089 20.7541939, -105.3842877 20.7541536)",
376844652,False,Prolongación Langosta,residential,True,194.863,,,,"LINESTRING (-105.3843089 20.7541939, -105.384648 20.7541222, -105.3849206 20.7539891, -105.3850264 20.7538342, -105.3850973 20.7536546, -105.3850896 20.7535436, -105.3850321 20.753328, -105.3850258 20.7532123, -105.3850747 20.7529004)",
376806820,False,Calle Calamar,residential,False,63.727000000000004,,,,"LINESTRING (-105.3828907 20.7546352, -105.3827046 20.7547467, -105.3824347 20.75482, -105.3823336 20.7548624)",
376806820,False,Calle Calamar,residential,True,72.536,,,,"LINESTRING (-105.3828907 20.7546352, -105.383016 20.7545208, -105.3831344 20.7543588, -105.3833387 20.7541375)",
376806820,False,Calle Calamar,residential,True,63.727000000000004,,,,"LINESTRING (-105.3823336 20.7548624, -105.3824347 20.75482, -105.3827046 20.7547467, -105.3828907 20.7546352)",
