osmid,oneway,name,highway,reversed,length,geometry
761119431,False,Calle Cuarta,residential,True,118.051,"LINESTRING (-103.7940109 28.0459651, -103.792873 28.0463094)"
761119428,False,Privada Tercera,residential,False,59.8,"LINESTRING (-103.7940109 28.0459651, -103.7940994 28.0459722, -103.794143 28.0459764, -103.7942315 28.046016, -103.7943139 28.0460598, -103.7944468 28.0461479, -103.7945433 28.0462031)"
761119431,False,Calle Cuarta,residential,False,71.32300000000001,"LINESTRING (-103.7940109 28.0459651, -103.7940276 28.0459397, -103.7940525 28.0459142, -103.7940927 28.04589, -103.7943218 28.045819, -103.794668 28.0457201)"
641899226,False,Calle Troya,residential,False,41.742,"LINESTRING (-103.794668 28.0457201, -103.7945379 28.0453627)"
641899226,False,Calle Troya,residential,True,34.605,"LINESTRING (-103.794668 28.0457201, -103.7948558 28.0459835)"
761119431,False,Calle Cuarta,residential,False,37.564,"LINESTRING (-103.794668 28.0457201, -103.7947699 28.0457355, -103.7948591 28.0457349, -103.7949041 28.0457254, -103.7950336 28.04567)"
761119431,False,Calle Cuarta,residential,True,71.323,"LINESTRING (-103.794668 28.0457201, -103.7943218 28.045819, -103.7940927 28.04589, -103.7940525 28.0459142, -103.7940276 28.0459397, -103.7940109 28.0459651)"
761119439,False,Calle Estadio,residential,False,36.537,"LINESTRING (-103.7947165 28.0466964, -103.7950856 28.0467394)"
761119439,False,Calle Estadio,residential,True,180.063,"LINESTRING (-103.7947165 28.0466964, -103.7929077 28.0464247)"
761827823,False,,residential,False,17.839,"LINESTRING (-103.7947165 28.0466964, -103.7948028 28.0465552)"
761827823,False,,residential,False,11.16,"LINESTRING (-103.7948028 28.0465552, -103.7949158 28.0465665)"
761827823,False,,residential,True,17.839,"LINESTRING (-103.7948028 28.0465552, -103.7947165 28.0466964)"
761119428,False,Privada Tercera,residential,True,47.306000000000004,"LINESTRING (-103.7948028 28.0465552, -103.7946962 28.0463687, -103.7946018 28.0462409, -103.7945433 28.0462031)"
642201624,False,Calle Atenea,residential,False,46.599,"LINESTRING (-103.7960594 28.0438962, -103.7965079 28.0437586)"
642201624,False,Calle Atenea,residential,True,98.253,"LINESTRING (-103.7960594 28.0438962, -103.795107 28.0441686)"
761119432,False,,residential,False,47.19,"LINESTRING (-103.7960594 28.0438962, -103.79616 28.0443112)"
761119431,False,Calle Cuarta,residential,False,20.827,"LINESTRING (-103.7963959 28.0450921, -103.7965951 28.0450275)"
761119431,False,Calle Cuarta,residential,True,8.612,"LINESTRING (-103.7963959 28.0450921, -103.7963163 28.0451247)"
761119432,False,,residential,True,32.412,"LINESTRING (-103.7963959 28.0450921, -103.7962924 28.0448153)"
761119438,False,Calle Décima,residential,False,65.465,"LINESTRING (-103.7950336 28.04567, -103.7953998 28.0461621)"
761119431,False,Calle Cuarta,residential,False,66.971,"LINESTRING (-103.7950336 28.04567, -103.795313 28.0455591, -103.7956702 28.0454553)"
761119431,False,Calle Cuarta,residential,True,37.564,"LINESTRING (-103.7950336 28.04567, -103.7949041 28.0457254, -103.7948591 28.0457349, -103.7947699 28.0457355, -103.794668 28.0457201)"
761119432,False,,residential,False,15.548,"LINESTRING (-103.7962495 28.0446807, -103.7962924 28.0448153)"
761119432,False,,residential,True,24.563,"LINESTRING (-103.7962495 28.0446807, -103.7962045 28.0444634)"
761119433,False,Calle Tercera,residential,False,65.828,"LINESTRING (-103.7962495 28.0446807, -103.7968969 28.0445258)"
761119433,False,Calle Tercera,residential,True,65.828,"LINESTRING (-103.7968969 28.0445258, -103.7962495 28.0446807)"
"[761119434, 761829915]",False,Calle Cronos,residential,True,96.57300000000001,"LINESTRING (-103.7968969 28.0445258, -103.7968017 28.0442962, -103.7967776 28.0442524, -103.7967454 28.0442299, -103.7966891 28.0442074, -103.7966274 28.0441992, -103.796512 28.0442098, -103.7963565 28.0442477, -103.79616 28.0443112)"
761119432,False,,residential,False,17.478,"LINESTRING (-103.79616 28.0443112, -103.7962045 28.0444634)"
761119432,False,,residential,True,47.19,"LINESTRING (-103.79616 28.0443112, -103.7960594 28.0438962)"
"[761119434, 761829915]",False,Calle Cronos,residential,False,96.57300000000001,"LINESTRING (-103.79616 28.0443112, -103.7963565 28.0442477, -103.796512 28.0442098, -103.7966274 28.0441992, -103.7966891 28.0442074, -103.7967454 28.0442299, -103.7967776 28.0442524, -103.7968017 28.0442962, -103.7968969 28.0445258)"
642201624,False,Calle Atenea,residential,False,38.216,"LINESTRING (-103.7965079 28.0437586, -103.7968755 28.0436452)"
642201624,False,Calle Atenea,residential,True,46.599,"LINESTRING (-103.7965079 28.0437586, -103.7960594 28.0438962)"
761119435,False,,residential,False,66.537,"LINESTRING (-103.7965079 28.0437586, -103.796335 28.04318)"
642566530,False,Calle Prometeo,residential,True,148.53,"LINESTRING (-103.796335 28.04318, -103.794892 28.0435828)"
761119435,False,,residential,True,66.537,"LINESTRING (-103.796335 28.04318, -103.7965079 28.0437586)"
642566530,False,Calle Prometeo,residential,False,54.514,"LINESTRING (-103.796335 28.04318, -103.7965254 28.0431137, -103.7965965 28.04307, -103.7966649 28.0430096, -103.7967078 28.0429409, -103.7967347 28.0428758)"
761119431,False,Calle Cuarta,residential,False,39.925,"LINESTRING (-103.7959688 28.0453114, -103.7963163 28.0451247)"
761119431,False,Calle Cuarta,residential,True,33.388,"LINESTRING (-103.7959688 28.0453114, -103.7956702 28.0454553)"
761119436,False,Calle Octava,residential,False,189.749,"LINESTRING (-103.7959688 28.0453114, -103.7968913 28.0468111)"
761119436,False,Calle Octava,residential,True,189.749,"LINESTRING (-103.7968913 28.0468111, -103.7959688 28.0453114)"
761119439,False,Calle Estadio,residential,True,62.733,"LINESTRING (-103.7968913 28.0468111, -103.796535 28.0468032, -103.7962559 28.0468436)"
761119431,False,Calle Cuarta,residential,False,33.388,"LINESTRING (-103.7956702 28.0454553, -103.7959688 28.0453114)"
761119431,False,Calle Cuarta,residential,True,66.971,"LINESTRING (-103.7956702 28.0454553, -103.795313 28.0455591, -103.7950336 28.04567)"
761119437,False,Calle Novena,residential,False,158.411,"LINESTRING (-103.7956702 28.0454553, -103.7958094 28.045725, -103.7958942 28.0459293, -103.7960816 28.0463539, -103.7962357 28.0467881)"
806022387,False,,residential,True,43.396,"LINESTRING (-103.7956702 28.0454553, -103.7956068 28.0451933, -103.7955827 28.0450728)"
761119437,False,Calle Novena,residential,True,6.482,"LINESTRING (-103.7962559 28.0468436, -103.7962357 28.0467881)"
761119439,False,Calle Estadio,residential,False,62.733,"LINESTRING (-103.7962559 28.0468436, -103.796535 28.0468032, -103.7968913 28.0468111)"
761119439,False,Calle Estadio,residential,True,117.043,"LINESTRING (-103.7962559 28.0468436, -103.7959801 28.0468865, -103.7958951 28.046886, -103.7958172 28.0468683, -103.7957069 28.0468355, -103.7950856 28.0467394)"
761119438,False,Calle Décima,residential,False,31.469,"LINESTRING (-103.7953998 28.0461621, -103.7955636 28.0464054)"
761119438,False,Calle Décima,residential,True,65.465,"LINESTRING (-103.7953998 28.0461621, -103.7950336 28.04567)"
806022388,False,,residential,False,47.741,"LINESTRING (-103.7953998 28.0461621, -103.7953015 28.0462355, -103.7952051 28.0462627, -103.7950886 28.0462864, -103.794952 28.0462951)"
