osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,maxspeed
776346578,False,2,Calle 11 Poniente,residential,False,37.787,"LINESTRING (-97.8089399 19.2222941, -97.8085822 19.2222567)",,
776346578,False,2,Calle 11 Poniente,residential,True,61.845,"LINESTRING (-97.8089399 19.2222941, -97.8095277 19.2223299)",,
378892594,False,,Calle 9 Sur,residential,False,60.181,"LINESTRING (-97.8084758 19.2259777, -97.8085288 19.2254388)",,30
776325096,False,,Andador del Ferrocaril,residential,False,55.896,"LINESTRING (-97.8084758 19.2259777, -97.8079507 19.2258949)",,
903575376,False,,Andador del Ferrocaril,residential,True,56.344,"LINESTRING (-97.8084758 19.2259777, -97.8090089 19.2260358)",,
378892056,False,,Avenida Hidalgo,residential,True,55.271,"LINESTRING (-97.8068445 19.2220969, -97.8072949 19.2218396)",,
379073220,False,,Calle 5 Sur,residential,True,57.154,"LINESTRING (-97.8068445 19.2220969, -97.8067448 19.2226022)",,
776346578,False,2,Calle 11 Poniente,residential,False,98.861,"LINESTRING (-97.8068445 19.2220969, -97.8059079 19.2220057)",,
776346578,False,2,Calle 11 Poniente,residential,True,65.834,"LINESTRING (-97.8068445 19.2220969, -97.8074692 19.2221477)",,
169906979,True,,Calle 5 Poniente,residential,False,111.948,"LINESTRING (-97.8064422 19.2250366, -97.8074978 19.2251784)",,
379073220,False,,Calle 5 Sur,residential,True,7.252,"LINESTRING (-97.8064422 19.2250366, -97.8064405 19.2251018)",,
379073220,False,,Calle 5 Sur,residential,False,105.64099999999999,"LINESTRING (-97.8064422 19.2250366, -97.8065193 19.2245104, -97.80658 19.2240955)",,
169908663,False,2,Calle 3 Norte,secondary,False,108.913,"LINESTRING (-97.805055 19.2275467, -97.8051896 19.2265755)",,
169908663,False,2,Calle 3 Norte,secondary,True,44.349,"LINESTRING (-97.805055 19.2275467, -97.8049936 19.2279413)",,
169908942,True,,Calle 2 Poniente,residential,False,110.456,"LINESTRING (-97.805055 19.2275467, -97.8043139 19.2274558, -97.8040127 19.2274123)",,
169907322,True,,Calle 24 de Marzo,residential,False,113.067,"LINESTRING (-97.8040127 19.2274123, -97.8038687 19.22842)",,
169909123,True,,Calle 2 Oriente,residential,False,109.261,"LINESTRING (-97.8040127 19.2274123, -97.803471 19.2273604, -97.8029767 19.2273197)",,
169908942,True,,Calle 2 Poniente,residential,False,108.86,"LINESTRING (-97.8071531 19.227778, -97.8061209 19.2276855)",,
170229685,True,,Calle 7 Norte,residential,False,109.036,"LINESTRING (-97.8071531 19.227778, -97.8072878 19.2268057)",,
169908942,True,,Calle 2 Poniente,residential,False,43.174,"LINESTRING (-97.8082547 19.2278915, -97.8078446 19.227863)",,
170231060,True,,Calle 9 Norte,residential,False,112.422,"LINESTRING (-97.8082547 19.2278915, -97.8081317 19.2287694, -97.8081559 19.2288377, -97.8081944 19.2288769)",,
170229241,False,,Calle 4 Norte,residential,True,14.661,"LINESTRING (-97.8013778 19.2271407, -97.8013817 19.2272725)",,
903546935,True,,Calle 2 Oriente,residential,False,18.749,"LINESTRING (-97.8013778 19.2271407, -97.8012002 19.2271231)",,
903546936,False,,Calle 4 Norte,residential,False,112.805,"LINESTRING (-97.8013778 19.2271407, -97.8014913 19.2261319)",,
