osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,maxspeed,width,tunnel,access
13868013,True,,M 88,,secondary,False,13.145,"LINESTRING (4.6230788 45.5308006, 4.62304 45.5308418, 4.622985 45.5308727, 4.6229589 45.5308794)",roundabout,,,,
148567399,True,,M 88,,secondary,False,50.187,"LINESTRING (4.6230788 45.5308006, 4.6231537 45.5308547, 4.6232834 45.5309615, 4.6234646 45.5310395, 4.6235629 45.5310923)",,50,,,
148567766,True,1,M 30,Rue Antoine Marrel,tertiary,False,32.995,"LINESTRING (4.6232604 45.530389, 4.6230913 45.5305841, 4.6230637 45.5306498)",,50,,,
234751577,False,2,M 30,Rue Antoine Marrel,tertiary,True,34.726,"LINESTRING (4.6232604 45.530389, 4.6233321 45.5302472, 4.623391 45.5301545, 4.623442 45.5301058)",,50,,,
13868013,True,,M 88,,secondary,False,14.311,"LINESTRING (4.6229155 45.5305792, 4.6229735 45.5305929, 4.6230241 45.530617, 4.6230637 45.5306498)",roundabout,,,,
148567767,True,1,M 30,Rue Antoine Marrel,tertiary,False,34.193,"LINESTRING (4.6229155 45.5305792, 4.6230063 45.5305304, 4.6232604 45.530389)",,50,,,
13868012,False,2,M 88,Cours Gambetta,secondary,True,15.725,"LINESTRING (4.6222457 45.5301827, 4.6221176 45.5300734)",,50,,,
148567847,True,1,M 88,Cours Gambetta,secondary,False,64.725,"LINESTRING (4.6222457 45.5301827, 4.6224717 45.5303141, 4.6226304 45.5304334, 4.6227147 45.5305013, 4.6228537 45.5305769)",,50,,,
142959272,True,,M 30,,tertiary,False,3.614,"LINESTRING (4.6241631 45.5286447, 4.6241467 45.5286562, 4.6241276 45.5286654)",roundabout,,,,
142959272,True,,M 30,,tertiary,False,16.193,"LINESTRING (4.6240309 45.5285103, 4.6240721 45.528506, 4.6241128 45.5285116, 4.6241485 45.5285265, 4.6241749 45.5285491, 4.6241888 45.5285765)",roundabout,,,,
234751578,False,,M 30,Rue Vallée de Couzon,tertiary,True,260.334,"LINESTRING (4.6240309 45.5285103, 4.6240275 45.528465, 4.624024 45.5284196, 4.6243504 45.5277667, 4.6243418 45.5274504, 4.624392 45.5272332, 4.6246776 45.5264844, 4.6248185 45.5262578)",,50,,,
148568611,True,,M 6,Route de Longes,tertiary,False,14.08,"LINESTRING (4.6241888 45.5285765, 4.624367 45.5285977)",,50,,,
142959272,True,,M 30,,tertiary,False,8.062999999999999,"LINESTRING (4.6241888 45.5285765, 4.6241898 45.5286007, 4.624181 45.528624, 4.6241631 45.5286447)",roundabout,,,,
