osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction,ref,bridge,lanes,width
"[454740368, 454740369]",False,Rue de Belbèze,residential,30,True,66.635,"LINESTRING (1.341214 43.5821448, 1.3411389 43.5820806, 1.3410689 43.5820224, 1.340773 43.5817854, 1.3406648 43.5816967)",,,,,
142369670,True,Allée des Platanes,tertiary,30,False,33.335,"LINESTRING (1.352184 43.5785516, 1.3521374 43.5786151, 1.3520968 43.5787418, 1.352061 43.5788361)",,M 63w,,,
1009186568,True,Rond-Point Henry Dunant,secondary,50,False,22.915,"LINESTRING (1.352184 43.5785516, 1.3520938 43.5785728, 1.351999 43.5785722, 1.3519093 43.5785499)",roundabout,,,,
7742237,False,,residential,,True,26.946999999999996,"LINESTRING (1.3514912 43.5785702, 1.3516054 43.5785202, 1.3516858 43.578493, 1.3517053 43.5784862, 1.3517921 43.5784671)",,,,,
1247578143,True,Rond-Point Paul Micas,primary,50,False,14.119,"LINESTRING (1.3461202 43.5855127, 1.3461777 43.5854902, 1.3462854 43.5855062)",roundabout,,,2,
1247578148,True,Rond-Point Paul Micas,primary,50,False,2.061,"LINESTRING (1.3460873 43.585627, 1.3460762 43.5856103)",roundabout,,,2,
7743899,False,Avenue de Gascogne,tertiary,30,False,183.25600000000003,"LINESTRING (1.3460873 43.585627, 1.3460129 43.5856557, 1.3459818 43.5856882, 1.3459412 43.5857373, 1.3457635 43.5859428, 1.3456683 43.5860637, 1.3450889 43.5870288, 1.3450586 43.5870805)",,,,,
1247578144,True,Rond-Point Paul Micas,primary,50,False,53.886,"LINESTRING (1.3462854 43.5855062, 1.346313 43.5855252, 1.3463778 43.5855965, 1.3464851 43.5856739, 1.3465932 43.585741, 1.3466639 43.5857785, 1.3467168 43.5858219, 1.3467312 43.5858579)",roundabout,,,2,
1247578145,True,Rond-Point Paul Micas,primary,50,False,14.425,"LINESTRING (1.3467312 43.5858579, 1.3467299 43.5858958, 1.346703 43.5859381, 1.3466518 43.585964)",roundabout,,,2,
1247578146,True,Rond-Point Paul Micas,primary,50,False,4.128,"LINESTRING (1.3466518 43.585964, 1.3466015 43.5859711)",roundabout,,,2,
7742893,True,Rond-Point Paul Micas,primary,50,False,46.137,"LINESTRING (1.3464698 43.5859094, 1.3464453 43.5858385, 1.3463979 43.5857873, 1.3463431 43.5857449, 1.3462355 43.5856949, 1.3461561 43.5856714, 1.3461096 43.5856474, 1.3460873 43.585627)",roundabout,,,2,
857770248,False,Boulevard Eugène Montel,secondary,30,False,28.9,"LINESTRING (1.3426927 43.5851708, 1.3425556 43.5852592, 1.3424253 43.5853441)",,,,3,
"[857770248, 48536219]",False,Boulevard Eugène Montel,secondary,30,True,110.56899999999999,"LINESTRING (1.3426927 43.5851708, 1.3427634 43.5851303, 1.343227 43.5848497, 1.3434858 43.5846944, 1.3436694 43.5845922, 1.3437547 43.5845409)",,,,"['2', '3']",
1034845094,False,,residential,30,True,39.418,"LINESTRING (1.3426927 43.5851708, 1.3426125 43.585107, 1.3423759 43.5849007)",,,,,
841384952,True,,secondary,30,False,11.304,"LINESTRING (1.340873 43.5862829, 1.3408857 43.5862971, 1.340893 43.5863132, 1.3408945 43.5863301, 1.3408901 43.5863468, 1.3408801 43.5863621, 1.3408651 43.5863751)",roundabout,,,1,
"[857770248, 948424265]",False,Boulevard Eugène Montel,secondary,30,True,162.9,"LINESTRING (1.340873 43.5862829, 1.3409142 43.5862612, 1.3409409 43.5862472, 1.3411215 43.5861367, 1.3412949 43.5860292, 1.3415863 43.585856, 1.3417344 43.5857679, 1.3422975 43.5854239, 1.3424253 43.5853441)",,,,"['2', '3']",
7743888,False,Rue du Languedoc,residential,30,False,72.639,"LINESTRING (1.3408651 43.5863751, 1.3408897 43.5863953, 1.3409632 43.5864556, 1.3413196 43.586784, 1.3414351 43.5868811)",,,,,
1247578206,True,,secondary,30,False,11.99,"LINESTRING (1.3408651 43.5863751, 1.3408403 43.5863871, 1.3408115 43.5863927, 1.3407818 43.5863913, 1.3407542 43.5863833, 1.3407316 43.5863693)",roundabout,,,1,
1247578204,True,,secondary,30,False,11.463999999999999,"LINESTRING (1.3407316 43.5863693, 1.3407187 43.5863548, 1.3407113 43.5863385, 1.3407099 43.5863213, 1.3407146 43.5863045, 1.340725 43.5862891, 1.3407405 43.5862761)",roundabout,,,1,
"[32319430, 841950895]",False,Rue du Languedoc,secondary,30,False,27.88,"LINESTRING (1.3407405 43.5862761, 1.3407213 43.5862583, 1.3407018 43.5862402, 1.3405884 43.5861349, 1.340551 43.5861069, 1.3405143 43.5860879)",,,,2,
1247578205,True,,secondary,30,False,11.904,"LINESTRING (1.3407405 43.5862761, 1.3407609 43.586266, 1.3407842 43.5862603, 1.3408088 43.5862591, 1.3408329 43.5862628, 1.3408548 43.5862709, 1.340873 43.5862829)",roundabout,,,1,
30270632,False,Rue d'Anjou,residential,30,False,61.065000000000005,"LINESTRING (1.3435245 43.5858884, 1.3435949 43.5859719, 1.3436526 43.5860652, 1.343693 43.5861683, 1.3437009 43.5862361, 1.3436969 43.5863284, 1.3436895 43.5863663, 1.3436861 43.5864095)",,,,,
30270632,False,Rue d'Anjou,residential,30,True,47.214,"LINESTRING (1.3435245 43.5858884, 1.3434481 43.585831, 1.3433502 43.5857854, 1.3431336 43.5857028, 1.3430221 43.5856826)",,,,,
30270640,False,Place d'Artois,residential,30,False,51.928,"LINESTRING (1.3435245 43.5858884, 1.343552 43.5858743, 1.3436315 43.5858255, 1.3440227 43.5855921)",,,,,
7743888,False,Rue du Languedoc,residential,30,True,72.63900000000001,"LINESTRING (1.3414351 43.5868811, 1.3413196 43.586784, 1.3409632 43.5864556, 1.3408897 43.5863953, 1.3408651 43.5863751)",,,,,
30270665,False,Place d'Anjou,residential,30,True,186.74900000000002,"LINESTRING (1.3414351 43.5868811, 1.3414673 43.5868622, 1.3415243 43.5868272, 1.3417652 43.5866806, 1.3419695 43.5865562, 1.3422297 43.5863993, 1.3423537 43.5863211, 1.3423764 43.5863004, 1.3423933 43.5862779, 1.3423957 43.5862634, 1.342396 43.5862473, 1.342392 43.5862239, 1.3423853 43.5862012, 1.3423263 43.5860399, 1.3423276 43.5860123, 1.3423377 43.5859855, 1.3423589 43.5859596, 1.3423826 43.5859389, 1.3427293 43.5857334, 1.3427578 43.5857157, 1.3428054 43.5856805)",,,,,
33859456,False,Rue des Corbières,residential,30,False,45.11899999999999,"LINESTRING (1.3414351 43.5868811, 1.3411688 43.5871288, 1.3411565 43.5871486, 1.3411479 43.5871689, 1.3411424 43.5871883, 1.341138 43.5872172)",,,,,
7743897,False,Rue du Docteur Pierre Baudet,residential,30,True,74.543,"LINESTRING (1.3450586 43.5870805, 1.344981 43.5870541, 1.344293 43.5867053)",,,,,
7743899,False,Avenue de Gascogne,tertiary,30,True,183.256,"LINESTRING (1.3450586 43.5870805, 1.3450889 43.5870288, 1.3456683 43.5860637, 1.3457635 43.5859428, 1.3459412 43.5857373, 1.3459818 43.5856882, 1.3460129 43.5856557, 1.3460873 43.585627)",,,,,
7744294,True,Rue de la Montjoie,secondary,30,False,29.153000000000002,"LINESTRING (1.34651 43.5861552, 1.3464591 43.5861003, 1.3464394 43.586038, 1.346445 43.5859546, 1.3464698 43.5859094)",,M 63,,,
150485824,False,Rue Gaston Doumergue,primary,50,False,47.861999999999995,"LINESTRING (1.3409369 43.5833, 1.3411642 43.5833767, 1.341465 43.5834968)",,M 632,,2,
"[221120609, 30198356, 847239797, 847239798, 221120569]",False,Rue de Verdun,residential,30,True,343.774,"LINESTRING (1.3527324 43.5824786, 1.3523645 43.5829331, 1.3523091 43.5829626, 1.352234 43.5829697, 1.3521474 43.5829607, 1.3516162 43.582751, 1.3514806 43.5826513, 1.3514276 43.5826004, 1.3510327 43.5822211, 1.3509919 43.5821924, 1.3509384 43.5821547, 1.3508084 43.5821241, 1.3507576 43.5820698, 1.3507456 43.5820256, 1.350755 43.5819725, 1.3509431 43.581667, 1.3510651 43.5815042, 1.3513099 43.5812152, 1.3513578 43.5811633)",,,yes,,"['5.9', '6.2']"
243921905,False,Rue Joffre,residential,30,True,63.03,"LINESTRING (1.3525595 43.5816903, 1.3518835 43.5814048)",,,,,
148237490,False,Rue Foch,residential,30,True,172.071,"LINESTRING (1.3525595 43.5816903, 1.352258 43.5820698, 1.3522313 43.5820924, 1.352197 43.5821079, 1.3521549 43.5821131, 1.3521098 43.582108, 1.3516026 43.5818961, 1.3515772 43.5818721, 1.351562 43.5818478, 1.3515628 43.5818148, 1.3515735 43.5817836, 1.3518835 43.5814048)",,,,,
30198363,False,Rue Joffre,residential,30,False,50.84,"LINESTRING (1.3508517 43.5808902, 1.3508973 43.5809135, 1.3510059 43.5809743, 1.3510495 43.580999, 1.3512813 43.581121, 1.3513578 43.5811633)",,,,,
208111600,False,Allée des Platanes,tertiary,30,False,254.97,"LINESTRING (1.3508517 43.5808902, 1.3510153 43.5807459, 1.3510583 43.5807087, 1.3511755 43.5806075, 1.3513298 43.5804652, 1.3514344 43.5803607, 1.3515474 43.5802291, 1.351659 43.5800805, 1.3517515 43.579941, 1.3519105 43.5796365, 1.3519749 43.5794646, 1.3520278 43.5792552, 1.3520519 43.5790876, 1.35206 43.5789739, 1.3520601 43.5788747, 1.352061 43.5788361)",,M 63w,,2,
