osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction
884171862,,D 9,Rue Pierre Brossolette,secondary,False,False,118.307,"LINESTRING (2.2947435 48.9118822, 2.2946382 48.9118302, 2.294613 48.9118189, 2.2937257 48.9114006, 2.2935191 48.9112982, 2.293496 48.9112871, 2.2934335 48.9112572)",50,
884171862,,D 9,Rue Pierre Brossolette,secondary,False,True,69.182,"LINESTRING (2.2947435 48.9118822, 2.2948258 48.9119312, 2.2948462 48.9119444, 2.2953402 48.9122634, 2.2954253 48.9123137)",50,
166562910,,,Place de l'Église,residential,False,True,27.853,"LINESTRING (2.2928816 48.9111217, 2.2929101 48.9110537, 2.2930737 48.9109094)",30,
860374217,2,D 9,Rue Pierre Brossolette,secondary,False,False,78.95,"LINESTRING (2.2928816 48.9111217, 2.2922815 48.9109968, 2.2920101 48.9109409, 2.2919717 48.910933, 2.2918527 48.9109054)",50,
860374217,2,D 9,Rue Pierre Brossolette,secondary,False,True,18.583000000000002,"LINESTRING (2.2928816 48.9111217, 2.2930376 48.9111546, 2.2931239 48.9111724)",50,
117393612,,,Rue de la Concorde,residential,True,False,103.624,"LINESTRING (2.2918527 48.9109054, 2.2918477 48.9109523, 2.2918359 48.9109859, 2.2915048 48.9113964, 2.2912905 48.9117021, 2.2912546 48.9117453)",30,
119551419,2,D 9,Rue Pierre Brossolette,secondary,False,False,75.693,"LINESTRING (2.2918527 48.9109054, 2.291711 48.9108736, 2.2916746 48.9108666, 2.2913433 48.9108029, 2.2910017 48.9107261, 2.2909726 48.9107196, 2.2908654 48.9107004)",50,
860374217,2,D 9,Rue Pierre Brossolette,secondary,False,True,78.95,"LINESTRING (2.2918527 48.9109054, 2.2919717 48.910933, 2.2920101 48.9109409, 2.2922815 48.9109968, 2.2928816 48.9111217)",50,
55991877,,,Place des Victoires,residential,True,False,54.102000000000004,"LINESTRING (2.2908654 48.9107004, 2.2909071 48.9106305, 2.2912033 48.910268)",,
119551419,2,D 9,Rue Pierre Brossolette,secondary,False,False,78.92999999999999,"LINESTRING (2.2908654 48.9107004, 2.2907841 48.9106839, 2.2907589 48.9106781, 2.2899471 48.9104891, 2.2898455 48.910467)",50,
119551419,2,D 9,Rue Pierre Brossolette,secondary,False,True,75.69300000000001,"LINESTRING (2.2908654 48.9107004, 2.2909726 48.9107196, 2.2910017 48.9107261, 2.2913433 48.9108029, 2.2916746 48.9108666, 2.291711 48.9108736, 2.2918527 48.9109054)",50,
25869261,,,Rue Sadi Carnot,residential,True,False,81.15500000000002,"LINESTRING (2.2893014 48.9103365, 2.289354 48.9102814, 2.2898377 48.9097511, 2.2898748 48.9097115)",30,
"[1270637214, 1270637215]",2,D 9,Place de l'Hôtel de Ville,secondary,False,"[False, True]",79.85,"LINESTRING (2.2893014 48.9103365, 2.2892067 48.910314, 2.2888892 48.910242, 2.2888239 48.9102266, 2.2883899 48.9101058, 2.2882837 48.9100762)",50,
1270637215,2,D 9,Place de l'Hôtel de Ville,secondary,False,True,42.331,"LINESTRING (2.2893014 48.9103365, 2.2895634 48.9104016, 2.2897196 48.9104385, 2.2898455 48.910467)",50,
162655750,,,Rue de Colombes,residential,False,True,154.16,"LINESTRING (2.2844324 48.9125971, 2.2842889 48.9126491, 2.2842607 48.9126589, 2.2829336 48.9131177, 2.2825676 48.9132452)",,
337853045,,D 909,Avenue d'Argenteuil,secondary,False,False,72.183,"LINESTRING (2.2844324 48.9125971, 2.2843103 48.9127663, 2.2842969 48.9127849, 2.284275 48.9128113, 2.2842192 48.9128787, 2.2840078 48.913183)",50,
863261880,,D 909,Avenue d'Argenteuil,secondary,False,True,29.78,"LINESTRING (2.2844324 48.9125971, 2.2844714 48.9125518, 2.2846191 48.9123591)",50,
