osmid,highway,oneway,reversed,length,geometry,name,bridge,maxspeed,tunnel,lanes,junction
102448765,tertiary,True,False,60.825,"LINESTRING (1.8537998 50.951212, 1.8537764 50.9512651, 1.8537644 50.9512958, 1.8537524 50.9513298, 1.8537309 50.951381, 1.8537138 50.951418, 1.8536854 50.951479, 1.8536483 50.9515564, 1.8536308 50.9515929, 1.8536097 50.9516369, 1.8536058 50.951645, 1.853583 50.9516881, 1.853552 50.9517358)",Boulevard Jacquard,,30,,,
102448765,tertiary,True,False,57.260000000000005,"LINESTRING (1.8541531 50.9491899, 1.854157 50.9492286, 1.8541601 50.9492621, 1.8541652 50.9492996, 1.8541709 50.9495443, 1.8541705 50.9495744, 1.8541712 50.9496114, 1.8541761 50.9497045)",Boulevard Jacquard,,30,,,
53470191,residential,True,False,190.154,"LINESTRING (1.8563492 50.9511059, 1.858948 50.9515999)",Rue de la Pomme d'Or,,30,,,
125006724,residential,True,False,57.055,"LINESTRING (1.8563492 50.9511059, 1.8565677 50.9506116)",Rue du Pont Lottin,,,,,
125006724,residential,True,False,112.11700000000002,"LINESTRING (1.8565677 50.9506116, 1.8565748 50.9505903, 1.8565768 50.950575, 1.8565788 50.9505581, 1.8565806 50.9505365, 1.8565851 50.950517, 1.8565921 50.9504962, 1.8567123 50.9502268, 1.8567667 50.9501078, 1.8567818 50.9500724, 1.8567877 50.9500442, 1.8567898 50.9500105, 1.8567607 50.9496218)",Rue du Pont Lottin,,,,,
53470191,residential,True,False,4.551,"LINESTRING (1.853993 50.9506719, 1.8540553 50.9506835)",Rue de la Pomme d'Or,,30,,,
831867976,tertiary,True,False,108.194,"LINESTRING (1.853993 50.9506719, 1.8540376 50.9505724, 1.8540566 50.9505246, 1.8540742 50.9504731, 1.8540854 50.9504342, 1.8540953 50.9503877, 1.854104 50.950343, 1.8541097 50.9502857, 1.8541116 50.9502319, 1.8541116 50.9501787, 1.8541078 50.9500545, 1.854104 50.9499278, 1.8541002 50.9498167, 1.8540942 50.9497071)",Boulevard Jacquard,,30,,,
125006724,residential,True,False,60.409,"LINESTRING (1.8561086 50.9516276, 1.8563492 50.9511059)",Rue du Pont Lottin,,,,,
53470193,residential,True,False,168.208,"LINESTRING (1.8561086 50.9516276, 1.8538771 50.9512243, 1.8537998 50.951212)",Rue Vauban,,,,,
53470190,residential,False,True,167.75500000000002,"LINESTRING (1.8558545 50.9521506, 1.8557799 50.9521372, 1.8544181 50.951892, 1.8537405 50.95177, 1.8536675 50.9517569, 1.853552 50.9517358)",Rue Jean Jaurès,,30,,,
53646802,residential,False,True,82.84400000000001,"LINESTRING (1.8558545 50.9521506, 1.8557449 50.9523059, 1.8555094 50.9526397, 1.8553741 50.9528314)",Rue du Pont Lottin,,,,,
125006724,residential,True,False,60.821,"LINESTRING (1.8558545 50.9521506, 1.8558769 50.9521097, 1.8558913 50.9520798, 1.8561086 50.9516276)",Rue du Pont Lottin,,,,,
759631679,residential,True,False,111.143,"LINESTRING (1.8558545 50.9521506, 1.8559505 50.9521681, 1.8573789 50.9524278)",Rue Jean Jaurès,,30,,,
33138334,residential,True,False,140.03,"LINESTRING (1.8566994 50.9485631, 1.8568112 50.9485597, 1.8573185 50.9485445, 1.858623 50.9485013, 1.8586957 50.9484994)",Rue du Temple,,30,,,
53470189,residential,True,False,140.845,"LINESTRING (1.8587392 50.9490487, 1.8585591 50.9490544, 1.856731 50.9491094)",Rue de la Tannerie,,30,,,
124725113,residential,True,False,61.155,"LINESTRING (1.8587392 50.9490487, 1.8587346 50.94899, 1.8587002 50.9485568, 1.8586957 50.9484994)",Rue du Général Chanzy,,30,,,
124725113,residential,True,False,57.425999999999995,"LINESTRING (1.8587801 50.9495645, 1.8587772 50.9495276, 1.8587721 50.9494635, 1.8587422 50.9490862, 1.8587392 50.9490487)",Rue du Général Chanzy,,30,,,
589712067,residential,True,False,141.609,"LINESTRING (1.8587801 50.9495645, 1.8587211 50.9495661, 1.8586084 50.9495693, 1.8568966 50.9496179, 1.856828 50.9496199, 1.8567607 50.9496218)",Rue de Vic,,,,,
53470187,residential,True,False,57.015,"LINESTRING (1.8567607 50.9496218, 1.8567574 50.9495644, 1.8567458 50.9493647, 1.8567344 50.9491672, 1.856731 50.9491094)",Rue Charost,,30,,,
589712061,residential,True,False,181.292,"LINESTRING (1.8567607 50.9496218, 1.8565761 50.9496277, 1.8548079 50.9496843, 1.8543651 50.9496984, 1.8542756 50.9497013, 1.8541761 50.9497045)",Rue de Vic,,30,,,
53470187,residential,True,False,60.787,"LINESTRING (1.856731 50.9491094, 1.8567016 50.9486014, 1.8566994 50.9485631)",Rue Charost,,30,,,
53470189,residential,True,False,180.814,"LINESTRING (1.856731 50.9491094, 1.8566027 50.9491134, 1.8555727 50.9491456, 1.8542708 50.9491862, 1.8541531 50.9491899)",Rue de la Tannerie,,30,,,
53470202,residential,True,False,57.337,"LINESTRING (1.8583873 50.9509318, 1.8586155 50.9504366)",Rue du Pont Neuf,,,,,
53470194,residential,True,False,132.47700000000003,"LINESTRING (1.8583873 50.9509318, 1.8573208 50.9507367, 1.8572585 50.95073, 1.8571826 50.9507262, 1.8565677 50.9506116)",Rue des Communes,,,,,
53470202,residential,True,False,98.87700000000001,"LINESTRING (1.8586155 50.9504366, 1.8587883 50.9500639, 1.8588004 50.9500326, 1.8588066 50.9500065, 1.8588057 50.949976, 1.8587816 50.9496126, 1.8587801 50.9495645)",Rue du Pont Neuf,,,,,
53503637,residential,False,False,90.985,"LINESTRING (1.8586155 50.9504366, 1.8595834 50.9506196, 1.8596439 50.950631, 1.8598595 50.9506718)",Rue Sambor,,,,,
102660663,residential,True,False,59.373,"LINESTRING (1.8598595 50.9506718, 1.8594003 50.9511206)",Quai du Commerce,,30,,,
53503637,residential,False,True,90.985,"LINESTRING (1.8598595 50.9506718, 1.8596439 50.950631, 1.8595834 50.9506196, 1.8586155 50.9504366)",Rue Sambor,,,,,
28591395,residential,True,False,60.375,"LINESTRING (1.8514663 50.9493282, 1.8513969 50.948787)",Rue Monseigneur Piedfort,,,,,
53504409,residential,True,False,204.319,"LINESTRING (1.8514663 50.9493282, 1.848627 50.9494646, 1.8485978 50.9494654, 1.848558 50.9494666)",Rue du Bout des Digues,,,,,
53504410,residential,False,True,214.356,"LINESTRING (1.8512352 50.952732, 1.8490333 50.9523782, 1.8484758 50.9522886, 1.8482691 50.952258)",Avenue du Président Wilson,,,,2,
53773824,residential,True,False,53.010000000000005,"LINESTRING (1.8512352 50.952732, 1.8514773 50.9527579, 1.8515523 50.9527658, 1.8516233 50.9527743, 1.8517101 50.952785, 1.8517676 50.9527914, 1.851797 50.9527935, 1.8518128 50.9527935, 1.8518297 50.9527935, 1.8518684 50.9527915, 1.8518917 50.9527878, 1.8519232 50.9527807, 1.8519753 50.9527655)",Avenue du Président Wilson,,,,,
53505699,residential,False,False,60.456,"LINESTRING (1.846903 50.956045, 1.8470182 50.9560497, 1.8476391 50.9560752, 1.8477643 50.9560804)",Rue Jean de Vienne,,,,,
53505694,residential,True,False,125.28700000000002,"LINESTRING (1.8477643 50.9560804, 1.8477694 50.9559401, 1.8477743 50.9557391, 1.847769 50.9554288, 1.847765 50.9553836, 1.8477554 50.9553281, 1.847744 50.9552725, 1.8477372 50.9552255, 1.8477342 50.9551202, 1.8477387 50.955085, 1.8477485 50.9550449, 1.8477517 50.9550218, 1.8477485 50.9549977, 1.8477438 50.9549776, 1.8477316 50.9549572)",Rue Philippine de Hainaut,,30,,,
53505699,residential,False,False,69.727,"LINESTRING (1.8477643 50.9560804, 1.847906 50.9560888, 1.8486034 50.9561362, 1.8487544 50.9561454)",Rue Jean de Vienne,,,,,
53505699,residential,False,True,60.456,"LINESTRING (1.8477643 50.9560804, 1.8476391 50.9560752, 1.8470182 50.9560497, 1.846903 50.956045)",Rue Jean de Vienne,,,,,
53505699,residential,False,True,69.72699999999999,"LINESTRING (1.8487544 50.9561454, 1.8486034 50.9561362, 1.847906 50.9560888, 1.8477643 50.9560804)",Rue Jean de Vienne,,,,,
915939882,residential,False,False,74.263,"LINESTRING (1.8487544 50.9561454, 1.8489088 50.9561567, 1.8489943 50.9561633, 1.849362 50.9561925, 1.8494313 50.9562015, 1.8495005 50.956212, 1.8496827 50.9562455, 1.8497926 50.9562695)",Rue Jean de Vienne,,,,,
53668428,residential,False,False,51.435,"LINESTRING (1.8505858 50.956424, 1.8510094 50.956507, 1.8512873 50.9565608)",Rue Richelieu,,,,,
53668428,residential,False,True,58.153,"LINESTRING (1.8505858 50.956424, 1.849976 50.9563052, 1.8497926 50.9562695)",Rue Richelieu,,,,,
53668428,residential,False,False,87.812,"LINESTRING (1.8512873 50.9565608, 1.8518142 50.9566676, 1.8524824 50.9567994)",Rue Richelieu,,,,,
53668428,residential,False,True,51.435,"LINESTRING (1.8512873 50.9565608, 1.8510094 50.956507, 1.8505858 50.956424)",Rue Richelieu,,,,,
53668428,residential,False,True,87.812,"LINESTRING (1.8524824 50.9567994, 1.8518142 50.9566676, 1.8512873 50.9565608)",Rue Richelieu,,,,,
53783345,residential,False,False,55.147,"LINESTRING (1.8544785 50.9555874, 1.8552391 50.9557155)",Rue de Varsovie,,,,,
53783345,residential,False,True,103.01,"LINESTRING (1.8544785 50.9555874, 1.8530521 50.9553619)",Rue de Varsovie,,,,,
583041805,tertiary,False,True,75.345,"LINESTRING (1.8544785 50.9555874, 1.8540649 50.9562129)",Rue d'Edimbourg,,,,,
583041805,tertiary,False,False,66.666,"LINESTRING (1.8544785 50.9555874, 1.8547645 50.9551671, 1.8547747 50.9551411, 1.8547809 50.9551166, 1.8547841 50.9550808, 1.8547834 50.955026)",Rue d'Edimbourg,,,,,
53783345,residential,False,True,55.147,"LINESTRING (1.8552391 50.9557155, 1.8544785 50.9555874)",Rue de Varsovie,,,,,
171671946,tertiary,False,True,69.862,"LINESTRING (1.8552391 50.9557155, 1.8551488 50.9550898)",Rue de Bruxelles,,30,,,
194757501,residential,False,False,158.465,"LINESTRING (1.8552391 50.9557155, 1.8552786 50.9557294, 1.8553242 50.9557488, 1.8567977 50.9565855, 1.8569287 50.9566617)",Rue d'Amsterdam,,,,,
53646802,residential,False,False,82.844,"LINESTRING (1.8553741 50.9528314, 1.8555094 50.9526397, 1.8557449 50.9523059, 1.8558545 50.9521506)",Rue du Pont Lottin,,,,,
53646802,residential,False,True,83.77900000000001,"LINESTRING (1.8553741 50.9528314, 1.8549053 50.9534563, 1.8548608 50.9535119)",Rue du Pont Lottin,,,,,
53646803,residential,False,False,94.663,"LINESTRING (1.8553741 50.9528314, 1.855456 50.9528468, 1.8566205 50.9530665, 1.8566687 50.9530756)",Rue Dutertre,,,,,
53646803,residential,False,True,94.663,"LINESTRING (1.8566687 50.9530756, 1.8566205 50.9530665, 1.855456 50.9528468, 1.8553741 50.9528314)",Rue Dutertre,,,,,
"[607668592, 917362342, 391028686]",residential,True,False,99.90000000000002,"LINESTRING (1.8566687 50.9530756, 1.8561866 50.9534431, 1.8561476 50.9534788, 1.8561181 50.9535109, 1.8560074 50.9536484, 1.8559524 50.953722, 1.8558817 50.9538179)",Quai du Lieutenant Andrieux,,30,,,
102448744,residential,False,False,108.468,"LINESTRING (1.8486135 50.9552285, 1.8486587 50.955256, 1.8486938 50.9552732, 1.8487311 50.9552847, 1.8487783 50.9552949, 1.8493567 50.9554049, 1.8499031 50.9555089, 1.8500702 50.9555413)",Rue Edison,,,,,
