osmid,highway,oneway,reversed,length,ref,geometry,junction,bridge
379583169,primary,False,True,21.269,RN 94,"LINESTRING (0.4759152 34.9883645, 0.4761474 34.9883844)",,
318394512,residential,False,True,26.915,,"LINESTRING (0.4755174 34.9910053, 0.475561 34.9907659)",,
318394513,residential,False,False,34.613,,"LINESTRING (0.4755174 34.9910053, 0.4757924 34.9907905)",,
318394512,residential,False,False,36.198,,"LINESTRING (0.4755174 34.9910053, 0.4753162 34.9911255, 0.4752935 34.9912456)",,
318394512,residential,False,False,55.21,,"LINESTRING (0.4752935 34.9912456, 0.4752494 34.9917408)",,
318439580,residential,False,False,49.627,,"LINESTRING (0.4752935 34.9912456, 0.4747551 34.9911775)",,
318439580,residential,False,True,26.053,,"LINESTRING (0.4752935 34.9912456, 0.4755778 34.9912711)",,
318394512,residential,False,True,36.198,,"LINESTRING (0.4752935 34.9912456, 0.4753162 34.9911255, 0.4755174 34.9910053)",,
318393843,residential,False,False,89.682,,"LINESTRING (0.4762926 34.9904706, 0.4764137 34.9896702)",,
318393843,residential,False,True,126.188,,"LINESTRING (0.4762926 34.9904706, 0.4760679 34.9915904)",,
318394513,residential,False,False,25.878,,"LINESTRING (0.4762926 34.9904706, 0.4765759 34.9904877)",,
318394513,residential,False,True,41.022,,"LINESTRING (0.4762926 34.9904706, 0.4759348 34.9906946)",,
318394513,residential,False,False,58.352,,"LINESTRING (0.4765759 34.9904877, 0.4772106 34.9905585)",,
318394513,residential,False,True,25.878,,"LINESTRING (0.4765759 34.9904877, 0.4762926 34.9904706)",,
323048757,residential,False,True,43.446,,"LINESTRING (0.4765759 34.9904877, 0.4765158 34.9908753)",,
323048757,residential,False,False,102.693,,"LINESTRING (0.4765759 34.9904877, 0.4766368 34.9900943, 0.4772741 34.9901658)",,
318394397,residential,False,False,43.475,,"LINESTRING (0.4787783 34.990731, 0.4788572 34.9903454)",,
318394397,residential,False,True,39.849,,"LINESTRING (0.4787783 34.990731, 0.4787176 34.9910859)",,
