osmid,highway,junction,oneway,reversed,length,geometry,name
430052433,residential,,False,True,67.963,"LINESTRING (49.0979548 32.3263812, 49.0983334 32.3264333, 49.0986687 32.3264795)",خرداد
430052394,residential,,False,False,134.521,"LINESTRING (49.0927417 32.3264353, 49.0916711 32.3272385)",مهر
430052342,residential,,False,False,73.446,"LINESTRING (49.0927417 32.3264353, 49.0931189 32.3266348, 49.093418 32.3267654)",
430052142,residential,,False,True,49.44,"LINESTRING (49.091102 32.3265073, 49.0913911 32.3268788)",
430052145,residential,,False,False,85.723,"LINESTRING (49.091102 32.3265073, 49.0908035 32.3266788, 49.0908756 32.3267617, 49.0909376 32.3268885, 49.0909897 32.32711)",
430052173,residential,,False,False,52.124,"LINESTRING (49.0942696 32.3265401, 49.0948239 32.3265587)",مرداد
1095861547,residential,,False,True,14.845,"LINESTRING (49.0942696 32.3265401, 49.0942096 32.3266636)",۱۷شهریور
430052262,residential,,False,True,11.509,"LINESTRING (49.089818 32.3265568, 49.0898288 32.3266599)",جام جم
430052173,residential,,False,False,47.805,"LINESTRING (49.0948239 32.3265587, 49.0953266 32.3266249)",مرداد
430052173,residential,,False,True,52.124,"LINESTRING (49.0948239 32.3265587, 49.0942696 32.3265401)",مرداد
430052357,residential,,False,True,46.219,"LINESTRING (49.0948239 32.3265587, 49.0947939 32.3268293, 49.0947259 32.3269612)",سیزدهم آبان
430052173,residential,,False,False,37.733,"LINESTRING (49.0953266 32.3266249, 49.0957234 32.3266771)",مرداد
430052173,residential,,False,True,47.805,"LINESTRING (49.0953266 32.3266249, 49.0948239 32.3265587)",مرداد
430052262,residential,,False,False,11.509,"LINESTRING (49.0898288 32.3266599, 49.089818 32.3265568)",جام جم
430052262,residential,,False,True,50.71,"LINESTRING (49.0898288 32.3266599, 49.089876 32.3271142)",جام جم
430052296,residential,,False,False,54.155,"LINESTRING (49.0898288 32.3266599, 49.0901482 32.3267287, 49.0903945 32.3267412)",
1095861547,residential,,False,False,14.845,"LINESTRING (49.0942096 32.3266636, 49.0942696 32.3265401)",۱۷شهریور
1095861548,residential,,False,True,58.724,"LINESTRING (49.0942096 32.3266636, 49.0947259 32.3269612)",
430052173,residential,,False,False,53.656,"LINESTRING (49.0957234 32.3266771, 49.0962904 32.3267344)",مرداد
430052173,residential,,False,True,37.733,"LINESTRING (49.0957234 32.3266771, 49.0953266 32.3266249)",مرداد
430052161,residential,,False,False,36.150999999999996,"LINESTRING (49.0957234 32.3266771, 49.0956774 32.3269511, 49.095666 32.3269985)",گلستان
430052173,residential,,False,False,56.711,"LINESTRING (49.0962904 32.3267344, 49.0968897 32.3267949)",مرداد
430052173,residential,,False,True,53.656,"LINESTRING (49.0962904 32.3267344, 49.0957234 32.3266771)",مرداد
430052146,residential,,False,False,149.778,"LINESTRING (49.0903945 32.3267412, 49.0905507 32.3280817)",شهید بهشتی
430052296,residential,,False,True,54.155,"LINESTRING (49.0903945 32.3267412, 49.0901482 32.3267287, 49.0898288 32.3266599)",
430052288,residential,,False,False,59.407,"LINESTRING (49.093418 32.3267654, 49.093267 32.3272842)",
430052342,residential,,False,False,51.964,"LINESTRING (49.093418 32.3267654, 49.0939094 32.3269798)",
430052342,residential,,False,True,73.446,"LINESTRING (49.093418 32.3267654, 49.0931189 32.3266348, 49.0927417 32.3264353)",
430052173,residential,,False,True,56.711,"LINESTRING (49.0968897 32.3267949, 49.0962904 32.3267344)",مرداد
430052249,residential,,False,True,63.421,"LINESTRING (49.0968897 32.3267949, 49.0970322 32.3262374)",
430052173,residential,,False,False,37.015,"LINESTRING (49.0968897 32.3267949, 49.0969962 32.3268056, 49.09728 32.3268399)",مرداد
430052173,residential,,False,False,54.168,"LINESTRING (49.09728 32.3268399, 49.0978507 32.3269088)",مرداد
430052252,residential,,False,True,53.691,"LINESTRING (49.09728 32.3268399, 49.0971913 32.3273169)",
430052173,residential,,False,True,37.015,"LINESTRING (49.09728 32.3268399, 49.0969962 32.3268056, 49.0968897 32.3267949)",مرداد
430052142,residential,,False,False,49.44,"LINESTRING (49.0913911 32.3268788, 49.091102 32.3265073)",
430052142,residential,,False,True,47.874,"LINESTRING (49.0913911 32.3268788, 49.0916711 32.3272385)",
430052435,residential,,False,True,45.644,"LINESTRING (49.0913911 32.3268788, 49.0909897 32.32711)",
430052173,residential,,False,True,54.168,"LINESTRING (49.0978507 32.3269088, 49.09728 32.3268399)",مرداد
430052187,residential,,False,False,59.476,"LINESTRING (49.0978507 32.3269088, 49.0979548 32.3263812)",
1095862349,residential,,False,False,44.501,"LINESTRING (49.0978507 32.3269088, 49.0977947 32.3273062)",
430052357,residential,,False,True,11.967,"LINESTRING (49.0947259 32.3269612, 49.0946618 32.3270542)",سیزدهم آبان
1095861548,residential,,False,False,58.724,"LINESTRING (49.0947259 32.3269612, 49.0942096 32.3266636)",
430052357,residential,,False,False,46.219,"LINESTRING (49.0947259 32.3269612, 49.0947939 32.3268293, 49.0948239 32.3265587)",سیزدهم آبان
430052342,residential,,False,True,51.964,"LINESTRING (49.0939094 32.3269798, 49.093418 32.3267654)",
430052161,residential,,False,False,26.667,"LINESTRING (49.095666 32.3269985, 49.0956094 32.3272335)",گلستان
430052161,residential,,False,True,36.150999999999996,"LINESTRING (49.095666 32.3269985, 49.0956774 32.3269511, 49.0957234 32.3266771)",گلستان
430052388,residential,,False,True,147.792,"LINESTRING (49.095666 32.3269985, 49.0965839 32.3271929, 49.0969241 32.3272825, 49.0971913 32.3273169)",
430052159,residential,,False,False,31.446,"LINESTRING (49.0946618 32.3270542, 49.0944097 32.3272402)",
430052159,residential,,False,True,91.242,"LINESTRING (49.0946618 32.3270542, 49.0956094 32.3272335)",
430052357,residential,,False,False,11.967,"LINESTRING (49.0946618 32.3270542, 49.0947259 32.3269612)",سیزدهم آبان
430052150,residential,,False,True,85.056,"LINESTRING (49.0994857 32.3271075, 49.0988933 32.3272546, 49.0986405 32.3273708)",شهید دستغیب
430052435,residential,,False,False,45.644,"LINESTRING (49.0909897 32.32711, 49.0913911 32.3268788)",
430052145,residential,,False,False,58.843,"LINESTRING (49.0909897 32.32711, 49.0909496 32.3272368, 49.0910157 32.3276308)",
430052145,residential,,False,True,85.723,"LINESTRING (49.0909897 32.32711, 49.0909376 32.3268885, 49.0908756 32.3267617, 49.0908035 32.3266788, 49.091102 32.3265073)",
430052435,residential,,False,True,56.181,"LINESTRING (49.0909897 32.32711, 49.0911518 32.3272656, 49.0913118 32.3275311)",
430052262,residential,,False,False,50.71,"LINESTRING (49.089876 32.3271142, 49.0898288 32.3266599)",جام جم
430052262,residential,,False,True,53.853,"LINESTRING (49.089876 32.3271142, 49.0899269 32.3275966)",جام جم
430052434,residential,,False,True,37.127,"LINESTRING (49.089876 32.3271142, 49.0894809 32.3271186)",دکتر شریعتی
430052335,residential,,False,False,55.118,"LINESTRING (49.0894809 32.3271186, 49.0895069 32.3276138)",
430052434,residential,,False,False,37.127,"LINESTRING (49.0894809 32.3271186, 49.089876 32.3271142)",دکتر شریعتی
430052159,residential,,False,False,91.242,"LINESTRING (49.0956094 32.3272335, 49.0946618 32.3270542)",
430052161,residential,,False,False,21.183,"LINESTRING (49.0956094 32.3272335, 49.0955901 32.3274233)",گلستان
430052161,residential,,False,True,26.667,"LINESTRING (49.0956094 32.3272335, 49.095666 32.3269985)",گلستان
430052432,residential,,False,False,137.424,"LINESTRING (49.0956094 32.3272335, 49.0964399 32.3274245, 49.0965739 32.3274939, 49.0968481 32.3275581, 49.0968441 32.3276934)",
430052142,residential,,False,False,47.874,"LINESTRING (49.0916711 32.3272385, 49.0913911 32.3268788)",
430052142,residential,,False,True,16.482,"LINESTRING (49.0916711 32.3272385, 49.0917681 32.327362)",
430052394,residential,,False,True,134.521,"LINESTRING (49.0916711 32.3272385, 49.0927417 32.3264353)",مهر
430052159,residential,,False,True,31.446,"LINESTRING (49.0944097 32.3272402, 49.0946618 32.3270542)",
430052159,residential,,False,False,101.455,"LINESTRING (49.0944097 32.3272402, 49.0941675 32.3273163, 49.0937173 32.3273468, 49.093351 32.3273045)",
430052343,residential,,False,True,114.458,"LINESTRING (49.0944097 32.3272402, 49.0945097 32.3273096, 49.0946496 32.3273243, 49.0955901 32.3274233)",
430052288,residential,,False,False,8.209,"LINESTRING (49.093267 32.3272842, 49.093351 32.3273045)",
430052288,residential,,False,True,59.407,"LINESTRING (49.093267 32.3272842, 49.093418 32.3267654)",
430052427,residential,,False,False,144.387,"LINESTRING (49.093267 32.3272842, 49.0926847 32.3272132, 49.0923224 32.327203, 49.0920383 32.327274, 49.0917681 32.327362)",
430052159,residential,,False,False,44.011,"LINESTRING (49.093351 32.3273045, 49.0932739 32.3276949)",
430052288,residential,,False,True,8.209,"LINESTRING (49.093351 32.3273045, 49.093267 32.3272842)",
430052159,residential,,False,True,101.455,"LINESTRING (49.093351 32.3273045, 49.0937173 32.3273468, 49.0941675 32.3273163, 49.0944097 32.3272402)",
1095862349,residential,,False,True,44.501,"LINESTRING (49.0977947 32.3273062, 49.0978507 32.3269088)",
430052388,residential,,False,False,52.443,"LINESTRING (49.0977947 32.3273062, 49.0973444 32.3273366, 49.0972392 32.3273231)",
1095862348,residential,,False,False,62.835,"LINESTRING (49.0977947 32.3273062, 49.0980528 32.3272808, 49.098321 32.3273146, 49.0984416 32.3273708)",
430052252,residential,,False,False,53.691,"LINESTRING (49.0971913 32.3273169, 49.09728 32.3268399)",
430052388,residential,,False,True,4.553,"LINESTRING (49.0971913 32.3273169, 49.0972392 32.3273231)",
430052388,residential,,False,False,147.792,"LINESTRING (49.0971913 32.3273169, 49.0969241 32.3272825, 49.0965839 32.3271929, 49.095666 32.3269985)",
430052388,residential,,False,False,4.553,"LINESTRING (49.0972392 32.3273231, 49.0971913 32.3273169)",
430052388,residential,,False,True,52.443,"LINESTRING (49.0972392 32.3273231, 49.0973444 32.3273366, 49.0977947 32.3273062)",
430052432,residential,,False,True,44.964,"LINESTRING (49.0972392 32.3273231, 49.0971903 32.3275243, 49.0970882 32.3277036)",
430052142,residential,,False,False,16.482,"LINESTRING (49.0917681 32.327362, 49.0916711 32.3272385)",
430052427,residential,,False,False,46.816,"LINESTRING (49.0917681 32.327362, 49.0913118 32.3275311)",
430052142,residential,,False,True,86.435,"LINESTRING (49.0917681 32.327362, 49.0921704 32.3278913, 49.0922424 32.3280265)",
430052427,residential,,False,True,144.387,"LINESTRING (49.0917681 32.327362, 49.0920383 32.327274, 49.0923224 32.327203, 49.0926847 32.3272132, 49.093267 32.3272842)",
430052161,residential,,False,False,26.84,"LINESTRING (49.0955901 32.3274233, 49.0955658 32.3276638)",گلستان
430052161,residential,,False,True,21.183,"LINESTRING (49.0955901 32.3274233, 49.0956094 32.3272335)",گلستان
430052343,residential,,False,False,114.458,"LINESTRING (49.0955901 32.3274233, 49.0946496 32.3273243, 49.0945097 32.3273096, 49.0944097 32.3272402)",
178798329,secondary,roundabout,True,False,10.022,"LINESTRING (49.0984358 32.3274575, 49.0984272 32.3274372, 49.0984272 32.327404, 49.0984416 32.3273708)",
430052154,residential,,False,False,73.518,"LINESTRING (49.0984358 32.3274575, 49.0982679 32.3275649, 49.0978867 32.3279251)",
430052427,residential,,False,False,29.949,"LINESTRING (49.0913118 32.3275311, 49.0910157 32.3276308)",
430052427,residential,,False,True,46.816,"LINESTRING (49.0913118 32.3275311, 49.0917681 32.327362)",
430052435,residential,,False,False,56.181,"LINESTRING (49.0913118 32.3275311, 49.0911518 32.3272656, 49.0909897 32.32711)",
430052435,residential,,False,True,69.274,"LINESTRING (49.0913118 32.3275311, 49.0914579 32.3277881, 49.0916621 32.3279183, 49.0917281 32.3280265)",
430052262,residential,,False,False,53.853,"LINESTRING (49.0899269 32.3275966, 49.089876 32.3271142)",جام جم
430052262,residential,,False,True,59.1,"LINESTRING (49.0899269 32.3275966, 49.0899827 32.328126)",جام جم
430052431,residential,,False,True,39.51,"LINESTRING (49.0899269 32.3275966, 49.0895069 32.3276138)",شهید قندی
430052335,residential,,False,False,60.214,"LINESTRING (49.0895069 32.3276138, 49.0895515 32.328154)",
430052335,residential,,False,True,55.118,"LINESTRING (49.0895069 32.3276138, 49.0894809 32.3271186)",
430052431,residential,,False,False,39.51,"LINESTRING (49.0895069 32.3276138, 49.0899269 32.3275966)",شهید قندی
430052427,residential,,False,False,47.073,"LINESTRING (49.0910157 32.3276308, 49.0910507 32.3280531)",
430052427,residential,,False,True,29.949,"LINESTRING (49.0910157 32.3276308, 49.0913118 32.3275311)",
430052145,residential,,False,True,58.843,"LINESTRING (49.0910157 32.3276308, 49.0909496 32.3272368, 49.0909897 32.32711)",
430052389,residential,,False,False,75.779,"LINESTRING (49.0924745 32.3276562, 49.0926787 32.3276342, 49.0927827 32.3276376, 49.0929908 32.3276731, 49.0932739 32.3276949)",
430052161,residential,,False,False,40.11,"LINESTRING (49.0955658 32.3276638, 49.0955293 32.3280232)",گلستان
430052161,residential,,False,True,26.84,"LINESTRING (49.0955658 32.3276638, 49.0955901 32.3274233)",گلستان
430052205,residential,,False,True,120.154,"LINESTRING (49.0955658 32.3276638, 49.0968441 32.3276934)",
430052205,residential,,False,False,120.154,"LINESTRING (49.0968441 32.3276934, 49.0955658 32.3276638)",
430052432,residential,,False,False,22.964,"LINESTRING (49.0968441 32.3276934, 49.0970882 32.3277036)",
430052432,residential,,False,True,137.424,"LINESTRING (49.0968441 32.3276934, 49.0968481 32.3275581, 49.0965739 32.3274939, 49.0964399 32.3274245, 49.0956094 32.3272335)",
430052159,residential,,False,False,37.079,"LINESTRING (49.0932739 32.3276949, 49.0932089 32.3280238)",
430052159,residential,,False,True,44.011,"LINESTRING (49.0932739 32.3276949, 49.093351 32.3273045)",
430052389,residential,,False,False,76.055,"LINESTRING (49.0932739 32.3276949, 49.0937573 32.327778, 49.0937933 32.3280434)",
430052389,residential,,False,True,75.779,"LINESTRING (49.0932739 32.3276949, 49.0929908 32.3276731, 49.0927827 32.3276376, 49.0926787 32.3276342, 49.0924745 32.3276562)",
430052432,residential,,False,True,22.964,"LINESTRING (49.0970882 32.3277036, 49.0968441 32.3276934)",
1075843085,residential,,False,False,33.174,"LINESTRING (49.0970882 32.3277036, 49.0970573 32.3280008)",
430052432,residential,,False,False,44.964,"LINESTRING (49.0970882 32.3277036, 49.0971903 32.3275243, 49.0972392 32.3273231)",
430052157,residential,,False,False,42.447,"LINESTRING (49.0987712 32.3278549, 49.0986144 32.3274969)",شهید قنبری
430052425,residential,,False,True,26.976,"LINESTRING (49.0987712 32.3278549, 49.0984944 32.3279193)",اشرفی اصفهانی
430052157,residential,,False,True,36.414,"LINESTRING (49.0987712 32.3278549, 49.0989153 32.3281069, 49.0989392 32.32815)",شهید قنبری
430052425,residential,,False,False,26.976,"LINESTRING (49.0984944 32.3279193, 49.0987712 32.3278549)",اشرفی اصفهانی
178798366,secondary,,True,False,25.524,"LINESTRING (49.0984944 32.3279193, 49.0984618 32.3281182, 49.0984566 32.3281466)",آیت الله خامنه ای
430052154,residential,,False,False,70.857,"LINESTRING (49.0978867 32.3279251, 49.0973864 32.3284019)",
430052154,residential,,False,True,73.518,"LINESTRING (49.0978867 32.3279251, 49.0982679 32.3275649, 49.0984358 32.3274575)",
430052339,residential,,False,True,95.582,"LINESTRING (49.0978867 32.3279251, 49.0976766 32.3277712, 49.0975505 32.3279454, 49.0970573 32.3280008)",
430052307,residential,,False,False,58.674,"LINESTRING (49.0944097 32.3279589, 49.0937933 32.3280434)",تختی
430052369,residential,,False,False,45.009,"LINESTRING (49.0944097 32.3279589, 49.0944767 32.3283597)",
430052307,residential,,False,True,105.566,"LINESTRING (49.0944097 32.3279589, 49.0946297 32.3279605, 49.0948659 32.3279623, 49.0955293 32.3280232)",تختی
1075843085,residential,,False,True,33.174,"LINESTRING (49.0970573 32.3280008, 49.0970882 32.3277036)",
430052339,residential,,False,False,95.58200000000001,"LINESTRING (49.0970573 32.3280008, 49.0975505 32.3279454, 49.0976766 32.3277712, 49.0978867 32.3279251)",
1075843085,residential,,False,False,17.105,"LINESTRING (49.0970573 32.3280008, 49.0970502 32.3280688, 49.0970002 32.3281432)",
430052161,residential,,False,False,47.012,"LINESTRING (49.0955293 32.3280232, 49.0954833 32.3284442)",گلستان
430052161,residential,,False,True,40.11,"LINESTRING (49.0955293 32.3280232, 49.0955658 32.3276638)",گلستان
430052307,residential,,False,True,74.583,"LINESTRING (49.0955293 32.3280232, 49.0963208 32.3280739)",تختی
430052307,residential,,False,False,105.566,"LINESTRING (49.0955293 32.3280232, 49.0948659 32.3279623, 49.0946297 32.3279605, 49.0944097 32.3279589)",تختی
