osmid,oneway,ref,name,highway,junction,reversed,length,geometry,maxspeed,lanes,bridge
53380110,True,18,میدان بسیج,primary,roundabout,False,22.648,"LINESTRING (52.6500314 36.6983448, 52.64999 36.6983062, 52.6499639 36.6982598, 52.6499553 36.6982093, 52.649965 36.698159)",,,
413119369,True,18,پاسداران,primary,,False,77.84,"LINESTRING (52.6500314 36.6983448, 52.6499305 36.6983065, 52.6498507 36.6983009, 52.6498269 36.698304, 52.6491781 36.6983881)",60,,
413116349,False,,پاسداران ۱,residential,,False,34.31,"LINESTRING (52.6491781 36.6983881, 52.6492347 36.6986933)",,,
413119369,True,18,پاسداران,primary,,False,52.318000000000005,"LINESTRING (52.6491781 36.6983881, 52.6486314 36.698457, 52.6485983 36.6984606)",60,,
383669666,True,,پاسداران ۳,residential,,False,72.179,"LINESTRING (52.6485983 36.6984606, 52.6485691 36.6991093)",,,
413119369,True,18,پاسداران,primary,,False,369.045,"LINESTRING (52.6485983 36.6984606, 52.6477368 36.6985695, 52.6474583 36.6986044, 52.6460621 36.698767, 52.6456279 36.6988175, 52.6448889 36.6988992, 52.6447527 36.6989442, 52.6446845 36.6989992, 52.6446075 36.6990984)",60,,
383668652,False,,شهید حاجی زاده ۶,residential,,True,48.094,"LINESTRING (52.6472099 36.6964498, 52.6466728 36.6964899)",,,
383668652,False,,شهید حاجی زاده ۶,residential,,False,57.141999999999996,"LINESTRING (52.6472099 36.6964498, 52.6473067 36.6964426, 52.6478491 36.6964726)",,,
848945807,False,,حاجی زاده ۱ (شهید مصدقی),residential,,False,59.574,"LINESTRING (52.6444095 36.697189, 52.6446861 36.6976767)",,,
413135365,False,,,residential,,False,83.447,"LINESTRING (52.6444095 36.697189, 52.6440416 36.6972965, 52.6437868 36.6973094, 52.6435005 36.6973415)",,,
1180948146,False,,,residential,,True,5.311,"LINESTRING (52.6434415 36.6973481, 52.6435005 36.6973415)",,,
848945807,False,,حاجی زاده ۱ (شهید مصدقی),residential,,True,59.574,"LINESTRING (52.6446861 36.6976767, 52.6444095 36.697189)",,,
413135357,False,,,residential,,False,51.303,"LINESTRING (52.6446861 36.6976767, 52.6442133 36.6977782, 52.6441308 36.6977976)",,,
848945807,False,,حاجی زاده ۱ (شهید مصدقی),residential,,False,80.612,"LINESTRING (52.6446861 36.6976767, 52.6448044 36.6978852, 52.6454216 36.697917)",,,
413116351,True,18,پاسداران,primary,,False,21.614,"LINESTRING (52.6440297 36.6988697, 52.6442685 36.6989032)",60,,
413135350,True,,خیابان مصدق,secondary,,False,180.72400000000002,"LINESTRING (52.6440297 36.6988697, 52.6438901 36.6987406, 52.6437801 36.6985793, 52.6436487 36.6983406, 52.6435495 36.6980782, 52.6434797 36.697689, 52.6434415 36.6973481)",20,,
53380060,True,,طالقانی,primary,,False,87.227,"LINESTRING (52.647193 36.7020299, 52.6477969 36.7026471)",,,
413137959,False,,حاج عسگر,residential,,False,153.23899999999998,"LINESTRING (52.647193 36.7020299, 52.6477619 36.7016148, 52.6477565 36.7015159, 52.6477887 36.7014213, 52.6479335 36.7013568, 52.6484174 36.7011679)",,,
458340080,False,,,residential,,True,34.93,"LINESTRING (52.6437749 36.7016794, 52.6439739 36.70195)",,,
413142343,False,,شریعتی ۵,residential,,False,76.534,"LINESTRING (52.6437749 36.7016794, 52.6441697 36.7015156, 52.6444352 36.7014253, 52.6445502 36.7013849)",,,
