osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes
317632403,Rue Mahamoud Bé,residential,,False,False,76.78299999999999,"LINESTRING (45.058674 -12.7255931, 45.0589234 -12.7256304, 45.0590287 -12.7256369, 45.0591191 -12.7256309, 45.059199 -12.7256245, 45.0592648 -12.7256258, 45.0593157 -12.7256375, 45.0593728 -12.725659)",,,
317632344,Rue Zaouiyani,residential,50,False,False,155.38799999999998,"LINESTRING (45.0593728 -12.725659, 45.0593185 -12.7257207, 45.059233 -12.7258145, 45.0590922 -12.7259808, 45.0589055 -12.7261906, 45.0587756 -12.7263456, 45.0587325 -12.7264053, 45.0586515 -12.7265175, 45.0586149 -12.7265425, 45.058546 -12.7265525, 45.0584409 -12.7265459, 45.0583679 -12.7265328)",,,2
317632344,Rue Zaouiyani,residential,50,False,True,15.456999999999999,"LINESTRING (45.0593728 -12.725659, 45.0594151 -12.7256222, 45.0594834 -12.7255715)",,,2
317632403,Rue Mahamoud Bé,residential,,False,True,76.783,"LINESTRING (45.0593728 -12.725659, 45.0593157 -12.7256375, 45.0592648 -12.7256258, 45.059199 -12.7256245, 45.0591191 -12.7256309, 45.0590287 -12.7256369, 45.0589234 -12.7256304, 45.058674 -12.7255931)",,,
317632662,Route Ahamada M'colo Mari,secondary,50,False,False,173.11500000000004,"LINESTRING (45.0603759 -12.7246983, 45.0602833 -12.7246492, 45.0599977 -12.7244811, 45.059645 -12.7242417, 45.0595913 -12.7241973, 45.059549 -12.7241377, 45.0595384 -12.72409, 45.059539 -12.7240455, 45.0595477 -12.7239873, 45.0595625 -12.7239448, 45.0595826 -12.723901, 45.0596423 -12.7237616, 45.0596664 -12.7236786, 45.0596731 -12.7235928)",D 1,,
"[1093281490, 317632662, 317632663]",Route Ahamada M'colo Mari,secondary,50,False,True,43.339999999999996,"LINESTRING (45.0603759 -12.7246983, 45.060457 -12.7247506, 45.0605885 -12.7248481, 45.0606669 -12.7249579)",D 1,yes,
"[533179985, 533179986, 317632404]",Rue Cavani Boto,residential,30,False,False,385.677,"LINESTRING (45.0603759 -12.7246983, 45.060465 -12.7246983, 45.0605918 -12.7246983, 45.0608281 -12.7247061, 45.0610236 -12.7246996, 45.0611954 -12.7246821, 45.0613756 -12.7246525, 45.0615382 -12.7246384, 45.0616928 -12.7246296, 45.0617921 -12.7246368, 45.0618792 -12.7246505, 45.0619496 -12.7246659, 45.0620143 -12.7246809, 45.0620392 -12.7246849, 45.0620626 -12.7246797, 45.0620827 -12.724662, 45.0621642 -12.7244566, 45.0621676 -12.7244173, 45.0621562 -12.7243739, 45.06213 -12.7243458, 45.0620563 -12.7242968, 45.0619811 -12.7242383, 45.0618732 -12.7241148, 45.0618336 -12.7240848, 45.061778 -12.7240645, 45.0617263 -12.7240468, 45.0616787 -12.724037, 45.0615936 -12.7240442, 45.0615158 -12.7240553, 45.0613381 -12.7240619, 45.0612295 -12.7240436, 45.0611973 -12.7240331, 45.0611761 -12.7240109, 45.0611607 -12.7239886, 45.061149 -12.7239647, 45.0611443 -12.7239445, 45.0611459 -12.723898, 45.0611574 -12.7238731, 45.0611869 -12.7238251, 45.0612375 -12.7237639, 45.0613056 -12.7236809)",,,
"[533179985, 533179986, 317632404]",Rue Cavani Boto,residential,30,False,True,385.67699999999996,"LINESTRING (45.0613056 -12.7236809, 45.0612375 -12.7237639, 45.0611869 -12.7238251, 45.0611574 -12.7238731, 45.0611459 -12.723898, 45.0611443 -12.7239445, 45.061149 -12.7239647, 45.0611607 -12.7239886, 45.0611761 -12.7240109, 45.0611973 -12.7240331, 45.0612295 -12.7240436, 45.0613381 -12.7240619, 45.0615158 -12.7240553, 45.0615936 -12.7240442, 45.0616787 -12.724037, 45.0617263 -12.7240468, 45.061778 -12.7240645, 45.0618336 -12.7240848, 45.0618732 -12.7241148, 45.0619811 -12.7242383, 45.0620563 -12.7242968, 45.06213 -12.7243458, 45.0621562 -12.7243739, 45.0621676 -12.7244173, 45.0621642 -12.7244566, 45.0620827 -12.724662, 45.0620626 -12.7246797, 45.0620392 -12.7246849, 45.0620143 -12.7246809, 45.0619496 -12.7246659, 45.0618792 -12.7246505, 45.0617921 -12.7246368, 45.0616928 -12.7246296, 45.0615382 -12.7246384, 45.0613756 -12.7246525, 45.0611954 -12.7246821, 45.0610236 -12.7246996, 45.0608281 -12.7247061, 45.0605918 -12.7246983, 45.060465 -12.7246983, 45.0603759 -12.7246983)",,,
317632662,Route Ahamada M'colo Mari,secondary,50,False,True,20.747,"LINESTRING (45.0597281 -12.7234141, 45.0596731 -12.7235928)",D 1,,
533176427,Rue Batsimi,residential,,False,False,79.47999999999999,"LINESTRING (45.0597281 -12.7234141, 45.0598173 -12.7233927, 45.0599273 -12.7233594, 45.0599916 -12.7233522, 45.060064 -12.7233581, 45.0604469 -12.7234215)",,,
