osmid,name,highway,oneway,reversed,length,bridge,geometry,junction,maxspeed
27022457,Travesía del Álamo,residential,False,False,35.753,,"LINESTRING (-5.0301396 42.370084, -5.0301047 42.3697635)",,
82788686,Calle la Vega,residential,False,True,9.499,,"LINESTRING (-5.0301396 42.370084, -5.0300249 42.3700948)",,
82788686,Calle la Vega,residential,False,False,83.863,,"LINESTRING (-5.0301396 42.370084, -5.0302658 42.3700761, -5.0304455 42.3700523, -5.0306319 42.3700219, -5.0307828 42.3699953, -5.0311313 42.3699137)",,
27021933,Avenida Fernando de Castro,tertiary,False,False,118.656,,"LINESTRING (-5.031464 42.3691552, -5.0304885 42.3693905, -5.0300779 42.369449)",,
27021933,Avenida Fernando de Castro,tertiary,False,True,85.953,,"LINESTRING (-5.031464 42.3691552, -5.0323191 42.3689424, -5.0324576 42.3689134)",,
27022458,Calle Virgen Peregrina,residential,False,False,160.13800000000003,,"LINESTRING (-5.031464 42.3691552, -5.0315874 42.3693976, -5.031578 42.3694369, -5.0315429 42.3694583, -5.0307837 42.369645, -5.0305643 42.3696972, -5.0303358 42.3697364, -5.0301047 42.3697635)",,
27022457,Travesía del Álamo,residential,False,False,19.201,,"LINESTRING (-5.0301047 42.3697635, -5.0300811 42.3695917)",,
27022457,Travesía del Álamo,residential,False,True,35.753,,"LINESTRING (-5.0301047 42.3697635, -5.0301396 42.370084)",,
27022458,Calle Virgen Peregrina,residential,False,True,160.13799999999998,,"LINESTRING (-5.0301047 42.3697635, -5.0303358 42.3697364, -5.0305643 42.3696972, -5.0307837 42.369645, -5.0315429 42.3694583, -5.031578 42.3694369, -5.0315874 42.3693976, -5.031464 42.3691552)",,
27022457,Travesía del Álamo,residential,False,False,15.87,,"LINESTRING (-5.0300811 42.3695917, -5.0300779 42.369449)",,
27022457,Travesía del Álamo,residential,False,True,19.201,,"LINESTRING (-5.0300811 42.3695917, -5.0301047 42.3697635)",,
27022459,Avenida Fernando de Castro,residential,False,True,174.90600000000003,,"LINESTRING (-5.0300811 42.3695917, -5.0297308 42.3696048, -5.0294361 42.3696081, -5.0288761 42.3695852, -5.0282043 42.3695399, -5.0279577 42.3695197)",,
24669787,Calle la Herrería,residential,False,True,14.772,,"LINESTRING (-5.0279577 42.3695197, -5.0279823 42.3693881)",,
24669787,Calle la Herrería,residential,False,False,63.106,,"LINESTRING (-5.0279577 42.3695197, -5.0279753 42.3699534, -5.0279778 42.3700257, -5.0279832 42.3700583, -5.0280059 42.3700813)",,
27022459,Avenida Fernando de Castro,residential,False,False,174.90599999999998,,"LINESTRING (-5.0279577 42.3695197, -5.0282043 42.3695399, -5.0288761 42.3695852, -5.0294361 42.3696081, -5.0297308 42.3696048, -5.0300811 42.3695917)",,
27022459,Avenida Fernando de Castro,residential,False,True,83.608,,"LINESTRING (-5.0279577 42.3695197, -5.0276793 42.3694935, -5.0269462 42.3694371)",,
27022459,Avenida Fernando de Castro,residential,False,True,41.888,,"LINESTRING (-5.0269462 42.3694371, -5.026438 42.3694065)",,
27022464,,residential,False,False,14.202,,"LINESTRING (-5.0269462 42.3694371, -5.0269669 42.3693103)",,
27022459,Avenida Fernando de Castro,residential,False,False,83.608,,"LINESTRING (-5.0269462 42.3694371, -5.0276793 42.3694935, -5.0279577 42.3695197)",,
27022459,Avenida Fernando de Castro,residential,False,False,65.819,,"LINESTRING (-5.0256404 42.3693506, -5.026438 42.3694065)",,
27022463,,residential,False,False,15.633,,"LINESTRING (-5.0256404 42.3693506, -5.025663 42.369211)",,
137309456,Avenida de la Constitución,residential,False,True,50.916,,"LINESTRING (-5.0269306 42.3704781, -5.0275318 42.3705894)",,
27022460,Travesía de la Constitución,residential,True,False,133.466,,"LINESTRING (-5.0269306 42.3704781, -5.0269229 42.3703563, -5.026864 42.3702908, -5.0265988 42.370114, -5.0264907 42.3700059, -5.0264645 42.3698717, -5.0264645 42.3697145, -5.026438 42.3694065)",,
