osmid,name,highway,oneway,reversed,length,junction,geometry,maxspeed,tunnel
106534396,Calle Cañada del Sepulcro,residential,False,False,43.908,,"LINESTRING (-1.7038144 37.6707682, -1.7039401 37.6708456, -1.7040569 37.6708843, -1.7041785 37.6708906, -1.7042086 37.6708225)",,
106534396,Calle Cañada del Sepulcro,residential,False,True,33.525,,"LINESTRING (-1.7038144 37.6707682, -1.7037484 37.6707264, -1.7035814 37.6706979, -1.7034562 37.6707052)",,
80424155,Calle Almazara de Bravo,residential,False,False,15.372,,"LINESTRING (-1.7038027 37.6728479, -1.7037872 37.6727102)",,
80424105,Calle Jaime de Campos,residential,False,False,28.032,,"LINESTRING (-1.7038027 37.6728479, -1.7036635 37.6728326, -1.7035359 37.6728326, -1.7034934 37.672854)",,
80424155,Calle Almazara de Bravo,residential,False,True,26.669,,"LINESTRING (-1.7038027 37.6728479, -1.7038568 37.6729489, -1.7039242 37.6730676)",,
110208718,Calle Nogalte,tertiary,False,False,32.45,,"LINESTRING (-1.700773 37.671874, -1.7006699 37.6720882, -1.7006417 37.6721467)",,
110208718,Calle Nogalte,tertiary,False,True,52.976,,"LINESTRING (-1.700773 37.671874, -1.7008378 37.6717206, -1.7008636 37.6716596, -1.700964 37.6714222)",,
199041818,Avenida de Portugal,residential,True,False,14.059,,"LINESTRING (-1.6996278 37.6711421, -1.6997298 37.6712394)",,
165357365,Calle Martínez de Lara,residential,False,False,21.581,,"LINESTRING (-1.7019957 37.6712787, -1.7022307 37.6713341)",,
166080575,Calle Rincón de Macho,residential,False,False,65.235,,"LINESTRING (-1.7019957 37.6712787, -1.7018563 37.6715253, -1.701806 37.6715957, -1.7015083 37.6715974)",,
166080575,Calle Rincón de Macho,residential,False,True,66.59400000000001,,"LINESTRING (-1.7019957 37.6712787, -1.7020148 37.6711918, -1.7020109 37.6710051, -1.7020496 37.670791, -1.7020849 37.670687)",,
80424165,Calle Cabezo de los Vélez,residential,False,False,22.374,,"LINESTRING (-1.7025181 37.672552, -1.7023021 37.6724459)",,
80424165,Calle Cabezo de los Vélez,residential,False,True,20.74,,"LINESTRING (-1.7025181 37.672552, -1.7027112 37.6726589)",,
80424188,Calle Cabezo de los Vélez,residential,False,False,10.029,,"LINESTRING (-1.7025181 37.672552, -1.7025695 37.6724715)",,
80424162,Calle de Jiménez,residential,False,True,76.161,,"LINESTRING (-1.701791 37.6742162, -1.7012585 37.6747561)",,
112939018,Calle Doña Ana Romero,residential,False,False,14.942,,"LINESTRING (-1.701791 37.6742162, -1.7016769 37.6741167)",,
"[112939018, 80424109]","['Calle Soto', 'Calle Doña Ana Romero']",residential,False,True,104.88300000000001,,"LINESTRING (-1.701791 37.6742162, -1.7020565 37.6744179, -1.7014667 37.674873)",,
112951935,Calle de Molina,residential,False,True,38.405,,"LINESTRING (-1.7038834 37.6738995, -1.7040454 37.673849, -1.7042702 37.6737421)",,
80424131,Calle Cabezo de los Vélez,residential,False,True,42.4,,"LINESTRING (-1.7029757 37.6720776, -1.703032 37.6724563)",,
80424131,Calle Cabezo de los Vélez,residential,False,False,12.61,,"LINESTRING (-1.7029757 37.6720776, -1.7029648 37.6720029, -1.7029662 37.6719647)",,
80424188,Calle Cabezo de los Vélez,residential,False,True,70.056,,"LINESTRING (-1.7029757 37.6720776, -1.702863 37.6720868, -1.7027371 37.6720561, -1.7025695 37.6724715)",,
80424125,Calle Donis,residential,False,False,21.879,,"LINESTRING (-1.7010609 37.6746367, -1.7012585 37.6747561)",,
80424126,Calle Empedrada,residential,False,False,79.262,,"LINESTRING (-1.7010609 37.6746367, -1.7016769 37.6741167)",,
80424125,Calle Donis,residential,False,True,47.665000000000006,,"LINESTRING (-1.7010609 37.6746367, -1.7010275 37.6746164, -1.7006564 37.6743518)",,
79291569,Avenida de Juan Carlos I,primary,False,False,11.498,,"LINESTRING (-1.696057 37.674722, -1.6959862 37.6748089)",,
79291569,Avenida de Juan Carlos I,primary,False,True,107.218,,"LINESTRING (-1.696057 37.674722, -1.6960899 37.6746772, -1.6966436 37.6739591, -1.6966915 37.6738989)",,
80424137,Alameda Ramón y Cajal,residential,False,False,49.236000000000004,,"LINESTRING (-1.696057 37.674722, -1.69597 37.6746814, -1.6955734 37.6744994)",,
80424130,Travesía de Zenete,residential,True,False,17.249,,"LINESTRING (-1.7004794 37.670033, -1.7006705 37.6700674)",,
164945837,Calle Rambilla San Lázaro,residential,False,False,6.985,,"LINESTRING (-1.7040644 37.6733954, -1.7041392 37.6733744)",,
164945837,Calle Rambilla San Lázaro,residential,False,True,5.424,,"LINESTRING (-1.7040644 37.6733954, -1.7040039 37.6734047)",,
112951938,Calle Sor Matilde García,residential,False,False,42.626000000000005,,"LINESTRING (-1.7040644 37.6733954, -1.7040971 37.6734641, -1.7042702 37.6737421)",,
80424189,Calle José María Zarauz,residential,True,False,107.721,,"LINESTRING (-1.701754 37.6733189, -1.7029654 37.6734572)",20,
112951950,calle Herradura,residential,False,False,7.394,,"LINESTRING (-1.701754 37.6733189, -1.7017652 37.673253)",,
80424139,Calle Alcolea,residential,False,True,32.606,,"LINESTRING (-1.701754 37.6733189, -1.7017186 37.673506, -1.7017343 37.6736093)",,
166080558,Calle Sancho Manuel,residential,False,True,32.399,,"LINESTRING (-1.7020849 37.670687, -1.7017203 37.6706469)",,
