osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,junction,maxspeed
23806049,Jana Matejki,residential,False,True,66.122,"LINESTRING (16.6754966 54.3618187, 16.675621 54.3618948, 16.6758508 54.3620262, 16.6762124 54.3622425)",,,,
395516929,Jana Matejki,residential,False,False,129.213,"LINESTRING (16.6754966 54.3618187, 16.6753417 54.361735, 16.6748475 54.3614858, 16.6743526 54.3612686, 16.6741817 54.3611974, 16.6739413 54.361093)",,,,
675506512,Mikołaja Kopernika,tertiary,False,False,105.952,"LINESTRING (16.6754966 54.3618187, 16.6756439 54.3617355, 16.6765882 54.3612533, 16.676724 54.3611894)",,,,
23806049,Jana Matejki,residential,False,True,17.655,"LINESTRING (16.6762124 54.3622425, 16.6764033 54.3623558)",,,,
23806049,Jana Matejki,residential,False,False,66.122,"LINESTRING (16.6762124 54.3622425, 16.6758508 54.3620262, 16.675621 54.3618948, 16.6754966 54.3618187)",,,,
363890150,Basztowa,residential,False,True,169.212,"LINESTRING (16.6762124 54.3622425, 16.6760283 54.3623472, 16.6759078 54.3624265, 16.675878 54.3624651, 16.6758776 54.3625079, 16.6759145 54.3626271, 16.6759153 54.362687, 16.6760839 54.3631655, 16.6761494 54.3633583, 16.6761819 54.3634321, 16.6762375 54.3635111, 16.6763375 54.3636528)",,,,
23806049,Jana Matejki,residential,False,False,17.655,"LINESTRING (16.6764033 54.3623558, 16.6762124 54.3622425)",,,,
23806049,Jana Matejki,residential,False,True,135.858,"LINESTRING (16.6764033 54.3623558, 16.6764453 54.3624468, 16.6765442 54.3626623, 16.67667 54.3629591, 16.6767274 54.3630686, 16.6769191 54.3634492, 16.6769669 54.3635323)",,,,
23806055,Basztowa,residential,False,False,41.497,"LINESTRING (16.6764033 54.3623558, 16.6765222 54.3623028, 16.6768812 54.3621078)",,,,
23806046,Tadeusza Kościuszki,residential,False,False,71.128,"LINESTRING (16.6817918 54.3618915, 16.6812216 54.3620171, 16.6807649 54.3621177)",,,,
200769842,Basztowa,residential,False,False,82.764,"LINESTRING (16.6817918 54.3618915, 16.6818545 54.3619116, 16.6820177 54.3619638, 16.6822467 54.3620634, 16.6824478 54.3621857, 16.6826205 54.3623119, 16.6827218 54.3623887)",,,,
23806032,Marii Curie-Skłodowskiej,residential,True,False,37.601,"LINESTRING (16.6790173 54.3641398, 16.6788748 54.363812)",,,,
363890151,Basztowa,residential,False,True,37.969,"LINESTRING (16.6790173 54.3641398, 16.6793879 54.3640949, 16.6795847 54.3640565)",,,,
23806011,Mikołaja Kopernika,tertiary,False,False,123.62700000000001,"LINESTRING (16.6739772 54.362465, 16.6741067 54.3624642, 16.6741843 54.3624364, 16.6746108 54.3622452, 16.674912 54.3621097, 16.6749508 54.3620904, 16.6753262 54.3619028, 16.6754966 54.3618187)",,,,
23806016,Armii Krajowej,secondary,False,False,152.58100000000002,"LINESTRING (16.6739772 54.362465, 16.6739411 54.3612778, 16.6739413 54.361093)",205,,,
233726613,Armii Krajowej,secondary,False,True,148.519,"LINESTRING (16.6739772 54.362465, 16.6739871 54.3626826, 16.6740129 54.3632514, 16.6740691 54.3637994)",205,,,
23806025,Plac Księdza Kardynała Stefana Wyszyńskiego,residential,False,False,58.956,"LINESTRING (16.6795401 54.363011, 16.6793631 54.3630386, 16.6786699 54.3631658)",,,,
23806034,Artura Grottgera,residential,False,False,98.316,"LINESTRING (16.6795401 54.363011, 16.6796633 54.3630041, 16.6801413 54.3629149, 16.6809889 54.3627533)",,,,
200840958,Marii Konopnickiej,residential,False,False,70.739,"LINESTRING (16.6795401 54.363011, 16.6795986 54.3630943, 16.6798734 54.363504, 16.6799398 54.363603)",,,,
252135000,Armii Krajowej,secondary,False,False,119.562,"LINESTRING (16.6739029 54.3577883, 16.6738879 54.3575968, 16.6738713 54.3573871, 16.6737931 54.3568785, 16.6737827 54.3567934, 16.6737916 54.3567159)",205,,,
252135002,Józefa Chełmońskiego,residential,False,False,151.109,"LINESTRING (16.6739029 54.3577883, 16.6741342 54.3577826, 16.6742923 54.3577718, 16.6758988 54.3577857, 16.6760182 54.3577792, 16.6761138 54.3577649, 16.6762212 54.3577392)",,,,
