osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref
152362698,True,2,,primary,,False,78.379,"LINESTRING (18.9314133 50.3717344, 18.9318419 50.3718516, 18.9321489 50.3719474, 18.9324061 50.3720422)",
27597074,True,1,,primary,70,False,8.877,"LINESTRING (18.9328266 50.3722918, 18.9327181 50.372252)",
143897868,True,1,Obwodowa Zachodnia,secondary,70,False,21.897,"LINESTRING (18.9328266 50.3722918, 18.9326743 50.3724631)",911
65754109,True,1,,tertiary,,False,29.732,"LINESTRING (18.9330472 50.3723659, 18.932915 50.3723717, 18.9328406 50.372385, 18.9328047 50.3723914, 18.9326743 50.3724631)",
368282503,True,1,Karola Miarki,tertiary,,False,17.682000000000002,"LINESTRING (18.9330472 50.3723659, 18.9329391 50.3723296, 18.9328266 50.3722918)",
"[172176096, 368281751]",False,2,Karola Miarki,tertiary,50,False,215.086,"LINESTRING (18.9342974 50.3727681, 18.9349112 50.3730143, 18.9350894 50.3730917, 18.9354638 50.3732623, 18.9358298 50.3734442, 18.9363087 50.3736822, 18.9365476 50.3737989, 18.9367621 50.3738926)",
"[172176105, 782181964]",True,1,Karola Miarki,tertiary,,False,99.32900000000001,"LINESTRING (18.9342974 50.3727681, 18.9336337 50.3725601, 18.9334228 50.3724967, 18.9330472 50.3723659)",
377112694,True,2,Obwodowa Zachodnia,secondary,,False,23.131,"LINESTRING (18.9325593 50.3724337, 18.9327181 50.372252)",911
185741303,True,1,,secondary_link,,False,34.9,"LINESTRING (18.9325593 50.3724337, 18.932579 50.3723773, 18.9325817 50.372314, 18.9325602 50.3722456, 18.9324543 50.3721428)",
65754089,True,1,Karola Miarki,tertiary,50,False,17.488,"LINESTRING (18.9328871 50.3722251, 18.9331083 50.3722946)",
143897857,True,2,Obwodowa Zachodnia,primary,,False,8.568,"LINESTRING (18.9328871 50.3722251, 18.9328266 50.3722918)",911
96107932,False,2,Karola Miarki,tertiary,50,False,36.93,"LINESTRING (18.9434606 50.3737157, 18.9436336 50.373699, 18.9437 50.3736926, 18.9439767 50.3736718)",
96107944,False,2,Księdza Norberta Bończyka,residential,50,False,111.949,"LINESTRING (18.9434606 50.3737157, 18.9434565 50.3736634, 18.9434393 50.373579, 18.9434451 50.3735197, 18.9434544 50.3734677, 18.9434749 50.3734094, 18.9435198 50.3733677, 18.9435811 50.3733373, 18.943592 50.3733147, 18.943221 50.3727917)",
"[1235279816, 96107961, 1235279815]",False,2,Karola Miarki,tertiary,50,True,482.87299999999993,"LINESTRING (18.9434606 50.3737157, 18.942825 50.3737661, 18.9427225 50.373773, 18.942511 50.3737728, 18.9420384 50.3737653, 18.9410171 50.3737703, 18.9407361 50.373785, 18.9399468 50.3738439, 18.9393356 50.3738982, 18.9387049 50.3739536, 18.9380374 50.3740408, 18.9377508 50.3740783, 18.9376552 50.3740884, 18.937553 50.3740899, 18.9374383 50.3740832, 18.9373296 50.3740649, 18.9372225 50.3740363, 18.9370218 50.373977, 18.9367621 50.3738926)",
96107956,False,1,Kanałowa,residential,50,False,166.66899999999998,"LINESTRING (18.9413897 50.3729067, 18.9416061 50.3725023, 18.9431221 50.3727888, 18.943221 50.3727917)",
113238393,False,1,Kanałowa,residential,50,False,251.96500000000003,"LINESTRING (18.9413897 50.3729067, 18.939813 50.3723254, 18.9383298 50.3717554)",
"[113238393, 113238394]",False,1,Kanałowa,residential,50,True,130.075,"LINESTRING (18.9413897 50.3729067, 18.9426827 50.3734208, 18.9427382 50.3734662, 18.9427594 50.3734934, 18.942803 50.3735999)",
96107944,False,2,Księdza Norberta Bończyka,residential,50,True,112.916,"LINESTRING (18.9422795 50.3721824, 18.9431087 50.3723582, 18.9432289 50.3724695, 18.9432426 50.3725676, 18.9432253 50.3727389, 18.943221 50.3727917)",
96107950,False,2,1 Maja,residential,50,True,134.815,"LINESTRING (18.9422795 50.3721824, 18.9431867 50.3719711, 18.9434703 50.3719214, 18.9436583 50.3719057, 18.9439344 50.371904, 18.9441097 50.3719029)",
96107944,False,2,Księdza Norberta Bończyka,residential,50,False,112.916,"LINESTRING (18.943221 50.3727917, 18.9432253 50.3727389, 18.9432426 50.3725676, 18.9432289 50.3724695, 18.9431087 50.3723582, 18.9422795 50.3721824)",
96107944,False,2,Księdza Norberta Bończyka,residential,50,True,111.94900000000001,"LINESTRING (18.943221 50.3727917, 18.943592 50.3733147, 18.9435811 50.3733373, 18.9435198 50.3733677, 18.9434749 50.3734094, 18.9434544 50.3734677, 18.9434451 50.3735197, 18.9434393 50.373579, 18.9434565 50.3736634, 18.9434606 50.3737157)",
96107956,False,1,Kanałowa,residential,50,True,166.669,"LINESTRING (18.943221 50.3727917, 18.9431221 50.3727888, 18.9416061 50.3725023, 18.9413897 50.3729067)",
113238393,False,1,Kanałowa,residential,50,True,251.96500000000003,"LINESTRING (18.9383298 50.3717554, 18.939813 50.3723254, 18.9413897 50.3729067)",
41510578,False,,,living_street,,False,66.539,"LINESTRING (18.9432519 50.3762181, 18.9432135 50.376816)",
41510578,False,,,living_street,,True,62.538000000000004,"LINESTRING (18.9432519 50.3762181, 18.9432659 50.3760294, 18.943598 50.3760309, 18.9437369 50.3760348, 18.9438513 50.3760381)",
103826731,True,,Ogrodowa,living_street,,False,82.909,"LINESTRING (18.9420836 50.3761898, 18.9432519 50.3762181)",
103975611,False,,Targowa,living_street,,False,51.954,"LINESTRING (18.9425715 50.3795966, 18.9425 50.3791316)",
"[495359613, 35541167]",False,2,Marszałka Józefa Piłsudskiego,residential,,False,90.28999999999999,"LINESTRING (18.9425715 50.3795966, 18.9420353 50.3796288, 18.9419187 50.3796358, 18.9413021 50.3796585)",
35541167,False,,Marszałka Józefa Piłsudskiego,residential,,True,70.478,"LINESTRING (18.9425715 50.3795966, 18.9434118 50.3795366, 18.943475 50.3795357, 18.9435597 50.3795413)",
103975611,False,,Targowa,living_street,,True,30.893,"LINESTRING (18.9424575 50.3788551, 18.9425 50.3791316)",
"[113238393, 113238394]",False,1,Kanałowa,residential,50,False,130.075,"LINESTRING (18.942803 50.3735999, 18.9427594 50.3734934, 18.9427382 50.3734662, 18.9426827 50.3734208, 18.9413897 50.3729067)",
449434329,False,,,living_street,,False,39.047,"LINESTRING (18.9416874 50.3767929, 18.9416192 50.3767886, 18.9414351 50.3767863, 18.9411372 50.3767825)",
41510578,False,,,living_street,,False,62.538,"LINESTRING (18.9438513 50.3760381, 18.9437369 50.3760348, 18.943598 50.3760309, 18.9432659 50.3760294, 18.9432519 50.3762181)",
233223160,False,2,Bytomska,tertiary,,False,205.97999999999996,"LINESTRING (18.9438513 50.3760381, 18.943829 50.3763756, 18.9438074 50.3765833, 18.943748 50.377156, 18.943729 50.3774884, 18.9437276 50.3775125, 18.9437147 50.3777374, 18.9437122 50.3777813, 18.9437054 50.377888)",
233223160,False,2,Bytomska,tertiary,,True,29.192,"LINESTRING (18.9438513 50.3760381, 18.9438592 50.375917, 18.9438686 50.3757758)",
41507877,False,,Akacjowa,residential,,False,111.98,"LINESTRING (18.9355891 50.3791831, 18.9347605 50.3800404)",
41507877,False,,Akacjowa,residential,,True,3.597,"LINESTRING (18.9355891 50.3791831, 18.9356153 50.3791554)",
544162650,False,,,living_street,,True,67.53999999999999,"LINESTRING (18.9355891 50.3791831, 18.9363669 50.3794703, 18.9364204 50.3794673)",
544162652,True,,,living_street,,False,89.606,"LINESTRING (18.9376793 50.3793973, 18.9364204 50.3794673)",
41510590,True,,Jesionowa,living_street,,False,194.63899999999998,"LINESTRING (18.9376793 50.3793973, 18.9376105 50.37893, 18.9365778 50.3790152, 18.9363951 50.3790107, 18.9363038 50.3786478, 18.9362408 50.378605, 18.9361612 50.3785509)",
"[65754089, 782181963]",True,1,Karola Miarki,tertiary,50,False,99.449,"LINESTRING (18.9331083 50.3722946, 18.933627 50.372488, 18.9342974 50.3727681)",
232319507,True,2,,primary,,False,86.677,"LINESTRING (18.9324543 50.3721428, 18.9314133 50.3717344)",
103975611,False,,Targowa,living_street,,False,30.893,"LINESTRING (18.9425 50.3791316, 18.9424575 50.3788551)",
103975611,False,,Targowa,living_street,,True,51.954,"LINESTRING (18.9425 50.3791316, 18.9425715 50.3795966)",
206511782,False,,,living_street,,False,38.91,"LINESTRING (18.9425 50.3791316, 18.9423529 50.3791399, 18.9419534 50.3791623)",
