osmid,oneway,highway,reversed,length,maxspeed,geometry,name
552452180,False,tertiary,False,16.104,,"LINESTRING (51.958324 27.8782095, 51.9584252 27.8780956)",مهاجر
552452180,False,tertiary,True,105.129,,"LINESTRING (51.958324 27.8782095, 51.9572758 27.8780214)",مهاجر
552452182,False,residential,False,84.245,30,"LINESTRING (51.9600525 27.8746034, 51.9607608 27.87503)",مادر
552452182,False,residential,True,139.94,30,"LINESTRING (51.9600525 27.8746034, 51.9588595 27.8739166)",مادر
552453772,False,residential,False,53.204,30,"LINESTRING (51.9600525 27.8746034, 51.9603573 27.874208)",
552453772,False,residential,True,54.532,30,"LINESTRING (51.9600525 27.8746034, 51.9596616 27.8749514)",
552452182,False,residential,True,103.335,30,"LINESTRING (51.9623661 27.8758815, 51.9614803 27.875381)",مادر
552452187,False,tertiary,False,38.943,30,"LINESTRING (51.9623661 27.8758815, 51.962625 27.8756164)",امام خمینی
552452187,False,tertiary,True,19.317,30,"LINESTRING (51.9623661 27.8758815, 51.9622398 27.8760146)",امام خمینی
552452187,False,tertiary,False,19.317,30,"LINESTRING (51.9622398 27.8760146, 51.9623661 27.8758815)",امام خمینی
552452187,False,tertiary,True,52.002,30,"LINESTRING (51.9622398 27.8760146, 51.9618998 27.8763729)",امام خمینی
552452184,False,residential,True,91.542,30,"LINESTRING (51.9622398 27.8760146, 51.9627653 27.8763481, 51.9629986 27.8764919)",
552452186,False,residential,False,32.466,30,"LINESTRING (51.9628927 27.8753661, 51.9626098 27.8752154)",
552452186,False,residential,True,86.209,30,"LINESTRING (51.9628927 27.8753661, 51.9636723 27.8757213)",
552452187,False,tertiary,False,66.498,30,"LINESTRING (51.9628927 27.8753661, 51.9633184 27.8749013)",امام خمینی
552452187,False,tertiary,True,38.301,30,"LINESTRING (51.9628927 27.8753661, 51.962625 27.8756164)",امام خمینی
193310016,True,secondary,False,44.417,,"LINESTRING (51.9565901 27.8763128, 51.9565543 27.876711)",
552452168,False,residential,False,35.517,30,"LINESTRING (51.9565901 27.8763128, 51.9569261 27.8764303)",
552452177,False,residential,False,167.151,30,"LINESTRING (51.9615576 27.8767336, 51.9601668 27.8758686)",
552452177,False,residential,True,94.278,30,"LINESTRING (51.9615576 27.8767336, 51.9622297 27.8773385)",
552452187,False,tertiary,False,52.345,30,"LINESTRING (51.9615576 27.8767336, 51.9618998 27.8763729)",امام خمینی
552452187,False,tertiary,True,70.924,30,"LINESTRING (51.9615576 27.8767336, 51.9610939 27.8772223)",امام خمینی
193310016,True,secondary,False,45.89,,"LINESTRING (51.9568692 27.8734727, 51.9568112 27.8738822)",
552452177,False,residential,True,50.96,30,"LINESTRING (51.9568692 27.8734727, 51.9572852 27.8737462)",
552452164,False,residential,False,73.603,30,"LINESTRING (51.960073 27.8723057, 51.960699 27.8726689)",
552452179,False,residential,False,93.591,30,"LINESTRING (51.960073 27.8723057, 51.9605678 27.8715866)",
552452179,False,residential,True,111.621,30,"LINESTRING (51.960073 27.8723057, 51.9595256 27.8731852)",
552452164,False,residential,True,83.05,30,"LINESTRING (51.960073 27.8723057, 51.9596438 27.8720395, 51.9594279 27.87183)",
552595360,False,residential,True,108.331,30,"LINESTRING (51.9616327 27.8781573, 51.9607186 27.877613)",تعاون
805491398,False,residential,False,42.761,,"LINESTRING (51.9616327 27.8781573, 51.9618598 27.8778293)",
193310016,True,secondary,False,86.598,,"LINESTRING (51.956941 27.8726965, 51.9568692 27.8734727)",
552452182,False,residential,False,92.316,30,"LINESTRING (51.956941 27.8726965, 51.9577182 27.8731626)",مادر
552452177,False,residential,False,84.249,30,"LINESTRING (51.9583083 27.8745098, 51.9576731 27.8740011)",
552452177,False,residential,True,131.081,30,"LINESTRING (51.9583083 27.8745098, 51.9593238 27.8752739)",
552452179,False,residential,False,41.08,30,"LINESTRING (51.9583083 27.8745098, 51.9585428 27.874204)",
552452179,False,residential,True,43.039,30,"LINESTRING (51.9583083 27.8745098, 51.9580286 27.8748076)",
552452167,False,residential,False,164.036,30,"LINESTRING (51.9598403 27.8762485, 51.9610939 27.8772223)",معلم
552452167,False,residential,True,114.595,30,"LINESTRING (51.9598403 27.8762485, 51.9589736 27.8755592)",معلم
552452180,False,tertiary,False,53.051,,"LINESTRING (51.9598403 27.8762485, 51.9601668 27.8758686)",مهاجر
552452180,False,tertiary,True,51.025,,"LINESTRING (51.9598403 27.8762485, 51.9595503 27.8766291)",مهاجر
399192421,False,tertiary,True,96.18,,"LINESTRING (51.9595256 27.8731852, 51.9586976 27.8727243)",دانش آموز
552452179,False,residential,False,111.621,30,"LINESTRING (51.9595256 27.8731852, 51.960073 27.8723057)",
552452179,False,residential,True,52.865,30,"LINESTRING (51.9595256 27.8731852, 51.9592268 27.8735805)",
399192421,False,tertiary,False,77.834,,"LINESTRING (51.9595256 27.8731852, 51.9599281 27.8734028, 51.9602051 27.8735445)",دانش آموز
552452173,False,residential,False,56.991,30,"LINESTRING (51.9569813 27.877471, 51.9572054 27.8769983)",
552452173,False,residential,True,54.31,30,"LINESTRING (51.9569813 27.877471, 51.9568401 27.8779432)",
552595361,False,residential,False,57.117,30,"LINESTRING (51.9569813 27.877471, 51.9574921 27.8777159)",
552452180,False,tertiary,False,105.129,,"LINESTRING (51.9572758 27.8780214, 51.958324 27.8782095)",مهاجر
552452180,False,tertiary,True,30.38,,"LINESTRING (51.9572758 27.8780214, 51.9569729 27.877967)",مهاجر
552452185,False,residential,False,40.074,30,"LINESTRING (51.9572758 27.8780214, 51.9574921 27.8777159)",
552452185,False,residential,False,20.692,30,"LINESTRING (51.9576962 27.8774447, 51.9578052 27.8772855)",
552452185,False,residential,True,36.219,30,"LINESTRING (51.9576962 27.8774447, 51.9574921 27.8777159)",
552595362,False,residential,True,101.149,30,"LINESTRING (51.9576962 27.8774447, 51.9586283 27.8778302)",
