osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,ref,tunnel
51269762,Gelmelenstraat,residential,30,True,False,40.519000000000005,"LINESTRING (4.497252 51.2553628, 4.4972601 51.2553228, 4.4972847 51.2552949, 4.4973028 51.2550029)",,,,
23540994,Frans Breugelmansstraat,living_street,20,True,False,131.715,"LINESTRING (4.4972917 51.254386, 4.4972165 51.2544097, 4.4966668 51.2544012, 4.4961078 51.2543938, 4.4955806 51.2543833, 4.4954091 51.2543915)",,,,
51269762,Gelmelenstraat,residential,30,True,False,96.38499999999999,"LINESTRING (4.4972917 51.254386, 4.4973135 51.2539694, 4.4973246 51.253762, 4.4973283 51.2536143, 4.4974063 51.2535331)",,,,
"[38420057, 23540993]","['Filip Bourletstraat', 'Victor Despallierstraat']",living_street,20,True,False,219.86700000000002,"LINESTRING (4.4954091 51.2543915, 4.4954722 51.2544596, 4.4954633 51.2545226, 4.4954526 51.2548421, 4.4954437 51.2551508, 4.495717 51.2553258, 4.4958597 51.25534, 4.4966087 51.255352, 4.4969494 51.2553522, 4.4971076 51.2553601, 4.497252 51.2553628)",,,,
23540996,Merelstraat,residential,30,False,False,89.821,"LINESTRING (4.498553 51.2561186, 4.4972638 51.2560795)",,,,
28201651,Thuretstraat,residential,30,False,True,120.376,"LINESTRING (4.498553 51.2561186, 4.498626 51.255037)",,,,
89428096,Gelmelenstraat,residential,30,False,False,25.659,"LINESTRING (4.4973051 51.2523604, 4.4974143 51.25214)",,,,
89427763,Vordensteinstraat,residential,30,False,False,86.362,"LINESTRING (4.4973051 51.2523604, 4.4971214 51.2523655, 4.4966219 51.2524348, 4.4960847 51.2524938)",,,,
89428096,Gelmelenstraat,residential,30,False,True,130.59300000000002,"LINESTRING (4.4973051 51.2523604, 4.49731 51.2524632, 4.4973728 51.2531157, 4.4973953 51.2534054, 4.4974063 51.2535331)",,,,
89428096,Gelmelenstraat,residential,30,False,True,25.659,"LINESTRING (4.4974143 51.25214, 4.4973051 51.2523604)",,,,
23541077,Zamenhoflaan,residential,30,False,False,46.669,"LINESTRING (4.4974143 51.25214, 4.4974624 51.2520724, 4.4975978 51.2520035, 4.4977266 51.2519624, 4.4979537 51.2519291)",,,,
"[1212697856, 30073749, 1212697855]",Gelmelenstraat,residential,,True,False,68.49099999999999,"LINESTRING (4.4974143 51.25214, 4.4973966 51.2520908, 4.497402 51.2520195, 4.4972808 51.2519363, 4.4972209 51.2518419, 4.4972181 51.2517, 4.4972367 51.2516659, 4.4972571 51.2516283, 4.497297 51.2515712)",,,,building_passage
89427763,Vordensteinstraat,residential,30,False,True,86.362,"LINESTRING (4.4960847 51.2524938, 4.4966219 51.2524348, 4.4971214 51.2523655, 4.4973051 51.2523604)",,,,
394360091,Vordensteinstraat,residential,30,True,False,68.98400000000001,"LINESTRING (4.4960847 51.2524938, 4.4959011 51.2525267, 4.4957723 51.2525508, 4.4951348 51.252671)",,,,
133012502,Ridder Walter Van Havrelaan,secondary,50,True,False,122.558,"LINESTRING (4.4912701 51.2538586, 4.4926283 51.2545602)",,,N115,
147546907,Vordensteinstraat,tertiary,50,False,True,11.447,"LINESTRING (4.4912701 51.2538586, 4.49112 51.2539007)",,,,
"[158010132, 66868334]",Vordensteinstraat,residential,"['50', '30']",False,False,303.744,"LINESTRING (4.4912701 51.2538586, 4.4924467 51.2532629, 4.4925475 51.25323, 4.4927417 51.2531873, 4.4931943 51.2530798, 4.4940311 51.2529035, 4.4950464 51.2526896, 4.4951348 51.252671)",,,,
26794368,Churchilllaan,tertiary,50,False,True,78.053,"LINESTRING (4.4967281 51.2506983, 4.4956379 51.2505337)",,,,
23541022,Kuipersstraat,residential,30,False,True,155.437,"LINESTRING (4.4967281 51.2506983, 4.4967293 51.2506336, 4.4967274 51.2505742, 4.4969569 51.2495832, 4.4969565 51.2493108)",,,,
"[26794368, 356126495]",Churchilllaan,tertiary,50,False,False,69.57300000000001,"LINESTRING (4.4967281 51.2506983, 4.4968978 51.2507272, 4.497117 51.2507911, 4.4976416 51.2509488)",,3,,
26795450,Kuipersstraat,living_street,20,True,False,204.97900000000004,"LINESTRING (4.4967281 51.2506983, 4.4966981 51.2507706, 4.4963364 51.2516956, 4.4961794 51.2520905, 4.4961172 51.2522461, 4.4960826 51.2524146, 4.4960839 51.2524628, 4.4960847 51.2524938)",,,,
23541077,Zamenhoflaan,residential,30,False,True,11.31,"LINESTRING (4.500363 51.2533141, 4.5002433 51.2532453)",,,,
88355899,Pasteurlaan,residential,30,False,False,87.231,"LINESTRING (4.500363 51.2533141, 4.5001962 51.253455, 4.5001441 51.2534987, 4.5001289 51.2535397, 4.4999374 51.254038)",,,,
244676068,Venstraat,residential,30,False,False,54.976,"LINESTRING (4.5022691 51.2504928, 4.502994 51.2502964)",,,,
244676068,Venstraat,residential,30,False,True,16.268,"LINESTRING (4.5022691 51.2504928, 4.5020568 51.250554)",,,,
93576447,Kruispadstraat,residential,50,True,False,161.717,"LINESTRING (4.5022691 51.2504928, 4.5026987 51.2515054, 4.5028663 51.2518983)",,,,
"[23541080, 244676069]",Venstraat,residential,30,False,False,130.103,"LINESTRING (4.4990022 51.2507414, 4.4990162 51.2507812, 4.5000083 51.2508708, 4.5004339 51.2508798, 4.5006857 51.2508571, 4.5008059 51.2508456)",,,,
"[30073713, 88363571]","['Sint-Cordulaplein', 'Sint-Cordulastraat']",living_street,20,True,False,118.78099999999999,"LINESTRING (4.4990022 51.2507414, 4.4990418 51.2506285, 4.4991254 51.2504334, 4.4992152 51.2502411, 4.4992665 51.2499854, 4.4992807 51.2499187, 4.4989246 51.2498859)",,,,
"[23541081, 244676067]",Rubensstraat,residential,30,False,False,182.98399999999998,"LINESTRING (4.5008059 51.2508456, 4.5007978 51.2507573, 4.5006908 51.2504877, 4.5006295 51.2503125, 4.5005924 51.2501787, 4.5005925 51.2501321, 4.5005962 51.250087, 4.5005973 51.2498713, 4.5006166 51.2497229, 4.5006352 51.2495211, 4.5006466 51.2494276, 4.5006473 51.2493938, 4.5006569 51.2493177, 4.5006578 51.2492926, 4.5006602 51.2492159)",,,,
"[244676068, 244676069]",Venstraat,residential,30,False,False,93.331,"LINESTRING (4.5008059 51.2508456, 4.500917 51.2508355, 4.5009937 51.250823, 4.5011227 51.2508041, 4.5011824 51.2507954, 4.5012888 51.2507665, 4.5016493 51.2506655, 4.5020568 51.250554)",,,,
"[23541080, 244676069]",Venstraat,residential,30,False,True,130.103,"LINESTRING (4.5008059 51.2508456, 4.5006857 51.2508571, 4.5004339 51.2508798, 4.5000083 51.2508708, 4.4990162 51.2507812, 4.4990022 51.2507414)",,,,
