osmid,highway,oneway,reversed,length,name,geometry,lanes
231069998,tertiary,False,True,52.094,,"LINESTRING (45.3180302 34.6305349, 45.3184205 34.630876)",
231087345,residential,False,False,140.13,,"LINESTRING (45.3180302 34.6305349, 45.3191345 34.6296617)",
231069998,tertiary,False,False,20.383,,"LINESTRING (45.3169033 34.6296129, 45.3167308 34.6294969)",
231069998,tertiary,False,True,51.676,,"LINESTRING (45.3169033 34.6296129, 45.3172886 34.6299527)",
231087346,residential,False,False,143.966,,"LINESTRING (45.3169033 34.6296129, 45.3179866 34.6286739)",
231070007,residential,False,False,44.949,,"LINESTRING (45.3176122 34.6283516, 45.3172276 34.6281001)",
231070007,residential,False,True,8.596,,"LINESTRING (45.3176122 34.6283516, 45.3176771 34.6284075)",
231087336,residential,False,True,50.384,,"LINESTRING (45.3176122 34.6283516, 45.3172159 34.6286662)",
231070007,residential,False,False,53.72,,"LINESTRING (45.3172276 34.6281001, 45.3167953 34.6277732)",
231070007,residential,False,True,44.949,,"LINESTRING (45.3172276 34.6281001, 45.3176122 34.6283516)",
231087337,residential,False,False,133.3,,"LINESTRING (45.3172276 34.6281001, 45.3182587 34.6272532)",
231069998,tertiary,False,False,46.893,,"LINESTRING (45.3176504 34.6302514, 45.3172886 34.6299527)",
231069998,tertiary,False,True,46.918,,"LINESTRING (45.3176504 34.6302514, 45.3180302 34.6305349)",
231087340,residential,False,False,143.609,,"LINESTRING (45.3176504 34.6302514, 45.3177452 34.630159, 45.318739 34.6293214)",
231070007,residential,False,False,40.981,,"LINESTRING (45.3179866 34.6286739, 45.3176771 34.6284075)",
231070007,residential,False,True,37.656,,"LINESTRING (45.3179866 34.6286739, 45.3182711 34.6289186)",
231087346,residential,False,True,143.966,,"LINESTRING (45.3179866 34.6286739, 45.3169033 34.6296129)",
231070007,residential,False,False,49.299,,"LINESTRING (45.318739 34.6293214, 45.3183667 34.6290009)",
231070007,residential,False,True,14.622,,"LINESTRING (45.318739 34.6293214, 45.3188495 34.6294164)",
231087340,residential,False,True,143.609,,"LINESTRING (45.318739 34.6293214, 45.3177452 34.630159, 45.3176504 34.6302514)",
230469120,primary,True,False,66.085,شەقامی شەهید سەرکەوت,"LINESTRING (45.3165222 34.6280681, 45.3160425 34.6285124)",
231087343,residential,False,True,41.702,,"LINESTRING (45.3165222 34.6280681, 45.3168356 34.6283404)",
231087336,residential,False,False,50.384,,"LINESTRING (45.3172159 34.6286662, 45.3176122 34.6283516)",
231087336,residential,False,True,96.909,,"LINESTRING (45.3172159 34.6286662, 45.3164745 34.6292886)",
231087343,residential,False,False,50.232,,"LINESTRING (45.3172159 34.6286662, 45.3168356 34.6283404)",
231087342,residential,False,True,96.435,,"LINESTRING (45.3168356 34.6283404, 45.3160553 34.6289234)",
231087343,residential,False,False,41.702,,"LINESTRING (45.3168356 34.6283404, 45.3165222 34.6280681)",
231087343,residential,False,True,50.232,,"LINESTRING (45.3168356 34.6283404, 45.3172159 34.6286662)",
231069998,tertiary,False,False,51.676,,"LINESTRING (45.3172886 34.6299527, 45.3169033 34.6296129)",
231069998,tertiary,False,True,46.893,,"LINESTRING (45.3172886 34.6299527, 45.3176504 34.6302514)",
231087341,residential,False,False,144.677,,"LINESTRING (45.3172886 34.6299527, 45.3183667 34.6290009)",
231070007,residential,False,False,50.202,,"LINESTRING (45.3195137 34.629988, 45.3191345 34.6296617)",
231070007,residential,False,True,56.963,,"LINESTRING (45.3195137 34.629988, 45.3199439 34.6303583)",
231087344,residential,False,True,140.55,,"LINESTRING (45.3195137 34.629988, 45.3184205 34.630876)",
231069998,tertiary,False,False,52.094,,"LINESTRING (45.3184205 34.630876, 45.3180302 34.6305349)",
231069998,tertiary,False,True,55.016,,"LINESTRING (45.3184205 34.630876, 45.3188326 34.6312363)",
231087344,residential,False,False,140.55,,"LINESTRING (45.3184205 34.630876, 45.3195137 34.629988)",
231069998,tertiary,False,False,55.859,,"LINESTRING (45.3164745 34.6292886, 45.3160553 34.6289234)",
231069998,tertiary,False,True,32.961,,"LINESTRING (45.3164745 34.6292886, 45.3167308 34.6294969)",
231087336,residential,False,False,96.909,,"LINESTRING (45.3164745 34.6292886, 45.3172159 34.6286662)",
231069998,tertiary,False,False,32.54,,"LINESTRING (45.3160553 34.6289234, 45.3158002 34.6287195)",
231069998,tertiary,False,True,55.859,,"LINESTRING (45.3160553 34.6289234, 45.3164745 34.6292886)",
231087342,residential,False,False,96.435,,"LINESTRING (45.3160553 34.6289234, 45.3168356 34.6283404)",
231070007,residential,False,False,8.596,,"LINESTRING (45.3176771 34.6284075, 45.3176122 34.6283516)",
231070007,residential,False,True,40.981,,"LINESTRING (45.3176771 34.6284075, 45.3179866 34.6286739)",
231087339,residential,False,False,127.717,,"LINESTRING (45.3176771 34.6284075, 45.3186504 34.6275842)",
