osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,maxspeed,access
49423661,False,Leoše Janáčka,residential,True,54.072,"LINESTRING (14.1015761 50.1441826, 14.10108 50.143997, 14.1009211 50.1439371)",,,,
48249749,False,Váňova,residential,True,20.725,"LINESTRING (14.1008653 50.1448732, 14.1006705 50.1447348)",,,30,
49092643,True,Suchardova,residential,False,91.992,"LINESTRING (14.1008653 50.1448732, 14.1015761 50.1441826)",,,,
48249749,False,Váňova,residential,False,17.816000000000003,"LINESTRING (14.1008653 50.1448732, 14.1009152 50.1449196, 14.1010008 50.1450078)",,,30,
49423661,False,Leoše Janáčka,residential,False,36.808,"LINESTRING (14.1020276 50.1443517, 14.102149 50.1443971, 14.1024735 50.1445188)",,,,
49423661,False,Leoše Janáčka,residential,True,37.265,"LINESTRING (14.1020276 50.1443517, 14.1016995 50.1442288, 14.1015761 50.1441826)",,,,
49095070,False,Balcarova,residential,False,90.911,"LINESTRING (14.1030302 50.1448547, 14.1026893 50.1452373, 14.1024037 50.1455669)",,,,
314095072,True,Poděbradova,residential,False,78.37299999999999,"LINESTRING (14.0987113 50.144726, 14.0989902 50.1441193, 14.0990193 50.1440494)",,,,
49095087,True,Spojovací,residential,False,45.097,"LINESTRING (14.099319 50.1448392, 14.0992691 50.14483, 14.0988373 50.1447491, 14.0987113 50.144726)",,,,
387794927,False,Komenského,residential,False,91.901,"LINESTRING (14.099319 50.1448392, 14.0992925 50.144884, 14.0993121 50.1449418, 14.0989678 50.145529, 14.098917 50.1456152)",,,,
25894136,True,Vašatova,residential,False,61.086999999999996,"LINESTRING (14.0977919 50.144922, 14.0983628 50.1450947, 14.0984012 50.1451013, 14.0984238 50.1451022, 14.0984409 50.1451007, 14.0984761 50.1450951, 14.0985082 50.1450841, 14.0985354 50.1450686, 14.0985579 50.1450496)",,,,
49095415,False,O. Peška,residential,True,88.96600000000001,"LINESTRING (14.0977919 50.144922, 14.0977502 50.1449932, 14.0973898 50.1456086, 14.0973509 50.1456705)",,,,
"[51852512, 781308229]",True,Pod Zámkem,secondary_link,False,61.832,"LINESTRING (14.1044735 50.1490694, 14.1045918 50.149062, 14.1048673 50.1490207, 14.105004 50.1489641, 14.1051719 50.1488023)",,,,
722972139,False,Pod Zámkem,secondary,False,40.1,"LINESTRING (14.1044735 50.1490694, 14.1048792 50.1491594, 14.1050053 50.1491874)",238,,,
"[781308227, 219200245]",False,Pod Zámkem,secondary,True,51.808,"LINESTRING (14.1044735 50.1490694, 14.1042467 50.1490174, 14.1041019 50.1490087, 14.1039966 50.1490119, 14.1038995 50.1490309, 14.1037847 50.149075)",238,,,
"[792442832, 859267882, 219200235]",False,Dukelských hrdinů,secondary,True,141.72,"LINESTRING (14.1051719 50.1488023, 14.105329 50.1484828, 14.1056545 50.1479971, 14.1058438 50.1477147, 14.1058576 50.1476941, 14.1059064 50.1476192)",118,3,50,yes
"[792442833, 781308228]",False,Dukelských hrdinů,secondary,True,44.436,"LINESTRING (14.1051719 50.1488023, 14.1050425 50.1491013, 14.1050053 50.1491874)",118,3,50,yes
218043201,True,Čs. armády,secondary,False,41.339,"LINESTRING (14.0962202 50.1459993, 14.096656 50.1462447)",238,2,50,
49095066,True,Zádušní,residential,False,64.241,"LINESTRING (14.0962202 50.1459993, 14.0963364 50.1459906, 14.0968222 50.1460417, 14.0969587 50.146044, 14.0970979 50.1459993)",,,,
39725752,False,Pod Zámkem,secondary,True,42.158,"LINESTRING (14.0971374 50.1464651, 14.096656 50.1462447)",238,,,
39725752,False,Pod Zámkem,secondary,False,545.181,"LINESTRING (14.0971374 50.1464651, 14.0973284 50.1465545, 14.0976557 50.1467149, 14.100167 50.147971, 14.10177 50.148744, 14.102546 50.149108, 14.1032536 50.1494086)",238,,,
163313794,False,Pod Zámkem,tertiary,True,70.719,"LINESTRING (14.103817 50.1496206, 14.1036879 50.1495269, 14.1036176 50.1494593, 14.1035782 50.1493827, 14.1035811 50.1492885, 14.1036256 50.1491967, 14.1037847 50.149075)",,,,
218090786,False,Pod Zámkem,tertiary,False,46.556,"LINESTRING (14.103817 50.1496206, 14.103709 50.149582, 14.1032536 50.1494086)",,2,,
218090786,False,Pod Zámkem,tertiary,True,191.676,"LINESTRING (14.103817 50.1496206, 14.104067 50.14971, 14.1045381 50.1498519, 14.1053162 50.1500138, 14.1058836 50.1501144, 14.1063488 50.1501804)",,2,,
215028178,False,Pekařská,residential,True,86.382,"LINESTRING (14.1056896 50.1475719, 14.1056665 50.147605, 14.1054837 50.1478672, 14.1054332 50.147898, 14.1053839 50.1479157, 14.1053118 50.147922, 14.1052377 50.1479075, 14.1050069 50.1478287, 14.1048588 50.1477758)",,,,
1213317286,True,Hajnova,residential,False,16.329,"LINESTRING (14.1056896 50.1475719, 14.1057408 50.1475854, 14.1059064 50.1476192)",,,,
215028178,False,Pekařská,residential,False,86.38199999999999,"LINESTRING (14.1048588 50.1477758, 14.1050069 50.1478287, 14.1052377 50.1479075, 14.1053118 50.147922, 14.1053839 50.1479157, 14.1054332 50.147898, 14.1054837 50.1478672, 14.1056665 50.147605, 14.1056896 50.1475719)",,,,
295958731,False,J. Hory,residential,True,4.404,"LINESTRING (14.1056337 50.1436572, 14.1055903 50.1436854)",,,,
221007039,False,Divadelní,residential,False,149.252,"LINESTRING (14.1056337 50.1436572, 14.1057105 50.143681, 14.1074196 50.1442225, 14.1075115 50.1442517)",,,50,
49092641,False,Poštovní náměstí,residential,False,65.138,"LINESTRING (14.103979 50.1456939, 14.1044767 50.1459022, 14.1046713 50.1459837, 14.1047576 50.1459917)",,,,
49092641,False,Poštovní náměstí,residential,True,18.555999999999997,"LINESTRING (14.103979 50.1456939, 14.1039157 50.1456674, 14.1039271 50.1455492)",,,,
229213968,False,Pod Synagogou,residential,False,51.323,"LINESTRING (14.103979 50.1456939, 14.1039666 50.1457453, 14.1039593 50.1457753, 14.1039155 50.1460391, 14.1039155 50.146153)",,,,
229213968,False,Pod Synagogou,residential,True,51.323,"LINESTRING (14.1039155 50.146153, 14.1039155 50.1460391, 14.1039593 50.1457753, 14.1039666 50.1457453, 14.103979 50.1456939)",,,,
30975702,False,U haldy,residential,True,121.806,"LINESTRING (14.1080351 50.1498696, 14.1077552 50.1498171, 14.1069112 50.1496855, 14.1065694 50.1496249, 14.1063748 50.149624)",,,,
30975688,False,Gorkého,residential,False,85.298,"LINESTRING (14.1010008 50.1450078, 14.1005655 50.1456506, 14.1005243 50.1457115)",,,,
48249749,False,Váňova,residential,False,26.416,"LINESTRING (14.1010008 50.1450078, 14.1010656 50.1450858, 14.1011057 50.1451401, 14.101142 50.1451955, 14.1011556 50.1452232)",,,30,
48249749,False,Váňova,residential,True,17.816000000000003,"LINESTRING (14.1010008 50.1450078, 14.1009152 50.1449196, 14.1008653 50.1448732)",,,30,
49092644,True,Ctiborova,residential,False,115.117,"LINESTRING (14.1011556 50.1452232, 14.1020276 50.1443517)",,,,
48249749,False,Váňova,residential,False,49.337,"LINESTRING (14.1011556 50.1452232, 14.1011872 50.1452873, 14.1012371 50.1453781, 14.1012802 50.1454507, 14.1013264 50.1455226, 14.1014066 50.1456363)",,,30,
48249749,False,Váňova,residential,True,26.416,"LINESTRING (14.1011556 50.1452232, 14.101142 50.1451955, 14.1011057 50.1451401, 14.1010656 50.1450858, 14.1010008 50.1450078)",,,30,
30975687,True,Floriánská,residential,False,41.035,"LINESTRING (14.1014066 50.1456363, 14.1014799 50.1455422, 14.1016452 50.1453633, 14.101689 50.1453149)",,,,
48249749,False,Váňova,residential,False,36.472,"LINESTRING (14.1014066 50.1456363, 14.1014158 50.1456552, 14.1014176 50.145675, 14.1014141 50.1456932, 14.1014042 50.1457105, 14.1013285 50.1458519, 14.1013077 50.1458886, 14.1012755 50.1459482)",,,30,
48249749,False,Váňova,residential,True,49.337,"LINESTRING (14.1014066 50.1456363, 14.1013264 50.1455226, 14.1012802 50.1454507, 14.1012371 50.1453781, 14.1011872 50.1452873, 14.1011556 50.1452232)",,,30,
30975688,False,Gorkého,residential,True,85.298,"LINESTRING (14.1005243 50.1457115, 14.1005655 50.1456506, 14.1010008 50.1450078)",,,,
48249749,False,Váňova,residential,True,36.472,"LINESTRING (14.1012755 50.1459482, 14.1013077 50.1458886, 14.1013285 50.1458519, 14.1014042 50.1457105, 14.1014141 50.1456932, 14.1014176 50.145675, 14.1014158 50.1456552, 14.1014066 50.1456363)",,,30,
387822664,False,Vojtěcha Lanny,living_street,False,47.024,"LINESTRING (14.0971311 50.1500592, 14.0969681 50.150469)",,,,
22996897,True,Vojtěcha Lanny,living_street,False,199.827,"LINESTRING (14.0971311 50.1500592, 14.0972123 50.1500716, 14.0983245 50.1502467, 14.0983653 50.1502549, 14.0984013 50.1502699, 14.0984304 50.1502901, 14.09845 50.1503145, 14.0984551 50.1503248, 14.0984591 50.1503347, 14.0984616 50.1503557, 14.0984579 50.1503766, 14.0984475 50.1503965, 14.0982841 50.1506731, 14.0980051 50.1511614)",,,,
387822664,False,Vojtěcha Lanny,living_street,True,47.024,"LINESTRING (14.0969681 50.150469, 14.0971311 50.1500592)",,,,
342292908,True,Vojtěcha Lanny,living_street,False,58.769999999999996,"LINESTRING (14.0969681 50.150469, 14.0970066 50.1505361, 14.0968374 50.1509801)",,,,
342292910,False,Vojtěcha Lanny,residential,False,8.794,"LINESTRING (14.0967179 50.1509603, 14.0968374 50.1509801)",,,,
387822663,False,Vojtěcha Lanny,residential,True,15.522,"LINESTRING (14.0967179 50.1509603, 14.0966631 50.1510954)",,,,
342292907,True,Vojtěcha Lanny,living_street,False,58.69200000000001,"LINESTRING (14.0967179 50.1509603, 14.0968806 50.1505215, 14.0969681 50.150469)",,,,
342292910,False,Vojtěcha Lanny,residential,False,85.606,"LINESTRING (14.0968374 50.1509801, 14.0980051 50.1511614)",,,,
342292910,False,Vojtěcha Lanny,residential,True,8.794,"LINESTRING (14.0968374 50.1509801, 14.0967179 50.1509603)",,,,
387822665,False,Vojtěcha Lanny,residential,False,15.502,"LINESTRING (14.0968374 50.1509801, 14.0967837 50.1511152)",,,,
22996894,False,V. Kratochvíla,residential,True,8.87,"LINESTRING (14.0966631 50.1510954, 14.0967837 50.1511152)",,,,
387822663,False,Vojtěcha Lanny,residential,False,15.522,"LINESTRING (14.0966631 50.1510954, 14.0967179 50.1509603)",,,,
22996894,False,V. Kratochvíla,residential,False,8.87,"LINESTRING (14.0967837 50.1511152, 14.0966631 50.1510954)",,,,
387822665,False,Vojtěcha Lanny,residential,True,15.502,"LINESTRING (14.0967837 50.1511152, 14.0968374 50.1509801)",,,,
22996894,False,V. Kratochvíla,residential,True,83.214,"LINESTRING (14.0967837 50.1511152, 14.0978147 50.1512795, 14.0979171 50.1512958)",,,,
342292910,False,Vojtěcha Lanny,residential,True,85.606,"LINESTRING (14.0980051 50.1511614, 14.0968374 50.1509801)",,,,
387822667,False,Vojtěcha Lanny,residential,False,16.207,"LINESTRING (14.0980051 50.1511614, 14.0979171 50.1512958)",,,,
50034345,False,Stará,residential,False,68.976,"LINESTRING (14.1024391 50.1461744, 14.1024573 50.145607, 14.1024037 50.1455669)",,,,
30975670,False,Slánská,residential,True,44.064,"LINESTRING (14.1064557 50.1500026, 14.10647 50.1499235, 14.1064941 50.1498181, 14.1064352 50.1496893, 14.1063748 50.149624)",,,,
25455211,False,Železárenská,residential,False,60.044,"LINESTRING (14.1052024 50.1508224, 14.1060352 50.1507398)",,,,
