osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,lanes,access
35997784,,residential,40,True,False,22.697,"LINESTRING (12.8357469 55.8714246, 12.8357392 55.8714046, 12.8357379 55.8713842, 12.8357431 55.871364, 12.8357546 55.8713447, 12.8357719 55.8713267, 12.8357947 55.8713108, 12.835822 55.8712974, 12.8358532 55.8712869, 12.8358872 55.8712796, 12.835923 55.8712758)",,roundabout,,
35998437,Borgmästaregatan,residential,40,False,False,54.452,"LINESTRING (12.8357469 55.8714246, 12.8356362 55.87143, 12.8355892 55.8714323, 12.8353248 55.8714594, 12.8348904 55.8715155)",,,,
27942572,Österleden,primary,40,True,False,20.054,"LINESTRING (12.8363064 55.8702191, 12.8362617 55.8702357, 12.8362134 55.8702486, 12.8361622 55.8702576, 12.8361094 55.8702625, 12.8360558 55.8702632, 12.8360026 55.8702597)",17,roundabout,,
148893962,Järnvägsgatan,residential,40,False,False,110.51199999999999,"LINESTRING (12.8342465 55.8726343, 12.8341898 55.8725536, 12.8340255 55.8723752, 12.8339025 55.872248, 12.8336122 55.8717824, 12.833572 55.8717179)",,,,
148893962,Järnvägsgatan,residential,40,False,True,33.915000000000006,"LINESTRING (12.8342465 55.8726343, 12.8342857 55.8727823, 12.8342489 55.8729363)",,,,
"[540033921, 436259908]",Skolallén,residential,40,False,True,109.285,"LINESTRING (12.8342465 55.8726343, 12.8343936 55.872606, 12.8353969 55.8724046, 12.8358969 55.8723048)",,,,
42958116,Skolallén,residential,40,False,False,133.62300000000002,"LINESTRING (12.8329865 55.8732686, 12.8328996 55.873287, 12.8326352 55.8733414, 12.832431 55.8733638, 12.8321984 55.8733729, 12.831798 55.873363, 12.8314722 55.873366, 12.8312212 55.8733847, 12.8309967 55.8734197, 12.8308901 55.8734414)",,,,
44062463,Stora Norregatan,residential,40,False,True,157.179,"LINESTRING (12.8329865 55.8732686, 12.8324142 55.8724809, 12.8320976 55.8720268, 12.8320476 55.8719569)",,,,
593430669,Skolallén,residential,40,False,True,87.97,"LINESTRING (12.8329865 55.8732686, 12.8340781 55.8730256, 12.8341825 55.8729835, 12.8342489 55.8729363)",,,,
42958116,Skolallén,residential,40,False,True,133.62300000000002,"LINESTRING (12.8308901 55.8734414, 12.8309967 55.8734197, 12.8312212 55.8733847, 12.8314722 55.873366, 12.831798 55.873363, 12.8321984 55.8733729, 12.832431 55.8733638, 12.8326352 55.8733414, 12.8328996 55.873287, 12.8329865 55.8732686)",,,,
220681917,Eriksgatan,tertiary,40,False,False,63.386,"LINESTRING (12.8308901 55.8734414, 12.8308105 55.8732984, 12.8306006 55.872895)",,,,
35997811,Regeringsgatan,residential,40,False,True,96.663,"LINESTRING (12.8373692 55.8738377, 12.8366109 55.8730796)",,,,
35998437,Borgmästaregatan,residential,40,False,True,98.744,"LINESTRING (12.8320476 55.8719569, 12.833572 55.8717179)",,,,
35998437,Borgmästaregatan,residential,40,False,False,61.307,"LINESTRING (12.8320476 55.8719569, 12.8319654 55.8719713, 12.8311098 55.8721217)",,,,
44062463,Stora Norregatan,residential,40,False,False,157.179,"LINESTRING (12.8320476 55.8719569, 12.8320976 55.8720268, 12.8324142 55.8724809, 12.8329865 55.8732686)",,,,
44062463,Stora Norregatan,residential,40,False,True,139.97500000000002,"LINESTRING (12.8320476 55.8719569, 12.8320128 55.8719129, 12.8311826 55.8707954)",,,,
28159549,Södra Långgatan,residential,40,False,False,98.374,"LINESTRING (12.8284835 55.8675338, 12.8300131 55.8673192)",,,,
28159549,Södra Långgatan,residential,40,False,True,62.366,"LINESTRING (12.8284835 55.8675338, 12.827517 55.8676769)",,,,
532502387,Fiskargränden,residential,40,False,False,85.49,"LINESTRING (12.8284835 55.8675338, 12.8278684 55.8668468)",,,,
532502387,Fiskargränden,residential,40,False,True,79.328,"LINESTRING (12.8284835 55.8675338, 12.8290087 55.8681835)",,,,
"[284982067, 284982069, 44023103]",Lilla Strandgatan,tertiary,40,False,False,102.873,"LINESTRING (12.8281293 55.8660321, 12.8280777 55.8660622, 12.8279067 55.86611, 12.8277062 55.8661472, 12.8275158 55.8661916, 12.8273213 55.8662161, 12.8270147 55.8662467, 12.8267444 55.8662853, 12.8265736 55.8663097)",,,,
44023103,Lilla Strandgatan,tertiary,40,False,True,94.215,"LINESTRING (12.8281293 55.8660321, 12.8283267 55.8661254, 12.8292914 55.8665731)",,,,
"[287163401, 147530454]",Kolgatan,unclassified,40,False,"[False, True]",59.836999999999996,"LINESTRING (12.8281293 55.8660321, 12.8279422 55.8659444, 12.8273711 55.8657028)",,,,
435551065,Drottninggatan,residential,40,False,False,54.815,"LINESTRING (12.8273765 55.8688201, 12.8282258 55.8686939)",,,,
435551065,Drottninggatan,residential,40,False,True,53.112,"LINESTRING (12.8273765 55.8688201, 12.8265559 55.8689472)",,,,
