osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,junction,lanes
28582101,False,Kärleksgatan,residential,40,True,134.711,"LINESTRING (13.0701553 55.6342056, 13.0703503 55.6341474, 13.0704353 55.6341221, 13.0709152 55.633987, 13.07163 55.6337731, 13.0718981 55.633694, 13.0720587 55.633646)",,,
38388992,False,Kvarngatan,residential,40,False,216.555,"LINESTRING (13.0701553 55.6342056, 13.0711587 55.6348373, 13.0719793 55.6353318, 13.0725066 55.6356303)",,,
165787907,False,Lundavägen,secondary,40,True,51.229,"LINESTRING (13.0767239 55.6351384, 13.0774218 55.6353773)",M 852,,
165787907,False,Lundavägen,secondary,40,False,164.457,"LINESTRING (13.0767239 55.6351384, 13.076503 55.6350685, 13.0758076 55.634854, 13.0756645 55.6348124, 13.0746372 55.6345102, 13.0744139 55.6344406)",M 852,,
28582096,False,Svenshögsvägen,tertiary,40,True,170.99,"LINESTRING (13.084169 55.6353009, 13.08424 55.6347913, 13.0842656 55.6346076, 13.084284 55.6344063, 13.0843033 55.6341954, 13.0843368 55.6339451, 13.0843401 55.6339149, 13.0843617 55.6337671)",,,
"[1160861190, 1160861191]",False,Svenshögsvägen,tertiary,"['40', '30']",False,241.316,"LINESTRING (13.084169 55.6353009, 13.0840797 55.6359355, 13.084024 55.636331, 13.0839635 55.6368287, 13.0839155 55.6371964, 13.0839366 55.6373348, 13.0839564 55.6374647)",,,
23451033,False,Industrigatan,residential,40,False,57.445,"LINESTRING (13.0737014 55.6359529, 13.0734867 55.6364551)",,,
23451033,False,Industrigatan,residential,40,True,57.562,"LINESTRING (13.0737014 55.6359529, 13.0739329 55.635452)",,,
38388992,False,Kvarngatan,residential,40,True,85.739,"LINESTRING (13.0737014 55.6359529, 13.0729523 55.6358502, 13.0727675 55.6357813, 13.0725066 55.6356303)",,,
39325014,False,Södervångsgatan,residential,40,True,76.237,"LINESTRING (13.0783864 55.6373117, 13.0792322 55.6378038)",,,
39325012,False,Tegelbruksgatan,residential,40,True,155.232,"LINESTRING (13.0782417 55.6372291, 13.0786187 55.6364595, 13.0786937 55.6363907, 13.0791571 55.6360888, 13.0792985 55.6360028)",,,
36869720,False,Lillevångsgatan,residential,40,True,8.917,"LINESTRING (13.0808973 55.6396553, 13.080974 55.6395878)",,,
23451033,False,Industrigatan,residential,40,False,21.971,"LINESTRING (13.0740212 55.6352608, 13.0739329 55.635452)",,,
23451033,False,Industrigatan,residential,40,True,94.47800000000001,"LINESTRING (13.0740212 55.6352608, 13.0743813 55.6345172, 13.0744139 55.6344406)",,,
