osmid,oneway,lanes,name,highway,reversed,length,geometry
249819143,False,,9a Calle,residential,False,70.013,"LINESTRING (-89.8197101 16.8063776, -89.8190579 16.8064591)"
249819143,False,,9a Calle,residential,True,70.848,"LINESTRING (-89.8197101 16.8063776, -89.820372 16.8063107)"
253203852,False,,9a Avenida,residential,False,95.372,"LINESTRING (-89.8197101 16.8063776, -89.8198764 16.8072204)"
253203852,False,,9a Avenida,residential,True,99.929,"LINESTRING (-89.8197101 16.8063776, -89.8195428 16.8054933)"
249819143,False,,9a Calle,residential,True,70.013,"LINESTRING (-89.8190579 16.8064591, -89.8197101 16.8063776)"
253203853,False,,9a Avenida A,residential,True,92.854,"LINESTRING (-89.8190579 16.8064591, -89.8191762 16.8070908, -89.8191919 16.8072835)"
249819143,False,,9a Calle,residential,False,14.586,"LINESTRING (-89.825542 16.805877, -89.8254071 16.8059)"
249819143,False,,9a Calle,residential,True,54.961,"LINESTRING (-89.825542 16.805877, -89.8260583 16.8058818)"
249819144,False,,4a Avenida,residential,False,226.216,"LINESTRING (-89.825542 16.805877, -89.8255042 16.8055435, -89.8255063 16.8051293, -89.8253077 16.8038587)"
"[249810920, 249819142]",False,,"['5a Avenida', '8a Calle']",residential,True,258.836,"LINESTRING (-89.8253077 16.8038587, -89.8241266 16.8041439, -89.8240599 16.8042047, -89.824039 16.80431, -89.8242389 16.8052572)"
249819144,False,,4a Avenida,residential,True,226.216,"LINESTRING (-89.8253077 16.8038587, -89.8255063 16.8051293, -89.8255042 16.8055435, -89.825542 16.805877)"
250789087,False,,7a Calle,residential,False,78.048,"LINESTRING (-89.8273134 16.8040367, -89.8279314 16.8044144)"
250794133,False,,3a Avenida,residential,True,56.004,"LINESTRING (-89.8273134 16.8040367, -89.827009 16.8044475)"
250789105,False,,11 Calle,residential,False,43.662,"LINESTRING (-89.8279547 16.8070173, -89.828271 16.8072673)"
1103685303,False,,Bulevar Santa Ana,secondary,False,14.813,"LINESTRING (-89.8279547 16.8070173, -89.8280418 16.8069134)"
1103685303,False,,Bulevar Santa Ana,secondary,True,166.744,"LINESTRING (-89.8279547 16.8070173, -89.8277445 16.8072953, -89.8274652 16.8076979, -89.8272935 16.8079829, -89.827197 16.8081421, -89.8271772 16.808301)"
250789103,False,,12 Calle,residential,True,67.229,"LINESTRING (-89.8277961 16.8083667, -89.8273256 16.8083609, -89.8271772 16.808301)"
250789107,False,,1a Avenida,residential,False,132.862,"LINESTRING (-89.8277961 16.8083667, -89.8278505 16.8081666, -89.8279115 16.8079896, -89.8280141 16.8077301, -89.8281992 16.8074091, -89.828271 16.8072673)"
250789105,False,,11 Calle,residential,True,43.662,"LINESTRING (-89.828271 16.8072673, -89.8279547 16.8070173)"
250789107,False,,1a Avenida,residential,True,132.86200000000002,"LINESTRING (-89.828271 16.8072673, -89.8281992 16.8074091, -89.8280141 16.8077301, -89.8279115 16.8079896, -89.8278505 16.8081666, -89.8277961 16.8083667)"
249819143,False,,9a Calle,residential,False,74.869,"LINESTRING (-89.8275578 16.8064094, -89.826908 16.8061517)"
249819143,False,,9a Calle,residential,True,44.564,"LINESTRING (-89.8275578 16.8064094, -89.8278399 16.80654, -89.8279242 16.8066004)"
250794127,False,,1a Avenida,residential,False,132.45499999999998,"LINESTRING (-89.8275578 16.8064094, -89.8278309 16.8060268, -89.8282644 16.8054289)"
249810352,True,,10a Calle,tertiary,False,62.815,"LINESTRING (-89.8261495 16.8066647, -89.8255617 16.8067147)"
