osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,lanes
676777061,primary,False,False,231.326,"LINESTRING (122.6013232 11.4963247, 122.6015007 11.4963115, 122.6022394 11.4962623, 122.6026477 11.4962391, 122.6027629 11.4961948, 122.6028563 11.4961279, 122.6029737 11.4959091, 122.6030795 11.49563)",503,Capiz-Aklan Road,,2
676777061,primary,False,True,79.235,"LINESTRING (122.6013232 11.4963247, 122.601126 11.4963353, 122.6009817 11.4963674, 122.6008085 11.4964221, 122.6006198 11.4964862)",503,Capiz-Aklan Road,,2
764874378,residential,False,False,63.278999999999996,"LINESTRING (122.6013232 11.4963247, 122.6013097 11.4961004, 122.6013038 11.4960032, 122.6012941 11.495841, 122.601289 11.4957566)",,,,
771280424,residential,False,False,194.23000000000002,"LINESTRING (122.6006064 11.4941702, 122.6009413 11.4946436, 122.601075 11.4948897, 122.6011202 11.4950745, 122.601289 11.4957566)",,,,
283480817,residential,False,True,729.9360000000001,"LINESTRING (122.5999251 11.4905347, 122.5999962 11.4909355, 122.6000498 11.4911747, 122.600082 11.4914152, 122.6000163 11.4915729, 122.5999559 11.4916571, 122.5998983 11.4917766, 122.5998795 11.4919278, 122.599858 11.4924995, 122.5998019 11.4927254, 122.5998538 11.4928631, 122.5998712 11.4929895, 122.59985 11.4931347, 122.5998461 11.4932894, 122.5998923 11.4933535, 122.6001522 11.4934478, 122.6002907 11.4935251, 122.6004235 11.4936251, 122.6005255 11.4937533, 122.6008162 11.4939495, 122.6010952 11.4941758, 122.6012742 11.4942494, 122.6014487 11.4942752, 122.6016012 11.4942667, 122.6017246 11.4941937, 122.6018112 11.4941739, 122.6018757 11.4942022, 122.6020046 11.4943031, 122.6022144 11.4945342, 122.6024444 11.4948491, 122.6025936 11.4950858, 122.6027129 11.4953084)",,,,
764874378,residential,False,True,63.279,"LINESTRING (122.601289 11.4957566, 122.6012941 11.495841, 122.6013038 11.4960032, 122.6013097 11.4961004, 122.6013232 11.4963247)",,,,
764874379,residential,False,False,167.88500000000002,"LINESTRING (122.601289 11.4957566, 122.6009788 11.4957709, 122.6009345 11.4957629, 122.600896 11.4957158, 122.6008604 11.4955837, 122.6008258 11.4954399, 122.6007844 11.495282, 122.6007315 11.4951339, 122.6006891 11.4950368, 122.6005506 11.49467)",,,,
771280424,residential,False,True,194.23000000000002,"LINESTRING (122.601289 11.4957566, 122.6011202 11.4950745, 122.601075 11.4948897, 122.6009413 11.4946436, 122.6006064 11.4941702)",,,,
764874379,residential,False,True,167.885,"LINESTRING (122.6005506 11.49467, 122.6006891 11.4950368, 122.6007315 11.4951339, 122.6007844 11.495282, 122.6008258 11.4954399, 122.6008604 11.4955837, 122.600896 11.4957158, 122.6009345 11.4957629, 122.6009788 11.4957709, 122.601289 11.4957566)",,,,
904963017,residential,False,True,73.878,"LINESTRING (122.6005178 11.4958299, 122.6005525 11.4961411, 122.6006198 11.4964862)",,,,
904978401,residential,False,True,47.647,"LINESTRING (122.6070482 11.4949189, 122.6071753 11.4945089)",,,,
904978401,residential,False,False,47.647,"LINESTRING (122.6071753 11.4945089, 122.6070482 11.4949189)",,,,
"[283480796, 283480797, 764866132]",primary,False,True,177.646,"LINESTRING (122.6071753 11.4945089, 122.6064001 11.494305, 122.6062422 11.4942611, 122.6060805 11.4942026, 122.6058766 11.4941064, 122.6057632 11.4940414, 122.605662 11.4939561)",503,Capiz-Aklan Road,yes,
907203317,residential,False,True,91.41300000000001,"LINESTRING (122.6069324 11.4912102, 122.6068962 11.4911458, 122.6064751 11.4909132, 122.606231 11.4907778)",,,,
