osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,junction,bridge
103772455,False,,9 აპრილის ქუჩა,residential,,,True,53.75,"LINESTRING (43.6043194 41.9973092, 43.6036744 41.9972469)",,
103772414,False,,თურმანიძეების ქუჩა (Turmanidzeebi St),residential,,,False,105.805,"LINESTRING (43.6043194 41.9973092, 43.6043237 41.9970259, 43.6043006 41.9967462, 43.6043447 41.9965317, 43.6043581 41.996361)",,
"[103771387, 103772060, 852516135]",False,,"['სოხუმის ქუჩა', 'სანაპიროს ქუჩა (Sanapiro St)']",residential,,,"[False, True]",24.071000000000005,"LINESTRING (43.5951556 41.9991469, 43.5951928 41.9991592, 43.5953788 41.9992503, 43.595402 41.9992617)",,yes
103771387,False,,სანაპიროს ქუჩა (Sanapiro St),residential,,,True,99.845,"LINESTRING (43.5951556 41.9991469, 43.5951844 41.9990978, 43.5951877 41.9990163, 43.5953164 41.9988122, 43.5956757 41.9983458)",,
103771926,False,,მოსკოვის ჩიხი,living_street,,,False,97.232,"LINESTRING (43.5996286 41.994682, 43.5996645 41.9947596, 43.5997421 41.9948116, 43.600013 41.9949521, 43.6002262 41.9950557, 43.6003469 41.9950926, 43.6005822 41.9951461)",,
103771926,False,,მოსკოვის ჩიხი,living_street,,,True,198.784,"LINESTRING (43.5996286 41.994682, 43.5996254 41.9944577, 43.5996844 41.9941208, 43.5997441 41.9939388, 43.6000684 41.9929309)",,
220310429,True,,სააკაძის ქუჩა,tertiary,,,False,46.104,"LINESTRING (43.5996286 41.994682, 43.5998037 41.9946302, 43.6001179 41.9944858)",,
103771858,False,,წყაროს ქუჩა,residential,,,False,31.468,"LINESTRING (43.6020128 41.9966001, 43.6023487 41.9967334)",,
103771858,False,,წყაროს ქუჩა,residential,,,True,59.042,"LINESTRING (43.6020128 41.9966001, 43.6019542 41.9965542, 43.6019254 41.9965401, 43.6017995 41.9964944, 43.6017775 41.9964838, 43.6017608 41.9964683, 43.6017487 41.9964464, 43.6017505 41.9963582, 43.6017386 41.9961717)",,
103772063,False,,აბაიაძის ქუჩა,residential,,,False,56.79900000000001,"LINESTRING (43.6020128 41.9966001, 43.6019053 41.9967322, 43.6017375 41.9970661)",,
