osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction
224713706,,,,tertiary,40,False,False,105.57900000000001,"LINESTRING (80.7379278 7.2944172, 80.7376335 7.2944495, 80.7372661 7.2944443, 80.7369771 7.2943924)",
224713706,,,,tertiary,40,False,True,8.284,"LINESTRING (80.736906 7.2944164, 80.7369771 7.2943924)",
224713706,,,,tertiary,40,False,False,233.26,"LINESTRING (80.736906 7.2944164, 80.7367518 7.2945387, 80.7364654 7.2948746, 80.7358259 7.295636, 80.7355253 7.2960006)",
224718626,,,,residential,30,False,True,238.52,"LINESTRING (80.736906 7.2944164, 80.7370287 7.29452, 80.7370314 7.2945866, 80.7369627 7.2947652, 80.7363724 7.2956471, 80.7362013 7.2959554, 80.7360934 7.2962537)",
224718626,,,,residential,30,False,False,238.51999999999998,"LINESTRING (80.7360934 7.2962537, 80.7362013 7.2959554, 80.7363724 7.2956471, 80.7369627 7.2947652, 80.7370314 7.2945866, 80.7370287 7.29452, 80.736906 7.2944164)",
224718623,,,Aluthwatte Road,tertiary,30,False,False,144.94299999999998,"LINESTRING (80.7341049 7.2938837, 80.7341226 7.2940132, 80.7342889 7.294391, 80.7343237 7.2946518, 80.7343237 7.2951493)",
224718623,,,Aluthwatte Road,tertiary,30,False,True,183.085,"LINESTRING (80.7341049 7.2938837, 80.7345544 7.2933827, 80.7349044 7.2930701, 80.7352244 7.2926726)",
"[224721601, 1183802347]",,,,residential,30,False,True,231.76600000000002,"LINESTRING (80.7341049 7.2938837, 80.7338248 7.2938616, 80.7336907 7.2938749, 80.73357 7.2939228, 80.7334341 7.2942121, 80.7332683 7.294524, 80.7331999 7.2945987, 80.7330537 7.2947104, 80.7329209 7.2948102, 80.7326044 7.2950922)",
224718623,,,Aluthwatte Road,tertiary,30,False,False,183.085,"LINESTRING (80.7352244 7.2926726, 80.7349044 7.2930701, 80.7345544 7.2933827, 80.7341049 7.2938837)",
1209983961,,,,residential,,False,False,88.65,"LINESTRING (80.7352244 7.2926726, 80.7354194 7.2926605, 80.7357198 7.2925621, 80.7359371 7.2925035, 80.7360039 7.2925017)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,False,27.2,"LINESTRING (80.7354223 7.2994958, 80.7352082 7.2993744)",
224718625,,,,residential,30,False,True,112.99000000000001,"LINESTRING (80.7354223 7.2994958, 80.7358074 7.2987713, 80.7359934 7.2988407)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,True,50.282,"LINESTRING (80.7354223 7.2994958, 80.7355585 7.2995837, 80.7357936 7.2997578)",
224718625,,,,residential,30,False,False,112.99000000000001,"LINESTRING (80.7359934 7.2988407, 80.7358074 7.2987713, 80.7354223 7.2994958)",
