osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry
276050991,,Bävervägen,residential,30,False,False,25.78,,"LINESTRING (14.1196165 56.5540564, 14.1195556 56.5542858)"
276050991,,Bävervägen,residential,30,False,False,83.11500000000001,,"LINESTRING (14.1196165 56.5540564, 14.1199708 56.55409, 14.1206585 56.5542223, 14.1208907 56.5542964)"
276050991,,Bävervägen,residential,30,False,True,49.375,,"LINESTRING (14.1196165 56.5540564, 14.1192665 56.5540237, 14.1191447 56.5541251, 14.1191085 56.5542503)"
276050991,,Bävervägen,residential,30,False,False,17.694,,"LINESTRING (14.1213225 56.5543458, 14.1215946 56.5542926)"
276050991,,Bävervägen,residential,30,False,True,27.633,,"LINESTRING (14.1213225 56.5543458, 14.1211642 56.5543019, 14.1208907 56.5542964)"
276050991,,Bävervägen,residential,30,False,True,20.665,,"LINESTRING (14.1218727 56.5541875, 14.1215946 56.5542926)"
276050991,,Bävervägen,residential,30,False,False,93.643,,"LINESTRING (14.1218727 56.5541875, 14.1223469 56.5541246, 14.1228044 56.5541053, 14.1231305 56.5541402, 14.1233701 56.554178)"
300906294,,,residential,30,False,False,39.872,,"LINESTRING (14.1218727 56.5541875, 14.1218522 56.5542871, 14.1220956 56.5544037, 14.1222136 56.5544513)"
276050991,,Bävervägen,residential,30,False,True,93.643,,"LINESTRING (14.1233701 56.554178, 14.1231305 56.5541402, 14.1228044 56.5541053, 14.1223469 56.5541246, 14.1218727 56.5541875)"
300906297,,Norregårdsgatan,residential,30,False,True,72.632,,"LINESTRING (14.1233701 56.554178, 14.1233855 56.5539184, 14.1233208 56.5537184, 14.1233202 56.5535281)"
300906309,,Mistelvägen,residential,40,False,False,57.036,,"LINESTRING (14.1123351 56.5518728, 14.1120872 56.5523672)"
300906307,,Mistelvägen,residential,40,False,True,84.366,,"LINESTRING (14.1123351 56.5518728, 14.1136548 56.5520147, 14.113683 56.5520064)"
300906309,,Mistelvägen,residential,40,False,True,88.496,,"LINESTRING (14.1123351 56.5518728, 14.112378 56.5516895, 14.1123995 56.551376, 14.112318 56.5510821)"
300906309,,Mistelvägen,residential,40,False,True,57.036,,"LINESTRING (14.1120872 56.5523672, 14.1123351 56.5518728)"
50059504,,Svanabodavägen,residential,40,False,False,205.653,,"LINESTRING (14.1120872 56.5523672, 14.1137023 56.5525969, 14.1143503 56.5526497, 14.1153808 56.5526851)"
50059504,,Svanabodavägen,residential,40,False,True,64.267,,"LINESTRING (14.1120872 56.5523672, 14.111599 56.5522978, 14.1113045 56.5522764, 14.1110729 56.5523243)"
50059487,,Västra Ringvägen,residential,40,False,True,15.09,,"LINESTRING (14.1202341 56.5522823, 14.1202506 56.5521469)"
50059487,,Västra Ringvägen,residential,40,False,False,90.06899999999999,,"LINESTRING (14.1202341 56.5522823, 14.1202103 56.5524778, 14.120287 56.5527287, 14.1203642 56.5530858)"
300906299,,,residential,40,False,True,169.538,,"LINESTRING (14.1202341 56.5522823, 14.1203791 56.5522996, 14.1211119 56.5523873, 14.1219916 56.5524168, 14.1225495 56.5523814, 14.1229027 56.552251)"
300906299,,,residential,40,False,False,169.53799999999998,,"LINESTRING (14.1229027 56.552251, 14.1225495 56.5523814, 14.1219916 56.5524168, 14.1211119 56.5523873, 14.1203791 56.5522996, 14.1202341 56.5522823)"
300906330,,Maskrosvägen,residential,40,False,False,117.173,,"LINESTRING (14.1229027 56.552251, 14.1224134 56.5519936, 14.1222604 56.5518555, 14.1218298 56.5513938)"
552165985,,,residential,,False,False,98.37199999999999,,"LINESTRING (14.1229027 56.552251, 14.1235249 56.5521406, 14.1237999 56.5520818, 14.1238827 56.5520688, 14.1239329 56.5520395, 14.1239004 56.5519971, 14.1238413 56.5519613, 14.1237113 56.5519091, 14.1236403 56.55187, 14.123596 56.551844)"
300906327,,Primulavägen,residential,40,False,False,153.293,,"LINESTRING (14.1221433 56.5504544, 14.1222874 56.5505521, 14.1225919 56.5507477, 14.1226845 56.5508161, 14.1227079 56.550898, 14.1226461 56.5511632, 14.122571 56.5512933, 14.1224418 56.5513191, 14.1222346 56.5513604, 14.1218298 56.5513938)"
507835370,,Norregårdsvägen,residential,40,False,True,8.169,,"LINESTRING (14.1233202 56.5535281, 14.1233089 56.5534549)"
300906297,,Norregårdsgatan,residential,30,False,False,72.632,,"LINESTRING (14.1233202 56.5535281, 14.1233208 56.5537184, 14.1233855 56.5539184, 14.1233701 56.554178)"
300906301,,Hyacintvägen,residential,40,False,False,75.192,,"LINESTRING (14.1194325 56.5510353, 14.1190728 56.5516818)"
300906301,,Hyacintvägen,residential,40,False,True,97.667,,"LINESTRING (14.1194325 56.5510353, 14.1178552 56.5509103)"
394649823,,,residential,40,False,False,16.531,,"LINESTRING (14.1194325 56.5510353, 14.1194593 56.5509615, 14.1194924 56.5508904)"
300906293,,Solrosvägen,residential,40,False,True,27.394,,"LINESTRING (14.1212795 56.5514467, 14.1216081 56.5512797)"
300906293,,Solrosvägen,residential,40,False,False,85.57799999999999,,"LINESTRING (14.1212795 56.5514467, 14.1209402 56.551654, 14.1211333 56.5517309, 14.1214015 56.5515712, 14.1212795 56.5514467)"
300906293,,Solrosvägen,residential,40,False,True,85.578,,"LINESTRING (14.1212795 56.5514467, 14.1214015 56.5515712, 14.1211333 56.5517309, 14.1209402 56.551654, 14.1212795 56.5514467)"
300906298,,Hyacintvägen,residential,40,False,True,69.905,,"LINESTRING (14.1190728 56.5516818, 14.1179576 56.5518137)"
300906301,,Hyacintvägen,residential,40,False,True,75.192,,"LINESTRING (14.1190728 56.5516818, 14.1194325 56.5510353)"
300906301,,Hyacintvägen,residential,40,False,False,59.792,,"LINESTRING (14.1190728 56.5516818, 14.1190412 56.5519674, 14.1191525 56.5522114)"
300906321,,Lupinvägen,residential,40,False,False,61.663,,"LINESTRING (14.1154879 56.5521337, 14.1153808 56.5526851)"
300906303,,Lupinvägen,residential,40,False,True,70.34,,"LINESTRING (14.1154879 56.5521337, 14.1163095 56.5520812, 14.1166297 56.5520898)"
300906321,,Lupinvägen,residential,40,False,True,165.1,,"LINESTRING (14.1154879 56.5521337, 14.1154685 56.5518255, 14.1153612 56.5515594, 14.1153145 56.5513781, 14.1153929 56.5513108, 14.1160223 56.5511241, 14.1164465 56.5510453)"
300906298,,Hyacintvägen,residential,40,False,False,69.905,,"LINESTRING (14.1179576 56.5518137, 14.1190728 56.5516818)"
300906301,,Hyacintvägen,residential,40,False,False,97.667,,"LINESTRING (14.1178552 56.5509103, 14.1194325 56.5510353)"
300906303,,Lupinvägen,residential,40,False,False,70.34,,"LINESTRING (14.1166297 56.5520898, 14.1163095 56.5520812, 14.1154879 56.5521337)"
276050991,,Bävervägen,residential,30,False,False,27.633,,"LINESTRING (14.1208907 56.5542964, 14.1211642 56.5543019, 14.1213225 56.5543458)"
276050991,,Bävervägen,residential,30,False,True,83.115,,"LINESTRING (14.1208907 56.5542964, 14.1206585 56.5542223, 14.1199708 56.55409, 14.1196165 56.5540564)"
300906321,,Lupinvägen,residential,40,False,False,165.1,,"LINESTRING (14.1164465 56.5510453, 14.1160223 56.5511241, 14.1153929 56.5513108, 14.1153145 56.5513781, 14.1153612 56.5515594, 14.1154685 56.5518255, 14.1154879 56.5521337)"
276050991,,Bävervägen,residential,30,False,False,20.665,,"LINESTRING (14.1215946 56.5542926, 14.1218727 56.5541875)"
276050991,,Bävervägen,residential,30,False,True,17.694,,"LINESTRING (14.1215946 56.5542926, 14.1213225 56.5543458)"
507835370,,Norregårdsvägen,residential,40,False,False,8.169,,"LINESTRING (14.1233089 56.5534549, 14.1233202 56.5535281)"
507835370,,Norregårdsvägen,residential,40,False,True,89.693,,"LINESTRING (14.1233089 56.5534549, 14.122946 56.5531264, 14.1226332 56.5527412)"
"[300906305, 1135414035]",,Delaryvägen,unclassified,40,False,True,488.8070000000001,,"LINESTRING (14.1233089 56.5534549, 14.1217687 56.553408, 14.1211384 56.5533755, 14.1204984 56.5534385, 14.1200151 56.5535065, 14.1194894 56.5534829, 14.1187598 56.5534504, 14.1180402 56.5536567, 14.1176727 56.5538525, 14.1174828 56.5539537, 14.1162674 56.5543262, 14.1159069 56.5544393)"
300906293,,Solrosvägen,residential,40,False,False,27.394,,"LINESTRING (14.1216081 56.5512797, 14.1212795 56.5514467)"
300906330,,Maskrosvägen,residential,40,False,True,18.59,,"LINESTRING (14.1216081 56.5512797, 14.1218298 56.5513938)"
300906330,,Maskrosvägen,residential,40,False,False,84.191,,"LINESTRING (14.1216081 56.5512797, 14.1212391 56.5510872, 14.1207363 56.5509325, 14.1205842 56.5508787, 14.1204925 56.5508462)"
300906310,,Mistelvägen,residential,40,False,False,34.664,,"LINESTRING (14.1128543 56.5509831, 14.112318 56.5510821)"
300906310,,Mistelvägen,residential,40,False,False,86.454,,"LINESTRING (14.1128543 56.5509831, 14.1131868 56.5510262, 14.1133012 56.5510355, 14.1134561 56.5510058, 14.1134763 56.5509631, 14.1134604 56.5509317, 14.1134528 56.5509167, 14.1133108 56.5509046, 14.1128543 56.5509831)"
300906310,,Mistelvägen,residential,40,False,True,86.454,,"LINESTRING (14.1128543 56.5509831, 14.1133108 56.5509046, 14.1134528 56.5509167, 14.1134604 56.5509317, 14.1134763 56.5509631, 14.1134561 56.5510058, 14.1133012 56.5510355, 14.1131868 56.5510262, 14.1128543 56.5509831)"
