osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,est_width,junction
5738788,True,,,Εθνικής Αντιστάσεως,residential,,False,167.796,"LINESTRING (24.4747757 35.3685885, 24.4747329 35.3684334, 24.4746083 35.3679638, 24.4745823 35.3678855, 24.4744413 35.3675373, 24.4743875 35.3673676, 24.4743661 35.3672175, 24.4743556 35.3671225)",,
165436917,True,,,Ετεάρχου,tertiary,,False,82.60100000000001,"LINESTRING (24.4750578 35.3632568, 24.4754708 35.3632917, 24.4758781 35.3633504, 24.4759572 35.3633683)",,
25636154,True,,,,tertiary,,False,35.74,"LINESTRING (24.4730794 35.3674698, 24.4729744 35.36716)",,
134273866,True,,,Δημακοπούλου,tertiary,50,False,121.993,"LINESTRING (24.4730794 35.3674698, 24.4743556 35.3671225)",,
"[92905901, 965698175]",False,,,,residential,,True,76.495,"LINESTRING (24.4687499 35.3656279, 24.4688486 35.3656726, 24.4688639 35.3657149, 24.4688919 35.3662662)",,
799796141,False,,,Σφακίων,residential,,True,51.292,"LINESTRING (24.4687499 35.3656279, 24.4687696 35.3654457, 24.4687987 35.3653875, 24.4690462 35.3653119)",,
"[26764428, 972965485]",True,2,ΕΟ90,Δημητρακάκη,primary,50,False,127.932,"LINESTRING (24.4742346 35.3666635, 24.4742268 35.3666387, 24.4740268 35.366096, 24.4740152 35.3660631, 24.4738736 35.3656707, 24.4738303 35.3655613)",,
444979657,True,2,ΕΟ90,Τεσσάρων Μαρτύρων,primary,50,False,12.866,"LINESTRING (24.4744226 35.3667804, 24.4742859 35.3668114)",,
276076690,True,,ΕΟ90,,primary,,False,21.438000000000002,"LINESTRING (24.4744226 35.3667804, 24.4742815 35.3666926, 24.4742346 35.3666635)",,
232806157,True,,,Τεσσάρων Μαρτύρων,tertiary,,False,35.165,"LINESTRING (24.4742859 35.3668114, 24.4743556 35.3671225)",,
1057971903,True,2,ΕΟ90,Κουντουριώτη Παύλου,primary,50,False,11.433,"LINESTRING (24.4742859 35.3668114, 24.4741636 35.3668364)",,
444979655,True,,ΕΟ90,Δημητρακάκη,primary,,False,20.275,"LINESTRING (24.4741636 35.3668364, 24.4742346 35.3666635)",,
633894217,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,50,True,113.69999999999999,"LINESTRING (24.4741636 35.3668364, 24.4740685 35.3668569, 24.473518 35.3670049, 24.4729744 35.36716)",,
39220863,True,2,ΕΟ90,Θεμιστοκλή Μοάτσου,primary,50,False,68.767,"LINESTRING (24.4764158 35.3650886, 24.4771524 35.3649415)",,
743618661,True,2,ΕΟ90,Κουντουριώτη Παύλου,primary,50,False,20.429,"LINESTRING (24.4776048 35.3660819, 24.4773871 35.3661292)",,
52009435,True,,,Ν. Καζαντζάκη,tertiary,,False,98.87700000000001,"LINESTRING (24.4776048 35.3660819, 24.4775755 35.3659882, 24.4775849 35.3659432, 24.4778225 35.3656359, 24.4780417 35.3652965)",,
633894217,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,50,False,113.7,"LINESTRING (24.4729744 35.36716, 24.473518 35.3670049, 24.4740685 35.3668569, 24.4741636 35.3668364)",,
633894217,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,50,True,63.239000000000004,"LINESTRING (24.4729744 35.36716, 24.4726168 35.3672608, 24.4725703 35.3672711, 24.4725175 35.3672768, 24.4724735 35.3672775, 24.4724153 35.3672759, 24.4723504 35.3672699, 24.4723008 35.3672643)",,
229978502,False,,,,living_street,,True,36.8,"LINESTRING (24.4782214 35.364584, 24.4783387 35.364641, 24.4784888 35.3646358, 24.4786059 35.3646533)",,
238997799,True,,ΕΟ90,Ν. Καζαντζάκη,primary,50,False,36.038,"LINESTRING (24.4782214 35.364584, 24.4783806 35.3644466, 24.4784767 35.3643366)",,
1213022174,True,,,Ουγκώ,tertiary,,False,46.092,"LINESTRING (24.4787878 35.3661894, 24.4786449 35.3657916)",,
"[943311106, 743618661]",True,2,ΕΟ90,Κουντουριώτη Παύλου,primary,50,False,99.69999999999999,"LINESTRING (24.4786449 35.3657916, 24.4776952 35.3660615, 24.4776048 35.3660819)",,
375362575,True,1,,Κονδυλάκη,secondary,,False,13.5,"LINESTRING (24.4757354 35.3642877, 24.4757345 35.3643725, 24.4757341 35.3644091)",,
375362576,False,1,,Κονδυλάκη,secondary,,True,57.244,"LINESTRING (24.4757354 35.3642877, 24.4757381 35.3642242, 24.4757464 35.3640312, 24.4757628 35.3637734)",,
92905206,False,,,,residential,,False,13.405,"LINESTRING (24.469646 35.3634626, 24.4696614 35.3635825)",,
341510155,False,,,Ιεράς Μονής Πρέβελη,residential,,False,46.547,"LINESTRING (24.469646 35.3634626, 24.4697265 35.3634108, 24.4698323 35.3633772, 24.4701295 35.3633734)",,
341510155,False,,,Ιεράς Μονής Πρέβελη,residential,,True,60.246,"LINESTRING (24.4707938 35.3633648, 24.4701295 35.3633734)",,
375364029,False,,,Μαρκέλλου,residential,,False,7.5,"LINESTRING (24.4772424 35.363823, 24.4772392 35.3638904)",,
113555377,False,,,Στυλιανού Γαλερού,tertiary,,False,47.237,"LINESTRING (24.4764741 35.363421, 24.4759572 35.3633683)",,
113555377,False,,,Στυλιανού Γαλερού,tertiary,,True,56.798,"LINESTRING (24.4764741 35.363421, 24.4771001 35.3634036)",,
113555377,False,,,Στυλιανού Γαλερού,tertiary,,False,56.798,"LINESTRING (24.4771001 35.3634036, 24.4764741 35.363421)",,
229978502,False,,,,living_street,,False,36.8,"LINESTRING (24.4786059 35.3646533, 24.4784888 35.3646358, 24.4783387 35.364641, 24.4782214 35.364584)",,
503197649,False,,,Ηρώων Πολυτεχνείου,residential,,True,63.504999999999995,"LINESTRING (24.4696149 35.3699793, 24.4696705 35.369993, 24.4703124 35.3700115)",,
414873119,False,,,,tertiary,,False,10.266,"LINESTRING (24.4723361 35.3631982, 24.4724493 35.3631993)",,
414873127,True,,,,tertiary_link,,False,44.082,"LINESTRING (24.4723361 35.3631982, 24.472124 35.363231, 24.4718744 35.3633155)",,
34344475,False,,,Κριάρη,tertiary,50,True,54.056000000000004,"LINESTRING (24.4718744 35.3633155, 24.4717594 35.3635247, 24.4716977 35.3636133, 24.4715995 35.363746)",,
799796142,False,,,Σφακίων,residential,,True,4.102,"LINESTRING (24.4690585 35.3653474, 24.4690462 35.3653119)",,
799796142,False,,,Σφακίων,residential,,False,4.102,"LINESTRING (24.4690462 35.3653119, 24.4690585 35.3653474)",,
799796141,False,,,Σφακίων,residential,,False,51.292,"LINESTRING (24.4690462 35.3653119, 24.4687987 35.3653875, 24.4687696 35.3654457, 24.4687499 35.3656279)",,
799796142,False,,,Σφακίων,residential,,True,31.384999999999998,"LINESTRING (24.4690462 35.3653119, 24.4690311 35.3652514, 24.4690281 35.3650309)",,
799795982,False,,,,residential,,False,28.631,"LINESTRING (24.4690281 35.3650309, 24.4691306 35.3650313, 24.4691698 35.3650188, 24.4692047 35.364963, 24.4692296 35.3648888)",,
799795982,False,,,,residential,,True,159.45199999999997,"LINESTRING (24.4690281 35.3650309, 24.4688759 35.3649808, 24.4688131 35.3649664, 24.4686457 35.364974, 24.4684875 35.3649718, 24.4683534 35.3649303, 24.4683078 35.3648843, 24.4683005 35.3647279, 24.4683185 35.3646751, 24.4683677 35.3646406, 24.4685938 35.3645985, 24.4689189 35.3645547, 24.4690167 35.3645317)",,
799796142,False,,,Σφακίων,residential,,False,31.384999999999998,"LINESTRING (24.4690281 35.3650309, 24.4690311 35.3652514, 24.4690462 35.3653119)",,
41252832,True,,,,tertiary_link,,False,29.615000000000002,"LINESTRING (24.4727719 35.3635744, 24.4727824 35.3636431, 24.4727859 35.3636868, 24.4727848 35.3637252, 24.4727839 35.363762, 24.4727668 35.3637987, 24.4727375 35.3638293)",,
662119093,False,,,Κουρμούλη,tertiary,,False,37.919,"LINESTRING (24.4727719 35.3635744, 24.4727727 35.3635749, 24.4728528 35.3636209, 24.4729382 35.363667, 24.4730259 35.3637044, 24.473134 35.3637426)",,
662119093,False,,,Κουρμούλη,tertiary,,True,51.663000000000004,"LINESTRING (24.4727719 35.3635744, 24.4726987 35.3635225, 24.4726338 35.3634664, 24.4725759 35.3634055, 24.4725256 35.3633402, 24.4724833 35.3632713, 24.4724493 35.3631993)",,
662119088,False,2,ΕΟ90,Ηγουμένου Γαβριήλ,primary,,False,100.32,"LINESTRING (24.4688919 35.3662662, 24.4697455 35.3665106, 24.4699356 35.3665655)",,
"[92905901, 965698175]",False,,,,residential,,False,76.49499999999999,"LINESTRING (24.4688919 35.3662662, 24.4688639 35.3657149, 24.4688486 35.3656726, 24.4687499 35.3656279)",,
1192382525,False,,,Εμμανουήλ Κεφαλογιάννη,tertiary,30,False,4.91,"LINESTRING (24.4687088 35.3679604, 24.4687133 35.3680044)",,
965716388,True,,,Σήφη Βλαστού,tertiary,50,False,109.628,"LINESTRING (24.4687088 35.3679604, 24.4690536 35.3679005, 24.4691775 35.3678757, 24.4693295 35.3678454, 24.4695122 35.3678105, 24.4696991 35.3677811, 24.4698928 35.3677672)",,
26764435,True,,,Παντελή Πρεβελάκη,tertiary,,False,4.448,"LINESTRING (24.4698928 35.3677672, 24.4698921 35.3678072)",,
965733888,False,,,,residential,,True,42.276,"LINESTRING (24.4707752 35.3672883, 24.4708709 35.3676604)",,
39220947,True,,,Σήφη Βλαστού,residential,,False,51.625,"LINESTRING (24.4708709 35.3676604, 24.4703286 35.3678018)",,
965733888,False,,,,residential,,False,42.276,"LINESTRING (24.4708709 35.3676604, 24.4707752 35.3672883)",,
799795982,False,,,,residential,,True,28.631,"LINESTRING (24.4692296 35.3648888, 24.4692047 35.364963, 24.4691698 35.3650188, 24.4691306 35.3650313, 24.4690281 35.3650309)",,
341510155,False,,,Ιεράς Μονής Πρέβελη,residential,,False,60.246,"LINESTRING (24.4701295 35.3633734, 24.4707938 35.3633648)",,
341510155,False,,,Ιεράς Μονής Πρέβελη,residential,,True,46.547,"LINESTRING (24.4701295 35.3633734, 24.4698323 35.3633772, 24.4697265 35.3634108, 24.469646 35.3634626)",,
743618661,True,2,ΕΟ90,Κουντουριώτη Παύλου,primary,50,False,16.546,"LINESTRING (24.4751336 35.3666677, 24.4749542 35.3666949)",,
34344483,True,,,Χαρίκλειας Δασκαλάκη,residential,,False,140.98,"LINESTRING (24.4751336 35.3666677, 24.4751023 35.3665452, 24.4751318 35.3664337, 24.4751324 35.3663986, 24.4748098 35.3654405)",,
1192382525,False,,,Εμμανουήλ Κεφαλογιάννη,tertiary,30,False,109.762,"LINESTRING (24.4688431 35.3694901, 24.4688615 35.3696722, 24.4688781 35.3699486, 24.4688917 35.370158, 24.4688963 35.3702562, 24.4688961 35.3704759)",,
1192382525,False,,,Εμμανουήλ Κεφαλογιάννη,tertiary,30,True,165.621,"LINESTRING (24.4688431 35.3694901, 24.468774 35.3687058, 24.4687133 35.3680044)",,
