osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,width
"[1203884057, 1203884058, 51065956]",,False,4,TN 8,primary,30 mph,True,247.704,"LINESTRING (-85.3103404 35.0439372, -85.3103369 35.0438611, -85.3103262 35.0436324, -85.310323 35.0435369, -85.3103193 35.0434302, -85.3103048 35.0430007, -85.3101845 35.0426749, -85.3099161 35.0421442, -85.3098135 35.0419367, -85.3097393 35.0417973)",Broad Street,
136783459,,False,,,residential,,False,108.67200000000001,"LINESTRING (-85.3103404 35.0439372, -85.3104561 35.043932, -85.3109689 35.0439111, -85.3111004 35.0439081, -85.3114389 35.0439004, -85.311533 35.0438965)",West 11th Street,
862426389,,False,,TN 8,primary,30 mph,False,98.764,"LINESTRING (-85.3103404 35.0439372, -85.310342 35.0440075, -85.3103558 35.0447516, -85.3103572 35.0448253)",Broad Street,
136783459,,False,,,residential,,True,95.267,"LINESTRING (-85.3125574 35.0439923, -85.3124007 35.0439383, -85.3122764 35.0439019, -85.3120847 35.0438866, -85.311533 35.0438965)",West 11th Street,
862426390,,False,,,secondary,,True,110.71600000000001,"LINESTRING (-85.3125574 35.0439923, -85.3124699 35.0441511, -85.3123739 35.0443256, -85.3121633 35.044708, -85.3120839 35.0448521, -85.3120575 35.0449)",Carter Street,
862426391,,False,,,secondary,,False,187.417,"LINESTRING (-85.3125574 35.0439923, -85.3127806 35.0436148, -85.3128233 35.0435426, -85.3133821 35.0425221, -85.3134158 35.0424605)",Carter Street,
701857183,,False,,,residential,,True,106.41100000000003,"LINESTRING (-85.3041771 35.0468977, -85.3042082 35.0468544, -85.3042593 35.0467459, -85.304371 35.0466053, -85.304583 35.0464287, -85.30467 35.0463372, -85.3047166 35.0462673, -85.3047286 35.0462503, -85.3047373 35.0462366, -85.3047765 35.0461658, -85.3048101 35.046105)",Houston Street,
1156129116,,False,,,secondary,,False,141.465,"LINESTRING (-85.3041771 35.0468977, -85.3042452 35.0469237, -85.3053857 35.0473509, -85.3055409 35.047409, -85.30559 35.0474274)",McCallie Avenue,
701857183,,False,,,residential,,False,106.41100000000002,"LINESTRING (-85.3048101 35.046105, -85.3047765 35.0461658, -85.3047373 35.0462366, -85.3047286 35.0462503, -85.3047166 35.0462673, -85.30467 35.0463372, -85.304583 35.0464287, -85.304371 35.0466053, -85.3042593 35.0467459, -85.3042082 35.0468544, -85.3041771 35.0468977)",Houston Street,
861104699,,False,,,residential,,True,165.025,"LINESTRING (-85.3048101 35.046105, -85.3048297 35.04607, -85.3051014 35.0455849, -85.3052391 35.0453392, -85.3053579 35.0451271, -85.3055269 35.0448255, -85.3055658 35.044756)",Houston Street,
861104699,,False,,,residential,,False,165.025,"LINESTRING (-85.3055658 35.044756, -85.3055269 35.0448255, -85.3053579 35.0451271, -85.3052391 35.0453392, -85.3051014 35.0455849, -85.3048297 35.04607, -85.3048101 35.046105)",Houston Street,
