osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed
600494983,West 3rd Street,tertiary,False,True,146.059,"LINESTRING (-117.8724443 33.7471126, -117.8717722 33.7471158, -117.8708646 33.7471201)",,
"[600496178, 1226716614]",North Ross Street,tertiary,False,False,99.212,"LINESTRING (-117.8724443 33.7471126, -117.8724524 33.7479583, -117.8724527 33.7480048)",,
664200706,West 4th Street,residential,False,True,147.466,"LINESTRING (-117.8724527 33.7480048, -117.8722869 33.7480104, -117.8708579 33.7480039)",2,25 mph
1226716614,North Ross Street,tertiary,False,False,51.741,"LINESTRING (-117.8724527 33.7480048, -117.872455 33.7480888, -117.8724651 33.74847)",,
"[600496178, 1226716614]",North Ross Street,tertiary,False,True,99.212,"LINESTRING (-117.8724527 33.7480048, -117.8724524 33.7479583, -117.8724443 33.7471126)",,
609664268,North Ross Street,tertiary,False,False,23.254,"LINESTRING (-117.8724681 33.7488676, -117.8724643 33.7490767)",,
"[1042907873, 1042907874, 1042907875, 13356790]",West 5th Street,secondary,True,False,253.86899999999997,"LINESTRING (-117.8724681 33.7488676, -117.872431 33.7488682, -117.8722835 33.7488684, -117.8720914 33.7488688, -117.8707554 33.7488711, -117.8704966 33.7488716, -117.8703765 33.7488717, -117.8700828 33.7488722, -117.8697223 33.7488728)","['3', '2']",
609664265,North Ross Street,tertiary,False,True,44.212,"LINESTRING (-117.8724681 33.7488676, -117.8724668 33.7486959, -117.8724651 33.74847)",,
13313924,North Ross Street,tertiary,False,False,201.73299999999998,"LINESTRING (-117.8725146 33.7515385, -117.872515 33.7518549, -117.8725165 33.7523498, -117.8725177 33.7525199, -117.8725018 33.7533102, -117.8725019 33.7533526)",2,
"[402214184, 402214249]",Civic Center Drive West,secondary,False,False,47.835,"LINESTRING (-117.8725146 33.7515385, -117.872173 33.7515394, -117.8721167 33.7515395, -117.8719972 33.7515398)",5,25 mph
"[402214211, 402214279]",Civic Center Drive West,secondary,False,True,99.32400000000001,"LINESTRING (-117.8725146 33.7515385, -117.8729423 33.7515374, -117.873323 33.7515365, -117.8735889 33.7515358)",5,25 mph
600496177,North Ross Street,tertiary,False,False,219.638,"LINESTRING (-117.8725146 33.7515385, -117.8724995 33.7508908, -117.8724965 33.750766, -117.8724905 33.7505367, -117.8724734 33.7498962, -117.8724685 33.7497228, -117.8724646 33.7495637)",,
13313924,North Ross Street,tertiary,False,False,35.561,"LINESTRING (-117.8725019 33.7533526, -117.8724997 33.7536724)",2,
681629009,West 10th Street,residential,False,True,47.733,"LINESTRING (-117.8725019 33.7533526, -117.8719856 33.7533542)",,
