osmid,highway,oneway,reversed,length,bridge,geometry,ref,name
727330983,residential,False,True,28.843,,"LINESTRING (31.955613 41.2187042, 31.9554895 41.2187995, 31.9553849 41.2188983)",,
727330982,residential,False,True,28.947,,"LINESTRING (31.9553849 41.2188983, 31.955055 41.218977)",,
727330983,residential,False,False,28.843,,"LINESTRING (31.9553849 41.2188983, 31.9554895 41.2187995, 31.955613 41.2187042)",,
727330983,residential,False,True,126.898,,"LINESTRING (31.9553849 41.2188983, 31.9553232 41.2190799, 31.9551811 41.2193301, 31.9549906 41.2196771, 31.954776 41.2199374)",,
727330983,residential,False,False,93.881,,"LINESTRING (31.9540974 41.2206072, 31.9544005 41.2202703, 31.9546366 41.2200826, 31.954776 41.2199374)",,
727330988,residential,False,True,28.966,,"LINESTRING (31.95395 41.2186371, 31.9536225 41.2185524)",,
727330985,residential,False,False,70.306,,"LINESTRING (31.95395 41.2186371, 31.953966 41.2186058, 31.9540626 41.2184363, 31.9541591 41.2182043, 31.9542276 41.218041)",,
727330985,residential,False,True,46.779,,"LINESTRING (31.95395 41.2186371, 31.9538158 41.2188983, 31.9537534 41.2190309)",,
727330988,residential,False,False,101.309,,"LINESTRING (31.95395 41.2186371, 31.9543549 41.2187369, 31.9546902 41.2188035, 31.9548672 41.2188539, 31.955055 41.218977)",,
727330988,residential,False,False,28.966,,"LINESTRING (31.9536225 41.2185524, 31.95395 41.2186371)",,
727330984,residential,False,False,78.50999999999999,,"LINESTRING (31.9536225 41.2185524, 31.9536683 41.2184948, 31.953797 41.2182446, 31.9540045 41.2179084)",,
727330984,residential,False,True,52.757,,"LINESTRING (31.9536225 41.2185524, 31.9535288 41.2186704, 31.9533947 41.2188096, 31.9532716 41.2189463)",,
727330988,residential,False,True,32.983,,"LINESTRING (31.9536225 41.2185524, 31.9535731 41.2185231, 31.9534376 41.2184444, 31.9533248 41.2183588)",,
494975847,residential,False,False,30.437,,"LINESTRING (31.9540045 41.2179084, 31.9537106 41.217747)",,
494975847,residential,False,True,23.783,,"LINESTRING (31.9540045 41.2179084, 31.9542276 41.218041)",,
727330984,residential,False,True,78.50999999999999,,"LINESTRING (31.9540045 41.2179084, 31.953797 41.2182446, 31.9536683 41.2184948, 31.9536225 41.2185524)",,
727330987,residential,False,True,55.96,,"LINESTRING (31.9532716 41.2189463, 31.9528263 41.2185707)",,
727330984,residential,False,False,52.757000000000005,,"LINESTRING (31.9532716 41.2189463, 31.9533947 41.2188096, 31.9535288 41.2186704, 31.9536225 41.2185524)",,
727330987,residential,False,False,20.791,,"LINESTRING (31.9532716 41.2189463, 31.9533008 41.218971, 31.9533119 41.2191247)",,
494975847,residential,False,False,23.783,,"LINESTRING (31.9542276 41.218041, 31.9540045 41.2179084)",,
494975847,residential,False,True,90.858,,"LINESTRING (31.9542276 41.218041, 31.9552423 41.2183327)",,
727330985,residential,False,False,59.278000000000006,,"LINESTRING (31.9542276 41.218041, 31.9543201 41.2178855, 31.9545703 41.2175754)",,
727330985,residential,False,True,70.306,,"LINESTRING (31.9542276 41.218041, 31.9541591 41.2182043, 31.9540626 41.2184363, 31.953966 41.2186058, 31.95395 41.2186371)",,
727330985,residential,False,False,32.152,,"LINESTRING (31.9535996 41.2192959, 31.9537534 41.2190309)",,
727330986,residential,False,True,30.683,,"LINESTRING (31.9535996 41.2192959, 31.9533119 41.2191247)",,
727330986,residential,False,False,77.364,,"LINESTRING (31.9535996 41.2192959, 31.9542879 41.2197054, 31.954328 41.2197244)",,
727330986,residential,False,True,44.328,,"LINESTRING (31.954776 41.2199374, 31.954328 41.2197244)",,
727330983,residential,False,False,126.898,,"LINESTRING (31.954776 41.2199374, 31.9549906 41.2196771, 31.9551811 41.2193301, 31.9553232 41.2190799, 31.9553849 41.2188983)",,
727330983,residential,False,True,93.881,,"LINESTRING (31.954776 41.2199374, 31.9546366 41.2200826, 31.9544005 41.2202703, 31.9540974 41.2206072)",,
727330986,residential,False,False,30.683,,"LINESTRING (31.9533119 41.2191247, 31.9535996 41.2192959)",,
