osmid,oneway,highway,maxspeed,reversed,length,ref,name,geometry,bridge,lanes,junction
250773266,False,secondary,40,False,97.60700000000001,O 2559,Kållandsgatan,"LINESTRING (13.1555293 58.5064202, 13.1559545 58.5062893, 13.1560099 58.5062724, 13.1560475 58.5062606, 13.1565486 58.506107, 13.1569771 58.5059747)",,,
250773266,False,secondary,40,True,109.956,O 2559,Kållandsgatan,"LINESTRING (13.1555293 58.5064202, 13.1548616 58.5066489, 13.1543308 58.5068505, 13.1539807 58.5069882)",,,
45420761,True,unclassified,40,False,126.573,,Fiskaregatan,"LINESTRING (13.1561251 58.5070706, 13.1570947 58.50809)",,,
45420743,False,unclassified,40,True,80.19,,Fiskaregatan,"LINESTRING (13.1561251 58.5070706, 13.1559931 58.5069164, 13.1559353 58.5068538, 13.1558571 58.5067638, 13.1555293 58.5064202)",,,
26431082,False,residential,40,False,69.946,,Karlagatan,"LINESTRING (13.1647612 58.5027151, 13.1636842 58.5029963)",,,
1142106341,False,residential,40,False,48.546,,Hagagatan,"LINESTRING (13.1647612 58.5027151, 13.1651283 58.5031073)",,,
885327426,False,residential,40,False,20.181,,Hagagatan,"LINESTRING (13.1651283 58.5031073, 13.1652853 58.5032692)",,,
1142106341,False,residential,40,True,48.546,,Hagagatan,"LINESTRING (13.1651283 58.5031073, 13.1647612 58.5027151)",,,
27570905,False,residential,40,False,152.514,,Källaregatan,"LINESTRING (13.1515602 58.5063182, 13.149254 58.5069738)",,,
32552437,False,residential,40,False,45.72,,Kvarngatan,"LINESTRING (13.1515602 58.5063182, 13.1511971 58.5059534)",,,
27570905,False,residential,40,True,94.405,,Källaregatan,"LINESTRING (13.1515602 58.5063182, 13.1522535 58.5061254, 13.1525713 58.5060385, 13.1527524 58.5059846, 13.1529837 58.5059092)",,,
32552437,False,residential,40,True,135.856,,Kvarngatan,"LINESTRING (13.1515602 58.5063182, 13.1521068 58.5068312, 13.1523602 58.5070764, 13.1524132 58.5071288, 13.1524399 58.5071553, 13.1524962 58.507219, 13.1525177 58.5072646, 13.152519 58.5073052, 13.1525024 58.5073521, 13.1524556 58.5074084)",,,
32552437,False,residential,40,True,45.72,,Kvarngatan,"LINESTRING (13.1511971 58.5059534, 13.1515602 58.5063182)",,,
32552441,True,residential,5,False,122.57499999999999,,Nålmakaregatan,"LINESTRING (13.1577149 58.5044974, 13.1581704 58.5049757, 13.1586584 58.5054834)",,,
43261561,True,living_street,5,False,34.718,,Nya Stadens torg,"LINESTRING (13.1577149 58.5044974, 13.1573789 58.5045853, 13.1572132 58.5046287, 13.1571809 58.5046376)",,,
"[42557297, 1227781178, 1227781179, 32471846]",False,unclassified,40,True,82.37299999999999,,Östra hamnen,"LINESTRING (13.162393 58.5053089, 13.1622724 58.5051672, 13.162226 58.50511, 13.1621889 58.5050466, 13.1621418 58.5049335, 13.1621217 58.5048587, 13.1621147 58.5048077, 13.1620991 58.5047359, 13.1620775 58.5046533, 13.1620562 58.5045951)",,,
27570902,False,residential,40,False,71.572,,Silversköldsgatan,"LINESTRING (13.151248 58.5041137, 13.1517971 58.5046899)",,,
27570902,False,residential,40,True,73.509,,Silversköldsgatan,"LINESTRING (13.151248 58.5041137, 13.1510228 58.5038874, 13.1509387 58.5038009, 13.1506731 58.5035248)",,,
35718086,True,living_street,5,False,71.132,,Mellbygatan,"LINESTRING (13.1555919 58.5029844, 13.1550483 58.5024112)",,,
38526500,False,residential,40,False,36.517,,Sveagatan,"LINESTRING (13.1555919 58.5029844, 13.1561606 58.5028445)",,,
32451000,True,residential,40,False,68.805,,Järnvägsgatan,"LINESTRING (13.1625842 58.5032803, 13.1630969 58.5038381)",,,
26431082,False,residential,40,False,12.02,,Karlagatan,"LINESTRING (13.1625842 58.5032803, 13.1624835 58.5033152, 13.1624112 58.5033396)",,,
26431082,False,residential,40,True,71.28,,Karlagatan,"LINESTRING (13.1625842 58.5032803, 13.1626293 58.5032687, 13.1636842 58.5029963)",,,
26431082,False,residential,40,False,76.875,,Karlagatan,"LINESTRING (13.1624112 58.5033396, 13.1612358 58.5036572)",,,
26431082,False,residential,40,True,12.02,,Karlagatan,"LINESTRING (13.1624112 58.5033396, 13.1624835 58.5033152, 13.1625842 58.5032803)",,,
32450997,True,residential,40,False,72.429,,Järnvägsgatan,"LINESTRING (13.1624112 58.5033396, 13.1620895 58.5030138, 13.1618465 58.5027589)",,,
26431082,False,residential,40,True,76.875,,Karlagatan,"LINESTRING (13.1612358 58.5036572, 13.1624112 58.5033396)",,,
42557110,False,tertiary,40,False,81.54100000000001,O 2602,Östra hamnen,"LINESTRING (13.1612358 58.5036572, 13.1616944 58.5041551, 13.1617847 58.504265, 13.1618309 58.5043212)",,,
42557110,False,tertiary,40,True,74.272,O 2602,Östra hamnen,"LINESTRING (13.1612358 58.5036572, 13.1609257 58.5033194, 13.1607381 58.5031216, 13.1606764 58.5030566)",,,
35819051,True,secondary_link,40,False,64.919,,,"LINESTRING (13.1537941 58.501078, 13.1540591 58.5011983, 13.1542031 58.5012587, 13.1543301 58.5013007, 13.1544473 58.5013246, 13.1545651 58.5013348, 13.1547506 58.5013433)",,,
38107609,False,secondary,40,True,29.881999999999998,44.03,Mellbygatan,"LINESTRING (13.1537941 58.501078, 13.1535935 58.5008689, 13.1535646 58.5008375)",,,
"[43308689, 43308703]",False,secondary,40,False,51.26199999999999,44.03,Mellbygatan,"LINESTRING (13.1537941 58.501078, 13.1538543 58.5011376, 13.1540624 58.5013602, 13.1540991 58.5013994, 13.1541821 58.501492)",,,
35819050,False,secondary,40,True,36.93599999999999,44.05,Esplanaden,"LINESTRING (13.1547506 58.5013433, 13.1544512 58.5014223, 13.1544009 58.5014356, 13.1541821 58.501492)",,,
38530554,False,secondary,40,False,78.042,44.05,Esplanaden,"LINESTRING (13.1547506 58.5013433, 13.1556981 58.5010961, 13.1559506 58.5010279)",,,
39043353,False,tertiary,40,False,37.207,O 2558,Esplanaden,"LINESTRING (13.1530409 58.5017945, 13.1536131 58.5016442)",,2,
37238042,False,residential,40,False,45.475,,Norra Torngatan,"LINESTRING (13.1530409 58.5017945, 13.1531741 58.5019253, 13.1534062 58.5021562)",,,
39043353,False,tertiary,40,True,79.001,O 2558,Esplanaden,"LINESTRING (13.1530409 58.5017945, 13.1526931 58.5018886, 13.151824 58.5021115)",,2,
38325312,False,residential,40,False,35.386,,Götgatan,"LINESTRING (13.1539189 58.5026938, 13.1544685 58.5025566)",,,
38325189,True,residential,40,False,142.501,,Norra Torngatan,"LINESTRING (13.1539189 58.5026938, 13.1544738 58.5032744, 13.1550145 58.5038404)",,,
27588061,True,residential,40,False,34.959,,Grevhusgatan,"LINESTRING (13.1550145 58.5038404, 13.1555552 58.5037024)",,,
38325189,True,residential,40,False,138.01,,Norra Torngatan,"LINESTRING (13.1550145 58.5038404, 13.1555072 58.5043693, 13.1560557 58.504956)",,,
27588066,True,residential,40,False,35.778,,Källaregatan,"LINESTRING (13.1560557 58.504956, 13.1555054 58.5051005)",,,
39267714,False,residential,40,False,125.51299999999999,,Norra Torngatan,"LINESTRING (13.1560557 58.504956, 13.1562084 58.5051053, 13.156364 58.5052665, 13.1566403 58.5055773, 13.1566992 58.5056476, 13.156777 58.5057632, 13.1568441 58.5058592, 13.1569771 58.5059747)",,,
250773266,False,secondary,40,False,38.337,O 2559,Kållandsgatan,"LINESTRING (13.1569771 58.5059747, 13.1575506 58.5058041)",,,
39267714,False,residential,40,True,125.513,,Norra Torngatan,"LINESTRING (13.1569771 58.5059747, 13.1568441 58.5058592, 13.156777 58.5057632, 13.1566992 58.5056476, 13.1566403 58.5055773, 13.156364 58.5052665, 13.1562084 58.5051053, 13.1560557 58.504956)",,,
250773266,False,secondary,40,True,97.607,O 2559,Kållandsgatan,"LINESTRING (13.1569771 58.5059747, 13.1565486 58.506107, 13.1560475 58.5062606, 13.1560099 58.5062724, 13.1559545 58.5062893, 13.1555293 58.5064202)",,,
38107604,True,residential,40,False,112.936,,Målaregatan,"LINESTRING (13.1527022 58.5030176, 13.1521732 58.5024777, 13.151824 58.5021115)",,,
37238042,False,residential,40,True,45.475,,Norra Torngatan,"LINESTRING (13.1534062 58.5021562, 13.1531741 58.5019253, 13.1530409 58.5017945)",,,
38325189,True,residential,40,False,66.789,,Norra Torngatan,"LINESTRING (13.1534062 58.5021562, 13.1536549 58.5024127, 13.1539189 58.5026938)",,,
38325161,False,residential,40,True,87.528,,Ekebergsallén,"LINESTRING (13.1493237 58.4997944, 13.1506779 58.4994495)",,,
38608683,False,residential,40,False,98.05,,Vattugatan,"LINESTRING (13.1493237 58.4997944, 13.150073 58.5005845)",,,
38325161,False,residential,40,False,34.327,,Ekebergsallén,"LINESTRING (13.1513947 58.4992621, 13.1508702 58.4994042)",,,
38608677,False,residential,40,True,89.706,,Trädgårdsgatan,"LINESTRING (13.1502541 58.5005873, 13.1516458 58.5002379)",,,
38608677,False,residential,40,False,10.859,,Trädgårdsgatan,"LINESTRING (13.1502541 58.5005873, 13.1501511 58.5005976, 13.150073 58.5005845)",,,
38608969,False,residential,40,False,109.074,,Vattugatan,"LINESTRING (13.1502541 58.5005873, 13.1510513 58.5014242, 13.1510931 58.5014648)",,,
38325190,True,residential,40,False,71.811,,Vinbergsgatan,"LINESTRING (13.1566893 58.5027064, 13.1572376 58.5032852)",,,
38526500,False,residential,40,False,33.105,,Sveagatan,"LINESTRING (13.1566893 58.5027064, 13.1572011 58.5025755)",,,
38526500,False,residential,40,True,34.339,,Sveagatan,"LINESTRING (13.1566893 58.5027064, 13.1561606 58.5028445)",,,
35819122,False,unclassified,40,True,73.076,,Älvgatan,"LINESTRING (13.1577729 58.5024297, 13.1572307 58.5018367)",,,
38526500,False,residential,40,True,36.964,,Sveagatan,"LINESTRING (13.1577729 58.5024297, 13.1572011 58.5025755)",,,
35819122,False,unclassified,40,False,75.125,,Älvgatan,"LINESTRING (13.1577729 58.5024297, 13.1581405 58.5027969, 13.1582337 58.5029241, 13.1582281 58.5029929, 13.1582159 58.5030487)",,,
41927880,True,residential,40,False,102.474,,Vinbergsgatan,"LINESTRING (13.1561221 58.5021268, 13.1553548 58.501297)",,,
1144770765,False,residential,40,False,34.296,,Götgatan,"LINESTRING (13.1561221 58.5021268, 13.1566584 58.5019979)",,,
38526500,False,residential,40,False,34.339,,Sveagatan,"LINESTRING (13.1561606 58.5028445, 13.1566893 58.5027064)",,,
38526500,False,residential,40,True,36.517,,Sveagatan,"LINESTRING (13.1561606 58.5028445, 13.1555919 58.5029844)",,,
38532329,True,residential,40,False,71.249,,Kylandersgatan,"LINESTRING (13.1561606 58.5028445, 13.1567041 58.5034189)",,,
38107604,True,residential,40,False,71.093,,Målaregatan,"LINESTRING (13.1532739 58.5035829, 13.1527022 58.5030176)",,,
38526498,True,residential,40,False,67.02,,Sveagatan,"LINESTRING (13.1532739 58.5035829, 13.1522416 58.503852)",,,
4526549,False,secondary,40,False,83.737,44.05,Wennerbergsvägen,"LINESTRING (13.159846 58.5002151, 13.1605474 58.5000939, 13.1612143 58.4999785)",,,
4526549,False,secondary,40,True,93.191,44.05,Wennerbergsvägen,"LINESTRING (13.159846 58.5002151, 13.1587009 58.5004224, 13.1583304 58.5004895)",,,
38325937,False,residential,30,False,91.768,,Prästgårdsgatan,"LINESTRING (13.159846 58.5002151, 13.1597625 58.5001285, 13.1591518 58.4994738)",,,
55880162,False,tertiary,40,False,131.668,O 2602,Hamngatan,"LINESTRING (13.1573735 58.4994164, 13.1581965 58.5003513, 13.1582185 58.5003763, 13.1582707 58.5004355, 13.1583304 58.5004895)",,,
39043353,False,tertiary,40,True,37.207,O 2558,Esplanaden,"LINESTRING (13.1536131 58.5016442, 13.1530409 58.5017945)",,2,
38526669,False,residential,40,False,56.72,,Särnmarksgatan,"LINESTRING (13.1536131 58.5016442, 13.1536705 58.5017042, 13.1540425 58.5021023)",,1,
38526687,False,tertiary,40,False,37.137,O 2558,Esplanaden,"LINESTRING (13.1536131 58.5016442, 13.1538491 58.5015812, 13.1539332 58.5015588, 13.1541821 58.501492)",,,
38325312,False,residential,40,False,37.363,,Götgatan,"LINESTRING (13.1544685 58.5025566, 13.1550483 58.5024112)",,,
38325312,False,residential,40,True,35.386,,Götgatan,"LINESTRING (13.1544685 58.5025566, 13.1539189 58.5026938)",,,
32538350,True,residential,40,False,65.009,,Götgatan,"LINESTRING (13.1506731 58.5035248, 13.1516784 58.503268)",,,
27570902,False,residential,40,False,73.509,,Silversköldsgatan,"LINESTRING (13.1506731 58.5035248, 13.1509387 58.5038009, 13.1510228 58.5038874, 13.151248 58.5041137)",,,
27570902,False,residential,40,True,109.16799999999999,,Silversköldsgatan,"LINESTRING (13.1506731 58.5035248, 13.1500542 58.5029537, 13.1500216 58.5029237, 13.1497471 58.5026705)",,,
27570903,False,residential,40,False,70.561,,Särnmarksgatan,"LINESTRING (13.1550317 58.5031298, 13.1555552 58.5037024)",,,
27570903,False,residential,40,True,70.561,,Särnmarksgatan,"LINESTRING (13.1555552 58.5037024, 13.1550317 58.5031298)",,,
27570903,False,residential,40,False,137.723,,Särnmarksgatan,"LINESTRING (13.1555552 58.5037024, 13.1560725 58.5042266, 13.1566159 58.50481)",,,
27588061,True,residential,40,False,36.945,,Grevhusgatan,"LINESTRING (13.1555552 58.5037024, 13.1560013 58.5035929, 13.1561307 58.503561)",,,
39043353,False,tertiary,40,False,64.126,O 2558,Esplanaden,"LINESTRING (13.1508374 58.5023701, 13.151824 58.5021115)",,2,
39043353,False,tertiary,40,True,20.795,O 2558,Esplanaden,"LINESTRING (13.1508374 58.5023701, 13.1505156 58.502452)",,2,
38531693,True,residential,40,False,111.155,,Vallgatan,"LINESTRING (13.1508374 58.5023701, 13.1511572 58.5027116, 13.1516784 58.503268)",,,
32538350,True,residential,40,False,65.671,,Götgatan,"LINESTRING (13.1516784 58.503268, 13.1527022 58.5030176)",,,
38531693,True,residential,40,False,72.715,,Vallgatan,"LINESTRING (13.1516784 58.503268, 13.1522416 58.503852)",,,
38526498,True,residential,40,False,64.641,,Sveagatan,"LINESTRING (13.1522416 58.503852, 13.151248 58.5041137)",,,
38531693,True,residential,40,False,71.165,,Vallgatan,"LINESTRING (13.1522416 58.503852, 13.1527748 58.5044282)",,,
27588061,True,residential,40,False,68.346,,Grevhusgatan,"LINESTRING (13.1527748 58.5044282, 13.1538321 58.5041586)",,,
38531693,True,residential,40,False,136.94299999999998,,Vallgatan,"LINESTRING (13.1527748 58.5044282, 13.1532512 58.5049341, 13.1532624 58.504943, 13.1538223 58.5055314)",,,
38531851,False,residential,40,False,115.527,,Vallgatan,"LINESTRING (13.1538223 58.5055314, 13.1546969 58.5064645)",,,
27588066,True,residential,40,False,64.326,,Källaregatan,"LINESTRING (13.1538223 58.5055314, 13.1535155 58.5056693, 13.1532305 58.5057972, 13.1529837 58.5059092)",,,
38531851,False,residential,40,True,115.527,,Vallgatan,"LINESTRING (13.1546969 58.5064645, 13.1538223 58.5055314)",,,
"[956119814, 32552431]",False,residential,40,True,85.327,,Kylandersgatan,"LINESTRING (13.1551916 58.5018415, 13.1548102 58.5014385, 13.1553548 58.501297)",,,
36002776,False,residential,40,True,91.728,,Rådagatan,"LINESTRING (13.1510931 58.5014648, 13.152515 58.5011062)",,,
36002776,False,residential,40,False,96.67699999999999,,Rådagatan,"LINESTRING (13.1510931 58.5014648, 13.1508413 58.5015271, 13.1507099 58.5015523, 13.1506245 58.5015629, 13.1494709 58.5016138)",,,
38608969,False,residential,40,False,83.88600000000001,,Vattugatan,"LINESTRING (13.1510931 58.5014648, 13.1511485 58.5015021, 13.1517137 58.5020531, 13.151824 58.5021115)",,,
38608969,False,residential,40,True,109.074,,Vattugatan,"LINESTRING (13.1510931 58.5014648, 13.1510513 58.5014242, 13.1502541 58.5005873)",,,
38608677,False,residential,40,False,70.876,,Trädgårdsgatan,"LINESTRING (13.1527282 58.4999439, 13.1516458 58.5002379)",,,
40349284,False,secondary,40,False,110.60900000000001,44.03,Mellbygatan,"LINESTRING (13.1527282 58.4999439, 13.1532855 58.5005368, 13.1535268 58.5007964, 13.1535646 58.5008375)",,,
38608683,False,residential,40,True,98.05,,Vattugatan,"LINESTRING (13.150073 58.5005845, 13.1493237 58.4997944)",,,
38608677,False,residential,40,True,10.859,,Trädgårdsgatan,"LINESTRING (13.150073 58.5005845, 13.1501511 58.5005976, 13.1502541 58.5005873)",,,
39653135,False,tertiary,40,False,35.625,O 2558,Esplanaden,"LINESTRING (13.1491958 58.5028108, 13.1497471 58.5026705)",,2,
38325161,False,residential,40,False,87.528,,Ekebergsallén,"LINESTRING (13.1506779 58.4994495, 13.1493237 58.4997944)",,,
38325161,False,residential,40,True,12.256,,Ekebergsallén,"LINESTRING (13.1506779 58.4994495, 13.1508702 58.4994042)",,,
38325161,False,residential,40,False,12.256,,Ekebergsallén,"LINESTRING (13.1508702 58.4994042, 13.1506779 58.4994495)",,,
38325161,False,residential,40,True,34.327,,Ekebergsallén,"LINESTRING (13.1508702 58.4994042, 13.1513947 58.4992621)",,,
41222887,False,residential,40,False,103.075,,Södra Torngatan,"LINESTRING (13.1508702 58.4994042, 13.1516458 58.5002379)",,,
38608677,False,residential,40,False,89.706,,Trädgårdsgatan,"LINESTRING (13.1516458 58.5002379, 13.1502541 58.5005873)",,,
38608677,False,residential,40,True,70.876,,Trädgårdsgatan,"LINESTRING (13.1516458 58.5002379, 13.1527282 58.4999439)",,,
41222887,False,residential,40,True,103.075,,Södra Torngatan,"LINESTRING (13.1516458 58.5002379, 13.1508702 58.4994042)",,,
41222887,False,residential,40,False,108.984,,Södra Torngatan,"LINESTRING (13.1516458 58.5002379, 13.1524668 58.5010675, 13.152515 58.5011062)",,,
36002776,False,residential,40,False,91.728,,Rådagatan,"LINESTRING (13.152515 58.5011062, 13.1510931 58.5014648)",,,
36002776,False,residential,40,True,67.906,,Rådagatan,"LINESTRING (13.152515 58.5011062, 13.1535646 58.5008375)",,,
41222887,False,residential,40,False,54.239999999999995,,Södra Torngatan,"LINESTRING (13.152515 58.5011062, 13.1525488 58.5011313, 13.1530275 58.5015139)",,,
41222887,False,residential,40,True,108.984,,Södra Torngatan,"LINESTRING (13.152515 58.5011062, 13.1524668 58.5010675, 13.1516458 58.5002379)",,,
32552431,False,residential,40,True,34.372,,,"LINESTRING (13.1553548 58.501297, 13.1558807 58.5011554)",,,
"[956119814, 32552431]",False,residential,40,False,85.327,,Kylandersgatan,"LINESTRING (13.1553548 58.501297, 13.1548102 58.5014385, 13.1551916 58.5018415)",,,
41927878,False,residential,40,True,71.548,,Magasinsgatan,"LINESTRING (13.1566584 58.5019979, 13.1572011 58.5025755)",,,
1144770765,False,residential,40,False,37.772,,Götgatan,"LINESTRING (13.1566584 58.5019979, 13.1572307 58.5018367)",,,
1144770765,False,residential,40,True,34.296,,Götgatan,"LINESTRING (13.1566584 58.5019979, 13.1561221 58.5021268)",,,
41927878,False,residential,40,False,104.008,,Magasinsgatan,"LINESTRING (13.1566584 58.5019979, 13.1559066 58.5011834, 13.1558807 58.5011554)",,,
32552431,False,residential,40,False,34.372,,,"LINESTRING (13.1558807 58.5011554, 13.1553548 58.501297)",,,
41927878,False,residential,40,True,104.008,,Magasinsgatan,"LINESTRING (13.1558807 58.5011554, 13.1559066 58.5011834, 13.1566584 58.5019979)",,,
38526500,False,residential,40,False,36.964,,Sveagatan,"LINESTRING (13.1572011 58.5025755, 13.1577729 58.5024297)",,,
38526500,False,residential,40,True,33.105,,Sveagatan,"LINESTRING (13.1572011 58.5025755, 13.1566893 58.5027064)",,,
41793401,True,residential,40,False,72.325,,Magasinsgatan,"LINESTRING (13.1572011 58.5025755, 13.1577445 58.5031607)",,,
41927878,False,residential,40,False,71.548,,Magasinsgatan,"LINESTRING (13.1572011 58.5025755, 13.1566584 58.5019979)",,,
38325937,False,residential,30,True,91.768,,Prästgårdsgatan,"LINESTRING (13.1591518 58.4994738, 13.1597625 58.5001285, 13.159846 58.5002151)",,,
41959186,False,residential,40,True,73.099,,Repslagaregatan,"LINESTRING (13.1537875 58.5048076, 13.1543638 58.505392)",,,
27588066,True,residential,40,False,37.275,,Källaregatan,"LINESTRING (13.1555054 58.5051005, 13.1549291 58.5052479)",,,
41959185,False,residential,40,False,34.571,,,"LINESTRING (13.1555054 58.5051005, 13.1557711 58.5053787)",,,
41959185,False,residential,40,True,34.571,,,"LINESTRING (13.1557711 58.5053787, 13.1555054 58.5051005)",,,
41959183,True,residential,5,False,85.25,,Sparbanksgatan,"LINESTRING (13.1582315 58.5043458, 13.158894 58.5050299)",,,
43261561,True,living_street,5,False,34.421,,Nya Stadens torg,"LINESTRING (13.1582315 58.5043458, 13.1577149 58.5044974)",,,
43261561,True,living_street,5,False,32.66,,Nya Stadens torg,"LINESTRING (13.1587289 58.5042089, 13.1582315 58.5043458)",,,
51514437,True,secondary,40,False,31.604999999999997,44.05,Wennerbergsvägen,"LINESTRING (13.1645065 58.4994635, 13.1645809 58.4994571, 13.1647197 58.4994403, 13.1648357 58.4994361, 13.1650449 58.4994445)",,,
35819122,False,unclassified,40,False,113.106,,Älvgatan,"LINESTRING (13.1564175 58.5009125, 13.156517 58.5010256, 13.1572307 58.5018367)",,,
38530555,False,secondary,40,True,30.008,44.05,Esplanaden,"LINESTRING (13.1564175 58.5009125, 13.1561225 58.5009854, 13.1559506 58.5010279)",,,
"[4526552, 43308852, 4526549]",False,secondary,40,False,120.77600000000001,44.05,"['Wennerbergsvägen', 'Wennerbergsbron', 'Esplanaden']","LINESTRING (13.1564175 58.5009125, 13.1567183 58.5008304, 13.1567412 58.5008253, 13.1573887 58.5006824, 13.157752 58.5006042, 13.1579037 58.5005731, 13.1581381 58.500525, 13.1583304 58.5004895)",yes,,
43694015,False,residential,5,True,21.616,,Bryggerigatan,"LINESTRING (13.1595783 58.5050672, 13.159406 58.5048949)",,,
43694014,False,residential,5,True,20.307,,Sparbanksgatan,"LINESTRING (13.1590372 58.5051965, 13.158894 58.5050299)",,,
43694014,False,residential,5,False,20.307,,Sparbanksgatan,"LINESTRING (13.158894 58.5050299, 13.1590372 58.5051965)",,,
43694015,False,residential,5,False,21.616,,Bryggerigatan,"LINESTRING (13.159406 58.5048949, 13.1595783 58.5050672)",,,
41959184,True,residential,5,False,85.906,,Bryggerigatan,"LINESTRING (13.159406 58.5048949, 13.1593949 58.504872, 13.1592648 58.5047333, 13.159073 58.5045392, 13.1587289 58.5042089)",,,
32471841,True,secondary,40,False,17.602,O 2559,Östra hamnen,"LINESTRING (13.1620963 58.5043188, 13.1621588 58.504341, 13.162208 58.5043711, 13.1622405 58.5044069, 13.1622538 58.5044459)",,,roundabout
32471842,True,secondary,40,False,114.649,O 2559,Rörstrandsgatan,"LINESTRING (13.1620963 58.5043188, 13.1622301 58.5043166, 13.1623169 58.5043048, 13.1624117 58.5042824, 13.1628733 58.5041551, 13.1632157 58.5040739, 13.1634338 58.5040366, 13.1639458 58.5039939)",,,
32471841,True,secondary,40,False,21.579,O 2559,Östra hamnen,"LINESTRING (13.1622538 58.5044459, 13.1622429 58.5044941, 13.1622031 58.504538, 13.1621387 58.5045729, 13.1620562 58.5045951)",,,roundabout
"[51427109, 51427111]",False,secondary,40,True,103.726,O 2559,Rörstrandsgatan,"LINESTRING (13.1657134 58.5038625, 13.1654578 58.5038828, 13.1646778 58.5039352, 13.1639458 58.5039939)",,,
885327427,False,residential,40,True,70.85999999999999,,Hagagatan,"LINESTRING (13.1657134 58.5038625, 13.1656795 58.5037479, 13.1656315 58.5036776, 13.1655109 58.5035357, 13.1653878 58.5033887, 13.1652853 58.5032692)",,,
36002163,False,secondary,40,True,65.503,44.05,Wennerbergsvägen,"LINESTRING (13.1640641 58.4995443, 13.1636236 58.4995821, 13.1633665 58.4996071, 13.1630232 58.499638, 13.1629525 58.4996422)",,,
51514437,True,secondary,40,False,27.564,44.05,Wennerbergsvägen,"LINESTRING (13.1640641 58.4995443, 13.1642389 58.4994922, 13.1645065 58.4994635)",,,
51514434,True,secondary,40,False,59.551,44.05,Wennerbergsvägen,"LINESTRING (13.1650449 58.4994445, 13.1648599 58.4995062, 13.1646037 58.4995356, 13.1644227 58.499551, 13.1642403 58.4995545, 13.1640641 58.4995443)",,,
41222887,False,residential,40,True,54.239999999999995,,Södra Torngatan,"LINESTRING (13.1530275 58.5015139, 13.1525488 58.5011313, 13.152515 58.5011062)",,,
39043353,False,tertiary,40,True,64.126,O 2558,Esplanaden,"LINESTRING (13.151824 58.5021115, 13.1508374 58.5023701)",,2,
38608969,False,residential,40,True,83.88600000000001,,Vattugatan,"LINESTRING (13.151824 58.5021115, 13.1517137 58.5020531, 13.1511485 58.5015021, 13.1510931 58.5014648)",,,
39043353,False,tertiary,40,False,79.001,O 2558,Esplanaden,"LINESTRING (13.151824 58.5021115, 13.1526931 58.5018886, 13.1530409 58.5017945)",,2,
32450996,True,unclassified,40,False,75.285,,Gamla Stadens Torg,"LINESTRING (13.161613 58.5025151, 13.1604646 58.5028288)",,,
32451002,True,residential,40,False,38.624,,Nikolaigatan,"LINESTRING (13.161613 58.5025151, 13.1613127 58.5022052)",,,
27570908,False,residential,40,False,75.608,,Skaragatan,"LINESTRING (13.1606764 58.5030566, 13.160912 58.5029967, 13.1618465 58.5027589)",,,
42557110,False,tertiary,40,False,74.27199999999999,O 2602,Östra hamnen,"LINESTRING (13.1606764 58.5030566, 13.1607381 58.5031216, 13.1609257 58.5033194, 13.1612358 58.5036572)",,,
885327420,False,tertiary,40,True,28.16,O 2602,Östra hamnen,"LINESTRING (13.1606764 58.5030566, 13.1606288 58.5030055, 13.1604646 58.5028288)",,,
36002164,True,secondary,40,False,12.492,44.05,,"LINESTRING (13.1627975 58.4995875, 13.1628238 58.4995847, 13.1628507 58.4995851, 13.1628767 58.4995886, 13.1629006 58.4995951, 13.162921 58.4996042, 13.162937 58.4996155, 13.1629477 58.4996284, 13.1629525 58.4996422)",,,roundabout
36002163,False,secondary,40,False,65.503,44.05,Wennerbergsvägen,"LINESTRING (13.1629525 58.4996422, 13.1630232 58.499638, 13.1633665 58.4996071, 13.1636236 58.4995821, 13.1640641 58.4995443)",,,
36002164,True,secondary,40,False,19.205000000000005,44.05,,"LINESTRING (13.1629525 58.4996422, 13.1629508 58.4996579, 13.1629415 58.4996728, 13.1629254 58.499686, 13.1629034 58.4996967, 13.1628769 58.4997042, 13.1628477 58.4997079, 13.1628177 58.4997077, 13.1627887 58.4997036, 13.1627627 58.4996958, 13.1627412 58.4996848, 13.1627257 58.4996713)",,,roundabout
4526549,False,secondary,40,True,94.286,44.05,Wennerbergsvägen,"LINESTRING (13.1627257 58.4996713, 13.162654 58.4996877, 13.1620692 58.4998214, 13.1612143 58.4999785)",,,
36002164,True,secondary,40,False,11.468,44.05,,"LINESTRING (13.1627257 58.4996713, 13.1627175 58.4996572, 13.162716 58.4996425, 13.1627211 58.499628, 13.1627326 58.4996146, 13.1627499 58.4996029, 13.1627719 58.4995937, 13.1627975 58.4995875)",,,roundabout
1142106344,True,residential,40,False,56.253,,Särnmarksgatan,"LINESTRING (13.1540425 58.5021023, 13.1544685 58.5025566)",,1,
38526669,False,residential,40,True,56.72,,Särnmarksgatan,"LINESTRING (13.1540425 58.5021023, 13.1536705 58.5017042, 13.1536131 58.5016442)",,1,
27588061,True,residential,40,False,33.068,,Grevhusgatan,"LINESTRING (13.1561926 58.5035494, 13.1563364 58.5035127, 13.1567041 58.5034189)",,,
35819122,False,unclassified,40,True,75.125,,Älvgatan,"LINESTRING (13.1582159 58.5030487, 13.1582281 58.5029929, 13.1582337 58.5029241, 13.1581405 58.5027969, 13.1577729 58.5024297)",,,
