osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
39799616,M 2115,Köpmannagatan,tertiary,40,False,True,152.278,"LINESTRING (14.0780982 56.2538084, 14.0780398 56.2534119, 14.077897 56.2524435)",
39799655,119;M 2115,Tydingegatan,secondary,40,False,True,52.874,"LINESTRING (14.0780982 56.2538084, 14.0782462 56.2538445, 14.0789097 56.2539582)",
40117160,M 2500,Västergatan,tertiary,40,False,True,57.27,"LINESTRING (14.0718552 56.2543504, 14.0720204 56.2548572)",
127417706,119,Tydingegatan,secondary,40,False,True,86.875,"LINESTRING (14.0718552 56.2543504, 14.073245 56.2542306)",
23209361,119,Västergatan,secondary,40,False,False,75.82600000000001,"LINESTRING (14.0718552 56.2543504, 14.0718314 56.2542603, 14.0716758 56.2536758)",
40868127,,Tydingegatan,residential,40,False,False,82.025,"LINESTRING (14.0718552 56.2543504, 14.0714801 56.254403, 14.0713509 56.254422, 14.0711489 56.2544518, 14.0705705 56.254537)",
"[40117168, 40117131, 23209355]",,Kyrkogatan,residential,30,False,True,359.80100000000004,"LINESTRING (14.0786311 56.2572854, 14.0793432 56.2561664, 14.0796074 56.2557512, 14.0800524 56.2550519, 14.0804 56.2544509, 14.0805244 56.2542748, 14.0805549 56.2542316)",
40117133,,Pehr Johnssons väg,unclassified,30,False,False,154.04500000000002,"LINESTRING (14.0786311 56.2572854, 14.0790971 56.2574022, 14.079431 56.2574952, 14.0804425 56.2578959, 14.0806907 56.258046)",
"[23209356, 40117133]",,Pehr Johnssons väg,unclassified,30,False,True,145.25699999999998,"LINESTRING (14.0786311 56.2572854, 14.0785638 56.257266, 14.0771485 56.2568586, 14.0769254 56.2567813, 14.0765794 56.2566501)",
"[23209356, 40117133]",,Pehr Johnssons väg,unclassified,30,False,False,145.257,"LINESTRING (14.0765794 56.2566501, 14.0769254 56.2567813, 14.0771485 56.2568586, 14.0785638 56.257266, 14.0786311 56.2572854)",
"[42895461, 40117135]",M 2115,Storgatan,tertiary,30,False,True,188.35200000000003,"LINESTRING (14.0765794 56.2566501, 14.0766676 56.2565829, 14.0768272 56.256464, 14.0772182 56.2561729, 14.077398 56.2560401, 14.0775077 56.2559393, 14.0775967 56.2558443, 14.0776904 56.2557259, 14.0777127 56.2556949, 14.0778708 56.2554752, 14.0780305 56.2552418, 14.0780711 56.2551871)",
40117164,M 2115,Storgatan,tertiary,30,False,False,78.49199999999999,"LINESTRING (14.0765794 56.2566501, 14.0763087 56.2568619, 14.0762539 56.2569048, 14.0758053 56.2572094)",
39799616,M 2115,Köpmannagatan,tertiary,40,False,False,202.39100000000002,"LINESTRING (14.0775878 56.2506315, 14.0776929 56.251206, 14.077897 56.2524435)",
39799634,,Verkstadsgatan,residential,30,False,True,71.643,"LINESTRING (14.0775878 56.2506315, 14.0776773 56.2506244, 14.0787398 56.2505574)",
25634430,M 2113,Brogatan,tertiary,40,False,False,41.593,"LINESTRING (14.0843848 56.2558249, 14.0849114 56.2557098, 14.0850095 56.2556854)",
39863431,,Brogatan,unclassified,30,False,True,77.50500000000001,"LINESTRING (14.0843848 56.2558249, 14.0834803 56.2557208, 14.0833448 56.255695, 14.0831662 56.2556627)",
477767917,M 2113,Njuravägen,tertiary,40,False,False,188.91199999999998,"LINESTRING (14.0843848 56.2558249, 14.0845993 56.2568293, 14.0846961 56.2572827, 14.0847451 56.257512)",
