osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,ref,access
1240897455,True,,Jalan Kubu,tertiary,False,31.393,"LINESTRING (113.9841594 4.3882436, 113.983904 4.3883655)",,,
1240897455,True,,Jalan Kubu,tertiary,False,12.165,"LINESTRING (113.983904 4.3883655, 113.9838056 4.3884139)",,,
423601370,True,,High Street,tertiary,False,118.31200000000001,"LINESTRING (113.9864631 4.3928597, 113.9865137 4.3927672, 113.9865823 4.392722, 113.9872434 4.3924219, 113.9873842 4.3923626)",,,
423601373,True,,,tertiary,False,5.981999999999999,"LINESTRING (113.9864631 4.3928597, 113.9864447 4.39284, 113.9864239 4.3928229)",roundabout,,
423601373,True,,,tertiary,False,12.233,"LINESTRING (113.9861064 4.3929455, 113.9861021 4.3929819, 113.9861044 4.3930185, 113.9861133 4.3930541)",roundabout,,
"[423601372, 271954869]",True,,High Street,tertiary,False,131.822,"LINESTRING (113.9864239 4.3928229, 113.9864214 4.3926907, 113.98642 4.3926541, 113.9864188 4.3926399, 113.9864179 4.3926247, 113.9871043 4.392309, 113.9873157 4.3922086)",,,
423601373,True,,,tertiary,False,44.626000000000005,"LINESTRING (113.9864239 4.3928229, 113.9863792 4.3927987, 113.9863299 4.3927863, 113.9862791 4.3927865, 113.98623 4.3927992, 113.9861855 4.3928237, 113.9861485 4.3928585, 113.9861222 4.3928994, 113.9861064 4.3929455)",roundabout,,
423601373,True,,,tertiary,False,22.241,"LINESTRING (113.986499 4.3930488, 113.9865082 4.3929996, 113.986505 4.3929497, 113.9864896 4.3929021, 113.9864631 4.3928597)",roundabout,,
423601373,True,,,tertiary,False,6.5489999999999995,"LINESTRING (113.9864732 4.3931016, 113.9864881 4.3930761, 113.986499 4.3930488)",roundabout,,
816441660,True,,Jalan Brooke,tertiary,False,121.97900000000001,"LINESTRING (113.9864732 4.3931016, 113.9865352 4.3931233, 113.9866146 4.3931532, 113.9866492 4.3931754, 113.987004 4.393462, 113.9873072 4.3937155, 113.9873632 4.3937198)",,,
423601373,True,,,tertiary,False,17.658,"LINESTRING (113.986343 4.3931866, 113.9863934 4.3931701, 113.9864379 4.3931411, 113.9864732 4.3931016)",roundabout,,
349942357,True,2,Jalan Padang,secondary,False,145.53799999999998,"LINESTRING (113.9875011 4.389935, 113.9874036 4.3898651, 113.9872201 4.3897346, 113.9868735 4.3894713, 113.9867207 4.3893486, 113.9865987 4.3892679, 113.9865948 4.3892653, 113.9864413 4.3891638)",,,
262147133,True,,Jalan Brooke,secondary,False,23.125,"LINESTRING (113.9910072 4.39658, 113.9908622 4.3964305)",,,
568007593,False,,,secondary,False,7.356,"LINESTRING (113.9910072 4.39658, 113.9910407 4.3966371)",,,
883637243,True,2,Jalan Merbau,tertiary,False,7.986,"LINESTRING (113.9910072 4.39658, 113.9909354 4.3965858)",,,
364858787,True,1,,secondary_link,False,49.754000000000005,"LINESTRING (113.9912994 4.3965314, 113.9910325 4.3964705, 113.9908622 4.3964305)",,,
978359526,True,2,Jalan Merbau,tertiary,False,32.85,"LINESTRING (113.9912994 4.3965314, 113.9911934 4.396552, 113.9910072 4.39658)",,,
1240351919,True,,Jalan Bendahara,tertiary,False,29.347,"LINESTRING (113.9868061 4.395649, 113.986739 4.3953937)",,,
500559551,True,,,tertiary_link,False,40.906,"LINESTRING (113.9868061 4.395649, 113.9868317 4.3955555, 113.9868883 4.3954573, 113.9869687 4.3953215)",,,
"[649881178, 1232828668]",True,,Jalan Bendahara,tertiary,False,227.99800000000002,"LINESTRING (113.9866874 4.3951877, 113.9866637 4.3950825, 113.9866219 4.3948508, 113.9865967 4.3945986, 113.9865693 4.3943231, 113.9865412 4.3940891, 113.9864997 4.3937321, 113.986492 4.3937022, 113.9863238 4.3932567, 113.9863217 4.3932315, 113.986343 4.3931866)",,,
1232828667,False,,Jalan Nahkoda Gampar,tertiary,False,26.702,"LINESTRING (113.9869687 4.3953215, 113.986739 4.3953937)",,,
500559552,True,,,tertiary_link,False,36.861000000000004,"LINESTRING (113.9869687 4.3953215, 113.9868644 4.3953182, 113.9868043 4.3953029, 113.9867502 4.395266, 113.9866874 4.3951877)",,,
1232831691,False,,Jalan Nahkoda Gampar,tertiary,True,83.34299999999999,"LINESTRING (113.9869687 4.3953215, 113.987381 4.395204, 113.9876923 4.3951184)",,,
396952742,True,,Jalan Marina Utama,secondary,False,33.233000000000004,"LINESTRING (113.9849741 4.3970329, 113.985036 4.3970373, 113.9851329 4.3970295, 113.9852729 4.3970179)",,,
"[1261348035, 446750236, 1061601604]",True,,Jalan Kubu,primary,False,380.287,"LINESTRING (113.9840106 4.3887731, 113.9843351 4.3893376, 113.9846692 4.3899724, 113.9848325 4.3903053, 113.985005 4.3906628, 113.9851767 4.3910126, 113.9852521 4.391122, 113.985294 4.391188, 113.9852904 4.3912311, 113.985311 4.3912704, 113.9854028 4.3914488, 113.9854583 4.3915566, 113.985529 4.3917036, 113.9855836 4.3918021)",,,
262492604,True,2,,trunk_link,False,20.67,"LINESTRING (113.9903474 4.392417, 113.9904965 4.3925286)",,,
593984205,True,,Jalan Chia Tze Chin,secondary,False,77.54899999999999,"LINESTRING (113.9903474 4.392417, 113.9903333 4.3924634, 113.9903144 4.3925221, 113.990196 4.3926707, 113.99013 4.3927569, 113.990094 4.3927964, 113.9900376 4.3928555, 113.9899719 4.3928985, 113.9899016 4.3929272)",,,
816404047,False,,Jalan Kwangtung,unclassified,False,6.314,"LINESTRING (113.9888506 4.393475, 113.9888723 4.3935275)",,,
