osmid,highway,oneway,reversed,length,ref,junction,geometry,name
185860475,residential,False,False,109.931,,,"LINESTRING (9.7797932 7.8696288, 9.7807517 7.8699043)",
185860490,residential,False,False,94.494,,,"LINESTRING (9.7797932 7.8696288, 9.7800022 7.8688046)",
185860490,residential,False,True,10.493,,,"LINESTRING (9.7797932 7.8696288, 9.7797707 7.8697205)",
181916653,tertiary,False,False,84.794,,,"LINESTRING (9.7787565 7.869649, 9.7789914 7.8689228)",
181916653,tertiary,False,True,88.023,,,"LINESTRING (9.7787565 7.869649, 9.7785106 7.8704022)",
558732995,residential,False,False,111.995,,,"LINESTRING (9.7787565 7.869649, 9.7797707 7.8697205)",
558732997,residential,False,True,140.05,,,"LINESTRING (9.7787565 7.869649, 9.7774856 7.8696113)",
185860490,residential,False,False,10.493,,,"LINESTRING (9.7797707 7.8697205, 9.7797932 7.8696288)",
185860490,residential,False,True,84.235,,,"LINESTRING (9.7797707 7.8697205, 9.7795831 7.8704549)",
558732995,residential,False,True,111.995,,,"LINESTRING (9.7797707 7.8697205, 9.7787565 7.869649)",
185860475,residential,False,True,109.931,,,"LINESTRING (9.7807517 7.8699043, 9.7797932 7.8696288)",
185860483,unclassified,False,False,72.431,,,"LINESTRING (9.7807517 7.8699043, 9.7806124 7.8705409)",
185860483,unclassified,False,True,73.164,,,"LINESTRING (9.7807517 7.8699043, 9.7809379 7.8692727)",
181916657,unclassified,False,False,65.71,,,"LINESTRING (9.7738087 7.8699147, 9.7737787 7.8705049)",
185860471,unclassified,False,False,49.215,,,"LINESTRING (9.7738087 7.8699147, 9.774253 7.8699615)",
185860471,unclassified,False,True,53.396,,,"LINESTRING (9.7738087 7.8699147, 9.7733279 7.8698534)",
181916657,unclassified,False,True,58.458,,,"LINESTRING (9.7738087 7.8699147, 9.7738254 7.8695849, 9.773868 7.869394)",
185860471,unclassified,False,False,127.683,,,"LINESTRING (9.7762211 7.8701687, 9.7773742 7.8702863)",
185860471,unclassified,False,True,86.432,,,"LINESTRING (9.7762211 7.8701687, 9.7754408 7.8700866)",
185860473,residential,False,False,74.234,,,"LINESTRING (9.7762211 7.8701687, 9.7763613 7.8695157)",
185860473,residential,False,True,94.803,,,"LINESTRING (9.7762211 7.8701687, 9.7760872 7.8710109)",
185860471,unclassified,False,False,125.834,,,"LINESTRING (9.7773742 7.8702863, 9.7785106 7.8704022)",
185860471,unclassified,False,True,127.683,,,"LINESTRING (9.7773742 7.8702863, 9.7762211 7.8701687)",
185860474,unclassified,False,False,76.053,,,"LINESTRING (9.7773742 7.8702863, 9.7774856 7.8696113)",
185860474,unclassified,False,True,43.778,,,"LINESTRING (9.7773742 7.8702863, 9.7773156 7.8706757)",
181916653,tertiary,False,False,88.023,,,"LINESTRING (9.7785106 7.8704022, 9.7787565 7.869649)",
185860471,unclassified,False,True,125.834,,,"LINESTRING (9.7785106 7.8704022, 9.7773742 7.8702863)",
181916653,tertiary,False,True,123.132,,,"LINESTRING (9.7785106 7.8704022, 9.7784491 7.8705912, 9.7781678 7.8714562)",
185860471,unclassified,False,False,108.227,,,"LINESTRING (9.7785106 7.8704022, 9.7790339 7.8704284, 9.779492 7.8704494)",
185860471,unclassified,False,False,10.053,,,"LINESTRING (9.779492 7.8704494, 9.7795831 7.8704549)",
185860488,residential,False,True,144.359,,,"LINESTRING (9.779492 7.8704494, 9.7792358 7.8717226)",
185860471,unclassified,False,True,108.227,,,"LINESTRING (9.779492 7.8704494, 9.7790339 7.8704284, 9.7785106 7.8704022)",
185860471,unclassified,False,True,10.053,,,"LINESTRING (9.7795831 7.8704549, 9.779492 7.8704494)",
185860490,residential,False,False,84.235,,,"LINESTRING (9.7795831 7.8704549, 9.7797707 7.8697205)",
185860471,unclassified,False,False,89.901,,,"LINESTRING (9.7795831 7.8704549, 9.7802528 7.8705201, 9.7803959 7.8705268)",
181916657,unclassified,False,False,72.041,,,"LINESTRING (9.7737787 7.8705049, 9.7737634 7.8711526)",
181916657,unclassified,False,True,65.71,,,"LINESTRING (9.7737787 7.8705049, 9.7738087 7.8699147)",
559324420,unclassified,False,False,58.222,,,"LINESTRING (9.7737787 7.8705049, 9.7742948 7.870618)",
559324420,unclassified,False,True,52.798,,,"LINESTRING (9.7737787 7.8705049, 9.7733096 7.8704073)",
185860471,unclassified,False,True,23.898,,,"LINESTRING (9.7806124 7.8705409, 9.7803959 7.8705268)",
185860483,unclassified,False,True,72.431,,,"LINESTRING (9.7806124 7.8705409, 9.7807517 7.8699043)",
185860471,unclassified,False,False,114.545,,,"LINESTRING (9.7806124 7.8705409, 9.7808421 7.8705703, 9.7816273 7.8707604)",
185860474,unclassified,False,False,43.778,,,"LINESTRING (9.7773156 7.8706757, 9.7773742 7.8702863)",
185860474,unclassified,False,True,67.432,,,"LINESTRING (9.7773156 7.8706757, 9.7772233 7.8712752)",
185860489,residential,False,False,99.43,,,"LINESTRING (9.7773156 7.8706757, 9.776916 7.8707958, 9.7768215 7.8708933, 9.7766056 7.8711645)",
185860473,residential,False,False,94.803,,,"LINESTRING (9.7760872 7.8710109, 9.7762211 7.8701687)",
558733011,residential,False,True,57.849,,,"LINESTRING (9.7760872 7.8710109, 9.7760067 7.871525)",
559324420,unclassified,False,True,155.093,,,"LINESTRING (9.7760872 7.8710109, 9.7747124 7.8707096)",
559324420,unclassified,False,False,59.82299999999999,,,"LINESTRING (9.7760872 7.8710109, 9.7764635 7.8711005, 9.7766056 7.8711645)",
185860489,residential,False,False,77.48100000000001,,,"LINESTRING (9.7766056 7.8711645, 9.7765445 7.8712242, 9.7760067 7.871525)",
185860489,residential,False,True,99.43,,,"LINESTRING (9.7766056 7.8711645, 9.7768215 7.8708933, 9.776916 7.8707958, 9.7773156 7.8706757)",
559324420,unclassified,False,False,69.394,,,"LINESTRING (9.7766056 7.8711645, 9.7767201 7.8712063, 9.7772233 7.8712752)",
559324420,unclassified,False,True,59.82299999999999,,,"LINESTRING (9.7766056 7.8711645, 9.7764635 7.8711005, 9.7760872 7.8710109)",
185860474,unclassified,False,False,67.432,,,"LINESTRING (9.7772233 7.8712752, 9.7773156 7.8706757)",
185860474,unclassified,False,True,184.365,,,"LINESTRING (9.7772233 7.8712752, 9.7769532 7.8729115)",
559324420,unclassified,False,False,106.462,,,"LINESTRING (9.7772233 7.8712752, 9.777372 7.8712708, 9.7779215 7.8713891, 9.7781678 7.8714562)",
