osmid,name,highway,oneway,reversed,length,geometry,junction,maxspeed
138524157,Carter Crescent,residential,False,True,114.89,"LINESTRING (175.2260298 -40.4651678, 175.226011 -40.4648373, 175.225883 -40.4641762, 175.2258771 -40.4641423)",,
138524176,Holben Parade,residential,False,True,331.933,"LINESTRING (175.2260298 -40.4651678, 175.2258987 -40.4651989, 175.2257981 -40.4652435, 175.2257194 -40.4652955, 175.22542 -40.4655249, 175.2252739 -40.4656312, 175.2251404 -40.4656872, 175.2250733 -40.465689, 175.2249743 -40.4656831, 175.2246669 -40.4656386, 175.2242553 -40.4655737, 175.2241199 -40.4655567, 175.2240009 -40.4655233, 175.2239076 -40.465483, 175.2238649 -40.4654646, 175.223596 -40.4652668, 175.2231544 -40.4649219, 175.2230012 -40.4648153, 175.2228279 -40.4646766)",,
138524473,Nelson Street,residential,False,True,219.082,"LINESTRING (175.218567 -40.4575919, 175.2180876 -40.4588231, 175.2180435 -40.4589758, 175.2180472 -40.4595056)",,
138524463,Brown Terrace,residential,False,True,231.62900000000002,"LINESTRING (175.2198392 -40.4577179, 175.2191559 -40.4594707, 175.2190843 -40.4596099, 175.2190044 -40.4596959)",,
138524466,Dustin Street,residential,False,True,181.202,"LINESTRING (175.2210161 -40.4583277, 175.220674 -40.4592441, 175.2206446 -40.4593611, 175.2206362 -40.4594463, 175.2206997 -40.4598144, 175.2206965 -40.4599155)",,
138524478,,residential,True,False,26.005,"LINESTRING (175.2167684 -40.4593544, 175.2168376 -40.459392, 175.2168748 -40.4594368, 175.2168892 -40.4594886, 175.2168722 -40.4595505)",roundabout,
138524474,Ocean Beach Street,residential,False,False,99.614,"LINESTRING (175.2168722 -40.4595505, 175.216987 -40.4595552, 175.2177648 -40.4595112, 175.2180472 -40.4595056)",,
138524472,Nelson Street,residential,False,True,312.724,"LINESTRING (175.2180472 -40.4595056, 175.218018 -40.4623179)",,
138524473,Nelson Street,residential,False,False,219.082,"LINESTRING (175.2180472 -40.4595056, 175.2180435 -40.4589758, 175.2180876 -40.4588231, 175.218567 -40.4575919)",,
138524474,Ocean Beach Street,residential,False,False,84.84,"LINESTRING (175.2180472 -40.4595056, 175.2183619 -40.4595245, 175.2185324 -40.4595474, 175.2186496 -40.4595691, 175.2187702 -40.4596007, 175.2188728 -40.4596372, 175.2190044 -40.4596959)",,
138524474,Ocean Beach Street,residential,False,True,99.614,"LINESTRING (175.2180472 -40.4595056, 175.2177648 -40.4595112, 175.216987 -40.4595552, 175.2168722 -40.4595505)",,
138524463,Brown Terrace,residential,False,False,231.629,"LINESTRING (175.2190044 -40.4596959, 175.2190843 -40.4596099, 175.2191559 -40.4594707, 175.2198392 -40.4577179)",,
138524474,Ocean Beach Street,residential,False,False,39.815,"LINESTRING (175.2190044 -40.4596959, 175.2191322 -40.4597912, 175.2193062 -40.4599693)",,
138524474,Ocean Beach Street,residential,False,True,84.83999999999999,"LINESTRING (175.2190044 -40.4596959, 175.2188728 -40.4596372, 175.2187702 -40.4596007, 175.2186496 -40.4595691, 175.2185324 -40.4595474, 175.2183619 -40.4595245, 175.2180472 -40.4595056)",,
138524164,Dewe Terrace,residential,False,False,101.95,"LINESTRING (175.2206965 -40.4599155, 175.2219012 -40.4599367)",,
138524164,Dewe Terrace,residential,False,True,118.964,"LINESTRING (175.2206965 -40.4599155, 175.2196212 -40.4599069, 175.2195039 -40.4599136, 175.2194247 -40.4599254, 175.219345 -40.4599497, 175.2193062 -40.4599693)",,
138524466,Dustin Street,residential,False,False,181.202,"LINESTRING (175.2206965 -40.4599155, 175.2206997 -40.4598144, 175.2206362 -40.4594463, 175.2206446 -40.4593611, 175.220674 -40.4592441, 175.2210161 -40.4583277)",,
138524462,Bond Street,residential,False,True,20.022,"LINESTRING (175.2194316 -40.460122, 175.2193062 -40.4599693)",,
138524462,Bond Street,residential,False,False,280.954,"LINESTRING (175.2194316 -40.460122, 175.2197383 -40.4605369, 175.2198397 -40.4606644, 175.2199375 -40.460759, 175.220046 -40.4608517, 175.2201698 -40.4609356, 175.2202854 -40.4609977, 175.2204096 -40.4610475, 175.220544 -40.4610796, 175.2207343 -40.4610972, 175.2209026 -40.4611029, 175.2221319 -40.4611051)",,
138524476,Signal Street,residential,False,False,245.68200000000002,"LINESTRING (175.2194316 -40.460122, 175.2193437 -40.4601622, 175.2193238 -40.4601841, 175.2193162 -40.4602122, 175.2193242 -40.461175, 175.2193464 -40.4619149, 175.2193763 -40.4620209, 175.2194402 -40.4621034, 175.2195825 -40.4622332)",,
138524166,Fabrin Street,residential,False,True,131.378,"LINESTRING (175.2221319 -40.4611051, 175.221906 -40.4599611, 175.2219012 -40.4599367)",,
138524462,Bond Street,residential,False,False,177.725,"LINESTRING (175.2221319 -40.4611051, 175.2230448 -40.4611082, 175.2232922 -40.4611196, 175.2234883 -40.4611342, 175.2236735 -40.461159, 175.2238282 -40.461194, 175.2240045 -40.4612396, 175.2241901 -40.4613098)",,
138524462,Bond Street,residential,False,True,280.954,"LINESTRING (175.2221319 -40.4611051, 175.2209026 -40.4611029, 175.2207343 -40.4610972, 175.220544 -40.4610796, 175.2204096 -40.4610475, 175.2202854 -40.4609977, 175.2201698 -40.4609356, 175.220046 -40.4608517, 175.2199375 -40.460759, 175.2198397 -40.4606644, 175.2197383 -40.4605369, 175.2194316 -40.460122)",,
83598176,Holben Parade,residential,False,False,124.72,"LINESTRING (175.2195825 -40.4622332, 175.2197058 -40.4623307, 175.2198245 -40.4624111, 175.2206377 -40.4630162)",,
138524476,Signal Street,residential,False,False,24.362,"LINESTRING (175.2195825 -40.4622332, 175.2195425 -40.4622669, 175.2194207 -40.4623138, 175.2193315 -40.4623302)",,
138524476,Signal Street,residential,False,True,245.68200000000002,"LINESTRING (175.2195825 -40.4622332, 175.2194402 -40.4621034, 175.2193763 -40.4620209, 175.2193464 -40.4619149, 175.2193242 -40.461175, 175.2193162 -40.4602122, 175.2193238 -40.4601841, 175.2193437 -40.4601622, 175.2194316 -40.460122)",,
138524472,Nelson Street,residential,False,False,312.724,"LINESTRING (175.218018 -40.4623179, 175.2180472 -40.4595056)",,
138524477,Trafalgar Street,residential,False,True,111.132,"LINESTRING (175.218018 -40.4623179, 175.2193315 -40.4623302)",,
138524477,Trafalgar Street,residential,False,False,111.132,"LINESTRING (175.2193315 -40.4623302, 175.218018 -40.4623179)",,
138524476,Signal Street,residential,False,False,121.77000000000001,"LINESTRING (175.2193315 -40.4623302, 175.2193309 -40.4623888, 175.219312 -40.4634252)",,
138524476,Signal Street,residential,False,True,24.362,"LINESTRING (175.2193315 -40.4623302, 175.2194207 -40.4623138, 175.2195425 -40.4622669, 175.2195825 -40.4622332)",,
83598176,Holben Parade,residential,False,False,119.602,"LINESTRING (175.2206377 -40.4630162, 175.2216445 -40.4637713)",,
83598176,Holben Parade,residential,False,True,124.72000000000001,"LINESTRING (175.2206377 -40.4630162, 175.2198245 -40.4624111, 175.2197058 -40.4623307, 175.2195825 -40.4622332)",,
138524469,Mack Street,residential,False,False,129.86700000000002,"LINESTRING (175.2206377 -40.4630162, 175.2201915 -40.4633625, 175.2200845 -40.4634074, 175.2199914 -40.4634255, 175.2193546 -40.4634252, 175.219312 -40.4634252)",,
138524469,Mack Street,residential,False,True,129.867,"LINESTRING (175.219312 -40.4634252, 175.2193546 -40.4634252, 175.2199914 -40.4634255, 175.2200845 -40.4634074, 175.2201915 -40.4633625, 175.2206377 -40.4630162)",,
"[138524464, 138524476]","['Signal Street', 'Chrystall Street']",residential,False,"[False, True]",344.53700000000003,"LINESTRING (175.219312 -40.4634252, 175.219319 -40.4643699, 175.2194005 -40.4644729, 175.2194628 -40.4645133, 175.2195112 -40.4645242, 175.2196307 -40.4645332, 175.2206655 -40.4645131, 175.2207467 -40.4644766, 175.220832 -40.4644206, 175.2216445 -40.4637713)",,50
138524476,Signal Street,residential,False,True,121.77000000000001,"LINESTRING (175.219312 -40.4634252, 175.2193309 -40.4623888, 175.2193315 -40.4623302)",,
83598176,Holben Parade,residential,False,True,119.602,"LINESTRING (175.2216445 -40.4637713, 175.2206377 -40.4630162)",,
83598176,Holben Parade,residential,False,False,110.27799999999999,"LINESTRING (175.2216445 -40.4637713, 175.2222131 -40.4642041, 175.222354 -40.4643114, 175.2224519 -40.4643659, 175.222531 -40.4643946, 175.2226178 -40.4644152)",,
"[138524464, 138524476]","['Signal Street', 'Chrystall Street']",residential,False,"[False, True]",344.53700000000003,"LINESTRING (175.2216445 -40.4637713, 175.220832 -40.4644206, 175.2207467 -40.4644766, 175.2206655 -40.4645131, 175.2196307 -40.4645332, 175.2195112 -40.4645242, 175.2194628 -40.4645133, 175.2194005 -40.4644729, 175.219319 -40.4643699, 175.219312 -40.4634252)",,50
138524176,Holben Parade,residential,False,False,331.93300000000005,"LINESTRING (175.2228279 -40.4646766, 175.2230012 -40.4648153, 175.2231544 -40.4649219, 175.223596 -40.4652668, 175.2238649 -40.4654646, 175.2239076 -40.465483, 175.2240009 -40.4655233, 175.2241199 -40.4655567, 175.2242553 -40.4655737, 175.2246669 -40.4656386, 175.2249743 -40.4656831, 175.2250733 -40.465689, 175.2251404 -40.4656872, 175.2252739 -40.4656312, 175.22542 -40.4655249, 175.2257194 -40.4652955, 175.2257981 -40.4652435, 175.2258987 -40.4651989, 175.2260298 -40.4651678)",,
138524176,Holben Parade,residential,False,True,32.054,"LINESTRING (175.2228279 -40.4646766, 175.2227715 -40.4646211, 175.2227021 -40.4645364, 175.2227041 -40.4644181)",,
138524461,Barber Street,residential,False,True,308.18499999999995,"LINESTRING (175.2196974 -40.4653768, 175.2210274 -40.4655825, 175.2211423 -40.4655748, 175.2212285 -40.4655534, 175.2213261 -40.4655144, 175.2214764 -40.4654165, 175.2225872 -40.4645526, 175.2226178 -40.4644152)",,
