osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,bridge,maxspeed
128323278,,trunk_link,True,False,95.806,1,"LINESTRING (-57.9426782 48.9562093, -57.9426239 48.9564534, -57.9425198 48.956575, -57.9424388 48.9566083, -57.9423579 48.9566215, -57.9421746 48.9565914, -57.941938 48.9564166)",,,
5077101,Humber Road,tertiary,False,False,74.573,,"LINESTRING (-57.941938 48.9564166, -57.9423834 48.9560317, -57.9424856 48.9559658, -57.9426066 48.9559171)",,,
5077101,Humber Road,tertiary,False,True,55.580999999999996,,"LINESTRING (-57.941938 48.9564166, -57.9415918 48.9567097, -57.9414739 48.9568128)",,,
128334606,Marsh Street,unclassified,False,False,106.753,,"LINESTRING (-57.9453559 48.9498039, -57.9449265 48.9507216)",,,
128334578,Brook Street,unclassified,False,False,156.75300000000001,,"LINESTRING (-57.9453559 48.9498039, -57.9455253 48.9498172, -57.9456983 48.9498585, -57.9468411 48.9504189, -57.9470524 48.9506149)",,,
128334578,Brook Street,unclassified,False,True,71.967,,"LINESTRING (-57.9453559 48.9498039, -57.9448343 48.9497318, -57.9444088 48.9496307)",,,
128334584,,unclassified,False,False,71.762,,"LINESTRING (-57.9439833 48.9505404, -57.9449265 48.9507216)",Commercial Street,,
128334599,Lester Avenue,unclassified,False,False,67.117,,"LINESTRING (-57.9470524 48.9506149, -57.9463454 48.9510006)",,,
128334578,Brook Street,unclassified,False,False,132.39000000000001,,"LINESTRING (-57.9470524 48.9506149, -57.9476203 48.9512398, -57.9477868 48.9514588, -57.9478937 48.9516653)",,,
128334578,Brook Street,unclassified,False,True,156.75300000000001,,"LINESTRING (-57.9470524 48.9506149, -57.9468411 48.9504189, -57.9456983 48.9498585, -57.9455253 48.9498172, -57.9453559 48.9498039)",,,
128334584,,unclassified,False,True,71.762,,"LINESTRING (-57.9449265 48.9507216, -57.9439833 48.9505404)",Commercial Street,,
128334606,Marsh Street,unclassified,False,True,106.753,,"LINESTRING (-57.9449265 48.9507216, -57.9453559 48.9498039)",,,
128334584,,unclassified,False,False,108.156,,"LINESTRING (-57.9449265 48.9507216, -57.9456008 48.9508542, -57.9456344 48.9508608, -57.9463454 48.9510006)",Commercial Street,,
128334599,Lester Avenue,unclassified,False,True,67.117,,"LINESTRING (-57.9463454 48.9510006, -57.9470524 48.9506149)",,,
128334584,,unclassified,False,False,149.82,,"LINESTRING (-57.9463454 48.9510006, -57.9464324 48.9510199, -57.9465161 48.9510508, -57.9465573 48.9510828, -57.946594 48.9511205, -57.9466602 48.9511977, -57.9474551 48.9521073)",Commercial Street,,
128334584,,unclassified,False,True,108.156,,"LINESTRING (-57.9463454 48.9510006, -57.9456344 48.9508608, -57.9456008 48.9508542, -57.9449265 48.9507216)",Commercial Street,,
128361841,Main Street,secondary,False,True,14.655,2,"LINESTRING (-57.9474551 48.9521073, -57.947629 48.9520415)",,,
128334584,,unclassified,False,True,149.82,,"LINESTRING (-57.9474551 48.9521073, -57.9466602 48.9511977, -57.946594 48.9511205, -57.9465573 48.9510828, -57.9465161 48.9510508, -57.9464324 48.9510199, -57.9463454 48.9510006)",Commercial Street,,
128361841,Main Street,secondary,False,False,87.544,2,"LINESTRING (-57.9474551 48.9521073, -57.9472987 48.9521598, -57.9470783 48.9521998, -57.9467872 48.9522284, -57.9463956 48.9522353, -57.946288 48.9522445)",,,
5077101,Humber Road,tertiary,False,False,71.592,,"LINESTRING (-57.9408853 48.9573277, -57.9410903 48.9571431, -57.9414739 48.9568128)",,,
