osmid,oneway,ref,highway,reversed,length,name,geometry,lanes
965919278,False,,residential,True,133.178,,"LINESTRING (99.6807832 7.3800215, 99.6808273 7.3799407, 99.6809319 7.3796986, 99.6809614 7.3795071, 99.6808755 7.3793049, 99.6808031 7.3791214, 99.6807173 7.3790523, 99.6805939 7.3790443)",
312712411,False,,residential,False,205.987,,"LINESTRING (99.6796929 7.3727595, 99.6792 7.37279, 99.678691 7.373058, 99.6778939 7.3730256)",
312712411,False,,residential,True,199.682,,"LINESTRING (99.6796929 7.3727595, 99.679797 7.372753, 99.681302 7.372848, 99.681435 7.372994)",
312712569,False,,residential,True,284.34000000000003,,"LINESTRING (99.6796929 7.3727595, 99.6796888 7.3751603, 99.6796277 7.3753044)",
312712510,False,,residential,True,70.817,,"LINESTRING (99.6779966 7.3752622, 99.6776159 7.3757751)",
312712574,False,,tertiary,False,77.135,,"LINESTRING (99.6779966 7.3752622, 99.677434 7.37485)",2
312712574,False,,tertiary,True,145.512,,"LINESTRING (99.6779966 7.3752622, 99.6790625 7.3760336)",2
312712510,False,,residential,False,70.817,,"LINESTRING (99.6776159 7.3757751, 99.6779966 7.3752622)",
312712510,False,,residential,True,61.725,,"LINESTRING (99.6776159 7.3757751, 99.6772778 7.3762175)",
507368117,False,,residential,False,146.101,,"LINESTRING (99.6776159 7.3757751, 99.678679 7.3765592)",
507368117,False,,residential,True,85.197,,"LINESTRING (99.6776159 7.3757751, 99.6770548 7.3752484)",
312712569,False,,residential,False,102.27,,"LINESTRING (99.6790625 7.3760336, 99.6796277 7.3753044)",
312712569,False,,residential,True,72.14,,"LINESTRING (99.6790625 7.3760336, 99.678679 7.3765592)",
312712574,False,,tertiary,False,145.512,,"LINESTRING (99.6790625 7.3760336, 99.6779966 7.3752622)",2
312712574,False,,tertiary,True,143.279,,"LINESTRING (99.6790625 7.3760336, 99.680128 7.376771)",2
312712510,False,,residential,False,61.725,,"LINESTRING (99.6772778 7.3762175, 99.6776159 7.3757751)",
312712510,False,,residential,True,8.945,,"LINESTRING (99.6772778 7.3762175, 99.6772248 7.3762784)",
507368185,False,,residential,False,87.954,,"LINESTRING (99.6772778 7.3762175, 99.6767477 7.3756265)",
312712515,False,,residential,False,84.623,,"LINESTRING (99.6761398 7.3784908, 99.6766214 7.3778983)",
312712515,False,,residential,True,35.325,,"LINESTRING (99.6761398 7.3784908, 99.6759437 7.378742)",
507368199,False,,residential,False,46.68,,"LINESTRING (99.6761398 7.3784908, 99.6764823 7.3787375)",
507368199,False,,residential,True,107.06,,"LINESTRING (99.6761398 7.3784908, 99.6754001 7.3778672)",
312712396,False,,unclassified,True,36.285,,"LINESTRING (99.680121 7.379888, 99.6802102 7.3795739)",
312712547,False,,residential,True,122.15799999999999,,"LINESTRING (99.680121 7.379888, 99.6798415 7.3797967, 99.6795999 7.3797609, 99.6790307 7.3797583)",
312712555,False,,residential,False,68.903,,"LINESTRING (99.6761152 7.3800581, 99.6764936 7.379565)",
320478939,False,ตง.2023,tertiary,False,104.577,,"LINESTRING (99.6761152 7.3800581, 99.6753802 7.3794638)",
320478939,False,ตง.2023,tertiary,True,99.886,,"LINESTRING (99.6761152 7.3800581, 99.6765732 7.3808331)",
507368118,False,,residential,False,53.843,,"LINESTRING (99.6732151 7.3754524, 99.6731523 7.3759326)",
507368118,False,,residential,True,76.314,,"LINESTRING (99.6732151 7.3754524, 99.6733151 7.3747733)",
507368139,False,,residential,False,70.719,,"LINESTRING (99.6732151 7.3754524, 99.6725823 7.3753492)",
507368118,False,,residential,True,53.843,,"LINESTRING (99.6731523 7.3759326, 99.6732151 7.3754524)",
507368114,False,,residential,False,141.88400000000001,,"LINESTRING (99.6731523 7.3759326, 99.6741127 7.376166, 99.6743991 7.376247)",
507368121,False,,residential,False,59.853,,"LINESTRING (99.675293 7.3763903, 99.6757462 7.3766865)",
507368120,False,,residential,False,101.386,,"LINESTRING (99.675293 7.3763903, 99.6748576 7.3761794, 99.6744403 7.3760582)",
507368122,False,,residential,False,110.74000000000001,,"LINESTRING (99.675293 7.3763903, 99.6753917 7.3762108, 99.6755219 7.3760448, 99.6755981 7.3758742, 99.6757854 7.3755261)",
507368192,False,,residential,True,21.48,,"LINESTRING (99.6744403 7.3760582, 99.6743991 7.376247)",
507368120,False,,residential,True,101.386,,"LINESTRING (99.6744403 7.3760582, 99.6748576 7.3761794, 99.675293 7.3763903)",
507368192,False,,residential,False,116.202,,"LINESTRING (99.6744403 7.3760582, 99.674557 7.3754748, 99.6746723 7.3750393)",
311932118,True,404,primary,False,21.09,,"LINESTRING (99.6757462 7.3766865, 99.6756266 7.3768345)",
507368121,False,,residential,True,59.853,,"LINESTRING (99.6757462 7.3766865, 99.675293 7.3763903)",
102230160,False,,unclassified,False,103.722,,"LINESTRING (99.6799245 7.3782663, 99.680376 7.377448)",
102230160,False,,unclassified,True,97.42,,"LINESTRING (99.6799245 7.3782663, 99.6795038 7.3790367)",
507368184,False,,residential,False,224.945,,"LINESTRING (99.6799245 7.3782663, 99.678255 7.3771039)",
312712569,False,,residential,False,76.516,,"LINESTRING (99.678255 7.3771039, 99.678679 7.3765592)",
312712569,False,,residential,True,78.721,,"LINESTRING (99.678255 7.3771039, 99.6778197 7.377665)",
507368184,False,,residential,False,146.054,,"LINESTRING (99.678255 7.3771039, 99.6772248 7.3762784)",
507368184,False,,residential,True,224.945,,"LINESTRING (99.678255 7.3771039, 99.6799245 7.3782663)",
312712515,False,,residential,False,25.879,,"LINESTRING (99.675634 7.3791414, 99.6757777 7.3789574)",
312712515,False,,residential,True,45.481,,"LINESTRING (99.675634 7.3791414, 99.6753802 7.3794638)",
"[507368179, 507368180]",False,,residential,False,131.95499999999998,,"LINESTRING (99.675634 7.3791414, 99.6750688 7.3786707, 99.6750551 7.3786608, 99.6750372 7.3786567, 99.6750111 7.3786723, 99.6747589 7.3789709)",
320478939,False,ตง.2023,tertiary,False,66.256,,"LINESTRING (99.6747589 7.3789709, 99.6742937 7.3785938)",
320478939,False,ตง.2023,tertiary,True,87.739,,"LINESTRING (99.6747589 7.3789709, 99.6748057 7.3790089, 99.6753802 7.3794638)",
"[507368179, 507368180]",False,,residential,True,131.95499999999998,,"LINESTRING (99.6747589 7.3789709, 99.6750111 7.3786723, 99.6750372 7.3786567, 99.6750551 7.3786608, 99.6750688 7.3786707, 99.675634 7.3791414)",
507368135,False,,residential,False,90.144,,"LINESTRING (99.6759347 7.3774585, 99.6766214 7.3778983)",
507368135,False,,residential,True,59.443,,"LINESTRING (99.6759347 7.3774585, 99.6755298 7.3771056)",
507368178,False,,residential,True,139.298,,"LINESTRING (99.6759347 7.3774585, 99.6761907 7.3771275, 99.6762234 7.3771167, 99.676244 7.3771178, 99.6762723 7.3771275, 99.6768815 7.377574)",
312712411,False,,residential,True,7.194,,"LINESTRING (99.680017 7.3754102, 99.6799854 7.3754668)",
965908209,False,,residential,False,88.366,,"LINESTRING (99.680017 7.3754102, 99.6807669 7.3751301)",
312712411,False,,residential,False,376.66499999999996,,"LINESTRING (99.680017 7.3754102, 99.680165 7.374421, 99.680258 7.374063, 99.680382 7.373736, 99.680566 7.373599, 99.681052 7.37378, 99.681252 7.373667, 99.681435 7.372994)",
312712515,False,,residential,False,30.146,,"LINESTRING (99.6757777 7.3789574, 99.6759437 7.378742)",
312712515,False,,residential,True,25.879,,"LINESTRING (99.6757777 7.3789574, 99.675634 7.3791414)",
507368128,False,,residential,False,103.909,,"LINESTRING (99.6757777 7.3789574, 99.6764936 7.379565)",
507368170,False,,residential,False,11.113,,"LINESTRING (99.6743011 7.3765833, 99.6742156 7.3766362)",
507368192,False,,residential,False,38.925,,"LINESTRING (99.6743011 7.3765833, 99.6743991 7.376247)",
507368172,False,,residential,False,132.663,,"LINESTRING (99.6743011 7.3765833, 99.6747374 7.3768096, 99.6749654 7.3769603, 99.6753109 7.3772251)",
311932118,True,404,primary,False,91.875,,"LINESTRING (99.6753109 7.3772251, 99.6749954 7.3775858, 99.6747649 7.3778492)",
507368172,False,,residential,True,132.663,,"LINESTRING (99.6753109 7.3772251, 99.6749654 7.3769603, 99.6747374 7.3768096, 99.6743011 7.3765833)",
507368133,False,,residential,False,60.171,,"LINESTRING (99.6755129 7.3784099, 99.6759437 7.378742)",
312712515,False,,residential,False,35.325,,"LINESTRING (99.6759437 7.378742, 99.6761398 7.3784908)",
312712515,False,,residential,True,30.146,,"LINESTRING (99.6759437 7.378742, 99.6757777 7.3789574)",
507368133,False,,residential,True,60.171,,"LINESTRING (99.6759437 7.378742, 99.6755129 7.3784099)",
507368199,False,,residential,False,52.415,,"LINESTRING (99.6764823 7.3787375, 99.6768592 7.3790247)",
507368199,False,,residential,True,46.68,,"LINESTRING (99.6764823 7.3787375, 99.6761398 7.3784908)",
507368200,False,,residential,True,67.432,,"LINESTRING (99.6764823 7.3787375, 99.6768627 7.3782627)",
312712339,True,404,primary,False,30.466,,"LINESTRING (99.6755298 7.3771056, 99.6757053 7.376894)",
507368135,False,,residential,False,59.443,,"LINESTRING (99.6755298 7.3771056, 99.6759347 7.3774585)",
312712515,False,,residential,False,46.077,,"LINESTRING (99.6766214 7.3778983, 99.6768815 7.377574)",
312712515,False,,residential,True,84.623,,"LINESTRING (99.6766214 7.3778983, 99.6761398 7.3784908)",
507368135,False,,residential,True,90.144,,"LINESTRING (99.6766214 7.3778983, 99.6759347 7.3774585)",
311932118,True,404,primary,False,105.587,,"LINESTRING (99.6732061 7.3797652, 99.6726182 7.3805147)",
507368139,False,,residential,True,70.719,,"LINESTRING (99.6725823 7.3753492, 99.6732151 7.3754524)",
312712555,False,,residential,True,57.147,,"LINESTRING (99.6768592 7.3790247, 99.6765708 7.3794517)",
507368199,False,,residential,True,52.415,,"LINESTRING (99.6768592 7.3790247, 99.6764823 7.3787375)",
312712555,False,,residential,False,187.928,,"LINESTRING (99.6768592 7.3790247, 99.676983 7.3788469, 99.6772992 7.3781441, 99.6776495 7.3775313)",
312712339,True,404,primary,False,170.861,,"LINESTRING (99.6733427 7.3798068, 99.6736808 7.379363, 99.6742937 7.3785938)",
312712339,True,404,primary,False,53.986,,"LINESTRING (99.6767477 7.3756265, 99.6770548 7.3752484)",
