osmid,highway,oneway,reversed,length,geometry,junction,name
546198329,residential,False,False,41.104,"LINESTRING (103.5086823 16.4350128, 103.5086207 16.4346479)",,
561054474,residential,False,False,46.874,"LINESTRING (103.5086823 16.4350128, 103.5082492 16.4350845)",,
546198329,residential,False,True,89.078,"LINESTRING (103.5086823 16.4350128, 103.5086878 16.4350438, 103.5087614 16.4354618, 103.5088214 16.4358027)",,
561054474,residential,False,False,23.592,"LINESTRING (103.5082492 16.4350845, 103.5080312 16.4351205)",,
561054474,residential,False,True,46.874,"LINESTRING (103.5082492 16.4350845, 103.5086823 16.4350128)",,
561054497,residential,False,False,83.996,"LINESTRING (103.5082492 16.4350845, 103.5083008 16.435502, 103.5083061 16.4355743, 103.5083493 16.4358335)",,
561054474,residential,False,False,22.209,"LINESTRING (103.5080312 16.4351205, 103.507826 16.4351545)",,
561054474,residential,False,True,23.592,"LINESTRING (103.5080312 16.4351205, 103.5082492 16.4350845)",,
561054475,residential,False,False,42.532,"LINESTRING (103.5080312 16.4351205, 103.5079638 16.4347435)",,
242701109,residential,False,False,55.221,"LINESTRING (103.5074407 16.4352197, 103.5075249 16.4357097)",,
242701109,residential,False,True,31.512,"LINESTRING (103.5074407 16.4352197, 103.5073958 16.4349396)",,
561054474,residential,False,True,41.728,"LINESTRING (103.5074407 16.4352197, 103.507826 16.4351545)",,
242701061,residential,False,False,63.16,"LINESTRING (103.5079638 16.4347435, 103.5073794 16.4348354)",,
242701061,residential,False,True,70.862,"LINESTRING (103.5079638 16.4347435, 103.5086207 16.4346479)",,
561054475,residential,False,True,42.532,"LINESTRING (103.5079638 16.4347435, 103.5080312 16.4351205)",,
546188315,secondary,True,False,33.918,"LINESTRING (103.5092571 16.4334834, 103.5095704 16.433431)",,ถนนกาฬสินธุ์
561054495,residential,False,True,55.321,"LINESTRING (103.5092571 16.4334834, 103.509342 16.4339742)",,
242701109,residential,False,False,19.605,"LINESTRING (103.5075249 16.4357097, 103.5075526 16.435884)",,
242701109,residential,False,True,55.221,"LINESTRING (103.5075249 16.4357097, 103.5074407 16.4352197)",,
561054509,residential,False,True,142.47,"LINESTRING (103.5075249 16.4357097, 103.5070097 16.4357988, 103.5069542 16.4354789, 103.5068746 16.4350305)",,
546188311,unclassified,False,False,32.631,"LINESTRING (103.5049691 16.4321276, 103.5051414 16.4318851)",,
