osmid,lanes,highway,oneway,reversed,length,geometry
312561459,,residential,False,False,64.458,"LINESTRING (26.1464132 -24.3869025, 26.1462642 -24.3868006, 26.1461645 -24.3867441, 26.1460544 -24.3867217, 26.145949 -24.3867253, 26.1458797 -24.3867369, 26.1458361 -24.3867421)"
312561451,,residential,False,False,102.089,"LINESTRING (26.1503737 -24.3809247, 26.1501693 -24.3811366, 26.1499915 -24.3812997, 26.1499044 -24.3813754, 26.1498629 -24.381412, 26.1498265 -24.3814597, 26.1497299 -24.3816234)"
312561460,,residential,False,False,76.15700000000001,"LINESTRING (26.1503737 -24.3809247, 26.1502194 -24.3809504, 26.1499097 -24.3809736, 26.1496254 -24.3809785)"
312561460,,residential,False,True,43.25,"LINESTRING (26.1503737 -24.3809247, 26.150465 -24.3809112, 26.1505648 -24.3809089, 26.1506635 -24.3809222, 26.1507855 -24.3809747)"
312561451,,residential,False,True,102.089,"LINESTRING (26.1497299 -24.3816234, 26.1498265 -24.3814597, 26.1498629 -24.381412, 26.1499044 -24.3813754, 26.1499915 -24.3812997, 26.1501693 -24.3811366, 26.1503737 -24.3809247)"
"[399442720, 312561454]",,residential,False,False,98.639,"LINESTRING (26.1454105 -24.3833295, 26.1453335 -24.3831499, 26.1453113 -24.3830945, 26.1452277 -24.3829287, 26.1451368 -24.3827904, 26.1450945 -24.382719, 26.1450679 -24.3826653, 26.1450045 -24.3825251)"
650231148,,unclassified,False,False,42.724000000000004,"LINESTRING (26.1454105 -24.3833295, 26.1452766 -24.383322, 26.1449893 -24.3833358)"
650231148,,unclassified,False,True,79.616,"LINESTRING (26.1454105 -24.3833295, 26.1455997 -24.3833815, 26.145918 -24.3835155, 26.1461227 -24.3836258)"
312691671,,residential,False,False,28.266,"LINESTRING (26.1510872 -24.3792365, 26.1511999 -24.3794002, 26.1512334 -24.379453)"
312691679,,residential,False,False,56.791,"LINESTRING (26.1510872 -24.3792365, 26.1509808 -24.3791452, 26.1509264 -24.3791131, 26.1508772 -24.3790997, 26.15084 -24.3790947, 26.1508029 -24.3790991, 26.150775 -24.3791024, 26.1507464 -24.3791131, 26.1506736 -24.3791553, 26.150606 -24.3791908)"
650658809,,residential,False,True,36.029,"LINESTRING (26.1510872 -24.3792365, 26.1513931 -24.3792537, 26.1514423 -24.3792516)"
219597917,2,secondary,False,False,72.803,"LINESTRING (26.1517177 -24.3798936, 26.1517405 -24.3797837, 26.1517692 -24.3796191, 26.1518052 -24.3794022, 26.1518302 -24.379247)"
219597917,2,secondary,False,True,13.809999999999999,"LINESTRING (26.1517177 -24.3798936, 26.1516996 -24.3799393, 26.151689 -24.3800143)"
312691671,,residential,False,True,69.734,"LINESTRING (26.1517177 -24.3798936, 26.1515848 -24.3798055, 26.1514547 -24.3796967, 26.1513448 -24.3795859, 26.1512712 -24.3795, 26.1512334 -24.379453)"
312691679,,residential,False,False,136.51399999999998,"LINESTRING (26.150606 -24.3791908, 26.1505766 -24.3791991, 26.1505443 -24.3792035, 26.1504914 -24.3792035, 26.1504297 -24.3792001, 26.1503665 -24.3791948, 26.1502695 -24.3791934, 26.1501313 -24.3791968, 26.1499712 -24.3792102, 26.1498859 -24.3792209, 26.14975 -24.3792343, 26.1496633 -24.3792523, 26.1495986 -24.3792758, 26.149531 -24.3793106, 26.1494634 -24.3793721, 26.1493546 -24.3794735)"
312691679,,residential,False,True,56.791,"LINESTRING (26.150606 -24.3791908, 26.1506736 -24.3791553, 26.1507464 -24.3791131, 26.150775 -24.3791024, 26.1508029 -24.3790991, 26.15084 -24.3790947, 26.1508772 -24.3790997, 26.1509264 -24.3791131, 26.1509808 -24.3791452, 26.1510872 -24.3792365)"
650679540,,residential,False,False,85.636,"LINESTRING (26.150606 -24.3791908, 26.1509143 -24.3795236, 26.1509532 -24.379548, 26.150984 -24.3795627, 26.1510283 -24.3795639, 26.1510735 -24.3795532, 26.1511101 -24.3795355, 26.1512334 -24.379453)"
219597917,2,secondary,False,False,66.507,"LINESTRING (26.1518302 -24.379247, 26.1518772 -24.3790167, 26.1519154 -24.3788635, 26.1519492 -24.3787437, 26.1519749 -24.378664)"
219597917,2,secondary,False,True,72.803,"LINESTRING (26.1518302 -24.379247, 26.1518052 -24.3794022, 26.1517692 -24.3796191, 26.1517405 -24.3797837, 26.1517177 -24.3798936)"
650658809,,residential,False,False,39.302,"LINESTRING (26.1518302 -24.379247, 26.1516344 -24.3792512, 26.1515057 -24.3792488, 26.1514423 -24.3792516)"
219959123,,tertiary,False,False,95.47699999999999,"LINESTRING (26.1493546 -24.3794735, 26.1495531 -24.3796286, 26.1498521 -24.3798815, 26.1500667 -24.3800354)"
219959123,,tertiary,False,True,185.824,"LINESTRING (26.1493546 -24.3794735, 26.1487538 -24.3791242, 26.1479223 -24.3786746, 26.1477801 -24.3786184)"
312691679,,residential,False,True,136.51399999999998,"LINESTRING (26.1493546 -24.3794735, 26.1494634 -24.3793721, 26.149531 -24.3793106, 26.1495986 -24.3792758, 26.1496633 -24.3792523, 26.14975 -24.3792343, 26.1498859 -24.3792209, 26.1499712 -24.3792102, 26.1501313 -24.3791968, 26.1502695 -24.3791934, 26.1503665 -24.3791948, 26.1504297 -24.3792001, 26.1504914 -24.3792035, 26.1505443 -24.3792035, 26.1505766 -24.3791991, 26.150606 -24.3791908)"
313915004,,residential,False,True,111.556,"LINESTRING (26.1514581 -24.3814237, 26.1516908 -24.3813986, 26.1518276 -24.3813668, 26.1520207 -24.3813472, 26.152246 -24.3813252, 26.1524773 -24.3813159, 26.1525508 -24.3813183)"
313915016,,residential,False,False,62.317,"LINESTRING (26.1537452 -24.379823, 26.1537909 -24.3800866, 26.1537749 -24.3803798)"
313915016,,residential,False,True,99.914,"LINESTRING (26.1537452 -24.379823, 26.1537196 -24.3797212, 26.1537098 -24.37964, 26.1537098 -24.3795994, 26.153716 -24.3795352, 26.1537225 -24.3794763, 26.1537503 -24.3793173, 26.1537985 -24.3791204, 26.1538263 -24.3789367)"
219597923,2,tertiary,False,False,133.337,"LINESTRING (26.1526992 -24.3824678, 26.1523864 -24.3827956, 26.1518447 -24.38338)"
