osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction
460915268,,residential,30,False,False,25.55,"LINESTRING (51.5334226 32.5467714, 51.5336424 32.5469073)",
529394043,,residential,30,False,False,84.929,"LINESTRING (51.5334226 32.5467714, 51.532795 32.5473223)",
460915268,,residential,30,False,True,46.859,"LINESTRING (51.5334226 32.5467714, 51.5331751 32.546609, 51.5330251 32.5465159)",
460915270,,residential,30,False,True,169.92000000000002,"LINESTRING (51.5334226 32.5467714, 51.5335521 32.546617, 51.5336471 32.5463687, 51.5338023 32.5461177, 51.533815 32.5459628, 51.5339639 32.5458453, 51.5342331 32.5456451, 51.5343775 32.5455333)",
460915268,,residential,30,False,True,55.41,"LINESTRING (51.5330251 32.5465159, 51.5325491 32.5462204)",
460915268,,residential,30,False,False,46.859,"LINESTRING (51.5330251 32.5465159, 51.5331751 32.546609, 51.5334226 32.5467714)",
460915271,,residential,30,False,False,35.933,"LINESTRING (51.5330251 32.5465159, 51.5332481 32.5463182, 51.5332901 32.5462824)",
460915269,,residential,30,False,False,49.342,"LINESTRING (51.5333863 32.5459769, 51.5333462 32.5459869, 51.5332163 32.5460536, 51.5331576 32.5461362, 51.5332901 32.5462824)",
460915271,,residential,30,False,True,45.111999999999995,"LINESTRING (51.5333863 32.5459769, 51.5334597 32.5460394, 51.5334924 32.5461075, 51.5334231 32.5461691, 51.5332901 32.5462824)",
460915269,,residential,30,False,True,88.69,"LINESTRING (51.5333863 32.5459769, 51.5334856 32.5459521, 51.5335933 32.545832, 51.5337548 32.5456851, 51.533891 32.5455302, 51.5340144 32.5454)",
460915272,ابن سینا,residential,30,False,True,28.607,"LINESTRING (51.5314516 32.5492512, 51.5313989 32.5489978)",
460913373,,residential,30,False,True,156.026,"LINESTRING (51.5314516 32.5492512, 51.5312023 32.5493107, 51.531106 32.549363, 51.5301382 32.5486428)",
460915272,ابن سینا,residential,30,False,False,52.852000000000004,"LINESTRING (51.5314516 32.5492512, 51.5315704 32.5494114, 51.5317125 32.5496031, 51.5317515 32.5496537)",
460915272,ابن سینا,residential,30,False,True,70.044,"LINESTRING (51.5327143 32.5504519, 51.5325964 32.5503212, 51.5324169 32.5501221, 51.5322551 32.5500605, 51.532184 32.5500328)",
460915273,شهدا,residential,30,False,False,87.53,"LINESTRING (51.5327143 32.5504519, 51.5329583 32.5503178, 51.5331786 32.5501968, 51.533484 32.5500067)",
460915273,شهدا,residential,30,False,True,116.358,"LINESTRING (51.5327143 32.5504519, 51.5323542 32.5507114, 51.5322447 32.5508521, 51.5320203 32.5510589, 51.5318338 32.5511802)",
451820743,رجائی,tertiary,50,False,False,48.493,"LINESTRING (51.5318338 32.5511802, 51.5315095 32.5508404)",
460915273,شهدا,residential,30,False,False,116.358,"LINESTRING (51.5318338 32.5511802, 51.5320203 32.5510589, 51.5322447 32.5508521, 51.5323542 32.5507114, 51.5327143 32.5504519)",
460915273,شهدا,residential,30,False,True,109.33,"LINESTRING (51.5349944 32.5489829, 51.5340918 32.5496057)",
460915274,ابن سینا,residential,30,False,False,74.78699999999999,"LINESTRING (51.5349944 32.5489829, 51.5351674 32.5491545, 51.5353991 32.5493843, 51.5355111 32.5494954)",
460915274,ابن سینا,residential,30,False,True,78.627,"LINESTRING (51.5349944 32.5489829, 51.5347136 32.5486259, 51.5346241 32.5484983, 51.5345021 32.5484179)",
451818648,بهارستان,tertiary,40,True,False,70.162,"LINESTRING (51.5372803 32.5516254, 51.537379 32.5515537, 51.5378488 32.5512149)",
460915274,ابن سینا,residential,30,False,True,126.325,"LINESTRING (51.5372803 32.5516254, 51.5370423 32.5512841, 51.5369742 32.5511975, 51.5368245 32.5510069, 51.536604 32.5507262, 51.5365487 32.5506726)",
460915276,,residential,30,False,False,105.572,"LINESTRING (51.5375544 32.5486378, 51.5373497 32.5484401, 51.5372675 32.5483607, 51.537172 32.5483003, 51.5369544 32.5481628, 51.5366868 32.548051)",
460915276,,residential,30,False,True,53.656,"LINESTRING (51.5375544 32.5486378, 51.537784 32.5489853, 51.5378033 32.5490685)",
529402256,,residential,30,False,True,126.177,"LINESTRING (51.5375544 32.5486378, 51.537323 32.5487304, 51.5372266 32.5486782, 51.5368686 32.5489451, 51.5365863 32.548713, 51.53649 32.5486818)",
460915274,ابن سینا,residential,30,False,False,78.627,"LINESTRING (51.5345021 32.5484179, 51.5346241 32.5484983, 51.5347136 32.5486259, 51.5349944 32.5489829)",
460915274,ابن سینا,residential,30,False,True,88.02,"LINESTRING (51.5345021 32.5484179, 51.5343969 32.548388, 51.5343281 32.54833, 51.5341697 32.5481675, 51.5340251 32.5479643, 51.5339356 32.5478134)",
