osmid,name,highway,junction,oneway,reversed,length,geometry,maxspeed,ref,lanes,bridge
767682642,,residential,,False,False,56.291,"LINESTRING (45.7270579 36.7639312, 45.7268182 36.7634628)",30,,,
767682642,,residential,,False,True,25.944,"LINESTRING (45.7270579 36.7639312, 45.727163 36.7641488)",30,,,
400134277,کوی سوم,residential,,False,False,32.322,"LINESTRING (45.7270579 36.7639312, 45.7273771 36.763844, 45.7274015 36.7638378)",30,,,
400134284,کوی دهم,residential,,False,False,29.314,"LINESTRING (45.7262786 36.7622385, 45.7265867 36.7621459)",30,,,
400134284,کوی دهم,residential,,False,True,36.042,"LINESTRING (45.7262786 36.7622385, 45.7259036 36.7623602)",30,,,
767682642,,residential,,False,True,32.394,"LINESTRING (45.7262786 36.7622385, 45.7263997 36.7625132)",30,,,
521840995,,residential,,False,False,14.514,"LINESTRING (45.7249457 36.7639771, 45.7250216 36.7640926)",30,,,
798536448,,residential,,False,True,35.79,"LINESTRING (45.7249457 36.7639771, 45.7245659 36.7640821)",,,,
521840995,,residential,,False,True,37.572,"LINESTRING (45.7249457 36.7639771, 45.7248606 36.7638476, 45.7248088 36.7636606)",30,,,
798536448,,residential,,False,False,35.79,"LINESTRING (45.7245659 36.7640821, 45.7249457 36.7639771)",,,,
422611944,برداش,residential,,False,True,8.508,"LINESTRING (45.7250498 36.7641657, 45.7250216 36.7640926)",30,,,
798536449,,residential,,False,True,38.419,"LINESTRING (45.7250498 36.7641657, 45.7246264 36.7642315)",,,,
422611944,برداش,residential,,False,False,99.03399999999999,"LINESTRING (45.7250498 36.7641657, 45.7251834 36.764363, 45.7254159 36.7648467, 45.7254434 36.764872, 45.7254891 36.7648754, 45.7255729 36.7648366)",30,,,
798536449,,residential,,False,False,38.419,"LINESTRING (45.7246264 36.7642315, 45.7250498 36.7641657)",,,,
798536450,حاجی احمد,residential,,False,True,58.732,"LINESTRING (45.7247704 36.7647887, 45.7248536 36.7650878, 45.7248473 36.7653095)",,,,
798536451,,residential,,False,True,80.946,"LINESTRING (45.7210113 36.764628, 45.7210891 36.7646054, 45.7211408 36.7645612, 45.7211557 36.7644866, 45.7212148 36.7644203, 45.7213196 36.7643878, 45.7214682 36.7643648, 45.7217585 36.7643754)",,,,
798536452,,residential,,False,False,40.647,"LINESTRING (45.7202297 36.7628257, 45.7206808 36.7627707)",,,,
301655561,طالقانی غربی,residential,,True,False,63.025,"LINESTRING (45.7181505 36.7651039, 45.7174437 36.7650782)",,,,
"[798536453, 798536454]",,residential,,False,True,144.21800000000002,"LINESTRING (45.7181505 36.7651039, 45.7181446 36.7650174, 45.7181176 36.7647803, 45.7180551 36.7643648, 45.7180179 36.7643147, 45.7179469 36.7642971, 45.717414 36.7643853)",,,,
422821003,رزگه یان,residential,,False,False,41.527,"LINESTRING (45.71874 36.7633757, 45.7191788 36.7632496)",30,,,
422821003,رزگه یان,residential,,False,True,50.071,"LINESTRING (45.71874 36.7633757, 45.7182109 36.7635277)",30,,,
798536455,,residential,,False,True,42.899,"LINESTRING (45.71874 36.7633757, 45.7185738 36.7633717, 45.7185284 36.7633326, 45.7183621 36.7633167, 45.7182986 36.7632762)",,,,
798536455,,residential,,False,False,42.899,"LINESTRING (45.7182986 36.7632762, 45.7183621 36.7633167, 45.7185284 36.7633326, 45.7185738 36.7633717, 45.71874 36.7633757)",,,,
798536456,,residential,,False,False,66.725,"LINESTRING (45.7182708 36.7630213, 45.7189825 36.7628342)",,,,
800138000,,residential,,False,False,65.376,"LINESTRING (45.7265482 36.7684644, 45.7264929 36.7683595, 45.7264141 36.7683416, 45.7263382 36.7683387, 45.7262608 36.7683177, 45.7262202 36.7682721, 45.726103 36.7680664)",,,,
400134281,,residential,,False,False,23.142,"LINESTRING (45.727324 36.7629937, 45.7272395 36.7627969)",30,,,
452524891,صلاح الدین ایوبی شرقی,tertiary,,True,False,81.3,"LINESTRING (45.7219766 36.7613355, 45.7228661 36.7611719)",40,,,
767684562,,residential,,False,False,142.924,"LINESTRING (45.7219766 36.7613355, 45.7220163 36.7617054, 45.722137 36.761721, 45.7221487 36.7617678, 45.7221954 36.7618676, 45.7223591 36.7618743, 45.7230095 36.7617746)",,,,
798536452,,residential,,False,True,52.251,"LINESTRING (45.7205148 36.7623231, 45.7206212 36.7625179, 45.7206808 36.7627707)",,,,
452524891,صلاح الدین ایوبی شرقی,tertiary,,True,False,22.466,"LINESTRING (45.7231891 36.7611125, 45.7233543 36.7610711, 45.7234309 36.7610553)",40,,,
458559635,,tertiary,,True,False,61.714,"LINESTRING (45.7231891 36.7611125, 45.7234984 36.761074, 45.723621 36.7610772, 45.7236942 36.7611263, 45.7237278 36.7611865, 45.7237462 36.7612483)",,,,
452541648,صلاح الدین ایوبی غریی,tertiary,,True,False,65.362,"LINESTRING (45.7216373 36.7614013, 45.7209337 36.761568)",30,,,
