osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction
540959704,False,,residential,,False,61.304,"LINESTRING (46.2412317 34.2858302, 46.2412616 34.2859878, 46.2417334 34.2859485)",
540959704,False,,residential,,True,95.643,"LINESTRING (46.242758 34.2857993, 46.2423652 34.2858456, 46.2421819 34.2858734, 46.2417816 34.2859445, 46.2417334 34.2859485)",
540959706,False,,residential,,False,33.414,"LINESTRING (46.2417334 34.2859485, 46.2417239 34.2856481)",
540959704,False,,residential,,False,95.643,"LINESTRING (46.2417334 34.2859485, 46.2417816 34.2859445, 46.2421819 34.2858734, 46.2423652 34.2858456, 46.242758 34.2857993)",
540959704,False,,residential,,True,61.304,"LINESTRING (46.2417334 34.2859485, 46.2412616 34.2859878, 46.2412317 34.2858302)",
540959700,False,,residential,,False,96.892,"LINESTRING (46.2417239 34.2856481, 46.2427749 34.285576)",
540959706,False,,residential,,True,33.414,"LINESTRING (46.2417239 34.2856481, 46.2417334 34.2859485)",
540959700,False,,residential,,True,16.342,"LINESTRING (46.2417239 34.2856481, 46.2416145 34.2856556, 46.2415499 34.2856378)",
540959708,False,,residential,,False,109.457,"LINESTRING (46.2397693 34.2862271, 46.2401991 34.2864453, 46.2404909 34.2863804, 46.2406144 34.2862876, 46.2408314 34.2863031)",
540959716,False,دلنواز,tertiary,,False,95.624,"LINESTRING (46.2397693 34.2862271, 46.2397837 34.2861887, 46.2400486 34.2855591, 46.2402032 34.2854745)",
540959708,False,,residential,,True,109.457,"LINESTRING (46.2408314 34.2863031, 46.2406144 34.2862876, 46.2404909 34.2863804, 46.2401991 34.2864453, 46.2397693 34.2862271)",
540959700,False,,residential,,False,16.342,"LINESTRING (46.2415499 34.2856378, 46.2416145 34.2856556, 46.2417239 34.2856481)",
540959700,False,,residential,,True,29.899,"LINESTRING (46.2415499 34.2856378, 46.2414297 34.2856047, 46.2412325 34.2855843)",
540959710,False,,residential,,False,38.339,"LINESTRING (46.2415499 34.2856378, 46.2415805 34.2854442, 46.2416073 34.2852963)",
793924647,False,,residential,,True,27.338,"LINESTRING (46.2416073 34.2852963, 46.2415785 34.2850516)",
522104015,False,,residential,,False,226.336,"LINESTRING (46.2416073 34.2852963, 46.2417378 34.2852834, 46.2430003 34.2853441, 46.2440313 34.2851155)",
522104015,False,,residential,,True,84.916,"LINESTRING (46.2416073 34.2852963, 46.2410876 34.285341, 46.2407333 34.2851845)",
540959710,False,,residential,,True,38.339,"LINESTRING (46.2416073 34.2852963, 46.2415805 34.2854442, 46.2415499 34.2856378)",
540959716,False,دلنواز,tertiary,,False,21.78,"LINESTRING (46.2409944 34.2845632, 46.241052 34.2843732)",
540959712,False,,residential,,False,59.660999999999994,"LINESTRING (46.2409944 34.2845632, 46.2406555 34.2844701, 46.2405919 34.2845536, 46.2404194 34.2845624)",
540959716,False,دلنواز,tertiary,,True,32.185,"LINESTRING (46.2409944 34.2845632, 46.2409198 34.2847608, 46.2408857 34.2848383)",
522104015,False,,residential,,False,115.46000000000001,"LINESTRING (46.2392726 34.2844632, 46.2393706 34.2845426, 46.2395606 34.284815, 46.2399751 34.2848999, 46.2402715 34.2849801)",
522104015,False,,residential,,True,77.36,"LINESTRING (46.2392726 34.2844632, 46.2390538 34.2842859, 46.2392224 34.2838659)",
540959712,False,,residential,,True,106.68700000000001,"LINESTRING (46.2392726 34.2844632, 46.2395482 34.2844794, 46.2398475 34.284532, 46.2400495 34.2845227, 46.2402889 34.284569, 46.2404194 34.2845624)",
540959714,False,,residential,,False,48.393,"LINESTRING (46.2402715 34.2849801, 46.2404194 34.2845624)",
522104015,False,,residential,,False,48.553,"LINESTRING (46.2402715 34.2849801, 46.2404533 34.2850293, 46.2407333 34.2851845)",
522104015,False,,residential,,True,115.46,"LINESTRING (46.2402715 34.2849801, 46.2399751 34.2848999, 46.2395606 34.284815, 46.2393706 34.2845426, 46.2392726 34.2844632)",
540959714,False,,residential,,True,48.393,"LINESTRING (46.2404194 34.2845624, 46.2402715 34.2849801)",
540959712,False,,residential,,False,106.687,"LINESTRING (46.2404194 34.2845624, 46.2402889 34.284569, 46.2400495 34.2845227, 46.2398475 34.284532, 46.2395482 34.2844794, 46.2392726 34.2844632)",
540959712,False,,residential,,True,59.661,"LINESTRING (46.2404194 34.2845624, 46.2405919 34.2845536, 46.2406555 34.2844701, 46.2409944 34.2845632)",
540959716,False,دلنواز,tertiary,,True,29.049,"LINESTRING (46.2408857 34.2848383, 46.2407776 34.2850838)",
540959721,False,مراد همدانی,residential,,False,65.515,"LINESTRING (46.2408857 34.2848383, 46.2415892 34.2849346)",
540959716,False,دلنواز,tertiary,,False,32.185,"LINESTRING (46.2408857 34.2848383, 46.2409198 34.2847608, 46.2409944 34.2845632)",
540959721,False,مراد همدانی,residential,,True,65.515,"LINESTRING (46.2415892 34.2849346, 46.2408857 34.2848383)",
793924647,False,,residential,,False,13.047,"LINESTRING (46.2415892 34.2849346, 46.2415785 34.2850516)",
540959721,False,مراد همدانی,residential,,False,141.87199999999999,"LINESTRING (46.2415892 34.2849346, 46.2425784 34.2850203, 46.2427318 34.2850512, 46.2431209 34.2850141)",
540959721,False,مراد همدانی,residential,,False,44.254999999999995,"LINESTRING (46.2431209 34.2850141, 46.2433229 34.2849987, 46.2435997 34.2849709)",
540959721,False,مراد همدانی,residential,,True,141.87199999999999,"LINESTRING (46.2431209 34.2850141, 46.2427318 34.2850512, 46.2425784 34.2850203, 46.2415892 34.2849346)",
793924645,False,,residential,,True,54.509,"LINESTRING (46.2431209 34.2850141, 46.2431334 34.2849525, 46.243156 34.2849236, 46.2431993 34.2849022, 46.243615 34.2848268)",
540959721,False,مراد همدانی,residential,,True,44.254999999999995,"LINESTRING (46.2435997 34.2849709, 46.2433229 34.2849987, 46.2431209 34.2850141)",
540959718,False,,residential,,False,81.243,"LINESTRING (46.2425048 34.2846922, 46.2433378 34.284447)",
540959718,False,,residential,,True,139.363,"LINESTRING (46.2425048 34.2846922, 46.242432 34.2846771, 46.2419815 34.2846205, 46.2412552 34.2844783, 46.241052 34.2843732)",
540959723,False,,residential,,False,51.558,"LINESTRING (46.2425048 34.2846922, 46.2426458 34.2847978, 46.2430124 34.2847514)",
540959723,False,,residential,,True,51.558,"LINESTRING (46.2430124 34.2847514, 46.2426458 34.2847978, 46.2425048 34.2846922)",
540959718,False,,residential,,True,81.243,"LINESTRING (46.2433378 34.284447, 46.2425048 34.2846922)",
540959718,False,,residential,,False,85.92200000000001,"LINESTRING (46.2433378 34.284447, 46.2434063 34.2844089, 46.2437028 34.2843336, 46.2440702 34.2843353, 46.2442372 34.284292)",
540959724,False,,residential,,False,75.57499999999999,"LINESTRING (46.2433378 34.284447, 46.243379 34.2845876, 46.2436334 34.2846494, 46.244 34.2847391)",
540959724,False,,residential,,True,75.575,"LINESTRING (46.244 34.2847391, 46.2436334 34.2846494, 46.243379 34.2845876, 46.2433378 34.284447)",
540959718,False,,residential,,False,108.27000000000001,"LINESTRING (46.2442372 34.284292, 46.2447681 34.2841805, 46.2451433 34.2841741, 46.2450902 34.2839677)",
540959718,False,,residential,,True,85.922,"LINESTRING (46.2442372 34.284292, 46.2440702 34.2843353, 46.2437028 34.2843336, 46.2434063 34.2844089, 46.2433378 34.284447)",
540959726,False,,residential,,False,49.29,"LINESTRING (46.2442372 34.284292, 46.2442544 34.2843341, 46.2443629 34.284433, 46.2446809 34.2844701)",
540959726,False,,residential,,True,49.290000000000006,"LINESTRING (46.2446809 34.2844701, 46.2443629 34.284433, 46.2442544 34.2843341, 46.2442372 34.284292)",
540959727,False,,residential,,False,48.377,"LINESTRING (46.245348 34.2838556, 46.2458588 34.2839612)",
540959718,False,,residential,,False,60.088,"LINESTRING (46.245348 34.2838556, 46.2454878 34.2838117, 46.245562 34.2837495, 46.2457686 34.2834677)",
540959718,False,,residential,,True,27.767,"LINESTRING (46.245348 34.2838556, 46.2452155 34.2838759, 46.2450902 34.2839677)",
540959727,False,,residential,,True,48.377,"LINESTRING (46.2458588 34.2839612, 46.245348 34.2838556)",
540959728,False,,residential,,True,70.217,"LINESTRING (46.2443433 34.2838626, 46.2448224 34.2838894, 46.2450902 34.2839677)",
540959716,False,دلنواز,tertiary,,False,24.198,"LINESTRING (46.2412014 34.2840474, 46.2413066 34.2838479)",
