osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry
28838554,False,808 - Martín Miguens,residential,,True,75.204,,"LINESTRING (-58.5767176 -34.5838534, -58.5773069 -34.5833822)"
28923559,False,807 - San Miguel de Garicoits,residential,40,False,109.469,,"LINESTRING (-58.5767176 -34.5838534, -58.5758991 -34.5831357)"
28923559,False,807 - San Miguel de Garicoits,residential,40,True,112.273,,"LINESTRING (-58.5767176 -34.5838534, -58.5775664 -34.5845822)"
28838554,False,808 - Martín Miguens,residential,,False,73.159,,"LINESTRING (-58.5761235 -34.5843185, -58.5755506 -34.5847772)"
28838554,False,808 - Martín Miguens,residential,,True,75.051,,"LINESTRING (-58.5761235 -34.5843185, -58.5767176 -34.5838534)"
28923556,True,805 - Carlos Echagüe,residential,40,False,108.07,,"LINESTRING (-58.5761235 -34.5843185, -58.5753251 -34.5836026)"
28923559,False,807 - San Miguel de Garicoits,residential,40,False,108.501,,"LINESTRING (-58.5758991 -34.5831357, -58.5750968 -34.5824175)"
28923559,False,807 - San Miguel de Garicoits,residential,40,True,109.469,,"LINESTRING (-58.5758991 -34.5831357, -58.5767176 -34.5838534)"
467508140,False,804 - Esteban Echeverría,residential,,False,75.119,,"LINESTRING (-58.5758991 -34.5831357, -58.5764919 -34.5826686)"
467508140,False,804 - Esteban Echeverría,residential,,True,73.869,,"LINESTRING (-58.5758991 -34.5831357, -58.5753251 -34.5836026)"
28923569,True,809 - Bazzini,residential,40,False,108.441,,"LINESTRING (-58.5764919 -34.5826686, -58.5756787 -34.5819595)"
467508140,False,804 - Esteban Echeverría,residential,,False,73.755,,"LINESTRING (-58.5764919 -34.5826686, -58.5770765 -34.5822122)"
467508140,False,804 - Esteban Echeverría,residential,,True,75.119,,"LINESTRING (-58.5764919 -34.5826686, -58.5758991 -34.5831357)"
28923577,True,811 - Pablo Poggio,residential,40,False,108.759,,"LINESTRING (-58.5770765 -34.5822122, -58.5778927 -34.5829229)"
