osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width
315841243,True,,Malabia,residential,40,False,129.919,"LINESTRING (-58.4418202 -34.6006618, -58.442686 -34.6013559, -58.4427324 -34.6013923, -58.4428346 -34.601479)",
121176040,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,True,131.83,"LINESTRING (-58.4411155 -34.6013147, -58.4399631 -34.6006035)",
126149612,False,4,Avenida Raúl Scalabrini Ortiz,secondary,60,False,96.76700000000001,"LINESTRING (-58.4411155 -34.6013147, -58.4418062 -34.6017146, -58.4419757 -34.6018205)",
130351878,True,,Padilla,residential,30,False,99.265,"LINESTRING (-58.4411155 -34.6013147, -58.4410201 -34.6014097, -58.4405072 -34.602053)",
130351879,True,,Padilla,residential,30,False,125.542,"LINESTRING (-58.4405072 -34.602053, -58.4397773 -34.6030089)",
221560180,True,,Aráoz,residential,40,False,136.601,"LINESTRING (-58.4405072 -34.602053, -58.4393147 -34.6013143)",
533676062,True,,Julián Álvarez,residential,30,False,35.239000000000004,"LINESTRING (-58.4397773 -34.6030089, -58.4399955 -34.6031406, -58.4400961 -34.6031855)",
128824058,True,,Padilla,residential,30,False,68.001,"LINESTRING (-58.4393528 -34.6035108, -58.4397773 -34.6030089)",
128824047,True,,Avenida Warnes,secondary,60,False,77.04899999999999,"LINESTRING (-58.4393528 -34.6035108, -58.4398856 -34.6032772, -58.4400961 -34.6031855)",
126149619,True,,Camargo,residential,40,False,128.571,"LINESTRING (-58.442738 -34.5980999, -58.4434812 -34.597424, -58.4436807 -34.5972427)",
533683072,True,,Gurruchaga,residential,20,False,130.086,"LINESTRING (-58.442738 -34.5980999, -58.4436101 -34.5988153, -58.4436343 -34.5988351, -58.4437447 -34.5989257)",
533676051,True,,Camargo,residential,20,False,130.284,"LINESTRING (-58.4417783 -34.5989652, -58.442738 -34.5980999)",
533676044,True,,Acevedo,residential,20,False,138.536,"LINESTRING (-58.4417783 -34.5989652, -58.4408649 -34.5982369, -58.4406793 -34.5981092)",
315841243,True,,Malabia,residential,40,False,130.855,"LINESTRING (-58.4408207 -34.5998213, -58.4415893 -34.6004882, -58.4416515 -34.6005401, -58.4418202 -34.6006618)",
533676055,True,,Camargo,residential,40,False,129.434,"LINESTRING (-58.4408207 -34.5998213, -58.4414345 -34.5992551, -58.4415712 -34.5991354, -58.4417783 -34.5989652)",
121176040,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,False,131.83,"LINESTRING (-58.4399631 -34.6006035, -58.4411155 -34.6013147)",
47259054,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,True,130.431,"LINESTRING (-58.4399631 -34.6006035, -58.4393614 -34.6002373, -58.4392132 -34.6001471, -58.4389697 -34.5999989, -58.4388171 -34.5999063)",
126149617,True,,Camargo,residential,40,False,117.17599999999999,"LINESTRING (-58.4399631 -34.6006035, -58.4406905 -34.5999308, -58.4408207 -34.5998213)",
533676058,True,2,Aráoz,residential,20,False,138.391,"LINESTRING (-58.4393147 -34.6013143, -58.4381045 -34.6005682)",
221560178,True,,Camargo,residential,40,False,98.839,"LINESTRING (-58.4393147 -34.6013143, -58.4396443 -34.6009517, -58.4398091 -34.6007703, -58.4399631 -34.6006035)",
849894729,True,5,Avenida Corrientes,primary,50,False,86.155,"LINESTRING (-58.4357207 -34.6008769, -58.4348501 -34.6011715)",
285542308,True,,Camargo,residential,40,False,116.312,"LINESTRING (-58.4377418 -34.6030311, -58.4383145 -34.6023828, -58.4383917 -34.6022985, -58.4384931 -34.6021875)",
533676074,True,,Lavalleja,residential,20,False,147.596,"LINESTRING (-58.4377418 -34.6030311, -58.4371265 -34.6026762, -58.4364697 -34.6022176)",
47263561,True,,Lavalleja,residential,40,False,56.513,"LINESTRING (-58.4353377 -34.6014833, -58.4348501 -34.6011715)",
19214866,True,,Vera,living_street,10,False,85.557,"LINESTRING (-58.4353377 -34.6014833, -58.4354089 -34.6014596, -58.4357535 -34.6011308, -58.4357866 -34.6010807, -58.4357922 -34.6010302, -58.4357722 -34.6009835, -58.4357207 -34.6008769)",
285542323,True,,Teniente General Eustaquio Frías,residential,40,False,133.323,"LINESTRING (-58.4345274 -34.6023032, -58.4356744 -34.6030423)",
285542324,True,,Vera,residential,40,False,117.525,"LINESTRING (-58.4345274 -34.6023032, -58.4348904 -34.6019373, -58.4353377 -34.6014833)",
126149619,True,,Camargo,residential,40,False,129.758,"LINESTRING (-58.4436807 -34.5972427, -58.4446305 -34.5963764)",
533680273,True,2,Serrano,residential,20,False,142.227,"LINESTRING (-58.4436807 -34.5972427, -58.442957 -34.5966575, -58.4425776 -34.5963419)",
221560298,True,,Murillo,secondary,40,False,18.372,"LINESTRING (-58.4423241 -34.6020881, -58.4423513 -34.6019244)",
128824043,True,,Avenida Raúl Scalabrini Ortiz,secondary,60,False,44.073,"LINESTRING (-58.4423241 -34.6020881, -58.442231 -34.6020352, -58.4421094 -34.6019614, -58.4420649 -34.6019189, -58.4419757 -34.6018205)",
285542308,True,,Camargo,residential,40,False,122.81,"LINESTRING (-58.4384931 -34.6021875, -58.4393147 -34.6013143)",
533676062,True,,Julián Álvarez,residential,30,False,148.853,"LINESTRING (-58.4384931 -34.6021875, -58.4397773 -34.6030089)",
"[128828481, 1268297567]",True,5,Avenida Corrientes,primary,"['60', '30']",False,15.922,"LINESTRING (-58.444342 -34.5946997, -58.4442879 -34.5947473, -58.4442244 -34.5948052)",
