osmid,oneway,lanes,highway,maxspeed,reversed,length,ref,name,geometry,bridge
"[182798954, 279534581]",False,2,residential,50,True,223.102,,"['Батак', 'Христо Смирненски']","LINESTRING (22.9589894 42.5433301, 22.9591245 42.5432542, 22.959586 42.54308, 22.9596262 42.5430464, 22.9596262 42.5430069, 22.9595941 42.5429634, 22.9587729 42.5417394)",
182800687,False,2,residential,50,True,77.242,,8-ми март,"LINESTRING (22.9577165 42.5482692, 22.9568957 42.5479273)",
279534585,False,2,residential,50,True,120.158,,Мирчо Христов,"LINESTRING (22.9577165 42.5482692, 22.9585601 42.5473852)",
182798956,False,2,residential,50,False,80.863,,Свилен Русев,"LINESTRING (22.9605677 42.5482415, 22.9600849 42.5488758)",
182798956,False,2,residential,50,True,81.053,,Свилен Русев,"LINESTRING (22.9605677 42.5482415, 22.9610827 42.5476191)",
182798965,False,2,residential,50,False,88.601,,Ген. Кантарджиев,"LINESTRING (22.9605677 42.5482415, 22.9595726 42.5479293)",
182798965,False,2,residential,50,True,82.28,,Ген. Кантарджиев,"LINESTRING (22.9605677 42.5482415, 22.9614528 42.5485913)",
279534567,False,2,unclassified,,False,8.364,,Иван Вазов,"LINESTRING (22.9587729 42.5417394, 22.9588686 42.5417132)",
279534567,False,2,unclassified,,True,47.912,,Иван Вазов,"LINESTRING (22.9587729 42.5417394, 22.9582013 42.5418305)",
"[182798954, 279534581]",False,2,residential,50,False,223.102,,"['Батак', 'Христо Смирненски']","LINESTRING (22.9587729 42.5417394, 22.9595941 42.5429634, 22.9596262 42.5430069, 22.9596262 42.5430464, 22.959586 42.54308, 22.9591245 42.5432542, 22.9589894 42.5433301)",
182801387,False,2,residential,50,False,94.083,,Алексадър Стамболийски,"LINESTRING (22.9585601 42.5473852, 22.9584353 42.5465441)",
279534585,False,2,residential,50,False,120.158,,Мирчо Христов,"LINESTRING (22.9585601 42.5473852, 22.9577165 42.5482692)",
279534585,False,2,residential,50,True,171.467,,Мирчо Христов,"LINESTRING (22.9585601 42.5473852, 22.9599615 42.5462398)",
182801387,False,2,residential,50,True,91.902,,Алексадър Стамболийски,"LINESTRING (22.9585601 42.5473852, 22.9585775 42.5474472, 22.9594362 42.5478741)",
182798965,False,2,residential,50,False,12.749,,Ген. Кантарджиев,"LINESTRING (22.9595726 42.5479293, 22.9594362 42.5478741)",
182798965,False,2,residential,50,True,88.601,,Ген. Кантарджиев,"LINESTRING (22.9595726 42.5479293, 22.9605677 42.5482415)",
279534584,False,2,residential,50,False,29.412,,Радомирска,"LINESTRING (22.9595726 42.5479293, 22.9597014 42.5476824)",
279534584,False,2,residential,50,True,244.754,,Радомирска,"LINESTRING (22.9595726 42.5479293, 22.959252 42.5485053, 22.9591327 42.5487197, 22.9589557 42.5490418, 22.9588645 42.5492809, 22.9588001 42.549441, 22.9586767 42.5500179)",
279534584,False,2,residential,50,True,29.412,,Радомирска,"LINESTRING (22.9597014 42.5476824, 22.9595726 42.5479293)",
702837071,False,2,tertiary,,False,30.436,603,Пирин,"LINESTRING (22.9597014 42.5476824, 22.9594362 42.5478741)",
702837071,False,2,tertiary,,True,64.823,603,Пирин,"LINESTRING (22.9597014 42.5476824, 22.9602662 42.5472741)",
182798956,False,2,residential,50,True,80.863,,Свилен Русев,"LINESTRING (22.9600849 42.5488758, 22.9605677 42.5482415)",
279534580,False,2,residential,50,False,83.997,,Кубрат,"LINESTRING (22.9600849 42.5488758, 22.96097 42.5492572)",
182798956,False,2,residential,50,False,142.631,,Свилен Русев,"LINESTRING (22.9600849 42.5488758, 22.9599328 42.5490959, 22.9597979 42.5493817, 22.9597343 42.5495746, 22.9596665 42.5501069)",
279534579,False,2,residential,50,False,81.32,,,"LINESTRING (22.9570351 42.5425719, 22.9571612 42.5418465)",
182801382,False,2,residential,50,True,180.343,,Деян Гебрев,"LINESTRING (22.9570351 42.5425719, 22.9570915 42.542584, 22.9571586 42.5426077, 22.9572203 42.5426472, 22.9581537 42.5439391)",
279534581,False,2,residential,50,True,75.509,,Христо Смирненски,"LINESTRING (22.9573715 42.5442983, 22.9581537 42.5439391)",
182801387,False,2,residential,50,True,244.41500000000002,,Алексадър Стамболийски,"LINESTRING (22.9573715 42.5442983, 22.9582556 42.5455699, 22.9582851 42.5456549, 22.9584058 42.5463307)",
279525806,False,2,residential,,False,72.731,,Братя Миленкови,"LINESTRING (22.9610505 42.5417856, 22.9618391 42.542086)",
182802514,False,2,residential,50,True,85.165,,Добруджа,"LINESTRING (22.9633813 42.5418291, 22.9629027 42.542509)",
279525809,False,2,residential,50,False,224.351,,Люлякова,"LINESTRING (22.9633813 42.5418291, 22.9635047 42.5418864, 22.963553 42.5419081, 22.9646339 42.541503, 22.9652481 42.5423666)",
182802512,False,2,residential,50,False,38.48,,Родопа,"LINESTRING (22.9652481 42.5423666, 22.964838 42.5425353)",
279525809,False,2,residential,50,False,139.305,,Люлякова,"LINESTRING (22.9652481 42.5423666, 22.9659854 42.5434955)",
279525809,False,2,residential,50,True,224.35099999999997,,Люлякова,"LINESTRING (22.9652481 42.5423666, 22.9646339 42.541503, 22.963553 42.5419081, 22.9635047 42.5418864, 22.9633813 42.5418291)",
279525806,False,2,residential,,False,56.977,,Братя Миленкови,"LINESTRING (22.9618391 42.542086, 22.9624511 42.5423294)",
279525806,False,2,residential,,True,72.731,,Братя Миленкови,"LINESTRING (22.9618391 42.542086, 22.9610505 42.5417856)",
279525806,False,2,residential,,True,41.663,,Братя Миленкови,"LINESTRING (22.9633518 42.5426848, 22.9629027 42.542509)",
182802510,False,2,residential,,False,47.711,,Евлоги Георгиев,"LINESTRING (22.9633518 42.5426848, 22.9635154 42.5428251, 22.9636787 42.5430375)",
279525806,False,2,residential,,False,58.672,,Братя Миленкови,"LINESTRING (22.9633518 42.5426848, 22.9639741 42.54291, 22.9639942 42.542918)",
