osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,junction,width
502482386,бул. Йордан Йовков,tertiary,True,False,157.621,,SFO1400,"LINESTRING (23.2152597 42.8130453, 23.215136 42.8130305, 23.2145721 42.8129621, 23.2144158 42.8129434, 23.2142222 42.8129189, 23.2141061 42.8129045, 23.2133537 42.8128121)",,
502482388,,secondary,True,False,7.072,2,81,"LINESTRING (23.2152597 42.8130453, 23.2152643 42.8130209, 23.2152787 42.8129987, 23.2152921 42.8129882)",roundabout,
502482388,,secondary,True,False,2.834,2,81,"LINESTRING (23.2152657 42.8130704, 23.2152597 42.8130453)",roundabout,
750110532,,secondary,True,False,3.686,2,81,"LINESTRING (23.215289 42.8130988, 23.2152657 42.8130704)",roundabout,
25577339,Г.С.Раковски,residential,False,True,179.381,,,"LINESTRING (23.2161615 42.8114678, 23.2177384 42.8125922)",,
726185789,,residential,True,False,181.083,,,"LINESTRING (23.2161615 42.8114678, 23.2155488 42.8129318, 23.2154684 42.8130089)",,
25577285,Янко Забунов,residential,False,False,96.643,,,"LINESTRING (23.2149004 42.8144847, 23.2159281 42.8149172)",,
25577285,Янко Забунов,residential,False,True,9.133,,,"LINESTRING (23.2149004 42.8144847, 23.2148003 42.8144479)",,
601996394,,residential,True,False,189.25,,,"LINESTRING (23.2149004 42.8144847, 23.2142176 42.8161113)",,
25577155,Люляк,residential,False,True,96.59,,,"LINESTRING (23.2142176 42.8161113, 23.2152354 42.8164722, 23.215284 42.816489)",,
601996394,,residential,True,False,39.962,,,"LINESTRING (23.2142176 42.8161113, 23.2141563 42.8162631, 23.2140785 42.8164559)",,
205033603,Къпина,residential,False,False,115.911,,,"LINESTRING (23.2137655 42.8172308, 23.2151866 42.8172285)",,
25578034,Цар Калоян,residential,False,False,11.399,,,"LINESTRING (23.2138813 42.8163513, 23.2140173 42.8163277)",,
25578034,Цар Калоян,residential,False,True,126.266,,,"LINESTRING (23.2138813 42.8163513, 23.2123826 42.8166357)",,
502482390,,residential,True,False,146.553,,,"LINESTRING (23.2138813 42.8163513, 23.2139388 42.8162142, 23.2144097 42.8150916)",,
25578067,Ком,residential,False,True,134.491,,,"LINESTRING (23.2144097 42.8150916, 23.2128961 42.8146119)",,
502482390,,residential,True,False,80.342,,,"LINESTRING (23.2144097 42.8150916, 23.2146984 42.8144008)",,
25577285,Янко Забунов,residential,False,False,9.824,,,"LINESTRING (23.2146984 42.8144008, 23.2148003 42.8144479)",,
25577285,Янко Забунов,residential,False,True,148.715,,,"LINESTRING (23.2146984 42.8144008, 23.2131126 42.8137409)",,
502482390,,residential,True,False,155.221,,,"LINESTRING (23.2146984 42.8144008, 23.2151934 42.813172, 23.2152657 42.8130704)",,
726185790,,residential,True,False,71.071,,,"LINESTRING (23.2156996 42.811992, 23.2159645 42.8113831)",,
25578094,Черни връх,residential,False,True,172.739,,,"LINESTRING (23.2156996 42.811992, 23.2153052 42.8119198, 23.2147762 42.8118207, 23.2143626 42.8117431, 23.2136473 42.8116091)",,
601996390,Г.С.Раковски,residential,False,False,183.216,,,"LINESTRING (23.2159645 42.8113831, 23.2137975 42.8109498)",,
601996393,,residential,True,False,113.295,,,"LINESTRING (23.2159645 42.8113831, 23.2163568 42.8104856, 23.2164174 42.8104235)",,
281815505,бул. Ломско шосе,secondary,True,False,6.578,,81,"LINESTRING (23.2166371 42.8103908, 23.216594 42.8104408)",,
750110535,,secondary,True,False,19.900999999999996,,,"LINESTRING (23.2166371 42.8103908, 23.216583 42.8104042, 23.216546 42.8104065, 23.2165091 42.8104035, 23.2164749 42.8103959, 23.2164432 42.8103838, 23.2164093 42.8103667)",roundabout,
281815506,,secondary,True,False,3.423,,,"LINESTRING (23.2164093 42.8103667, 23.2163852 42.8103415)",roundabout,
