osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,tunnel
1068160501,residential,False,True,50.615,"LINESTRING (77.7878324 13.0712541, 77.7882992 13.0712331)",,,,,
1068160502,residential,False,False,109.252,"LINESTRING (77.7886318 13.0712018, 77.7896404 13.0712122)",,,,,
1068160503,residential,False,False,43.026,"LINESTRING (77.7886318 13.0712018, 77.7886425 13.070815)",,,,,
1068160502,residential,False,True,36.39,"LINESTRING (77.7886318 13.0712018, 77.7885889 13.0712175, 77.7882992 13.0712331)",,,,,
1068160502,residential,False,True,109.252,"LINESTRING (77.7896404 13.0712122, 77.7886318 13.0712018)",,,,,
1068160503,residential,False,False,46.988,"LINESTRING (77.7886425 13.070815, 77.7886972 13.0703958)",,,,,
1068160503,residential,False,True,43.026,"LINESTRING (77.7886425 13.070815, 77.7886318 13.0712018)",,,,,
1068160505,residential,False,False,78.042,"LINESTRING (77.7886425 13.070815, 77.7879236 13.070862)",,,,,
1068160504,residential,False,False,115.41399999999999,"LINESTRING (77.7886425 13.070815, 77.789061 13.0708254, 77.7897047 13.0708881)",,,,,
1068160504,residential,False,True,115.41399999999999,"LINESTRING (77.7897047 13.0708881, 77.789061 13.0708254, 77.7886425 13.070815)",,,,,
1068160505,residential,False,True,78.042,"LINESTRING (77.7879236 13.070862, 77.7886425 13.070815)",,,,,
215342806,residential,False,False,23.115,"LINESTRING (77.7887084 13.0700099, 77.7887144 13.0698021)",,,,,
215342806,residential,False,True,42.927,"LINESTRING (77.7887084 13.0700099, 77.7886972 13.0703958)",,,,,
1068160506,residential,False,False,83.64,"LINESTRING (77.7887084 13.0700099, 77.7879362 13.0700099)",,,,,
215202923,residential,False,False,40.88,"LINESTRING (77.7879362 13.0700099, 77.7878832 13.0703739)",,,,,
1068160506,residential,False,True,83.64,"LINESTRING (77.7879362 13.0700099, 77.7887084 13.0700099)",,,,,
215202923,residential,False,True,23.371000000000002,"LINESTRING (77.7879362 13.0700099, 77.7879507 13.0699106, 77.787955 13.0698008)",,,,,
1068160507,residential,False,False,82.254,"LINESTRING (77.787955 13.0698008, 77.7887144 13.0698021)",,,,,
215202923,residential,False,False,23.371000000000002,"LINESTRING (77.787955 13.0698008, 77.7879507 13.0699106, 77.7879362 13.0700099)",,,,,
215202923,residential,False,True,63.527,"LINESTRING (77.787955 13.0698008, 77.7879718 13.0693709, 77.7879663 13.0692299)",,,,,
1068160508,residential,False,False,159.4,"LINESTRING (77.7901929 13.0695553, 77.7887213 13.0695657)",,,,,
1068160509,residential,False,False,31.001,"LINESTRING (77.7901929 13.0695553, 77.7901929 13.0698341)",,,,,
1068160510,residential,False,False,57.664,"LINESTRING (77.7901929 13.0695553, 77.7906167 13.0695344, 77.7907246 13.0695292)",,,,,
215342806,residential,False,True,26.297,"LINESTRING (77.7887213 13.0695657, 77.7887144 13.0698021)",,,,,
1068160508,residential,False,True,159.4,"LINESTRING (77.7887213 13.0695657, 77.7901929 13.0695553)",,,,,
215342806,residential,False,False,39.561,"LINESTRING (77.7887213 13.0695657, 77.7887232 13.0695009, 77.7887292 13.06921)",,,,,
215342821,residential,False,False,55.831,"LINESTRING (77.7901929 13.0698341, 77.7907059 13.0697852)",,,,,
215342821,residential,False,True,29.656,"LINESTRING (77.7901929 13.0698341, 77.7899204 13.06986)",,,,,
1068160509,residential,False,True,31.001,"LINESTRING (77.7901929 13.0698341, 77.7901929 13.0695553)",,,,,
215342767,residential,False,False,42.183,"LINESTRING (77.7907246 13.0695292, 77.790755 13.069151)",,,,,
215342767,residential,False,True,28.538,"LINESTRING (77.7907246 13.0695292, 77.7907059 13.0697852)",,,,,
1068160510,residential,False,False,31.899,"LINESTRING (77.7907246 13.0695292, 77.7910191 13.0695292)",,,,,
1068160510,residential,False,True,57.664,"LINESTRING (77.7907246 13.0695292, 77.7906167 13.0695344, 77.7901929 13.0695553)",,,,,
1068160510,residential,False,True,31.899,"LINESTRING (77.7910191 13.0695292, 77.7907246 13.0695292)",,,,,
215202896,residential,False,False,28.328,"LINESTRING (77.7911364 13.0705005, 77.7913979 13.0705049)",,,,,
1068160512,residential,False,False,101.215,"LINESTRING (77.7911364 13.0705005, 77.7911959 13.0714089)",,,,,
215202896,residential,False,True,130.56799999999998,"LINESTRING (77.7911364 13.0705005, 77.7909476 13.0704973, 77.7905045 13.0705036, 77.7899319 13.0704726)",,,,,
215202828,residential,False,False,74.238,"LINESTRING (77.7912412 13.0720113, 77.791292 13.0726771)",,,,,
1068160513,residential,False,False,38.365,"LINESTRING (77.7912412 13.0720113, 77.7908903 13.0720583)",,,,,
215202828,residential,False,True,26.118000000000002,"LINESTRING (77.7912412 13.0720113, 77.7912259 13.071853, 77.7912205 13.0717773)",,,,,
1068160513,residential,False,True,38.365,"LINESTRING (77.7908903 13.0720583, 77.7912412 13.0720113)",,,,,
215342829,residential,False,True,11.988,"LINESTRING (77.791455 13.0732792, 77.7913444 13.0732752)",,,,,
215342829,residential,False,False,177.84699999999998,"LINESTRING (77.791455 13.0732792, 77.7915527 13.0732843, 77.7917727 13.0733338, 77.7921365 13.0733558, 77.7930896 13.0733925)",,,,,
"[1068160514, 215342799]",residential,False,False,234.95600000000002,"LINESTRING (77.791455 13.0732792, 77.7916473 13.0726718, 77.7927567 13.072702, 77.7931635 13.0727081)",,,,,
1068160515,residential,False,True,35.541,"LINESTRING (77.791365 13.0735942, 77.7913444 13.0732752)",,,,,
1068160516,residential,False,True,130.558,"LINESTRING (77.7935559 13.0740174, 77.7936423 13.0746711, 77.7936857 13.0751844)",,,,,
1068160517,residential,False,True,51.432,"LINESTRING (77.7929162 13.0748483, 77.7933848 13.0747735)",,,,,
1068160518,residential,False,False,32.812,"LINESTRING (77.794283 13.0747309, 77.7945841 13.0746984)",,,,,
1068160518,residential,False,True,111.11399999999999,"LINESTRING (77.794283 13.0747309, 77.7938895 13.0747735, 77.7939188 13.0751574, 77.7936857 13.0751844)",,,,,
1068160521,residential,False,True,49.96,"LINESTRING (77.794283 13.0747309, 77.7942807 13.0743362, 77.7942968 13.0742839)",,,,,
1068160518,residential,False,True,32.812,"LINESTRING (77.7945841 13.0746984, 77.794283 13.0747309)",,,,,
1068160519,residential,False,False,193.304,"LINESTRING (77.7945841 13.0746984, 77.7946133 13.0751513, 77.7947206 13.0754334, 77.7948546 13.0764085)",,,,,
1068160520,residential,False,False,46.669,"LINESTRING (77.7945841 13.0746984, 77.7946615 13.0745661, 77.794936 13.0745611)",,,,,
1068160522,residential,False,False,81.965,"LINESTRING (77.7942968 13.0742839, 77.795052 13.074331)",,,,,
1068160523,residential,False,False,16.31,"LINESTRING (77.7942968 13.0742839, 77.794286 13.0741376)",,,,,
1068160521,residential,False,False,49.96,"LINESTRING (77.7942968 13.0742839, 77.7942807 13.0743362, 77.794283 13.0747309)",,,,,
45475802,tertiary,False,False,28.504,"LINESTRING (77.795052 13.074331, 77.794936 13.0745611)",,,,,
45475802,tertiary,False,True,20.065,"LINESTRING (77.795052 13.074331, 77.7951336 13.074169)",,,,,
1068160522,residential,False,True,81.965,"LINESTRING (77.795052 13.074331, 77.7942968 13.0742839)",,,,,
1068160523,residential,False,False,29.137,"LINESTRING (77.794286 13.0741376, 77.7943075 13.0738764)",,,,,
1068160523,residential,False,True,16.31,"LINESTRING (77.794286 13.0741376, 77.7942968 13.0742839)",,,,,
1068160524,residential,False,False,91.872,"LINESTRING (77.794286 13.0741376, 77.7951336 13.074169)",,,,,
1068160523,residential,False,True,29.137,"LINESTRING (77.7943075 13.0738764, 77.794286 13.0741376)",,,,,
1068160525,residential,False,True,103.571,"LINESTRING (77.7943075 13.0738764, 77.7952619 13.0739338)",,,,,
1068160523,residential,False,False,32.547,"LINESTRING (77.7943075 13.0738764, 77.7942914 13.0738346, 77.7942968 13.0735866)",,,,,
215342757,residential,False,False,121.25400000000002,"LINESTRING (77.7942968 13.0735866, 77.7945937 13.0736289, 77.7948641 13.073581, 77.7951991 13.0735212, 77.7954028 13.0735102)",,,,,
215342757,residential,False,True,31.192,"LINESTRING (77.7942968 13.0735866, 77.7941113 13.0735601, 77.7940124 13.0735427)",,,,,
1068160523,residential,False,True,32.547,"LINESTRING (77.7942968 13.0735866, 77.7942914 13.0738346, 77.7943075 13.0738764)",,,,,
45475802,tertiary,False,False,20.065,"LINESTRING (77.7951336 13.074169, 77.795052 13.074331)",,,,,
1068160524,residential,False,True,91.872,"LINESTRING (77.7951336 13.074169, 77.794286 13.0741376)",,,,,
45475802,tertiary,False,True,29.664,"LINESTRING (77.7951336 13.074169, 77.7952257 13.0739863, 77.7952619 13.0739338)",,,,,
45475802,tertiary,False,True,32.883,"LINESTRING (77.7952619 13.0739338, 77.795431 13.0736882)",,,,,
1068160525,residential,False,False,103.571,"LINESTRING (77.7952619 13.0739338, 77.7943075 13.0738764)",,,,,
45475802,tertiary,False,False,29.664,"LINESTRING (77.7952619 13.0739338, 77.7952257 13.0739863, 77.7951336 13.074169)",,,,,
