osmid,ref,name,highway,oneway,reversed,length,geometry
650714575,,Calle Principal,residential,False,False,23.109,"LINESTRING (-92.9138335 17.9097128, -92.9138031 17.909507)"
650714575,,Calle Principal,residential,False,True,15.019,"LINESTRING (-92.9138335 17.9097128, -92.9138453 17.9098474)"
650730670,,Calle Caminero,residential,False,False,80.458,"LINESTRING (-92.9138335 17.9097128, -92.9130986 17.9098987)"
650714575,,Calle Principal,residential,False,True,42.848,"LINESTRING (-92.913731 17.9089405, -92.9137756 17.9093235)"
650730653,,Calle Traxcavo,residential,False,False,92.031,"LINESTRING (-92.913731 17.9089405, -92.9128934 17.9091636)"
650730661,,,residential,False,False,34.253,"LINESTRING (-92.9152723 17.9099633, -92.9152106 17.9096609)"
650730673,,,residential,False,True,24.621,"LINESTRING (-92.9152723 17.9099633, -92.9152867 17.9101843)"
650730677,,Calle Barrio Guayaba,residential,False,True,41.169,"LINESTRING (-92.9152723 17.9099633, -92.9156577 17.9099124)"
650730677,,Calle Barrio Guayaba,residential,False,False,68.51,"LINESTRING (-92.9152723 17.9099633, -92.9152449 17.9099701, -92.9150675 17.9099988, -92.9146345 17.910069)"
650730664,,Calle Caminero,residential,False,True,86.591,"LINESTRING (-92.9122048 17.9097297, -92.9129915 17.9095151)"
650730670,,Calle Caminero,residential,False,True,76.258,"LINESTRING (-92.9123998 17.9100666, -92.9130986 17.9098987)"
650730656,,Calle 2,residential,False,False,21.389,"LINESTRING (-92.912466 17.9105449, -92.912392 17.9103659)"
650730656,,Calle 2,residential,False,True,49.818,"LINESTRING (-92.912466 17.9105449, -92.9126256 17.9109664)"
650730671,,Privada Mambo,residential,False,True,156.821,"LINESTRING (-92.912466 17.9105449, -92.9138941 17.9101675)"
146950054,,Avenida Frutales,residential,False,False,19.495,"LINESTRING (-92.9145623 17.9095745, -92.9145406 17.9094004)"
146950054,,Avenida Frutales,residential,False,True,18.299,"LINESTRING (-92.9145623 17.9095745, -92.9145896 17.909737)"
650730674,,,residential,False,True,65.652,"LINESTRING (-92.9145623 17.9095745, -92.9151786 17.909506)"
650730678,,Calle Barrio Guayaba,residential,False,True,18.433,"LINESTRING (-92.915459 17.9101598, -92.9152867 17.9101843)"
650730653,,Calle Traxcavo,residential,False,True,96.328,"LINESTRING (-92.9120124 17.909382, -92.9128934 17.9091636)"
650714575,,Calle Principal,residential,False,False,20.611,"LINESTRING (-92.9138031 17.909507, -92.9137756 17.9093235)"
650714575,,Calle Principal,residential,False,True,23.109,"LINESTRING (-92.9138031 17.909507, -92.9138335 17.9097128)"
650730679,,Segunda Cerrada de Marañón,residential,False,True,36.957,"LINESTRING (-92.9138031 17.909507, -92.9141493 17.9094629)"
650714575,,Calle Principal,residential,False,False,35.966,"LINESTRING (-92.9138941 17.9101675, -92.9138453 17.9098474)"
650714575,,Calle Principal,residential,False,True,50.038,"LINESTRING (-92.9138941 17.9101675, -92.9139608 17.910613)"
650730669,,Privada Fenasib,residential,False,True,79.101,"LINESTRING (-92.9138941 17.9101675, -92.9146345 17.910069)"
650730671,,Privada Mambo,residential,False,False,156.821,"LINESTRING (-92.9138941 17.9101675, -92.912466 17.9105449)"
650714575,,Calle Principal,residential,False,False,15.019,"LINESTRING (-92.9138453 17.9098474, -92.9138335 17.9097128)"
650714575,,Calle Principal,residential,False,True,35.966,"LINESTRING (-92.9138453 17.9098474, -92.9138941 17.9101675)"
650730680,,Tercera Cerrada de Marañón,residential,False,False,37.136,"LINESTRING (-92.9138453 17.9098474, -92.9141902 17.9097855)"
146950054,,Avenida Frutales,residential,False,False,22.921,"LINESTRING (-92.9146761 17.9102713, -92.9146345 17.910069)"
146950054,,Avenida Frutales,residential,False,True,33.8,"LINESTRING (-92.9146761 17.9102713, -92.9146909 17.910383, -92.9146586 17.9105719)"
650730678,,Calle Barrio Guayaba,residential,False,False,65.325,"LINESTRING (-92.9146761 17.9102713, -92.9149857 17.9102271, -92.9152867 17.9101843)"
650730657,,Calle Pomarrosa,residential,False,False,25.806,"LINESTRING (-92.915293 17.909089, -92.9152589 17.9093188)"
650714575,,Calle Principal,residential,False,False,42.848,"LINESTRING (-92.9137756 17.9093235, -92.913731 17.9089405)"
650714575,,Calle Principal,residential,False,True,20.611,"LINESTRING (-92.9137756 17.9093235, -92.9138031 17.909507)"
650730664,,Calle Caminero,residential,False,False,85.655,"LINESTRING (-92.9137756 17.9093235, -92.9129915 17.9095151)"
650730662,,Primera Cerrada de Marañón,residential,False,False,84.896,"LINESTRING (-92.9137756 17.9093235, -92.9141614 17.9092549, -92.9145674 17.9092013)"
650730661,,,residential,False,True,17.554,"LINESTRING (-92.9151786 17.909506, -92.9152106 17.9096609)"
650730674,,,residential,False,False,65.652,"LINESTRING (-92.9151786 17.909506, -92.9145623 17.9095745)"
650730654,,,residential,False,False,22.488,"LINESTRING (-92.9151786 17.909506, -92.9152317 17.9093767, -92.9152589 17.9093188)"
650730653,,Calle Traxcavo,residential,False,False,96.328,"LINESTRING (-92.9128934 17.9091636, -92.9120124 17.909382)"
650730653,,Calle Traxcavo,residential,False,True,92.031,"LINESTRING (-92.9128934 17.9091636, -92.913731 17.9089405)"
650730672,,Calle Motoconformadora,residential,False,True,40.44,"LINESTRING (-92.9128934 17.9091636, -92.9129915 17.9095151)"
650730656,,Calle 2,residential,False,True,21.389,"LINESTRING (-92.912392 17.9103659, -92.912466 17.9105449)"
650730661,,,residential,False,False,17.554,"LINESTRING (-92.9152106 17.9096609, -92.9151786 17.909506)"
650730661,,,residential,False,True,34.253,"LINESTRING (-92.9152106 17.9096609, -92.9152723 17.9099633)"
650730665,,Cerrada Barrio Guayaba,residential,False,False,20.333,"LINESTRING (-92.9152106 17.9096609, -92.9153989 17.9096244)"
650730665,,Cerrada Barrio Guayaba,residential,False,True,66.59,"LINESTRING (-92.9152106 17.9096609, -92.914595 17.9097854)"
650730664,,Calle Caminero,residential,False,False,86.591,"LINESTRING (-92.9129915 17.9095151, -92.9122048 17.9097297)"
650730664,,Calle Caminero,residential,False,True,85.655,"LINESTRING (-92.9129915 17.9095151, -92.9137756 17.9093235)"
650730672,,Calle Motoconformadora,residential,False,False,40.44,"LINESTRING (-92.9129915 17.9095151, -92.9128934 17.9091636)"
