osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed
952870705,,,residential,False,False,27.67,"LINESTRING (-98.172387 19.3352053, -98.1723824 19.3352851, -98.1723516 19.3353699, -98.172314 19.3354408)",
845458523,,,residential,False,False,45.86,"LINESTRING (-98.1720545 19.3349376, -98.172387 19.3352053)",
845459147,,Avenida Ferrocarril,residential,False,True,43.73,"LINESTRING (-98.1720545 19.3349376, -98.1724445 19.3347989)",40
845459147,,Avenida Ferrocarril,residential,False,False,165.062,"LINESTRING (-98.1720545 19.3349376, -98.1715887 19.3350957, -98.1711121 19.3352113, -98.1705776 19.3354381)",40
32345882,,Calle 3 de Marzo,residential,False,False,80.516,"LINESTRING (-98.1706865 19.3366542, -98.1713088 19.3370779)",40
845459909,,,residential,False,False,49.88,"LINESTRING (-98.1706865 19.3366542, -98.1709853 19.3363053)",
32345882,,Calle 3 de Marzo,residential,False,True,90.17699999999999,"LINESTRING (-98.1706865 19.3366542, -98.1706408 19.3366234, -98.1699873 19.3361826)",40
845459904,,Calle 3 de Marzo,residential,False,True,33.816,"LINESTRING (-98.1690603 19.3359003, -98.1690786 19.3357402, -98.1691453 19.3356117)",
32345882,,Calle 3 de Marzo,residential,False,False,21.079,"LINESTRING (-98.1691453 19.3356117, -98.169308 19.3357229)",40
32345882,,Calle 3 de Marzo,residential,False,True,63.417,"LINESTRING (-98.1691453 19.3356117, -98.1686609 19.3352706)",40
845459904,,Calle 3 de Marzo,residential,False,False,33.816,"LINESTRING (-98.1691453 19.3356117, -98.1690786 19.3357402, -98.1690603 19.3359003)",
845459905,,,residential,False,True,29.156,"LINESTRING (-98.1694758 19.3355139, -98.169308 19.3357229)",
32345882,,Calle 3 de Marzo,residential,False,False,32.228,"LINESTRING (-98.169308 19.3357229, -98.1695567 19.335893)",40
32345882,,Calle 3 de Marzo,residential,False,True,21.079,"LINESTRING (-98.169308 19.3357229, -98.1691453 19.3356117)",40
845459905,,,residential,False,False,29.156,"LINESTRING (-98.169308 19.3357229, -98.1694758 19.3355139)",
845479632,2,Avenida Emiliano Zapata Norte,secondary,False,False,6.742,"LINESTRING (-98.1683852 19.3356485, -98.1683446 19.3356955)",
845479632,2,Avenida Emiliano Zapata Norte,secondary,False,True,51.015,"LINESTRING (-98.1683852 19.3356485, -98.1686609 19.3352706)",
845459906,,Avenida Mariano Matamoros,residential,False,False,76.655,"LINESTRING (-98.1683852 19.3356485, -98.1685786 19.3359642, -98.168668 19.3361793, -98.1687342 19.3362491)",
845459907,,,residential,False,True,59.312,"LINESTRING (-98.1696457 19.3366076, -98.1699873 19.3361826)",
32345882,,Calle 3 de Marzo,residential,False,True,44.264,"LINESTRING (-98.1699873 19.3361826, -98.1696441 19.3359511)",40
845459907,,,residential,False,False,59.312,"LINESTRING (-98.1699873 19.3361826, -98.1696457 19.3366076)",
32345882,,Calle 3 de Marzo,residential,False,False,90.17699999999999,"LINESTRING (-98.1699873 19.3361826, -98.1706408 19.3366234, -98.1706865 19.3366542)",40
845459909,,,residential,False,True,49.88,"LINESTRING (-98.1709853 19.3363053, -98.1706865 19.3366542)",
845459906,,Avenida Mariano Matamoros,residential,False,True,76.655,"LINESTRING (-98.1687342 19.3362491, -98.168668 19.3361793, -98.1685786 19.3359642, -98.1683852 19.3356485)",
32345580,,Calle Venustiano Carranza,residential,False,False,31.274,"LINESTRING (-98.1722963 19.3327647, -98.1719994 19.3327895)",40
845474101,,,residential,False,False,31.069,"LINESTRING (-98.1722963 19.3327647, -98.1721485 19.3329299, -98.1721095 19.3329813)",
32345580,,Calle Venustiano Carranza,residential,False,True,31.274,"LINESTRING (-98.1719994 19.3327895, -98.1722963 19.3327647)",40
32345580,,Calle Venustiano Carranza,residential,False,False,110.31200000000001,"LINESTRING (-98.1719994 19.3327895, -98.1715028 19.3328289, -98.1711536 19.3328665, -98.1709565 19.3329061)",40
845802224,,,residential,False,True,100.853,"LINESTRING (-98.1707788 19.3317255, -98.1713475 19.3309943)",
845476368,,,living_street,False,True,73.879,"LINESTRING (-98.1696477 19.3326655, -98.169253 19.3332157)",
845459149,2,Juan Cuamatzi,secondary,True,False,34.784,"LINESTRING (-98.169253 19.3332157, -98.1695842 19.3332021)",
845476368,,,living_street,False,False,73.879,"LINESTRING (-98.169253 19.3332157, -98.1696477 19.3326655)",
"[845476369, 845476372]",,Privada Guadalupe Victoria,residential,False,"[False, True]",102.679,"LINESTRING (-98.1689566 19.3325504, -98.1687089 19.3328599, -98.1687027 19.3328893, -98.1687205 19.3329129, -98.1691019 19.3332254)",
845476371,,,residential,False,True,61.317,"LINESTRING (-98.1692362 19.3336451, -98.1695842 19.3332021)",
845459149,2,Juan Cuamatzi,secondary,True,False,15.891,"LINESTRING (-98.1691019 19.3332254, -98.169253 19.3332157)",
"[845476369, 845476372]",,Privada Guadalupe Victoria,residential,False,"[False, True]",102.679,"LINESTRING (-98.1691019 19.3332254, -98.1687205 19.3329129, -98.1687027 19.3328893, -98.1687089 19.3328599, -98.1689566 19.3325504)",
140455141,,Calle Unión,residential,False,False,187.327,"LINESTRING (-98.1700745 19.3339967, -98.1703046 19.3341239, -98.1715439 19.3349522)",40
845479634,,,residential,False,True,8.03,"LINESTRING (-98.1656503 19.3346077, -98.1655849 19.3345702)",
845479634,,,residential,False,False,24.194,"LINESTRING (-98.1653911 19.3344523, -98.1655849 19.3345702)",
845479634,,,residential,False,False,8.03,"LINESTRING (-98.1655849 19.3345702, -98.1656503 19.3346077)",
845479634,,,residential,False,True,24.194,"LINESTRING (-98.1655849 19.3345702, -98.1653911 19.3344523)",
845479635,,,residential,False,True,76.171,"LINESTRING (-98.1655849 19.3345702, -98.1659915 19.3340027)",
