osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width
14123221,Meraner Straße,residential,30,False,True,118.449,,"LINESTRING (13.5355701 52.6439013, 13.5359517 52.6439769, 13.5365004 52.6440857, 13.5368072 52.6441465, 13.5372389 52.6442321)",
14122954,Pitztaler Straße,residential,30,False,False,180.78599999999997,,"LINESTRING (13.5370578 52.6473741, 13.5370855 52.6470538, 13.5370866 52.6470333, 13.5371057 52.6466787, 13.5371126 52.646551, 13.5371253 52.6463162, 13.5371432 52.6459824, 13.5371558 52.6457494)",
14122954,Pitztaler Straße,residential,30,False,True,229.43100000000004,,"LINESTRING (13.5370578 52.6473741, 13.5370462 52.6476807, 13.5370424 52.6477322, 13.5370304 52.6479479, 13.537027 52.6479975, 13.5370129 52.6482496, 13.537004 52.648439, 13.5370005 52.6485072, 13.5369947 52.64863, 13.5369829 52.6487777, 13.5369809 52.648864, 13.5369707 52.6490504, 13.5369675 52.6491408, 13.536948 52.6494363)",
14123399,Bozener Straße,residential,30,False,False,121.679,,"LINESTRING (13.5370578 52.6473741, 13.5377738 52.6473858, 13.5379634 52.6473887, 13.5388608 52.6474026)",5.5
14123399,Bozener Straße,residential,30,False,True,113.207,,"LINESTRING (13.5370578 52.6473741, 13.5362238 52.6473566, 13.5361568 52.6473552, 13.5358653 52.6473489, 13.5353808 52.6473384)",5.5
14122954,Pitztaler Straße,residential,30,False,False,168.80999999999997,,"LINESTRING (13.5371558 52.6457494, 13.5371729 52.6454378, 13.537175 52.6453997, 13.5371844 52.6452264, 13.5371848 52.6452191, 13.5371971 52.644995, 13.5372051 52.6448492, 13.5372073 52.6448093, 13.5372201 52.6445753, 13.5372244 52.6444965, 13.5372256 52.6444757, 13.5372389 52.6442321)",
14122954,Pitztaler Straße,residential,30,False,True,180.786,,"LINESTRING (13.5371558 52.6457494, 13.5371432 52.6459824, 13.5371253 52.6463162, 13.5371126 52.646551, 13.5371057 52.6466787, 13.5370866 52.6470333, 13.5370855 52.6470538, 13.5370578 52.6473741)",
15742319,Passeier Straße,residential,30,False,True,115.22399999999999,,"LINESTRING (13.5371558 52.6457494, 13.5365858 52.645736, 13.5365119 52.6457343, 13.5354492 52.6457094)",
14122954,Pitztaler Straße,residential,30,False,True,168.81,,"LINESTRING (13.5372389 52.6442321, 13.5372256 52.6444757, 13.5372244 52.6444965, 13.5372201 52.6445753, 13.5372073 52.6448093, 13.5372051 52.6448492, 13.5371971 52.644995, 13.5371848 52.6452191, 13.5371844 52.6452264, 13.537175 52.6453997, 13.5371729 52.6454378, 13.5371558 52.6457494)",
14123221,Meraner Straße,residential,30,False,False,118.44900000000001,,"LINESTRING (13.5372389 52.6442321, 13.5368072 52.6441465, 13.5365004 52.6440857, 13.5359517 52.6439769, 13.5355701 52.6439013)",
14123221,Meraner Straße,residential,30,False,True,148.89700000000002,,"LINESTRING (13.5372389 52.6442321, 13.537917 52.6443674, 13.5384734 52.6444807, 13.5393354 52.6446503)",
14122983,Iselbergstraße,residential,30,False,True,38.368,,"LINESTRING (13.5387138 52.6497211, 13.5384664 52.6500318)",
14122983,Iselbergstraße,residential,30,False,False,132.796,,"LINESTRING (13.5387138 52.6497211, 13.538867 52.6496817, 13.5389285 52.6496763, 13.5390118 52.6496729, 13.5393988 52.6495598, 13.5396566 52.6494961, 13.5397565 52.6494734, 13.5399079 52.6494494, 13.5402404 52.6494059, 13.5405821 52.6493759)",
14123048,Lechtaler Straße,residential,30,False,False,258.101,,"LINESTRING (13.5387138 52.6497211, 13.5387297 52.6496707, 13.5387437 52.6495797, 13.5387696 52.6493604, 13.5387745 52.6492204, 13.5387843 52.6490134, 13.538788 52.6489358, 13.5387898 52.6488981, 13.5388008 52.6486667, 13.5388092 52.6484902, 13.5388124 52.6484221, 13.5388153 52.6483606, 13.5388252 52.6481796, 13.5388278 52.6480976, 13.5388331 52.6479862, 13.5388352 52.6479417, 13.5388419 52.6478009, 13.5388452 52.6477308, 13.5388506 52.6476181, 13.5388608 52.6474026)",5.05
"[1083939497, 14122983]",Iselbergstraße,residential,30,False,False,87.832,,"LINESTRING (13.5405821 52.6493759, 13.54063 52.6493771, 13.5406606 52.6493779, 13.5411276 52.6493901, 13.5412308 52.6493928, 13.541798 52.6494818, 13.5418627 52.6494919)",5.05
14122983,Iselbergstraße,residential,30,False,True,132.79600000000002,,"LINESTRING (13.5405821 52.6493759, 13.5402404 52.6494059, 13.5399079 52.6494494, 13.5397565 52.6494734, 13.5396566 52.6494961, 13.5393988 52.6495598, 13.5390118 52.6496729, 13.5389285 52.6496763, 13.538867 52.6496817, 13.5387138 52.6497211)",
14123150,Brennerstraße,residential,30,False,False,214.776,,"LINESTRING (13.5405821 52.6493759, 13.5405984 52.6490864, 13.5406205 52.6486949, 13.5406258 52.648601, 13.5406279 52.6485628, 13.5406296 52.6485326, 13.5406377 52.6483888, 13.5406909 52.6474455)",5.05
14123048,Lechtaler Straße,residential,30,False,False,309.763,,"LINESTRING (13.5388608 52.6474026, 13.5388765 52.6470973, 13.5388799 52.6470312, 13.5389006 52.6466292, 13.5389096 52.6464547, 13.5389148 52.6463542, 13.5389275 52.6461696, 13.5389506 52.6458333, 13.5389531 52.6457967, 13.5389638 52.6456405, 13.5389652 52.6456211, 13.5389694 52.6455596, 13.5389956 52.6454458, 13.5390131 52.6453699, 13.5390315 52.6452899, 13.5390371 52.6452658, 13.5390751 52.6451237, 13.5391047 52.6450132, 13.5391525 52.644935, 13.5392438 52.6447858, 13.5393354 52.6446503)",5.05
