osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
107825715,,Bismarckstraße,residential,30,False,True,147.215,"LINESTRING (7.9621238 48.0954666, 7.9630024 48.0950307, 7.9630568 48.0950037, 7.9637261 48.0946873)",,5.8
124878604,2,Lange Straße,tertiary,30,False,True,88.793,"LINESTRING (7.9621238 48.0954666, 7.9619125 48.0951647, 7.9616002 48.0947488)",,
"[25430329, 228597900, 228597901]",,Schwarzenbergstraße,residential,30,False,False,43.06,"LINESTRING (7.9624701 48.0899251, 7.9625591 48.0901009, 7.962608 48.090224, 7.9626252 48.0902672, 7.9626366 48.0902958)",yes,
35266217,,Am Ziegelhof,living_street,,False,False,85.443,"LINESTRING (7.9624701 48.0899251, 7.9625121 48.0898445, 7.9625796 48.0897261, 7.9626444 48.0896279, 7.9627028 48.08958, 7.9627882 48.0895574, 7.9629051 48.0895444, 7.9630623 48.0895513, 7.963204 48.0895616, 7.9631959 48.0896076)",,
24935414,,Propsteistraße,residential,30,False,True,23.444,"LINESTRING (7.9628312 48.0905826, 7.9631443 48.0905559)",,
35265777,,Propsteistraße,residential,30,False,False,151.319,"LINESTRING (7.9628312 48.0905826, 7.9626729 48.0906313, 7.9624311 48.0907613, 7.9623267 48.0908427, 7.9622968 48.0908766, 7.9622452 48.0909353, 7.962219 48.091119, 7.9622295 48.0913743, 7.9622197 48.0914785, 7.9622023 48.0915389, 7.9619935 48.0917047)",,
184469539,,Schwarzenbergstraße,residential,30,False,False,35.016,"LINESTRING (7.9628312 48.0905826, 7.9627062 48.0903946, 7.9626366 48.0902958)",,
30502535,,Friedhofstraße,residential,30,False,False,8.659,"LINESTRING (7.9655832 48.094873, 7.9656636 48.0949294)",,
30502535,,Friedhofstraße,residential,30,False,True,95.53999999999999,"LINESTRING (7.9655832 48.094873, 7.9651838 48.0945549, 7.9648388 48.0941753)",,
145465198,,Benzengäßle,residential,30,False,False,95.267,"LINESTRING (7.9655832 48.094873, 7.9651471 48.095117, 7.9645667 48.0953946)",,
32024023,,Moltkestraße,residential,30,False,False,100.414,"LINESTRING (7.9645667 48.0953946, 7.9637261 48.0946873)",,6.9
145465199,,Moltkestraße,living_street,,False,True,45.957,"LINESTRING (7.9645667 48.0953946, 7.9650544 48.095649)",,
145465198,,Benzengäßle,residential,30,False,False,91.671,"LINESTRING (7.9645667 48.0953946, 7.9640973 48.0955825, 7.963457 48.095749)",,
145465198,,Benzengäßle,residential,30,False,True,95.267,"LINESTRING (7.9645667 48.0953946, 7.9651471 48.095117, 7.9655832 48.094873)",,
145465198,,Benzengäßle,residential,30,False,True,91.671,"LINESTRING (7.963457 48.095749, 7.9640973 48.0955825, 7.9645667 48.0953946)",,
32024053,,Schliffigäßli,living_street,30,False,False,80.638,"LINESTRING (7.9627843 48.0959582, 7.9625125 48.096075, 7.9622452 48.0961193, 7.9619987 48.0961505, 7.9617884 48.0962225)",,
