osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,tunnel
"[157328825, 157329327, 157329326, 242894263]","['2', '3']","['Ludwigsbrücke', 'Am Platzl']",tertiary,"['50', '30']",False,True,139.558,"LINESTRING (13.1277263 48.9695471, 13.127963 48.9694627, 13.1280945 48.9694137, 13.1283491 48.9693062, 13.1284894 48.9692421, 13.1287383 48.9691263, 13.1290032 48.9689999, 13.1291261 48.9689202, 13.1292326 48.9687996)",,yes,
157328897,2,Bahnhofstraße,tertiary,50,False,False,40.108,"LINESTRING (13.1310153 48.9695179, 13.1305711 48.9693056)",,,
157329631,,Voglweg,residential,,False,True,65.512,"LINESTRING (13.1310153 48.9695179, 13.1308007 48.9697793, 13.1306324 48.9700116, 13.1306429 48.9700459)",,,
157328833,,Am Sand,residential,,False,False,40.686,"LINESTRING (13.1265351 48.9695976, 13.1265299 48.969513, 13.1264779 48.9693881, 13.1264282 48.969332, 13.1263119 48.9692906)",,,
157329358,,Pfleggasse,residential,30,False,False,52.275999999999996,"LINESTRING (13.1265351 48.9695976, 13.126229 48.9697725, 13.1260521 48.9699399)",,,
157329411,,Stadtplatz,residential,30,False,False,18.431,"LINESTRING (13.1265351 48.9695976, 13.1266471 48.9696745, 13.126719 48.9697105)",,,
157329362,,Rathauswinkel,residential,,False,True,61.994,"LINESTRING (13.1253531 48.9696404, 13.1254742 48.9696644, 13.1256551 48.9697892, 13.125713 48.9698097, 13.1257693 48.9698423, 13.1260521 48.9699399)",,,
150824325,2,Stadtplatz,tertiary,30,False,False,11.858,"LINESTRING (13.1268387 48.9696384, 13.126719 48.9697105)",,,
157328825,,Am Platzl,tertiary,30,False,True,67.154,"LINESTRING (13.1268387 48.9696384, 13.1270044 48.9696167, 13.1272749 48.9696421, 13.1274033 48.9696333, 13.1277263 48.9695471)",,,
157329608,,Unterer Sand,residential,,True,False,136.563,"LINESTRING (13.1268387 48.9696384, 13.126858 48.9695717, 13.1269491 48.9692331, 13.1270861 48.96891, 13.1270117 48.9688905, 13.1268552 48.9688631, 13.1263778 48.9687887)",,,
150824325,2,Stadtplatz,tertiary,30,False,True,11.858,"LINESTRING (13.126719 48.9697105, 13.1268387 48.9696384)",,,
157329411,,Stadtplatz,residential,30,False,True,18.431,"LINESTRING (13.126719 48.9697105, 13.1266471 48.9696745, 13.1265351 48.9695976)",,,
"[234724121, 621629483]",2,Stadtplatz,tertiary,20,False,False,71.96000000000001,"LINESTRING (13.126719 48.9697105, 13.1266307 48.9698197, 13.1266173 48.96984, 13.1265639 48.9699209, 13.1264442 48.9701891, 13.1264104 48.970321)",,,
157329358,,Pfleggasse,residential,30,False,False,39.43900000000001,"LINESTRING (13.1260521 48.9699399, 13.1259881 48.9700045, 13.1258408 48.9701529, 13.1256969 48.9701872)",,,
157329358,,Pfleggasse,residential,30,False,True,52.275999999999996,"LINESTRING (13.1260521 48.9699399, 13.126229 48.9697725, 13.1265351 48.9695976)",,,
157329362,,Rathauswinkel,residential,,False,False,61.994,"LINESTRING (13.1260521 48.9699399, 13.1257693 48.9698423, 13.125713 48.9698097, 13.1256551 48.9697892, 13.1254742 48.9696644, 13.1253531 48.9696404)",,,
157329316,,Mühlleite,residential,,False,False,195.26,"LINESTRING (13.1275559 48.9699693, 13.1276906 48.9700185, 13.1278339 48.9699737, 13.128211 48.9701369, 13.1284076 48.9702479, 13.1287088 48.9705042, 13.1289643 48.9707543, 13.1290821 48.9708934, 13.1291095 48.9709485, 13.1293277 48.9711435)",,,
"[157328818, 157329319]",,"['Am Platzl', 'Kirchsteig']",residential,,False,True,70.019,"LINESTRING (13.1275559 48.9699693, 13.1276826 48.9698125, 13.1278204 48.9698135, 13.1279597 48.9697181, 13.1277263 48.9695471)",,,
