osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,junction
53809047,,,Trollingerweg,residential,30,False,True,93.83500000000001,"LINESTRING (9.0890592 49.0381108, 9.0890934 49.0377951, 9.0891494 49.037269)",,,
26455743,,,Lembergerweg,residential,30,False,True,77.156,"LINESTRING (9.0902078 49.0372748, 9.0891494 49.037269)",,,
26458969,,,Strombergstraße,residential,30,False,True,167.326,"LINESTRING (9.0902078 49.0372748, 9.0901124 49.0387783)",,,
26455746,,,Rouffacher Straße,residential,30,False,False,125.06400000000001,"LINESTRING (9.0884041 49.0373222, 9.0883424 49.0373949, 9.0883205 49.0374874, 9.0883007 49.0376089, 9.0882714 49.0380224, 9.0882587 49.0384341)",,,
29358156,,,Burgstraße,residential,30,False,False,145.382,"LINESTRING (9.0906203 49.0430209, 9.0902775 49.0443089)",,,
29358156,,,Burgstraße,residential,30,False,True,39.277,"LINESTRING (9.0906203 49.0430209, 9.0906895 49.0426706)",,,
29358304,,,Lauerweg,residential,30,False,False,302.786,"LINESTRING (9.0906203 49.0430209, 9.0901695 49.0431426, 9.0898488 49.0431868, 9.0889626 49.0432697, 9.087862 49.043473, 9.08719 49.043621, 9.0866294 49.0437444)",,,
29358156,,,Burgstraße,residential,30,False,True,145.382,"LINESTRING (9.0902775 49.0443089, 9.0906203 49.0430209)",,,
29358304,,,Lauerweg,residential,30,False,True,302.78600000000006,"LINESTRING (9.0866294 49.0437444, 9.08719 49.043621, 9.087862 49.043473, 9.0889626 49.0432697, 9.0898488 49.0431868, 9.0901695 49.0431426, 9.0906203 49.0430209)",,,
175730362,,,Keplerstraße,residential,30,False,True,125.985,"LINESTRING (9.0866294 49.0437444, 9.0866532 49.0432034, 9.0866683 49.0426117)",,,
284259978,,K 1629,Hofener Straße,tertiary,50,False,False,127.521,"LINESTRING (9.0969784 49.0378925, 9.0961482 49.0379719, 9.0952399 49.0380124)",,,
284259978,,K 1629,Hofener Straße,tertiary,50,False,True,192.86700000000002,"LINESTRING (9.0969784 49.0378925, 9.0975721 49.037788, 9.0986735 49.0375194, 9.0992178 49.0373432, 9.099441 49.037271)",,,
682384489,,,Gerbergasse,living_street,,False,False,27.974,"LINESTRING (9.0938619 49.0404388, 9.0942365 49.0404935)",,,
"[670696473, 666961789]",,,Hauptstraße,living_street,,True,False,45.139,"LINESTRING (9.0938619 49.0404388, 9.0937872 49.0405723, 9.0937168 49.0406498, 9.093591 49.0407062, 9.0934945 49.0407439)",,,
"[37276916, 964046205]",,,Hauptstraße,living_street,,True,False,100.76800000000001,"LINESTRING (9.0934945 49.0407439, 9.093405 49.0408256, 9.0933874 49.0408582, 9.093356 49.0409161, 9.0932585 49.0414953, 9.0932544 49.0415665, 9.0932834 49.0416188)",,,
145127664,,,Schloßstraße,residential,30,False,False,104.267,"LINESTRING (9.0934945 49.0407439, 9.0934097 49.0407359, 9.0933027 49.0407238, 9.0932354 49.0406543, 9.093128 49.0406042, 9.0930218 49.0405903, 9.0927987 49.0405284, 9.0924282 49.0405204, 9.0921727 49.0405415)",,,
36791187,,,Kirchstraße,residential,20,False,False,55.476,"LINESTRING (9.0959535 49.0417839, 9.0951977 49.0417251)",,,
"[801518280, 36791195]","['2', '3']",L 1107,Bismarckstraße,secondary,"['50', '30']",False,False,112.418,"LINESTRING (9.0959535 49.0417839, 9.0959748 49.0416786, 9.0960219 49.0414462, 9.0960942 49.0411094, 9.0961111 49.041032, 9.096212 49.0407888)",,,
36791195,2,L 1107,Bismarckstraße,secondary,30,False,True,142.377,"LINESTRING (9.0959535 49.0417839, 9.095731 49.0426968, 9.0956955 49.0428853, 9.0956691 49.0429812, 9.0956507 49.0430153, 9.0956202 49.0430408)",,,
"[36795618, 145127660, 36795620]",,,"['Charlottenweg', 'Schmiedsberger Weg', 'Olgastraße']",residential,30,False,"[False, True]",548.957,"LINESTRING (9.0959535 49.0417839, 9.0987288 49.0418237, 9.0987701 49.0428519, 9.0982155 49.0429351, 9.0976707 49.0430104, 9.0966443 49.043053, 9.0964386 49.0430594, 9.095969 49.043072, 9.0957501 49.0430701, 9.0956202 49.0430408)",,,
964044338,,,,living_street,,False,False,7.139,"LINESTRING (9.0933908 49.0416577, 9.0933873 49.0416736, 9.0933757 49.0416877, 9.0933576 49.0416985, 9.0933349 49.0417046)",,,circular
964044338,,,,living_street,,False,True,10.693000000000001,"LINESTRING (9.0933908 49.0416577, 9.0933839 49.041639, 9.0933661 49.0416237, 9.0933405 49.0416144, 9.0933112 49.0416127, 9.0932834 49.0416188)",,,circular
"[230194120, 48647779, 964044339, 37520292]",,,Kirchstraße,"['living_street', 'residential']",20,True,False,132.803,"LINESTRING (9.0933908 49.0416577, 9.0937945 49.0416435, 9.0940055 49.0416437, 9.0941227 49.041645, 9.0945313 49.0416537, 9.0946702 49.041667, 9.0947572 49.0416959, 9.0951977 49.0417251)",,,
36791815,,,Seestraße,residential,30,False,False,104.029,"LINESTRING (9.0952648 49.0393664, 9.0965791 49.0393499, 9.0966917 49.0393496)",6.8,,
36791815,,,Seestraße,residential,30,False,True,57.45,"LINESTRING (9.0952648 49.0393664, 9.0947649 49.0393634, 9.0944817 49.0393985)",6.8,,
36791816,,,Müllerhöhstraße,residential,30,False,False,150.57,"LINESTRING (9.0952648 49.0393664, 9.0952563 49.0387292, 9.0952486 49.0383806, 9.0952399 49.0380124)",6.3,,
36791815,,,Seestraße,residential,30,False,True,104.029,"LINESTRING (9.0966917 49.0393496, 9.0965791 49.0393499, 9.0952648 49.0393664)",6.8,,
980116036,,,Amannstraße,residential,30,True,False,111.88900000000001,"LINESTRING (9.0966917 49.0393496, 9.0967864 49.0388776, 9.0968853 49.0383514)",,,
36791816,,,Müllerhöhstraße,residential,30,False,True,150.57,"LINESTRING (9.0952399 49.0380124, 9.0952486 49.0383806, 9.0952563 49.0387292, 9.0952648 49.0393664)",6.3,,
284259978,,K 1629,Hofener Straße,tertiary,50,False,False,58.159,"LINESTRING (9.0952399 49.0380124, 9.0947052 49.0380173, 9.094572 49.0380131, 9.0944423 49.038011)",,,
284259978,,K 1629,Hofener Straße,tertiary,50,False,True,127.521,"LINESTRING (9.0952399 49.0380124, 9.0961482 49.0379719, 9.0969784 49.0378925)",,,
53853726,,,Schulstraße,residential,30,False,False,73.578,"LINESTRING (9.0994786 49.0391982, 9.0994689 49.0392934, 9.0994578 49.039397, 9.0994125 49.0396935, 9.0993979 49.0398061, 9.0993902 49.0398573)",,,
53853726,,,Schulstraße,residential,30,False,True,89.57600000000001,"LINESTRING (9.0994786 49.0391982, 9.0994968 49.039049, 9.099564 49.0385054, 9.0995786 49.0383953)",,,
"[53853726, 54169063]",,,Schulstraße,residential,30,False,False,110.31700000000001,"LINESTRING (9.0993902 49.0398573, 9.0993142 49.0403859, 9.0992985 49.0405264, 9.0992536 49.0408098, 9.0992484 49.040845)",,,
53853726,,,Schulstraße,residential,30,False,True,73.578,"LINESTRING (9.0993902 49.0398573, 9.0993979 49.0398061, 9.0994125 49.0396935, 9.0994578 49.039397, 9.0994689 49.0392934, 9.0994786 49.0391982)",,,
"[53853726, 54169063]",,,Schulstraße,residential,30,False,True,110.317,"LINESTRING (9.0992484 49.040845, 9.0992536 49.0408098, 9.0992985 49.0405264, 9.0993142 49.0403859, 9.0993902 49.0398573)",,,
"[837587265, 387848493, 682896742]",,K 1679,Kirchheimer Straße,tertiary,50,False,True,131.24599999999998,"LINESTRING (9.0992484 49.040845, 9.0987398 49.0408376, 9.0985885 49.0408357, 9.0982991 49.0408302, 9.0980549 49.0408298, 9.0976571 49.0408273, 9.0974481 49.0408285)",,,
36791187,,,Kirchstraße,residential,20,False,True,55.476,"LINESTRING (9.0951977 49.0417251, 9.0959535 49.0417839)",,,
36795634,,,Grabengasse,residential,30,False,False,126.7,"LINESTRING (9.0921727 49.0405415, 9.092181 49.0407964, 9.0922279 49.0407973, 9.0922456 49.0409162, 9.0922728 49.0414126, 9.0922604 49.04165)",,,
145127664,,,Schloßstraße,residential,30,False,False,100.215,"LINESTRING (9.0921727 49.0405415, 9.0921054 49.0405151, 9.0919227 49.0405085, 9.0917534 49.0405062, 9.0916019 49.0405364, 9.0908162 49.0405434)",,,
145127664,,,Schloßstraße,residential,30,False,True,104.26700000000001,"LINESTRING (9.0921727 49.0405415, 9.0924282 49.0405204, 9.0927987 49.0405284, 9.0930218 49.0405903, 9.093128 49.0406042, 9.0932354 49.0406543, 9.0933027 49.0407238, 9.0934097 49.0407359, 9.0934945 49.0407439)",,,
132541646,,,Burgstraße,secondary,30,False,True,65.357,"LINESTRING (9.0908162 49.0405434, 9.0908374 49.0399558)",,,
