osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,width
"[27142808, 1112497537]",,Leonrodplatz,residential,30,False,False,59.637,,"LINESTRING (11.1847001 48.890678, 11.1847377 48.8906901, 11.1848567 48.8907339, 11.18493 48.8907737, 11.1850321 48.8908557, 11.1852361 48.8910492, 11.1852505 48.8910611)",,8
27077578,,Friedhofgasse,residential,,False,True,118.026,,"LINESTRING (11.1878817 48.8901766, 11.1879112 48.8902074, 11.1883595 48.8907632, 11.1886743 48.8911007)",,
"[157566389, 151659887]",,Ostenstraße,unclassified,30,False,False,85.744,,"LINESTRING (11.1878817 48.8901766, 11.187153 48.890436, 11.1868692 48.890564)",,
137475360,,Westenstraße,residential,30,False,False,51.913,,"LINESTRING (11.1827881 48.8949401, 11.1828009 48.894913, 11.1829682 48.8945559, 11.1829944 48.8944934)",,
1255988174,,Luitpoldstraße,residential,30,False,True,5.183,,"LINESTRING (11.1856549 48.8931375, 11.1856376 48.8930923)",,
"[27077601, 153004134]",,Gabrielistraße,unclassified,30,True,False,121.569,,"LINESTRING (11.1856549 48.8931375, 11.1851053 48.8932656, 11.1846786 48.893388, 11.1843473 48.8934985, 11.1841527 48.8935939)",,
1255988174,,Luitpoldstraße,residential,30,False,False,22.734,,"LINESTRING (11.1856549 48.8931375, 11.1857002 48.8932168, 11.1857951 48.893319)",,
27077562,,Webergasse,residential,30,False,False,152.44,,"LINESTRING (11.1862715 48.8936946, 11.1857183 48.8938945, 11.1852427 48.8941307, 11.1845915 48.8944979)",,
"[136028763, 136028765, 1255988174]",,Luitpoldstraße,residential,30,False,False,68.754,,"LINESTRING (11.1862715 48.8936946, 11.1863596 48.8937584, 11.1865303 48.8938923, 11.1865748 48.8939252, 11.1866164 48.8939585, 11.1866963 48.8940143, 11.1869204 48.89414)",,
1255988174,,Luitpoldstraße,residential,30,False,True,54.386,,"LINESTRING (11.1862715 48.8936946, 11.1862116 48.893648, 11.1859579 48.8934503, 11.1858555 48.8933705, 11.1857951 48.893319)",,
"[140389834, 26595234]",,Buchtal,residential,30,False,False,175.79399999999998,,"LINESTRING (11.1869204 48.89414, 11.1869757 48.8942206, 11.1870687 48.894319, 11.1872609 48.8944308, 11.1875193 48.8945601, 11.1877985 48.894693, 11.1879957 48.8947811, 11.1882245 48.8948833, 11.1885235 48.8950182, 11.1887904 48.8950932)",,
29104961,,,residential,,False,True,82.816,,"LINESTRING (11.1869204 48.89414, 11.1871142 48.8940902, 11.1875146 48.893952, 11.1879487 48.8938293)",,
"[136028763, 136028765, 1255988174]",,Luitpoldstraße,residential,30,False,True,68.754,,"LINESTRING (11.1869204 48.89414, 11.1866963 48.8940143, 11.1866164 48.8939585, 11.1865748 48.8939252, 11.1865303 48.8938923, 11.1863596 48.8937584, 11.1862715 48.8936946)",,
137536895,,Am Graben,residential,30,False,True,106.941,,"LINESTRING (11.1869204 48.89414, 11.1870457 48.8939256, 11.1872657 48.8937371, 11.1874556 48.893557, 11.1875795 48.8934321, 11.1876579 48.8933169)",,
"[26595297, 68248977]",,Am Graben,residential,30,False,"[False, True]",50.801,,"LINESTRING (11.1879066 48.8926359, 11.188038 48.8925935, 11.1883955 48.8924893, 11.1885302 48.8924357)",,
