osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,bridge,access
33838471,False,,,residential,50,False,158.219,Georg-Dreke-Ring,"LINESTRING (13.8699122 53.3157251, 13.8694665 53.315576, 13.8698206 53.3151594, 13.8697994 53.3151147, 13.8697028 53.3150474, 13.869161 53.3149, 13.8690839 53.3148877, 13.869014 53.3148501, 13.8690008 53.3147948)",,
33838471,False,,,residential,50,True,72.269,Georg-Dreke-Ring,"LINESTRING (13.8699122 53.3157251, 13.8699301 53.3157082, 13.8704364 53.3152316, 13.870495 53.3151763)",,
"[512905488, 32763126]",False,,,residential,50,"[False, True]",92.007,Georg-Dreke-Ring,"LINESTRING (13.8699122 53.3157251, 13.8697557 53.3158836, 13.8696435 53.3160673, 13.8695615 53.3162022, 13.8694083 53.3164544, 13.8693988 53.31649)",,
33838471,False,,,residential,50,False,72.269,Georg-Dreke-Ring,"LINESTRING (13.870495 53.3151763, 13.8704364 53.3152316, 13.8699301 53.3157082, 13.8699122 53.3157251)",,
642303893,True,1,B 109,primary,50,False,61.099999999999994,Stettiner Straße,"LINESTRING (13.8648407 53.3205782, 13.8647696 53.3205007, 13.8646397 53.3201589, 13.8646511 53.3200485)",,
"[1236025767, 642303903]",False,3,B 109,primary,50,False,58.602,Stettiner Straße,"LINESTRING (13.8644066 53.3195428, 13.8644726 53.3196414, 13.8645784 53.3198827, 13.8645979 53.3199271, 13.8646511 53.3200485)",,
642303904,True,1,B 109,primary,50,False,38.787,Stettiner Straße,"LINESTRING (13.8644066 53.3195428, 13.8643139 53.319485, 13.8641778 53.3193008, 13.8641637 53.3192339)",,
642303906,False,2,B 109,primary,50,True,10.497,Stettiner Straße,"LINESTRING (13.8641637 53.3192339, 13.864096 53.3191486)",,
642303905,True,1,B 109,primary,50,False,38.812999999999995,Stettiner Straße,"LINESTRING (13.8641637 53.3192339, 13.8642621 53.3192936, 13.8643887 53.3194735, 13.8644066 53.3195428)",,
1238101285,False,2,,residential,30,True,12.227,Schenkenberger Straße,"LINESTRING (13.8695092 53.3203292, 13.8695927 53.3204272)",,
"[500609272, 285827361, 1236430951]",False,2,,residential,50,False,505.722,Grabowstraße,"LINESTRING (13.8657646 53.3141579, 13.8656269 53.3145488, 13.8655168 53.3148699, 13.865463 53.3151749, 13.8654279 53.3153764, 13.8654189 53.3154663, 13.8653755 53.3159011, 13.8653851 53.3163034, 13.8653982 53.3168592, 13.8653851 53.3169456, 13.8653776 53.3169951, 13.8653551 53.3170965, 13.8653224 53.3171767, 13.8652225 53.3173691, 13.8651036 53.3175227, 13.8649805 53.3176419, 13.8647375 53.3178633, 13.8644042 53.318217, 13.8642867 53.3183417, 13.8642016 53.3184128, 13.864186 53.3184258, 13.8641184 53.3184498, 13.8640666 53.3184562)",,
1236430942,True,1,,residential,50,False,47.767,Grabowstraße,"LINESTRING (13.8657646 53.3141579, 13.865788 53.3140375, 13.8659785 53.3137509)",,
333974676,False,,,residential,50,False,9.671,Georg-Dreke-Ring,"LINESTRING (13.8710097 53.318845, 13.8711395 53.3188844)",,
333974676,False,,,residential,50,True,5.47,Georg-Dreke-Ring,"LINESTRING (13.8710097 53.318845, 13.8709363 53.3188227)",,
237814734,True,,,unclassified,50,False,123.871,Georg-Dreke-Ring,"LINESTRING (13.8710097 53.318845, 13.8710955 53.3187425, 13.8711588 53.3186669, 13.8712893 53.3186702, 13.8722581 53.3189798, 13.8722643 53.3190453, 13.8722576 53.3190572, 13.8722029 53.3191542)",,
