osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,bridge
150925650,,,Um die Halbe Stadt,residential,,False,True,602.36,"LINESTRING (14.4060181 51.8582361, 14.406002 51.8581203, 14.4058813 51.8578728, 14.4057775 51.8577493, 14.4057044 51.8576489, 14.4056874 51.8575615, 14.4058026 51.857239, 14.4058681 51.857141, 14.4058747 51.8570012, 14.4056247 51.8560464, 14.4056511 51.855978, 14.4057077 51.8559022, 14.4058127 51.8558085, 14.4059331 51.855745, 14.4061638 51.8556844, 14.4083917 51.8555666, 14.4093986 51.8555381, 14.410144 51.8555347, 14.4102483 51.8555197, 14.4103596 51.8555036, 14.4104237 51.8554944)",,
52286299,,,Schulstraße,residential,,False,False,45.025,"LINESTRING (14.4154923 51.8570303, 14.414844 51.8570906)",,
28192598,,,Plantagenweg,residential,30,False,True,334.18199999999996,"LINESTRING (14.4075138 51.8571729, 14.4071544 51.8565451, 14.4071536 51.8564981, 14.4071803 51.8564483, 14.4072661 51.8564051, 14.407409 51.8563875, 14.4078632 51.8563816, 14.4085651 51.8564091, 14.4090596 51.8564131, 14.4093907 51.8563967, 14.4094426 51.8563907, 14.4096883 51.8563729, 14.4106155 51.8562293, 14.4106713 51.8562207, 14.4107406 51.8562076)",,
150930535,3,B 168,Hauptstraße,primary,50,False,True,7.94,"LINESTRING (14.4114392 51.8581831, 14.4113988 51.8581162)",,
143273247,3,B 168,Markt,primary,50,False,False,26.79,"LINESTRING (14.4114392 51.8581831, 14.4115481 51.8583357, 14.4116068 51.8584004)",,
150930554,,,Markt,residential,30,True,False,9.285,"LINESTRING (14.4113136 51.858214, 14.4114392 51.8581831)",yes,
27579864,,,Hauptstraße,living_street,,False,True,125.093,"LINESTRING (14.4113136 51.858214, 14.4111029 51.8579352, 14.4110449 51.8578153, 14.4109899 51.8577015, 14.4109121 51.8575219, 14.4109198 51.857385, 14.4110215 51.8571425)",,
27596656,2,B 168,Markt,primary,30,True,False,52.479,"LINESTRING (14.4109952 51.8586797, 14.4114735 51.8584391, 14.4116068 51.8584004)",,
209003075,2,B 168,Markt,primary,30,False,False,58.386,"LINESTRING (14.4109952 51.8586797, 14.4107025 51.8588228, 14.4103447 51.8590175)",,
209003075,2,B 168,Markt,primary,30,False,True,32.017,"LINESTRING (14.4099944 51.8592075, 14.4103447 51.8590175)",,
"[203865856, 143295953]",2,B 168,August-Bebel-Straße,primary,"['50', '30']",False,False,245.32000000000002,"LINESTRING (14.4099944 51.8592075, 14.4097495 51.8592976, 14.4094993 51.8593751, 14.4093509 51.859416, 14.4091326 51.8594513, 14.4089693 51.8594635, 14.4088071 51.8594595, 14.4086346 51.8594385, 14.4084022 51.8593883, 14.4082979 51.8593733, 14.4081434 51.8593607, 14.4078564 51.8593744, 14.4073624 51.8594023, 14.4069589 51.859431, 14.4067355 51.8594706, 14.4065636 51.8595126)",,
665309964,,,Markt,residential,30,False,True,61.522999999999996,"LINESTRING (14.4099944 51.8592075, 14.4099721 51.8591934, 14.4099231 51.8591448, 14.4099158 51.8591399, 14.4097617 51.8589935, 14.4095536 51.8587279)",,
27580255,,,Festungsgraben,residential,30,False,True,249.76,"LINESTRING (14.411358 51.8615002, 14.4112565 51.8613152, 14.4110979 51.8608438, 14.4109616 51.8604386, 14.4107724 51.8599943, 14.4107249 51.8598828, 14.4106702 51.8595935, 14.4106253 51.8593053)",,
150925637,,,Grüner Weg,residential,50,False,False,427.64000000000004,"LINESTRING (14.411358 51.8615002, 14.4109984 51.8615444, 14.4095846 51.8614494, 14.4092733 51.8613985, 14.409037 51.8613128, 14.4089685 51.861273, 14.4088458 51.8612016, 14.4082522 51.8608286, 14.4073382 51.8602543, 14.4066206 51.8595672, 14.4065991 51.8595466, 14.4065636 51.8595126)",,
150925637,,,Grüner Weg,residential,50,False,True,37.095,"LINESTRING (14.411358 51.8615002, 14.4115549 51.8614858, 14.411731 51.8614906, 14.4118895 51.8615203)",,
