osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,tunnel,access
232581674,True,2,Dr.-Moritz-Mitzenheim-Straße,primary,50,False,145.85000000000002,"LINESTRING (10.7329036 50.4273334, 10.7327047 50.4274009, 10.7325105 50.4274671, 10.7322109 50.427551, 10.7318402 50.4276469, 10.7316271 50.4276918, 10.7313438 50.4277153, 10.7309685 50.4277277)",B 89,,,
26262615,False,,Obere Allee,residential,,True,227.078,"LINESTRING (10.7327565 50.4271661, 10.7326323 50.4272037, 10.7322919 50.4273069, 10.7319741 50.4274017, 10.7317555 50.4274596, 10.7314517 50.4275018, 10.7311867 50.4275174, 10.7308816 50.427515, 10.7308029 50.4275106, 10.7305536 50.4274995, 10.7303388 50.4274882, 10.7301245 50.427477, 10.7299145 50.4274661, 10.7296642 50.427453)",,,,
26262655,False,,,residential,,True,21.322000000000003,"LINESTRING (10.7327565 50.4271661, 10.7328765 50.4273026, 10.7329036 50.4273334)",,,,
"[26262705, 26262662]",False,,"['Salzmarkt', 'Nonneplatz']",residential,20,True,62.013999999999996,"LINESTRING (10.7297184 50.4272357, 10.7297097 50.4271982, 10.7296779 50.4269777, 10.7301313 50.4269029)",,,,
463872775,False,,Hinter der Mauer,residential,,True,39.61,"LINESTRING (10.7297184 50.4272357, 10.7299138 50.4272302, 10.7302773 50.4272351)",,,,
1119563196,False,,Schleusinger Straße,residential,50,False,24.474,"LINESTRING (10.7297184 50.4272357, 10.7296986 50.4272989, 10.7296642 50.427453)",,,,
26262723,False,,Bäckergasse,residential,,False,38.36,"LINESTRING (10.7302773 50.4272351, 10.7301313 50.4269029)",,,,
463872775,False,,Hinter der Mauer,residential,,False,39.61,"LINESTRING (10.7302773 50.4272351, 10.7299138 50.4272302, 10.7297184 50.4272357)",,,,
26262755,False,,Obere Braugasse,residential,,True,144.76399999999998,"LINESTRING (10.7320867 50.4266685, 10.7318482 50.4267161, 10.7314024 50.4267902, 10.7308716 50.4268869, 10.7306082 50.4269351, 10.7303448 50.4269697, 10.7301313 50.4269029)",,,,
"[26262682, 26293157]",True,,"['Hinter der Mauer', 'Knappengasse']",residential,,False,198.27499999999998,"LINESTRING (10.7320867 50.4266685, 10.7322792 50.426859, 10.7323632 50.4270107, 10.7320701 50.4271266, 10.7316013 50.4272528, 10.7315147 50.4272672, 10.7313318 50.4272824, 10.7311141 50.4272908, 10.7308786 50.4272906, 10.7306216 50.4272819, 10.7302773 50.4272351)",,,,
26293157,True,,Knappengasse,residential,,False,48.037,"LINESTRING (10.7318465 50.4262645, 10.7320867 50.4266685)",,,,
26293202,True,,Untere Braugasse,residential,,False,103.762,"LINESTRING (10.7304498 50.4265449, 10.7311529 50.4264143, 10.7318465 50.4262645)",,,,
"[463925685, 26262710]",True,,Untere Braugasse,residential,20,False,51.605999999999995,"LINESTRING (10.7304498 50.4265449, 10.7302551 50.4265987, 10.7301978 50.426647, 10.7301552 50.4266953, 10.7301222 50.4267428, 10.7301133 50.4267997, 10.7301313 50.4269029)",,,,
26262723,False,,Bäckergasse,residential,,True,38.36,"LINESTRING (10.7301313 50.4269029, 10.7302773 50.4272351)",,,,
"[26262705, 26262662]",False,,"['Salzmarkt', 'Nonneplatz']",residential,20,False,62.013999999999996,"LINESTRING (10.7301313 50.4269029, 10.7296779 50.4269777, 10.7297097 50.4271982, 10.7297184 50.4272357)",,,,
26262755,False,,Obere Braugasse,residential,,False,144.764,"LINESTRING (10.7301313 50.4269029, 10.7303448 50.4269697, 10.7306082 50.4269351, 10.7308716 50.4268869, 10.7314024 50.4267902, 10.7318482 50.4267161, 10.7320867 50.4266685)",,,,
26262788,True,,Untere Allee,residential,,False,55.333999999999996,"LINESTRING (10.7272013 50.4272881, 10.7271091 50.4272137, 10.7267742 50.426872)",,,,
"[369292323, 1116026371, 26293325]",False,,Untere Allee,residential,30,"[False, True]",181.137,"LINESTRING (10.7272013 50.4272881, 10.727275 50.4273743, 10.7274024 50.4274094, 10.7277511 50.4274299, 10.7282932 50.4274355, 10.7286164 50.4274415, 10.7292389 50.4274376, 10.7296642 50.427453)",,,,
1267902332,False,,Häfenmarkt,residential,,True,21.287,"LINESTRING (10.7272013 50.4272881, 10.7273262 50.4272328, 10.727448 50.4271788)",,,,
395357659,True,,Puschkinplatz,residential,,False,22.431,"LINESTRING (10.7264001 50.4264182, 10.7261595 50.4263737, 10.7260959 50.4263622)",,,,
26262804,False,,Bechergasse,residential,,True,52.778,"LINESTRING (10.7282929 50.4270105, 10.7283063 50.4268797, 10.728301 50.4267388, 10.72825 50.4265388)",,,,
26293217,False,,Häfenmarkt,living_street,,False,20.753,"LINESTRING (10.7282929 50.4270105, 10.7281344 50.4270087, 10.7280011 50.4270198)",,,,
"[827864521, 26262914]",False,,Häfenmarkt,residential,,"[False, True]",55.422,"LINESTRING (10.727448 50.4271788, 10.7274067 50.4271444, 10.7272696 50.4269908, 10.7271007 50.4268182, 10.7270296 50.4267584)",,,,
26293217,False,,Häfenmarkt,living_street,,True,43.153,"LINESTRING (10.727448 50.4271788, 10.7277775 50.4270658, 10.7280011 50.4270198)",,,,
206155973,False,,,living_street,,True,63.638000000000005,"LINESTRING (10.727448 50.4271788, 10.7275564 50.4272005, 10.7276825 50.4272045, 10.7278112 50.4272113, 10.7279614 50.4272096, 10.7280202 50.4271996, 10.728065 50.4271677, 10.7280782 50.4271271, 10.7280634 50.4270951, 10.7280011 50.4270198)",,,,
1267902332,False,,Häfenmarkt,residential,,False,21.287,"LINESTRING (10.727448 50.4271788, 10.7273262 50.4272328, 10.7272013 50.4272881)",,,,
25758492,True,,Untere Marktstraße,living_street,,False,30.402,"LINESTRING (10.7268163 50.4263515, 10.7264001 50.4264182)",,7.5,,
26262919,False,,Hofbäckersgäßchen,residential,,True,47.870999999999995,"LINESTRING (10.7268163 50.4263515, 10.7268855 50.4265404, 10.7270296 50.4267584)",,,,
"[26262970, 25758492, 232537133, 232537134]",True,,"['Am Torbogen', 'Untere Marktstraße']","['residential', 'living_street']",,False,78.59599999999999,"LINESTRING (10.7268658 50.4257327, 10.7269547 50.4258538, 10.7269581 50.4258798, 10.72694 50.4259775, 10.7269191 50.426157, 10.7269545 50.4263346, 10.7268163 50.4263515)",,7.5,yes,
527153296,False,,Johann-Sebastian-Bach-Platz,residential,30,False,40.385999999999996,"LINESTRING (10.7268658 50.4257327, 10.726614 50.4258207, 10.7265012 50.4258596, 10.7263956 50.4258583, 10.7263506 50.4258459)",,,,
"[174511083, 1267902335]",False,,Johann-Sebastian-Bach-Platz,living_street,,True,92.43799999999999,"LINESTRING (10.7268658 50.4257327, 10.7273436 50.4255916, 10.7274359 50.4255693, 10.727813 50.4254778, 10.7280807 50.425435)",,5.8,,
1013163411,False,,Johann-Sebastian-Bach-Straße,residential,7,True,17.299,"LINESTRING (10.7310199 50.4250403, 10.7312501 50.4249884)",,,,
26262958,False,,Johann-Sebastian-Bach-Straße,residential,7,False,155.382,"LINESTRING (10.7310199 50.4250403, 10.7308823 50.42477, 10.7309057 50.4247, 10.7310535 50.4246877, 10.7311829 50.4246614, 10.7314468 50.4246162, 10.73159 50.4246262, 10.7316899 50.4246628, 10.7317341 50.4247697, 10.7317422 50.4248179, 10.7316353 50.4248756, 10.7314294 50.424956, 10.7312501 50.4249884)",,,,
"[1013163411, 1033004606]",False,,Johann-Sebastian-Bach-Straße,residential,7,False,214.09799999999998,"LINESTRING (10.7310199 50.4250403, 10.7306861 50.42512, 10.7304461 50.4251789, 10.7301994 50.4252331, 10.7299208 50.4252908, 10.7289732 50.4253486, 10.728901 50.4253552, 10.7280807 50.425435)",,5,,
89152515,False,,Immanuel-Kant-Platz,residential,7,False,54.848,"LINESTRING (10.7312501 50.4249884, 10.731559 50.4254407)",,,,
1013163411,False,,Johann-Sebastian-Bach-Straße,residential,7,False,17.299,"LINESTRING (10.7312501 50.4249884, 10.7310199 50.4250403)",,,,
