osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction,maxspeed,bridge,width
27350782,False,,Goethestraße,residential,True,199.92,"LINESTRING (7.6270273 47.8103372, 7.6269905 47.8102649, 7.6265022 47.8091955, 7.6263785 47.8088899, 7.6263002 47.8086085)",,,30,,
30199355,False,,Bismarckstraße,residential,False,98.78399999999999,"LINESTRING (7.6270273 47.8103372, 7.6280782 47.8101401, 7.6283027 47.8101016)",,,30,,
"[30798536, 912599210, 912599211, 930352413]",False,2,Goethestraße,residential,True,134.863,"LINESTRING (7.6270273 47.8103372, 7.6273097 47.8108032, 7.6273778 47.8109231, 7.6274051 47.8109711, 7.6274668 47.8110516, 7.6275355 47.8111194, 7.6277342 47.8112394, 7.6278309 47.8112834, 7.6279594 47.8113331)",,,30,,
930352427,False,,Bismarckstraße,residential,False,37.858000000000004,"LINESTRING (7.6270273 47.8103372, 7.626905 47.8103612, 7.6265407 47.8104327)",,,30,,
28572797,False,,Marktplatz,living_street,False,24.896,"LINESTRING (7.6298435 47.8061915, 7.6299646 47.8064001)",,,,,
27348461,False,,Hügelheimer Straße,residential,False,118.99300000000001,"LINESTRING (7.6223161 47.8102162, 7.622252 47.8103284, 7.6221983 47.8104633, 7.6221109 47.8109404, 7.6220457 47.8112671)",,,,,
27348461,False,,Hügelheimer Straße,residential,True,105.382,"LINESTRING (7.6223161 47.8102162, 7.6224089 47.8100779, 7.6225457 47.8099167, 7.6228889 47.8095581, 7.6230436 47.809406)",,,,,
27373166,False,,Friedhofstraße,residential,False,57.643,"LINESTRING (7.6223161 47.8102162, 7.621887 47.8102114, 7.6215484 47.8102471)",,,,,
139539446,False,,Wehrgasse,residential,True,36.828,"LINESTRING (7.6192723 47.8106165, 7.6195406 47.8108944)",,,30,,
27373166,False,,Friedhofstraße,residential,True,174.937,"LINESTRING (7.6192723 47.8106165, 7.6198997 47.8104954, 7.6205813 47.8103859, 7.6212733 47.8102882, 7.6215484 47.8102471)",,,,,
27373166,False,,Friedhofstraße,residential,False,174.937,"LINESTRING (7.6215484 47.8102471, 7.6212733 47.8102882, 7.6205813 47.8103859, 7.6198997 47.8104954, 7.6192723 47.8106165)",,,,,
27373166,False,,Friedhofstraße,residential,True,57.643,"LINESTRING (7.6215484 47.8102471, 7.621887 47.8102114, 7.6223161 47.8102162)",,,,,
27373169,False,,Friedhofstraße,residential,False,113.423,"LINESTRING (7.6215484 47.8102471, 7.6212757 47.8096867, 7.6212089 47.809545, 7.6211316 47.8093411, 7.6211058 47.8092718)",,,30,,
27350781,False,,Bismarckstraße,residential,False,161.859,"LINESTRING (7.6199539 47.8116353, 7.6202081 47.8115768, 7.6203011 47.8115564, 7.6212473 47.811374, 7.6218559 47.8112743, 7.6220457 47.8112671)",,,,,
139539446,False,,Wehrgasse,residential,False,88.578,"LINESTRING (7.6199539 47.8116353, 7.6197762 47.8112448, 7.6196903 47.8110707, 7.6196303 47.8109719, 7.6195406 47.8108944)",,,30,,
139539446,False,,Wehrgasse,residential,True,151.88699999999997,"LINESTRING (7.6199539 47.8116353, 7.6200417 47.8118149, 7.620162 47.8121764, 7.6201942 47.8122733, 7.6202382 47.8123722, 7.6202816 47.8124699, 7.6203213 47.8125591, 7.6204296 47.8127904, 7.620504 47.8129492)",,,30,,
30666575,False,2,Hügelheimer Straße,residential,False,29.371,"LINESTRING (7.6212219 47.8129309, 7.6210779 47.8131767)",,,,,
27410754,False,,Leibnizstraße,residential,True,203.337,"LINESTRING (7.6212219 47.8129309, 7.6216954 47.8128807, 7.6220803 47.8128312, 7.6224799 47.812733, 7.6237808 47.8123404)",,,,,
30666575,False,2,Hügelheimer Straße,residential,True,88.709,"LINESTRING (7.6212219 47.8129309, 7.6213843 47.8126313, 7.6215146 47.8123976, 7.6216353 47.812183)",,,,,
139539446,False,,Wehrgasse,residential,False,36.828,"LINESTRING (7.6195406 47.8108944, 7.6192723 47.8106165)",,,30,,
139539446,False,,Wehrgasse,residential,True,88.578,"LINESTRING (7.6195406 47.8108944, 7.6196303 47.8109719, 7.6196903 47.8110707, 7.6197762 47.8112448, 7.6199539 47.8116353)",,,30,,
95122061,True,,Hauptstraße,residential,False,142.001,"LINESTRING (7.6289406 47.8054836, 7.6280196 47.805599, 7.6277262 47.8056487, 7.6272914 47.8057522, 7.6272002 47.8057763, 7.6271032 47.8057987)",,,,,
27410751,False,,Kantstraße,residential,False,77.556,"LINESTRING (7.6231203 47.8110786, 7.6234735 47.8117345)",,,,,
30199357,False,,Bismarckstraße,residential,True,3.343,"LINESTRING (7.6231203 47.8110786, 7.6231638 47.8110715)",,,30,,
30199357,False,,Bismarckstraße,residential,False,83.08399999999999,"LINESTRING (7.6231203 47.8110786, 7.6222318 47.8112515, 7.6220457 47.8112671)",,,30,,
27410751,False,,Kantstraße,residential,False,71.174,"LINESTRING (7.6234735 47.8117345, 7.6237808 47.8123404)",,,,,
27410751,False,,Kantstraße,residential,True,77.556,"LINESTRING (7.6234735 47.8117345, 7.6231203 47.8110786)",,,,,
145316513,False,,Schopenhauerstraße,residential,False,146.046,"LINESTRING (7.6234735 47.8117345, 7.6216353 47.812183)",,,,,
145316513,False,,Schopenhauerstraße,residential,True,146.046,"LINESTRING (7.6216353 47.812183, 7.6234735 47.8117345)",,,,,
