osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes,junction,access
27466173,Gerberstraße,tertiary,50,False,True,112.675,"LINESTRING (12.0311061 50.2474969, 12.0308787 50.247502, 12.0306724 50.2475067, 12.0302091 50.247476, 12.029741 50.2474158, 12.0295495 50.2473649)",,,,,
28726915,Hammermühlenweg,residential,30,False,True,230.218,"LINESTRING (12.0311061 50.2474969, 12.0311757 50.2476106, 12.03133 50.2476999, 12.031636 50.2478422, 12.0320167 50.2479759, 12.0322152 50.2480608, 12.0323492 50.2481269, 12.0328974 50.2484152, 12.0329328 50.2484379, 12.0333437 50.2487161, 12.0335621 50.2488058)",,,,,
28725873,Gartenstraße,tertiary,50,False,True,118.10300000000001,"LINESTRING (12.0348278 50.2467519, 12.0347771 50.2469538, 12.0347496 50.2470595, 12.0346669 50.2472094, 12.0345015 50.2474385, 12.0342866 50.2477486)",,,,,
43978494,Friedhofgasse,residential,,False,True,180.76599999999996,"LINESTRING (12.0348278 50.2467519, 12.0340421 50.2464475, 12.033822 50.2463834, 12.0335498 50.2463126, 12.0334054 50.2462805, 12.0333605 50.2462725, 12.0331087 50.246219, 12.0328371 50.2461569, 12.0325138 50.2461019)",,,,,
"[892593120, 817247590]",Sofienstraße,tertiary,50,False,False,70.608,"LINESTRING (12.0348278 50.2467519, 12.0348697 50.2466576, 12.0349246 50.2465412, 12.0349671 50.2464444, 12.0350138 50.2463228, 12.0350474 50.2461344)",,,,,
"[892593120, 817247590]",Sofienstraße,tertiary,50,False,True,70.608,"LINESTRING (12.0350474 50.2461344, 12.0350138 50.2463228, 12.0349671 50.2464444, 12.0349246 50.2465412, 12.0348697 50.2466576, 12.0348278 50.2467519)",,,,,
"[32555425, 1215033843]","['Dürrenloher Straße', 'Fichtig']",residential,,False,True,104.75800000000001,"LINESTRING (12.0350474 50.2461344, 12.0360264 50.2456632, 12.0362258 50.245569)",,,,,
36805422,Bahnhofstraße,residential,30,False,True,16.818,"LINESTRING (12.034893 50.2496002, 12.0349922 50.2494629)",,,,,
28254294,Angergässchen,residential,30,False,True,122.324,"LINESTRING (12.034893 50.2496002, 12.0339786 50.2493451, 12.0337662 50.2492797, 12.0334911 50.2491648, 12.0334516 50.2491554, 12.0333437 50.2491277)",,,,,
"[28758304, 28758305, 36805422]",Bahnhofstraße,residential,30,False,False,78.717,"LINESTRING (12.034893 50.2496002, 12.0348648 50.2496372, 12.034806 50.2497058, 12.0347268 50.2497922, 12.0343405 50.2502135)",,yes,,,
156356883,Hofer Straße,tertiary,50,False,False,16.974,"LINESTRING (12.0328854 50.2511307, 12.0330821 50.2510442)",HO 5,,,,
34486155,Otto-Hahn-Straße,tertiary,50,True,False,18.933999999999997,"LINESTRING (12.0328854 50.2511307, 12.0329099 50.2510782, 12.0329099 50.2510406, 12.0328883 50.2510043, 12.0328492 50.2509743)",,,,,
156356883,Hofer Straße,tertiary,50,False,True,100.126,"LINESTRING (12.0328854 50.2511307, 12.0323206 50.2513205, 12.031842 50.2514813, 12.0316412 50.2515524)",HO 5,,,,
28725879,Kirchgasse,residential,,False,False,19.478,"LINESTRING (12.0325138 50.2461019, 12.0325004 50.2460391, 12.0324503 50.245932)",,,,,
