osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,ref
221221309,2,residential,50,False,True,83.51,"LINESTRING (25.8717225 43.5892935, 25.8713148 43.5890021, 25.8712987 43.5889167, 25.8715583 43.588752)",
221216906,2,residential,50,False,True,12.163,"LINESTRING (25.8695006 43.5871307, 25.8693747 43.5871911)",
175753430,,tertiary,,True,False,33.151,"LINESTRING (25.8695006 43.5871307, 25.8694526 43.5870924, 25.8693236 43.5868644)",501
175753431,,tertiary,,True,False,8.25,"LINESTRING (25.8720687 43.5889613, 25.8721388 43.5890154)",501
24026217,2,residential,50,False,True,91.491,"LINESTRING (25.8747338 43.589767, 25.8738076 43.5892906)",
221221321,2,residential,50,False,True,95.529,"LINESTRING (25.8747338 43.589767, 25.8739332 43.5904009)",
175753430,,tertiary,,True,False,47.074,"LINESTRING (25.8719622 43.589058, 25.8715583 43.588752)",501
221221299,2,residential,50,True,False,13.755,"LINESTRING (25.8719622 43.589058, 25.8720687 43.5889613)",
221221272,2,residential,50,False,True,199.979,"LINESTRING (25.8683268 43.5896821, 25.8707837 43.5899424)",
221221282,2,residential,50,False,True,84.864,"LINESTRING (25.8683268 43.5896821, 25.8691261 43.5891848)",
221221272,2,residential,50,False,False,197.748,"LINESTRING (25.8683268 43.5896821, 25.866283 43.5894878, 25.8659396 43.5893479)",
221221282,2,residential,50,False,False,120.285,"LINESTRING (25.8683268 43.5896821, 25.8682892 43.5897598, 25.8682302 43.5907583)",
175753431,,tertiary,,True,False,89.293,"LINESTRING (25.8731747 43.5898152, 25.8739332 43.5904009)",501
221221311,2,residential,50,False,False,77.466,"LINESTRING (25.8731747 43.5898152, 25.8738076 43.5892906)",
221221311,2,residential,50,False,True,12.419,"LINESTRING (25.8731747 43.5898152, 25.873058 43.5898882)",
221221282,2,residential,50,False,False,84.864,"LINESTRING (25.8691261 43.5891848, 25.8683268 43.5896821)",
221221282,2,residential,50,False,True,54.19,"LINESTRING (25.8691261 43.5891848, 25.8696572 43.5888856)",
221221288,2,residential,50,False,False,153.679,"LINESTRING (25.8691261 43.5891848, 25.867903 43.588124)",
221216906,2,residential,50,False,False,33.366,"LINESTRING (25.8659396 43.5893479, 25.8662546 43.589153)",
221216906,2,residential,50,False,True,140.694,"LINESTRING (25.8659396 43.5893479, 25.8657733 43.5894684, 25.864856 43.5903387)",
221221272,2,residential,50,False,True,197.748,"LINESTRING (25.8659396 43.5893479, 25.866283 43.5894878, 25.8683268 43.5896821)",
221221658,2,residential,50,False,False,153.57,"LINESTRING (25.8682302 43.5907583, 25.8701078 43.5909992)",
221221658,2,residential,50,False,True,197.24,"LINESTRING (25.8682302 43.5907583, 25.8658162 43.5904592)",
221221282,2,residential,50,False,True,120.285,"LINESTRING (25.8682302 43.5907583, 25.8682892 43.5897598, 25.8683268 43.5896821)",
175753430,,tertiary,,True,False,117.635,"LINESTRING (25.873058 43.5898882, 25.8720487 43.5891235)",501
221221311,2,residential,50,False,False,12.419,"LINESTRING (25.873058 43.5898882, 25.8731747 43.5898152)",
221216906,2,residential,50,False,False,56.335,"LINESTRING (25.8673773 43.5884582, 25.867903 43.588124)",
221216906,2,residential,50,False,True,118.932,"LINESTRING (25.8673773 43.5884582, 25.8662546 43.589153)",
221221307,2,residential,50,False,True,231.731,"LINESTRING (25.8673773 43.5884582, 25.8659002 43.5872004, 25.8655131 43.5868708)",
1214764772,2,residential,50,False,True,310.512,"LINESTRING (25.8637985 43.5870005, 25.8662546 43.589153)",
41078426,2,residential,50,False,False,28.179,"LINESTRING (25.870005 43.591134, 25.8703186 43.5910216)",
