osmid,name,highway,width,oneway,reversed,length,bridge,geometry,maxspeed,lanes,ref
60070729,Nordstraße,secondary,,False,False,87.971,,"LINESTRING (14.6148265 50.934547, 14.6153904 50.9344978, 14.6154653 50.9344913, 14.615706 50.9344703, 14.6160673 50.934428)",50,2,S 139
60070732,Poststraße,residential,7,False,True,98.92000000000002,,"LINESTRING (14.6148265 50.934547, 14.6148341 50.9346281, 14.6148105 50.9348386, 14.6146267 50.9354246)",50,,
25047404,Otto-Simm-Straße,residential,,False,True,122.44700000000002,,"LINESTRING (14.6160673 50.934428, 14.6161947 50.9339551, 14.616245 50.9336483, 14.6162488 50.9336203, 14.6162655 50.9334461, 14.6162683 50.9334262, 14.6162725 50.9334078, 14.6162798 50.9333894, 14.6162861 50.9333786, 14.6162942 50.9333685, 14.6163057 50.9333567, 14.6163226 50.9333444)",50,,
60070729,Nordstraße,secondary,,False,True,87.971,,"LINESTRING (14.6160673 50.934428, 14.615706 50.9344703, 14.6154653 50.9344913, 14.6153904 50.9344978, 14.6148265 50.934547)",50,2,S 139
25047409,Südstraße,residential,6,False,True,18.738,,"LINESTRING (14.6085161 50.9314857, 14.608769 50.931431)",,,
25047409,Südstraße,residential,6,False,False,95.986,,"LINESTRING (14.6085161 50.9314857, 14.608442 50.9315041, 14.6083756 50.9315226, 14.6083059 50.9315453, 14.6082357 50.9315721, 14.6081605 50.9316034, 14.6080868 50.9316368, 14.6079995 50.9316803, 14.6079169 50.9317255, 14.6075645 50.9319433, 14.6075051 50.9319798, 14.6074483 50.9320142)",,,
127949613,Gewerbegebiet,residential,5.5,False,False,469.38599999999997,,"LINESTRING (14.6085161 50.9314857, 14.6065736 50.9311207, 14.6063248 50.9310716, 14.6062441 50.9310529, 14.6061577 50.9310324, 14.6060537 50.9310052, 14.6059418 50.9309731, 14.6058556 50.9309472, 14.6057641 50.930917, 14.6056281 50.9308662, 14.6056079 50.9308593, 14.6055867 50.9308537, 14.605567 50.9308502, 14.605543 50.9308481, 14.605515 50.9308494, 14.6054915 50.9308526, 14.6054689 50.9308594, 14.6054474 50.9308685, 14.6054312 50.93088, 14.6054174 50.9308935, 14.6054094 50.9309052, 14.6051562 50.9313899, 14.605154 50.9313997, 14.6051537 50.9314089, 14.6051547 50.9314197, 14.6051578 50.9314298, 14.6051619 50.9314401, 14.6051663 50.9314474, 14.6051713 50.9314543, 14.6051777 50.9314607, 14.6051865 50.931467, 14.6051971 50.9314732, 14.6052124 50.9314809, 14.6052338 50.931491, 14.6052628 50.9315039, 14.6053143 50.9315262, 14.60538 50.9315516, 14.6054694 50.9315829, 14.6055524 50.93161, 14.6056194 50.9316291, 14.6056903 50.9316485, 14.6057741 50.9316706, 14.6062798 50.9317967, 14.6074483 50.9320142)",,,
25047409,Südstraße,residential,6,False,False,129.328,,"LINESTRING (14.6074483 50.9320142, 14.6062856 50.932577, 14.6059701 50.9327098)",,,
25047409,Südstraße,residential,6,False,True,95.986,,"LINESTRING (14.6074483 50.9320142, 14.6075051 50.9319798, 14.6075645 50.9319433, 14.6079169 50.9317255, 14.6079995 50.9316803, 14.6080868 50.9316368, 14.6081605 50.9316034, 14.6082357 50.9315721, 14.6083059 50.9315453, 14.6083756 50.9315226, 14.608442 50.9315041, 14.6085161 50.9314857)",,,
127949613,Gewerbegebiet,residential,5.5,False,True,469.38599999999997,,"LINESTRING (14.6074483 50.9320142, 14.6062798 50.9317967, 14.6057741 50.9316706, 14.6056903 50.9316485, 14.6056194 50.9316291, 14.6055524 50.93161, 14.6054694 50.9315829, 14.60538 50.9315516, 14.6053143 50.9315262, 14.6052628 50.9315039, 14.6052338 50.931491, 14.6052124 50.9314809, 14.6051971 50.9314732, 14.6051865 50.931467, 14.6051777 50.9314607, 14.6051713 50.9314543, 14.6051663 50.9314474, 14.6051619 50.9314401, 14.6051578 50.9314298, 14.6051547 50.9314197, 14.6051537 50.9314089, 14.605154 50.9313997, 14.6051562 50.9313899, 14.6054094 50.9309052, 14.6054174 50.9308935, 14.6054312 50.93088, 14.6054474 50.9308685, 14.6054689 50.9308594, 14.6054915 50.9308526, 14.605515 50.9308494, 14.605543 50.9308481, 14.605567 50.9308502, 14.6055867 50.9308537, 14.6056079 50.9308593, 14.6056281 50.9308662, 14.6057641 50.930917, 14.6058556 50.9309472, 14.6059418 50.9309731, 14.6060537 50.9310052, 14.6061577 50.9310324, 14.6062441 50.9310529, 14.6063248 50.9310716, 14.6065736 50.9311207, 14.6085161 50.9314857)",,,
