osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,width,ref,junction,bridge
22811213,,Burgweg,living_street,False,False,86.589,,"LINESTRING (8.464728 50.1828242, 8.4647133 50.1828115, 8.4645824 50.1826928, 8.4645022 50.1826201, 8.4643666 50.1825226, 8.4639787 50.1822116)",4,,,
22811214,,Burgweg,living_street,True,False,36.718,,"LINESTRING (8.4639787 50.1822116, 8.463505 50.1823421)",4,,,
22811213,,Burgweg,living_street,False,True,86.589,,"LINESTRING (8.4639787 50.1822116, 8.4643666 50.1825226, 8.4645022 50.1826201, 8.4645824 50.1826928, 8.4647133 50.1828115, 8.464728 50.1828242)",4,,,
1104390060,,Burgweg,living_street,False,False,36.591,,"LINESTRING (8.4639787 50.1822116, 8.4639497 50.182141, 8.4639053 50.182118, 8.4636583 50.1819658)",4,,,
1104390060,,Burgweg,living_street,False,True,36.591,,"LINESTRING (8.4636583 50.1819658, 8.4639053 50.182118, 8.4639497 50.182141, 8.4639787 50.1822116)",4,,,
"[22811216, 208980484, 22811214]",,"['Burgweg', 'Hintere Schloßgasse']",living_street,True,False,103.001,,"LINESTRING (8.463505 50.1823421, 8.4633514 50.1823536, 8.4633051 50.1823685, 8.4632943 50.182497, 8.4635485 50.1831422)","['4', '3']",,,
22811215,,Vordere Schloßgasse,living_street,False,False,86.712,,"LINESTRING (8.463505 50.1823421, 8.4636964 50.1824749, 8.4638091 50.1825406, 8.4639075 50.1826167, 8.4641875 50.1829773)",2,,,
22811217,,Gerichtstraße,living_street,True,False,19.295,,"LINESTRING (8.4635569 50.1832273, 8.4634903 50.1833955)",4,,,
"[209295632, 209295633, 22811218]",,Neugasse,living_street,True,False,79.26,,"LINESTRING (8.4635569 50.1832273, 8.4639956 50.1833023, 8.4640867 50.1833411, 8.4642706 50.1834195, 8.464425 50.1834853, 8.4644861 50.1835683)",2,,,
22811217,,Gerichtstraße,living_street,True,False,63.592,,"LINESTRING (8.4634903 50.1833955, 8.4635308 50.1834593, 8.4635493 50.1834818, 8.4636403 50.1835929, 8.4637131 50.1836817, 8.4638959 50.1839047)",4,,,
22811444,,Gerbereigasse,living_street,True,False,64.62499999999999,,"LINESTRING (8.4634903 50.1833955, 8.4634245 50.1834118, 8.4633629 50.1834445, 8.4632247 50.1835544, 8.4631994 50.1835989, 8.4632073 50.1836317, 8.463338 50.1837162, 8.4634212 50.1838502)",2,,,
22811219,,Alte Gasse,living_street,False,True,57.833,,"LINESTRING (8.4638959 50.1839047, 8.4642049 50.1838048, 8.4644149 50.1836487, 8.4644861 50.1835683)",4,,,
38822767,,Haintürchenstraße,living_street,False,True,34.338,,"LINESTRING (8.4638959 50.1839047, 8.4637816 50.1838916, 8.4635728 50.1838676, 8.4634212 50.1838502)",3,,,
"[1204511786, 209461382, 255271830, 209461383]",,Gerichtstraße,living_street,False,False,164.437,,"LINESTRING (8.4638959 50.1839047, 8.464004 50.1839884, 8.4641365 50.1840581, 8.4641706 50.1840796, 8.4643014 50.1841584, 8.4646766 50.1843844, 8.4649063 50.1845077, 8.4649772 50.1845452, 8.4653993 50.1847911, 8.4655951 50.184904)","['2.5', '4']",,,
22811219,,Alte Gasse,living_street,False,False,57.833,,"LINESTRING (8.4644861 50.1835683, 8.4644149 50.1836487, 8.4642049 50.1838048, 8.4638959 50.1839047)",4,,,
134997446,,Alte Gasse,living_street,False,True,99.559,,"LINESTRING (8.4644861 50.1835683, 8.4645988 50.1834712, 8.4646937 50.1834029, 8.4647673 50.1833499, 8.4649632 50.1832089, 8.4648359 50.1831206, 8.4648068 50.1830921, 8.4647349 50.1830218, 8.4645834 50.1828642)",2.5,,,
38822767,,Haintürchenstraße,living_street,False,False,34.338,,"LINESTRING (8.4634212 50.1838502, 8.4635728 50.1838676, 8.4637816 50.1838916, 8.4638959 50.1839047)",3,,,
"[22811445, 38822767]",,Haintürchenstraße,living_street,False,True,58.285,,"LINESTRING (8.4634212 50.1838502, 8.4632156 50.1838169, 8.4630524 50.1837934, 8.4628718 50.1837783, 8.462615 50.1837702)","['5', '3']",,,
208980482,,Haintürchenstraße,living_street,False,True,10.734,,"LINESTRING (8.462615 50.1837702, 8.4624657 50.1837836)",5,,,
"[22811445, 38822767]",,Haintürchenstraße,living_street,False,False,58.285000000000004,,"LINESTRING (8.462615 50.1837702, 8.4628718 50.1837783, 8.4630524 50.1837934, 8.4632156 50.1838169, 8.4634212 50.1838502)","['5', '3']",,,
22811446,,,living_street,False,True,14.588999999999999,,"LINESTRING (8.4633919 50.183215, 8.4634949 50.1831937, 8.4635485 50.1831422)",3,,,
22811447,,Woogtalstraße,living_street,True,False,85.347,,"LINESTRING (8.4633919 50.183215, 8.463308 50.1832921, 8.4632222 50.1832895, 8.4630149 50.1834401, 8.4628313 50.183587, 8.4627263 50.1836774, 8.462615 50.1837702)",3,,,
38822770,,Kugelherrnstraße,living_street,False,False,26.0,,"LINESTRING (8.4633919 50.183215, 8.4631118 50.1832163, 8.4630285 50.1832053)",3,,,
