osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,tunnel
"[3792252, 1080327301]",False,2,Falkenturmstraße,residential,30,True,43.050000000000004,"LINESTRING (11.5796596 48.1387853, 11.579884 48.1390507, 11.5799342 48.1391096, 11.5799449 48.1391224)",,
4645418,True,,Falkenturmstraße,residential,30,False,91.351,"LINESTRING (11.5796596 48.1387853, 11.5797263 48.138756, 11.5799875 48.1386577, 11.5805294 48.1384511, 11.5807113 48.1383602)",,
4016231,False,,Fürstenfelder Straße,residential,30,False,26.019,"LINESTRING (11.5721721 48.1372842, 11.5722733 48.137195, 11.5723948 48.1371037)",,
3810667,False,,Am Einlaß,residential,50,True,85.375,"LINESTRING (11.5749072 48.1333265, 11.5749075 48.13334, 11.5749052 48.1333652, 11.5748968 48.1334099, 11.5748728 48.1334483, 11.5746381 48.133823, 11.5744754 48.1339381, 11.5743952 48.1339949)",,
3810668,False,2,Rumfordstraße,residential,50,False,99.65599999999999,"LINESTRING (11.5749072 48.1333265, 11.5749803 48.1333259, 11.57599 48.1331899, 11.5760462 48.1331843, 11.5760988 48.1331837, 11.5761109 48.1331842, 11.57616 48.133186, 11.5762279 48.1331941)",,
"[1105728513, 33131468]",False,2,Müllerstraße,residential,50,False,63.607,"LINESTRING (11.5749072 48.1333265, 11.5748428 48.1333212, 11.5747783 48.1333012, 11.5747174 48.1332709, 11.5744362 48.1330613, 11.5743919 48.133029, 11.5742866 48.1329504)",,
"[30932611, 30932612, 365018750]",False,"['2', '3']",Frauenstraße,secondary,30,False,212.21800000000002,"LINESTRING (11.5763997 48.1344358, 11.5765539 48.1344332, 11.5766018 48.1344324, 11.5768701 48.1344276, 11.5773788 48.1344254, 11.5776951 48.1344293, 11.5779447 48.134444, 11.5784988 48.1344886, 11.579249 48.1345475)",,
"[365018752, 144061668, 3654343]",False,"['2', '3']","['Blumenstraße', 'Frauenstraße']",secondary,30,True,124.904,"LINESTRING (11.5763997 48.1344358, 11.5762631 48.1344527, 11.5762094 48.1344593, 11.576081 48.1344932, 11.5759742 48.1345353, 11.5757016 48.1346674, 11.5756223 48.1346886, 11.5755752 48.1346952, 11.575557 48.1346955, 11.575532 48.1346959, 11.5754822 48.134682, 11.5754219 48.1346516, 11.5749958 48.1343848)",,
"[1102911480, 1102911624]",False,,Reichenbachstraße,residential,30,True,96.085,"LINESTRING (11.5763997 48.1344358, 11.5763899 48.1343533, 11.5763859 48.1343197, 11.5763649 48.1341783, 11.5762753 48.1335757)",,
3926024,False,,Hochbrückenstraße,residential,30,False,84.44999999999999,"LINESTRING (11.5791971 48.1360346, 11.5792582 48.1361381, 11.5793051 48.1361953, 11.5795803 48.1363836, 11.5797222 48.1364616, 11.5799869 48.1365495)",,
30750673,False,2,Tal,residential,30,False,175.711,"LINESTRING (11.5791971 48.1360346, 11.5794506 48.1359747, 11.5795167 48.1359581, 11.5795863 48.1359404, 11.5798036 48.1358817, 11.5802018 48.1357747, 11.5805311 48.1356626, 11.5812906 48.1354048, 11.5813515 48.1353841)",6.7,
30750673,False,2,Tal,residential,30,True,74.38600000000001,"LINESTRING (11.5791971 48.1360346, 11.5790756 48.1360595, 11.5785709 48.1361334, 11.5782273 48.1362019)",6.7,
145571051,True,,Radlsteg,residential,30,False,109.22,"LINESTRING (11.5791971 48.1360346, 11.5791677 48.1359703, 11.5789886 48.1355784, 11.5789446 48.1352877, 11.5789474 48.1350746)",5.9,
148688774,False,,Westenriederstraße,residential,30,True,49.656,"LINESTRING (11.5789474 48.1350746, 11.5791599 48.1350815, 11.5793726 48.1350801, 11.5796159 48.135071)",8.2,
3926024,False,,Hochbrückenstraße,residential,30,False,64.375,"LINESTRING (11.5799869 48.1365495, 11.5801124 48.1365822, 11.5805076 48.1368092, 11.580683 48.1368879)",,
3926024,False,,Hochbrückenstraße,residential,30,True,84.45,"LINESTRING (11.5799869 48.1365495, 11.5797222 48.1364616, 11.5795803 48.1363836, 11.5793051 48.1361953, 11.5792582 48.1361381, 11.5791971 48.1360346)",,
3926025,True,,Ledererstraße,residential,30,False,119.529,"LINESTRING (11.5787365 48.1372089, 11.5790801 48.137075, 11.5793762 48.1369544, 11.5796705 48.1368004, 11.5797804 48.1367253, 11.5799869 48.1365495)",,
30750675,False,2,Sparkassenstraße,residential,30,False,55.351,"LINESTRING (11.5782984 48.1374234, 11.5786383 48.1378665)",6,
3926025,True,,Ledererstraße,residential,30,False,40.339,"LINESTRING (11.5782984 48.1374234, 11.5785309 48.1373028, 11.5787365 48.1372089)",,
"[1102913089, 247649058, 247649057, 3813260, 3926385, 30750673, 419267959]",False,2,"['Tal', 'Sparkassenstraße']",residential,30,"[False, True]",212.68600000000004,"LINESTRING (11.5782984 48.1374234, 11.5780856 48.1372408, 11.5775414 48.1368615, 11.5773848 48.1367523, 11.5773219 48.1367053, 11.577272 48.1366697, 11.5771957 48.1365936, 11.5772607 48.1365454, 11.5774487 48.1364425, 11.5776006 48.1363838, 11.5777507 48.1363292, 11.5779458 48.136264, 11.5782273 48.1362019)",6.7,building_passage
