osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,access
34217061,,,Alemannenstraße,residential,,False,True,194.97700000000003,"LINESTRING (8.3484636 47.8855683, 8.3486315 47.8856865, 8.3491008 47.8859793, 8.349393 47.8861588, 8.3495121 47.8862253, 8.3495381 47.8862374, 8.3496737 47.8862899, 8.3498667 47.8863661, 8.3500611 47.8864323, 8.3502588 47.8864794, 8.3503975 47.8864813, 8.3504942 47.8864812, 8.3505978 47.886482)",,,
34217062,,,Florianweg,residential,,False,False,107.779,"LINESTRING (8.3484636 47.8855683, 8.3485427 47.885539, 8.3485815 47.8854819, 8.3485943 47.885404, 8.3485844 47.8853218, 8.3485383 47.8852264, 8.3484056 47.8850655, 8.3483013 47.8849591, 8.3482377 47.8848906, 8.3481857 47.8848288, 8.3480874 47.8847262)",,,
144672033,,,Vorstadtstraße,residential,30,False,False,10.658,"LINESTRING (8.3481863 47.884657, 8.3480874 47.8847262)",,,
161081634,2,L 170,Obere Hauptstraße,secondary,30,False,False,93.168,"LINESTRING (8.3481863 47.884657, 8.3480209 47.8845831, 8.3477577 47.8845274, 8.3474276 47.884465, 8.3470132 47.8843839)",,,
"[549994006, 54378175]",2,L 170,Dittishauser Straße,secondary,30,False,True,33.932,"LINESTRING (8.3481863 47.884657, 8.3482373 47.8846871, 8.348365 47.8847687, 8.3485099 47.8848713)",,,
144672008,,,Alenbergstraße,residential,30,False,False,16.847,"LINESTRING (8.3449118 47.8848078, 8.3447323 47.8848998)",4,,
144672008,,,Alenbergstraße,residential,30,False,True,61.153,"LINESTRING (8.3449118 47.8848078, 8.3455502 47.8844626)",4,,
144672021,,,Ringstraße,residential,30,False,False,48.736000000000004,"LINESTRING (8.3449118 47.8848078, 8.3447943 47.884758, 8.3445886 47.8847189, 8.344328 47.8846182)",4,,
144672033,,,Vorstadtstraße,residential,30,False,True,238.858,"LINESTRING (8.3449118 47.8848078, 8.3450937 47.8847786, 8.3452262 47.8847643, 8.3454133 47.8847435, 8.3456159 47.8847268, 8.3457425 47.8847235, 8.3459094 47.8847164, 8.3460558 47.884693, 8.3462291 47.8846709, 8.3463861 47.8846555, 8.3465582 47.8846485, 8.3467014 47.8846432, 8.3468105 47.8846441, 8.3470043 47.884653, 8.3471964 47.8846607, 8.347429 47.884677, 8.3477599 47.8847097, 8.3479086 47.8847136, 8.3480874 47.8847262)",,,
144672623,,,Rathausplatz,residential,,False,False,37.104,"LINESTRING (8.3448648 47.8838277, 8.3449262 47.8838639, 8.344962 47.8838993, 8.3450249 47.8839749, 8.3450684 47.8840391, 8.3450954 47.884116)",,,
"[144673594, 144673591]",,,Kirchstraße,residential,,False,True,138.991,"LINESTRING (8.3448648 47.8838277, 8.3449081 47.8837615, 8.3450562 47.8836603, 8.3451887 47.883602, 8.3451877 47.8835129, 8.3451435 47.8834283, 8.3449611 47.8833024, 8.3449128 47.8832611, 8.3445145 47.8830524, 8.3443818 47.882957, 8.3443348 47.8829139)",4,,
38666044,,,Oberwiesenweg,residential,,False,False,80.343,"LINESTRING (8.3408775 47.8881124, 8.3409184 47.8880326, 8.340946 47.8878716, 8.3409931 47.8877412, 8.3410428 47.887666, 8.3410875 47.8876083, 8.3411286 47.8875673, 8.3411823 47.8875196, 8.341298 47.8874837)",,,
"[165451946, 165451950]",2,L 170,"['Bonndorfer Straße', 'Untere Hauptstraße']",secondary,50,False,True,54.856,"LINESTRING (8.3431717 47.8823961, 8.3431092 47.882244, 8.3430819 47.8821892, 8.3430515 47.8821382, 8.3429983 47.8820833, 8.342951 47.8820404, 8.3428889 47.8819952, 8.3428786 47.8819532)",,,
"[168794969, 168794970, 37280791]",,,Bahnhofstraße,residential,,False,True,236.559,"LINESTRING (8.3431717 47.8823961, 8.3430325 47.8824579, 8.3429638 47.8825138, 8.3427917 47.8827674, 8.3425097 47.883206, 8.342439 47.8833727, 8.3423644 47.8834821, 8.3422452 47.883628, 8.3419606 47.8839919, 8.3418499 47.8840656, 8.3417733 47.884152, 8.3417299 47.884201, 8.3416889 47.8842472)",6,,
"[460408275, 244662757]",2,L 170,Untere Hauptstraße,secondary,"['50', '30']",False,False,44.754999999999995,"LINESTRING (8.3431717 47.8823961, 8.3432471 47.8824832, 8.3435131 47.8827266)",,,
144672624,,,Bahnhofstraße,residential,,False,False,14.239,"LINESTRING (8.341173 47.885292, 8.3413327 47.8852218)",4,,
128044551,,,,residential,,False,False,63.738,"LINESTRING (8.341173 47.885292, 8.3414741 47.8852954, 8.342025 47.8853321)",,,
144672624,,,Bahnhofstraße,residential,,False,True,41.611000000000004,"LINESTRING (8.341173 47.885292, 8.3409014 47.8854222, 8.3407551 47.8855361)",4,,
144672624,,,Bahnhofstraße,residential,,False,True,14.239,"LINESTRING (8.3413327 47.8852218, 8.341173 47.885292)",4,,
